gen	min       	avg        	max        	std        
0  	1.0349e+06	2.01153e+07	5.83884e+07	1.17154e+07
1  	1.0349e+06	2.00505e+07	5.64901e+07	1.14323e+07
2  	1.0349e+06	1.99949e+07	5.48968e+07	1.12929e+07
3  	1.0349e+06	1.99238e+07	5.51593e+07	1.12564e+07
4  	1.0349e+06	1.98629e+07	5.42176e+07	1.11954e+07
5  	494912    	1.98285e+07	5.31798e+07	1.12508e+07
6  	494912    	1.9785e+07 	5.60666e+07	1.12683e+07
7  	494912    	1.9759e+07 	5.72132e+07	1.12244e+07
8  	494912    	1.96877e+07	5.32119e+07	1.1258e+07 
9  	494912    	1.96366e+07	5.2034e+07 	1.13033e+07
10 	492611    	1.95686e+07	5.33368e+07	1.14158e+07
11 	481392    	1.94982e+07	5.23316e+07	1.14873e+07
12 	443049    	1.94215e+07	5.17024e+07	1.13515e+07
13 	426627    	1.94115e+07	5.20416e+07	1.13046e+07
14 	364520    	1.93396e+07	5.30491e+07	1.1172e+07 
15 	355963    	1.93167e+07	5.36404e+07	1.10143e+07
16 	355963    	1.92538e+07	6.14707e+07	1.11751e+07
17 	355963    	1.91811e+07	5.62782e+07	1.10718e+07
18 	239043    	1.91387e+07	5.38005e+07	1.11077e+07
19 	239032    	1.90987e+07	5.1471e+07 	1.0927e+07 
20 	237917    	1.90741e+07	5.07715e+07	1.07975e+07
21 	237917    	1.90315e+07	6.02795e+07	1.07835e+07
22 	237917    	1.89865e+07	5.53146e+07	1.09549e+07
23 	237917    	1.89109e+07	5.37987e+07	1.09255e+07
24 	237917    	1.8876e+07 	5.37261e+07	1.09119e+07
25 	237917    	1.88189e+07	5.25822e+07	1.09508e+07
26 	237917    	1.87046e+07	5.25773e+07	1.09388e+07
27 	237917    	1.86487e+07	5.25774e+07	1.08825e+07
28 	237917    	1.8567e+07 	5.41225e+07	1.10401e+07
29 	237917    	1.85075e+07	5.41201e+07	1.08415e+07
30 	237917    	1.84274e+07	5.50581e+07	1.08304e+07
31 	237917    	1.83742e+07	5.21396e+07	1.07106e+07
32 	237917    	1.83544e+07	5.21398e+07	1.06993e+07
33 	221286    	1.83167e+07	5.2132e+07 	1.06444e+07
34 	186815    	1.82742e+07	5.11567e+07	1.06989e+07
35 	166575    	1.81905e+07	5.56456e+07	1.07346e+07
36 	141831    	1.8176e+07 	5.57363e+07	1.09457e+07
37 	141831    	1.80999e+07	5.26225e+07	1.08443e+07
38 	141831    	1.80695e+07	5.79083e+07	1.11033e+07
39 	141793    	1.80453e+07	5.64929e+07	1.11599e+07
40 	141793    	1.79556e+07	5.64259e+07	1.13006e+07
41 	132097    	1.78978e+07	5.40532e+07	1.09573e+07
42 	132097    	1.78551e+07	5.54947e+07	1.07386e+07
43 	132097    	1.78104e+07	5.54049e+07	1.08001e+07
44 	131970    	1.77161e+07	5.50441e+07	1.05874e+07
45 	131970    	1.76295e+07	5.35542e+07	1.06286e+07
46 	131970    	1.76068e+07	5.28175e+07	1.05341e+07
47 	131970    	1.75492e+07	5.28175e+07	1.04581e+07
48 	131970    	1.74663e+07	5.12769e+07	1.01642e+07
49 	131970    	1.73939e+07	4.69879e+07	9.98834e+06
50 	131970    	1.73507e+07	4.68283e+07	9.93212e+06
51 	131970    	1.73066e+07	4.63335e+07	1.00021e+07
52 	131970    	1.72439e+07	4.63873e+07	9.99954e+06
53 	69841.9   	1.71774e+07	4.58919e+07	1.01623e+07
54 	69841.9   	1.71246e+07	4.63716e+07	9.98955e+06
55 	69841.9   	1.70707e+07	4.70012e+07	1.01998e+07
56 	69841.9   	1.70666e+07	4.78114e+07	1.01866e+07
57 	69841.9   	1.70048e+07	4.81628e+07	1.03115e+07
58 	69841.9   	1.69598e+07	5.04179e+07	1.0313e+07 
59 	65877.3   	1.69304e+07	4.81721e+07	1.03009e+07
60 	65877.3   	1.68619e+07	4.81721e+07	1.00712e+07
61 	65877.3   	1.68134e+07	4.58799e+07	1.02022e+07
62 	65877.3   	1.6741e+07 	4.83497e+07	1.00705e+07
63 	65877.3   	1.66509e+07	4.7074e+07 	1.01759e+07
64 	65877.3   	1.66038e+07	4.6027e+07 	1.00261e+07
65 	65877.3   	1.65791e+07	4.58837e+07	1.00348e+07
66 	65877.3   	1.65641e+07	4.64884e+07	1.00256e+07
67 	65491     	1.65139e+07	4.58836e+07	9.89628e+06
68 	65491     	1.64628e+07	4.84538e+07	9.90599e+06
69 	65491     	1.64148e+07	4.84517e+07	9.885e+06  
70 	65491     	1.63393e+07	5.36214e+07	9.79903e+06
71 	65491     	1.62959e+07	5.06555e+07	9.74855e+06
72 	65491     	1.62506e+07	5.5231e+07 	9.8883e+06 
73 	65491     	1.61792e+07	5.23876e+07	9.95263e+06
74 	65479.2   	1.61181e+07	5.13103e+07	9.80846e+06
75 	65479.2   	1.60967e+07	5.07478e+07	9.89765e+06
76 	65479.2   	1.60392e+07	5.03357e+07	9.8395e+06 
77 	65479.2   	1.59437e+07	5.05446e+07	1.00162e+07
78 	65479.2   	1.59042e+07	5.05452e+07	9.94975e+06
79 	65479.2   	1.58743e+07	4.95855e+07	9.8702e+06 
80 	65479.2   	1.58235e+07	4.90838e+07	9.83131e+06
81 	65479.2   	1.57522e+07	5.1207e+07 	9.86538e+06
82 	65479.2   	1.5704e+07 	5.11916e+07	9.95476e+06
83 	65479.2   	1.56218e+07	4.84681e+07	9.8639e+06 
84 	65479.2   	1.56057e+07	4.77191e+07	9.81041e+06
85 	65479.2   	1.55568e+07	4.77186e+07	9.74191e+06
86 	65479.2   	1.54947e+07	4.77186e+07	9.78841e+06
