gen	min   	avg        	max        	std        
0  	375948	2.02062e+07	5.53945e+07	1.16157e+07
1  	375948	2.01381e+07	5.37878e+07	1.14946e+07
2  	375948	2.00373e+07	5.19565e+07	1.13223e+07
3  	375948	2.00143e+07	5.40693e+07	1.15216e+07
4  	226587	1.99535e+07	5.22363e+07	1.13818e+07
5  	226587	1.99018e+07	5.20489e+07	1.15077e+07
6  	226587	1.9822e+07 	5.29963e+07	1.13439e+07
7  	226587	1.97453e+07	5.51168e+07	1.13806e+07
8  	226587	1.9683e+07 	5.30327e+07	1.12104e+07
9  	225865	1.96351e+07	5.18413e+07	1.11008e+07
10 	222278	1.95913e+07	4.8656e+07 	1.11231e+07
11 	222278	1.95797e+07	5.50314e+07	1.13087e+07
12 	222278	1.95258e+07	5.18381e+07	1.12285e+07
13 	222278	1.95186e+07	5.18381e+07	1.13187e+07
14 	222205	1.94448e+07	5.21438e+07	1.13543e+07
15 	222205	1.94387e+07	5.09553e+07	1.12145e+07
16 	222205	1.93791e+07	5.05263e+07	1.11133e+07
17 	220030	1.93884e+07	5.05263e+07	1.1027e+07 
18 	220030	1.93137e+07	5.05226e+07	1.0985e+07 
19 	220030	1.92655e+07	5.2981e+07 	1.1161e+07 
20 	220030	1.91997e+07	5.68524e+07	1.12354e+07
21 	220030	1.91602e+07	5.7063e+07 	1.13044e+07
22 	220030	1.91107e+07	5.68479e+07	1.12584e+07
23 	220030	1.90787e+07	5.55961e+07	1.1149e+07 
24 	155685	1.90216e+07	5.29799e+07	1.11703e+07
25 	155685	1.89626e+07	5.02857e+07	1.12817e+07
26 	155685	1.88854e+07	5.19587e+07	1.13612e+07
27 	155685	1.88141e+07	4.98204e+07	1.11512e+07
28 	153965	1.87525e+07	5.12135e+07	1.13217e+07
29 	153965	1.86815e+07	5.50788e+07	1.11389e+07
30 	135485	1.87037e+07	5.32508e+07	1.1252e+07 
31 	130102	1.8644e+07 	5.81867e+07	1.12858e+07
32 	130102	1.85933e+07	5.82574e+07	1.1375e+07 
33 	130102	1.85687e+07	5.71048e+07	1.12659e+07
34 	130102	1.85295e+07	5.49484e+07	1.14067e+07
35 	130102	1.8423e+07 	5.54038e+07	1.14247e+07
36 	130102	1.84086e+07	5.49575e+07	1.12669e+07
37 	130102	1.83677e+07	5.20778e+07	1.12521e+07
38 	116886	1.83202e+07	5.81915e+07	1.11726e+07
39 	116886	1.8248e+07 	5.755e+07  	1.09992e+07
40 	116886	1.81671e+07	5.17126e+07	1.09185e+07
41 	116886	1.81027e+07	5.03732e+07	1.08498e+07
42 	116886	1.80547e+07	4.98545e+07	1.07024e+07
43 	116886	1.80214e+07	5.23797e+07	1.06483e+07
44 	116886	1.79755e+07	5.73476e+07	1.07098e+07
45 	116886	1.79254e+07	5.24192e+07	1.06311e+07
46 	116886	1.78856e+07	5.19972e+07	1.06775e+07
47 	38877.5	1.78245e+07	4.96948e+07	1.06577e+07
48 	38875.1	1.78139e+07	4.96885e+07	1.07744e+07
49 	38875.1	1.77502e+07	5.3876e+07 	1.08515e+07
50 	38875.1	1.77354e+07	5.01595e+07	1.07885e+07
51 	30605.6	1.77215e+07	4.89005e+07	1.05312e+07
52 	30605.6	1.7652e+07 	4.71499e+07	1.05943e+07
53 	29564.2	1.75916e+07	4.77841e+07	1.05241e+07
54 	29564.2	1.75399e+07	4.73209e+07	1.06685e+07
55 	29564.2	1.74807e+07	5.1182e+07 	1.08044e+07
56 	29564.2	1.74277e+07	5.16216e+07	1.07548e+07
57 	29564.2	1.73794e+07	5.06889e+07	1.06161e+07
58 	29564.2	1.7304e+07 	5.03711e+07	1.06421e+07
59 	29564.2	1.72487e+07	5.00507e+07	1.05444e+07
60 	29564.2	1.71691e+07	5.16331e+07	1.04261e+07
61 	29564.2	1.71421e+07	5.16121e+07	1.05172e+07
62 	29564.2	1.71167e+07	5.16142e+07	1.05112e+07
63 	29564.2	1.70562e+07	5.12579e+07	1.04854e+07
64 	29564.2	1.69665e+07	5.10667e+07	1.03892e+07
65 	29564.2	1.68789e+07	4.95618e+07	1.03792e+07
66 	29564.2	1.68083e+07	4.95618e+07	1.0435e+07 
67 	29564.2	1.67758e+07	5.06113e+07	1.03218e+07
68 	29564.2	1.6717e+07 	5.87281e+07	1.03507e+07
69 	29564.2	1.66439e+07	5.06085e+07	1.02087e+07
70 	29564.2	1.65762e+07	5.06077e+07	1.01139e+07
71 	29564.2	1.65001e+07	5.35735e+07	1.02313e+07
72 	29564.2	1.64508e+07	5.20796e+07	1.00167e+07
73 	29564.2	1.6414e+07 	5.51068e+07	1.00535e+07
74 	29564.2	1.63869e+07	5.20499e+07	1.01186e+07
75 	29564.2	1.63433e+07	4.88497e+07	9.93291e+06
76 	29564.2	1.62991e+07	4.88608e+07	9.98354e+06
77 	29564.2	1.62703e+07	4.88467e+07	9.99776e+06
78 	29564.2	1.62095e+07	4.66055e+07	9.89104e+06
79 	29564.2	1.617e+07  	4.64136e+07	9.94062e+06
80 	20171.1	1.61073e+07	4.64136e+07	9.74689e+06
81 	20171.1	1.60351e+07	4.65538e+07	9.95003e+06
82 	20171.1	1.5997e+07 	4.43606e+07	9.86212e+06
83 	20171.1	1.59343e+07	5.13504e+07	9.84771e+06
84 	20171.1	1.58694e+07	5.13627e+07	9.6386e+06 
85 	20171.1	1.58495e+07	4.84509e+07	9.65026e+06
86 	20165.3	1.58186e+07	4.61219e+07	9.90316e+06
87 	20165.3	1.57771e+07	4.58305e+07	9.88934e+06
88 	20165.3	1.5742e+07 	4.58315e+07	9.88262e+06
89 	20165.3	1.5687e+07 	4.82673e+07	1.00315e+07
90 	20165.3	1.56351e+07	4.67515e+07	9.92187e+06
91 	20165.3	1.55843e+07	4.67518e+07	9.83426e+06
92 	20165.3	1.55312e+07	4.83356e+07	9.81013e+06
93 	20165.3	1.5481e+07 	4.83359e+07	9.83393e+06
94 	20165.3	1.54795e+07	4.81158e+07	9.9691e+06 
95 	20165.3	1.54385e+07	4.69231e+07	9.88261e+06
96 	20165.3	1.54191e+07	4.69218e+07	9.94812e+06
97 	20165.3	1.53838e+07	4.44055e+07	9.90202e+06
98 	18766.6	1.53318e+07	4.66304e+07	9.7835e+06 
99 	18766.6	1.5335e+07 	5.04576e+07	9.94229e+06
100	18766.6	1.52958e+07	4.45045e+07	9.7768e+06 
101	18766.6	1.52576e+07	4.46606e+07	9.75986e+06
102	18766.6	1.52403e+07	4.40568e+07	9.73186e+06
103	18766.6	1.52068e+07	4.37066e+07	9.72193e+06
104	18766.6	1.51704e+07	4.33243e+07	9.63076e+06
105	18766.6	1.51698e+07	4.36459e+07	9.54302e+06
106	18766.6	1.51541e+07	4.36464e+07	9.52642e+06
107	18766.6	1.51352e+07	4.83921e+07	9.45108e+06
108	18766.6	1.50637e+07	4.96325e+07	9.59552e+06
109	18766.6	1.50043e+07	4.88502e+07	9.57952e+06
110	18766.6	1.4952e+07 	4.67613e+07	9.47098e+06
111	18766.6	1.49086e+07	4.72401e+07	9.54134e+06
112	18766.6	1.49262e+07	4.99157e+07	9.69879e+06
113	18572.6	1.48931e+07	4.55003e+07	9.43392e+06
114	18572.6	1.48354e+07	4.69868e+07	9.47874e+06
115	18156.5	1.4786e+07 	4.69868e+07	9.62581e+06
116	14013.3	1.47331e+07	4.69298e+07	9.60212e+06
117	14013.3	1.46609e+07	4.59631e+07	9.4576e+06 
118	14013.3	1.46225e+07	4.51177e+07	9.4603e+06 
119	14013.3	1.45581e+07	4.43369e+07	9.21581e+06
120	14013.3	1.45312e+07	4.93649e+07	9.29039e+06
121	12592.7	1.44955e+07	4.9362e+07 	9.24961e+06
