gen	min     	avg   	max    	std    
0  	-9.87609	1913.3	6009.57	1177.83
1  	-61.4755	1902.75	5906.79	1159.69
2  	-61.4755	1901.95	6066.43	1159.19
3  	-83.2632	1898.6 	6519.48	1162.15
4  	-83.2632	1891.61	6414.29	1146.2 
5  	-83.2632	1882.87	6433.31	1133.95
6  	-83.2632	1876.42	5915.52	1117.78
7  	-83.2632	1871.99	5921.34	1111.89
8  	-88.6543	1864.39	5996.09	1117.15
9  	-88.6543	1856.39	5882.89	1095.57
10 	-92.0746	1852.26	5894.81	1109.48
11 	-92.0746	1844.8 	5680.52	1099.31
12 	-92.0746	1840.15	5646.3 	1095.44
13 	-92.0746	1839.66	5362.83	1096.93
14 	-97.5764	1834.09	5352.73	1098.02
15 	-97.5764	1824.91	5676.64	1074.82
16 	-216.598	1821.49	5384.35	1080.69
17 	-216.598	1814.57	5384.35	1093.54
18 	-216.598	1805.88	5399.44	1114.54
19 	-249.909	1802.88	5489.64	1115.5 
20 	-249.909	1798.95	5218.41	1090.32
21 	-249.909	1795.07	5218.41	1096.71
22 	-249.909	1788.25	5218.41	1090.78
23 	-249.909	1783.99	5301.02	1103.15
24 	-249.909	1778.72	5288.45	1094.93
25 	-249.909	1771.98	5293.94	1098.62
26 	-249.909	1764.38	5637.94	1088.1 
27 	-249.909	1757.86	5313.99	1063.73
28 	-249.909	1755.05	4827.65	1057.91
29 	-249.909	1744.05	4967.43	1063.78
30 	-249.909	1738.85	5762.34	1080.63
31 	-249.909	1733.97	5603.1 	1085.4 
32 	-249.909	1728.4 	5392.2 	1078.48
33 	-249.909	1722.88	5392.2 	1063.24
34 	-249.909	1718.69	5000.13	1037.54
35 	-249.909	1711.07	4867.68	1029.33
36 	-266.865	1704.39	4772.63	1028.55
37 	-266.865	1702.73	4628.34	1007.48
38 	-266.865	1694.22	5572.57	1016.68
39 	-266.865	1695.6 	5378.06	1033.63
40 	-266.865	1695.37	5254.29	1028.77
41 	-266.865	1694.7 	5378.33	1044.45
42 	-266.865	1689.9 	5231.23	1040.44
43 	-266.865	1686.99	5996.32	1072.13
44 	-266.865	1682.02	5976.39	1082.72
45 	-266.865	1677.13	5961.51	1088.97
46 	-266.865	1669.21	5360.54	1074.99
47 	-266.865	1662.21	5221.56	1060.23
48 	-266.865	1655.43	5318.94	1059.24
49 	-277.329	1650.3 	5125.44	1046.67
50 	-277.329	1649.87	5668.6 	1064.61
51 	-277.329	1648.58	5215.61	1055.11
52 	-277.329	1643.21	5533.32	1054.76
53 	-277.329	1635.31	5398.7 	1051.05
