/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max  	std    
0  	116.953	3819.28	16084	2999.45
1  	79.8525	3802.93	15867.5	3001.92
2  	79.8525	3800.1 	15151.2	3017.37
3  	79.8525	3791.88	14663.2	2978.74
4  	79.8525	3777.03	13226.3	2947.39
5  	79.8525	3784.04	13226.3	2977.06
6  	44.6255	3763.78	17488.3	2971.66
7  	40.5832	3771.41	13087  	2955.49
8  	40.5832	3773   	13543.1	2976.41
9  	40.5832	3750.21	15847.2	3004.24
10 	40.5832	3745.81	15731.8	3046.81
11 	40.5832	3737.6 	15565.1	3089.82
12 	-18.7481	3706.13	14425.4	3055.36
13 	-18.7481	3693.82	14861.5	3043.21
14 	-18.7481	3699.69	14370.7	3052.01
15 	-66.2577	3699.03	14235  	3016.15
16 	-66.2577	3700.71	14801.7	3037.3 
17 	-66.2577	3691.38	14801.7	3007.78
18 	-100.154	3694.82	16463.7	3025.89
19 	-100.154	3684.59	14299.5	2988.44
20 	-100.154	3677.99	14106.2	2958.93
21 	-100.154	3660.22	13485.4	2950.52
22 	-100.154	3647.56	13318.4	2934.21
23 	-100.154	3643.97	12854.2	2946.33
24 	-100.154	3647.57	14278.2	2963.04
25 	-100.154	3633.38	14236.3	2953.91
26 	-100.154	3621.42	13103.1	2855.43
27 	-117.034	3626.34	13546.6	2909.21
28 	-117.034	3628.59	14745.6	2894.35
29 	-117.034	3634.03	13498.9	2879.12
30 	-117.034	3629.37	14330.2	2927.06
31 	-117.034	3625.81	14773.4	2959.29
32 	-117.034	3608.88	15276.5	2954.72
33 	-117.034	3606.35	15991.9	2940.33
34 	-117.034	3597.09	15989.3	2947.4 
35 	-117.034	3606.19	15989.3	2937.98
36 	-117.034	3603.05	15067.9	2915.23
37 	-117.034	3583.92	15067.9	2886.79
38 	-117.034	3563.42	14713.4	2881.02
39 	-117.034	3549.19	14657.7	2859.81
40 	-117.034	3551.81	14542.2	2929.36
41 	-117.034	3541.3 	14542.2	2922.18
42 	-150.651	3542.58	13463.5	2986.11
43 	-150.651	3533.27	13435.3	2929.41
44 	-150.651	3523.36	12814.3	2920.21
45 	-150.651	3530.03	12892.7	2946.15
46 	-150.651	3540.01	13582.6	2901.35
47 	-150.651	3529.12	12854.5	2932.71
48 	-150.651	3526.74	12836  	2892.59
49 	-178.602	3521.54	13704.2	2870   
50 	-178.602	3517.86	12987.4	2920.38
51 	-178.602	3516.18	16147.9	2964.59
52 	-178.602	3512.68	16171.2	3015.69
53 	-178.602	3513.63	16174.4	3058.58
54 	-178.602	3501.59	15407.3	3058.91
55 	-178.602	3489.27	14395.4	3050.62
56 	-178.602	3495.25	14411.7	3037.72
57 	-178.602	3478.04	14924.9	2942.73
58 	-178.602	3465.21	13471.9	2865.44
59 	-178.602	3472.99	13193.6	2879.8 
60 	-178.602	3461.88	13550  	2851.9 
61 	-178.602	3452.85	13727.6	2879.82
62 	-178.602	3464.1 	14162.9	2939.17
63 	-178.602	3457.27	14097.5	2925.32
64 	-178.602	3449.87	17877.9	2931.02
65 	-178.602	3435.75	14213  	2894.78
66 	-178.602	3413.8 	15106.4	2889.22
67 	-178.602	3425.75	14351.3	2940.99
68 	-178.602	3403.62	14343.7	2941.79
69 	-178.602	3398.11	13419.8	2941.95
70 	-178.602	3381.27	15270.2	2955.3 
71 	-178.602	3362.78	13708.4	2940.19
72 	-178.602	3347.66	13708.4	2936.72
73 	-178.602	3327.9 	13842  	2920.16
74 	-178.602	3310.33	13229.1	2828.55
75 	-178.602	3297.98	13384.1	2792.19
76 	-178.602	3280.38	12439.5	2752.06
77 	-178.602	3278.46	12254.9	2730.86
78 	-178.602	3258.95	12277.4	2730.31
79 	-178.602	3244.52	13794.3	2713.16
80 	-178.602	3242.8 	12271.6	2744.87
81 	-178.602	3245.81	15627.5	2790.04
82 	-178.602	3249.66	13790.2	2797.82
83 	-178.602	3237.29	14074.7	2850.12
84 	-178.602	3222.91	14114.6	2811.26
85 	-178.602	3210.02	13775.2	2837.41
86 	-178.602	3197.03	13761.2	2785.88
87 	-178.602	3187.32	13413.8	2763.93
88 	-178.602	3182.08	13483.5	2754.96
89 	-178.602	3175.61	15794.9	2759   
90 	-178.602	3170.37	12876.9	2720.21
91 	-178.602	3166.33	12784  	2738.3 
92 	-178.602	3161.31	12358.9	2721.26
93 	-178.602	3154.17	12660  	2700.06
94 	-178.602	3142.98	12280  	2671.98
95 	-178.602	3128.47	13471.8	2657.26
96 	-178.602	3103.65	12486.4	2634.43
97 	-178.602	3086.78	13480.2	2596.43
98 	-178.602	3067.3 	12486.4	2531.47
99 	-178.602	3066.94	13688.5	2561.93
100	-178.602	3056.74	12292.8	2550.36
101	-178.602	3054.87	12818.2	2528.17
102	-178.602	3054.52	12544  	2544.13
103	-178.602	3051.19	12746.9	2550.62
104	-183.374	3043.65	16365.6	2579.46
105	-183.374	3045.08	16007  	2568.97
106	-183.374	3022.67	13699.1	2533.7 
107	-197.445	3007.35	13310  	2536.42
108	-197.445	3005.43	13369.2	2516.91
109	-197.445	2991.06	18142.7	2591.74
110	-197.445	2975.93	13591.9	2541.07
111	-197.445	2995.51	14188.1	2578.54
112	-197.445	2987.87	13645.5	2563.29
113	-197.445	2999.1 	12390.3	2540.13
114	-197.445	3008.31	15316.2	2589.79
115	-197.445	3007.37	14174  	2588.99
116	-200.373	2996.94	14210.2	2590.31
117	-200.373	2995.76	14030.8	2619.89
118	-200.373	2993.75	14060.1	2580.27
119	-200.373	2983.69	14788.4	2587.48
120	-200.373	2967.33	13987.9	2520.84
121	-200.373	2964.95	13974.1	2483.54
122	-200.373	2942.54	13271.4	2441.41
123	-200.373	2944.81	13232.4	2416.3 
124	-200.373	2930.45	13281.1	2379.35
125	-200.613	2930.64	12520  	2413.37
126	-200.613	2939.03	12520  	2403.51
127	-209.241	2929.51	12384.2	2402.76
128	-209.241	2937.71	13612.7	2423.72
129	-209.241	2927.11	13708.2	2461.91
130	-209.241	2913.89	13848.1	2442.29
131	-209.241	2904.6 	12938.7	2428.35
132	-209.241	2895.18	12114.5	2378.69
133	-209.241	2903.99	12635.5	2394.75
134	-209.241	2886.67	12635.5	2383.15
135	-209.241	2872.87	11774.4	2342.92
136	-209.241	2858.83	11687  	2348.39
137	-209.241	2855.28	11350  	2349.87
138	-209.241	2848.18	10695.4	2328.42
139	-209.503	2859.48	15661.3	2368.94
140	-209.503	2855.25	11519.9	2340.4 
141	-209.503	2834.32	13115.5	2343.48
142	-209.503	2819.86	12601.3	2334.45
143	-209.503	2815.75	12217.4	2342.05
144	-209.503	2813.76	12175.2	2328.1 
145	-209.503	2814.63	11479  	2311.89
146	-229.788	2815.65	13594  	2318.57
147	-229.788	2802.68	12547.5	2316.75
148	-229.788	2791.76	12167.1	2322.47
149	-229.788	2785.23	12185.5	2290.29
150	-229.788	2782.26	12099.4	2295.68
151	-229.788	2774.79	11590.4	2287.78
152	-229.788	2757.9 	12619.7	2300.44
153	-229.788	2769.32	11253.3	2303.43
154	-229.788	2766.03	11762.7	2339.46
155	-229.788	2769.07	12232.5	2352.46
156	-229.788	2765.45	14878.7	2367.83
157	-238.827	2774.33	12284.3	2370.16
158	-238.827	2771.77	12284.3	2337.35
159	-238.827	2778.6 	13331.6	2414.73
160	-238.827	2755.78	13370.8	2411.77
161	-238.827	2752.2 	12794.6	2399.37
162	-239.699	2740.51	13863.2	2416.57
163	-239.699	2724.92	12719.9	2376.54
164	-239.699	2717.25	12558.7	2328.94
165	-239.699	2706.88	12692.9	2345.04
166	-239.699	2702.91	14113.5	2355.26
167	-239.699	2698.3 	13940.7	2301.48
168	-239.699	2694.95	13657.5	2253.47
169	-239.699	2678.1 	13017.7	2243.34
170	-239.699	2681.05	12777.9	2285.76
171	-239.699	2675.54	12072.5	2253.73
172	-239.699	2665.86	12057.4	2224.26
173	-239.699	2669.05	12094.1	2248.58
174	-239.699	2658.05	13398.7	2249.19
175	-239.699	2669.07	13793.2	2274.73
176	-239.699	2657.99	13328.1	2287.42
177	-239.699	2644.63	12962.5	2246.38
178	-239.699	2661.78	14588.3	2346.02
179	-239.699	2652.88	13921.7	2305.64
180	-239.699	2651.52	12976.3	2287.9 
181	-239.699	2637.36	12368.7	2283.65
182	-239.699	2618.9 	12193.3	2230.51
183	-239.699	2601.3 	12088.8	2189.64
184	-239.699	2587.1 	11871.3	2189.96
185	-239.699	2578.49	11950.5	2176.67
186	-239.699	2578.69	11437.2	2175.14
187	-239.699	2585.24	12086.9	2183.82
188	-251.587	2574.73	13072.3	2176.4 
189	-251.587	2563.64	11616.9	2142.26
190	-251.587	2551.6 	11149.3	2127.54
191	-251.587	2533.14	11257  	2094.96
192	-251.587	2529.99	10921  	2108.13
193	-251.587	2524.47	10921  	2106.68
194	-251.587	2521.31	10769.2	2117.33
195	-251.587	2519.47	10759.4	2100.5 
196	-251.587	2511.58	11093.7	2086.77
197	-251.587	2502.39	10497.4	2073.46
198	-251.587	2505.4 	10441.1	2029.15
199	-251.587	2508.08	11837.7	2073.03
200	-251.587	2488.32	12071.6	2043.95
201	-251.587	2514.95	12071.6	2048.39
202	-251.587	2495.71	12608.6	2053.31
203	-251.587	2502.03	12071.6	1998.55
204	-251.587	2504.37	12084  	2044.46
205	-251.587	2499.7 	11658  	2034.1 
206	-259.108	2500.12	12011.2	2047.89
207	-259.108	2493.9 	11389.9	2076.38
208	-259.108	2477.41	10537.3	2079.89
209	-263.299	2471.47	10537.3	2068.41
210	-263.299	2473.3 	10794.9	2103.84
211	-263.299	2487.52	13693.5	2134.69
212	-263.299	2471.68	12268.5	2107.14
213	-263.299	2461.34	11141.2	2087.07
214	-263.299	2453.64	11141.2	2097.17
215	-272.259	2452.3 	10822.5	2095.52
216	-272.259	2447.8 	10822.5	2046.01
217	-272.259	2449.52	10822.5	2043.56
218	-272.259	2444.72	10808.8	2006.55
219	-272.259	2442.77	12366.2	2048.86
220	-272.259	2438.23	10594.7	2001.39
221	-272.259	2427.28	11387.3	2027.66
222	-272.259	2415.04	11150  	1983.1 
223	-272.259	2413.63	10344.7	2007.56
224	-272.259	2395.12	10142  	1990.33
225	-272.259	2390.42	12453.3	1952.49
226	-272.259	2393.29	10965.5	1938.83
227	-272.259	2393.37	10965.5	1952.37
228	-272.259	2378.77	10742  	1921.78
229	-272.259	2369.53	10675.1	1908.25
230	-284.159	2361.29	10922.5	1941.15
231	-284.159	2357.34	9895.59	1897.5 
232	-284.159	2347.88	10001.5	1940.99
233	-284.159	2336.55	10001.5	1931.73
