/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg 	max    	std    
0  	175.187	3719	15395.2	3029.29
1  	145.273	3705.16	13970.1	3036.3 
2  	104.779	3709.37	13970.1	3049.65
3  	76.1023	3701.21	15958.8	3065.91
4  	76.1023	3706.91	13907.1	3068.51
5  	60.216 	3686.16	13463.8	3037.36
6  	60.216 	3672.15	15342.3	3050.6 
7  	59.1567	3653.99	15081.3	3053.34
8  	59.1567	3640.87	15070.7	3040.54
9  	59.1567	3638   	14888.9	3070.36
10 	59.1567	3624.67	14572.6	3035.49
11 	59.1567	3611.79	13654.6	3045.75
12 	59.1567	3607.08	13606.1	3018.51
13 	59.1567	3602.14	13778.2	3003.2 
14 	59.1567	3591.82	15791.3	3042.6 
15 	42.4184	3585.37	15778  	3005.54
16 	20.7475	3609.46	16084  	3063.95
17 	20.7475	3592.8 	15814.4	2999.18
18 	20.7475	3581.89	14850.9	3002.5 
19 	20.7475	3566.06	14821  	2978.7 
20 	20.7475	3552.05	14230.9	2973.46
21 	20.7475	3544.68	14315.5	2946.65
22 	20.7475	3525.69	14045.3	2942.77
23 	-0.12665	3520.7 	13502.4	2938.85
24 	-20.4367	3510.1 	13720.4	2954.14
25 	-20.4367	3489.8 	15661.2	2933.42
26 	-20.4367	3484.82	14971  	2894.95
27 	-48.0579	3476.38	13451.8	2780.32
28 	-65.411 	3457.35	12839.8	2738.99
29 	-99.0443	3449.47	12703.3	2741.93
30 	-99.0443	3455.16	14073.1	2773.55
31 	-99.0443	3456.32	13700.4	2796.76
32 	-99.0443	3450.23	13428.4	2800.28
33 	-99.0443	3431.62	13404.7	2818.87
34 	-107.424	3419.91	13507.8	2769.21
35 	-107.424	3405.36	14749.2	2771.98
36 	-107.424	3431.16	16503.1	2890.85
37 	-107.424	3404.01	16463.9	2853.65
38 	-107.424	3388.02	14628.2	2869.83
39 	-107.424	3376.12	13567.2	2818.98
40 	-107.424	3378.11	13564.9	2852.8 
41 	-107.424	3380.16	13723.3	2875.12
42 	-107.424	3368.71	14406.8	2919.04
43 	-107.424	3352.47	14401.9	2917.08
44 	-123.473	3341.71	13795.7	2882.63
45 	-123.473	3319.21	13861.3	2830.62
46 	-123.473	3322.11	13450.9	2766.07
47 	-123.473	3333.7 	13088.5	2763.92
48 	-123.473	3303.78	13117.7	2721.79
49 	-123.473	3285.71	13117.7	2737.08
50 	-123.473	3281.3 	13117.7	2742.62
51 	-132.996	3272.15	13117.7	2778.77
52 	-132.996	3254.68	12656.4	2721.26
53 	-132.996	3259.34	12508.6	2723.35
54 	-132.996	3249.93	13813.2	2692.85
55 	-134.218	3252.6 	13524.6	2696.36
56 	-134.218	3238.18	13189.4	2710.58
57 	-134.218	3228.46	13234.3	2653.45
58 	-134.218	3217.78	12885.4	2650.51
59 	-134.218	3197.03	13899.2	2632.55
60 	-150.288	3177.69	13263.3	2611.65
61 	-206.339	3156.96	12579.5	2578.18
62 	-206.339	3145.55	12389.1	2572.21
63 	-206.339	3136.99	11736.8	2545.7 
64 	-206.339	3128.16	12766.3	2608.84
65 	-206.339	3110.77	12005.7	2602.5 
66 	-206.339	3105.27	11807.8	2615.47
67 	-206.339	3106.24	11789.5	2621.62
68 	-206.339	3108.73	15262.9	2712.23
69 	-206.339	3088.61	13874.9	2662.85
70 	-206.339	3074.63	13699.5	2634.65
71 	-206.339	3062.98	13668.8	2616.47
72 	-206.339	3069.06	13430.5	2618.12
73 	-223.287	3056   	13391.9	2600.75
74 	-223.287	3047.8 	12569.4	2626.4 
75 	-233.6  	3054.21	13288.4	2663.12
76 	-233.6  	3048.95	13288.4	2692.06
77 	-233.6  	3037.91	13288.4	2661.19
78 	-233.6  	3023.84	13283.8	2619.46
79 	-233.6  	3002.06	13106.1	2602.13
80 	-233.6  	3008.23	13106.1	2595.47
81 	-233.6  	3004.44	12495.2	2589.57
82 	-233.6  	3005.84	12483.7	2594.22
83 	-233.6  	2998.87	15662.1	2583.58
84 	-233.6  	3002.15	14723.4	2623.24
85 	-233.6  	2993.78	13090  	2549.37
86 	-233.6  	2994.44	16990.4	2581.38
87 	-233.6  	2987.2 	13415.3	2581.33
88 	-233.6  	2972.79	13228.1	2559.67
89 	-233.6  	2963.1 	13297.2	2548.68
90 	-236.107	2949.06	13199.6	2528.04
91 	-243.861	2941.4 	12152.5	2532.35
92 	-264.844	2913.08	12183.5	2533.6 
93 	-264.844	2901.04	12123.7	2529.52
94 	-264.844	2909.9 	14731.9	2550.43
95 	-264.844	2904.72	11883.1	2502.28
96 	-264.844	2893.99	11901.4	2488.71
97 	-264.844	2872.63	12044.6	2493.42
98 	-264.844	2886.04	11952.9	2506.93
99 	-264.844	2876.72	13062.8	2553.13
100	-264.844	2878.24	12499.2	2534.66
101	-264.844	2890.12	12442.3	2533.11
102	-264.844	2880.96	12442.3	2513.8 
103	-264.844	2891.64	15206.9	2594.21
104	-264.844	2876.24	13348.4	2580.25
105	-264.844	2882   	18110.3	2603.19
106	-264.844	2861.2 	13269.4	2550.83
107	-264.844	2851.06	12543.5	2510.44
108	-264.844	2848.69	12035.4	2537.23
109	-264.844	2846.55	13236.5	2545.36
110	-264.844	2852.9 	13236.5	2522.6 
111	-264.844	2859.7 	14643.1	2606.86
112	-264.844	2848.57	15719.4	2626.46
113	-268.179	2840.54	14548.5	2681.42
114	-268.179	2835.96	14198.6	2639.02
115	-268.179	2826.93	13691.3	2591.4 
116	-268.179	2828.39	13705.7	2547.93
117	-268.179	2817.91	12703.1	2531.87
118	-268.179	2821.6 	12756.8	2547.32
119	-268.179	2801.97	12802.7	2507.97
120	-268.179	2791.59	12802  	2504.08
121	-284.857	2778.46	13467.7	2483.05
122	-284.857	2780.15	13466  	2496.66
123	-284.857	2768.77	13526.1	2495.09
124	-284.857	2772.43	13207.7	2533.69
125	-284.857	2754.77	13207.7	2510.1 
126	-284.857	2756.1 	13343.7	2469.72
127	-284.857	2765.04	14130.4	2501.5 
128	-284.857	2747.81	13881.4	2495.05
129	-284.857	2745.18	13506.7	2460.9 
130	-284.857	2732.52	13470.3	2430.45
131	-284.857	2725.21	13010.5	2403.29
132	-284.857	2724.8 	12422  	2383.11
133	-284.857	2723.6 	12413.9	2374.13
134	-284.857	2719.09	12366.7	2356.15
135	-284.857	2701.95	11963  	2351.2 
136	-284.857	2693.55	11865.6	2331.57
137	-284.857	2682.7 	11811.9	2339.95
138	-284.857	2677.83	11806.6	2308.83
139	-284.857	2672.53	11447.3	2297.27
140	-284.857	2684.45	11382  	2279.58
141	-284.857	2667.7 	11904.5	2288.47
142	-284.857	2655.05	11779.4	2286.68
143	-284.857	2638.94	11582.3	2271.9 
144	-284.857	2630.58	11303.7	2252.22
145	-284.857	2637.71	13288.1	2268.73
146	-284.857	2627.85	11454.7	2232.97
147	-284.857	2623.93	11454.7	2268.2 
148	-284.857	2621.28	11431.6	2249.28
149	-284.857	2615.71	11458.1	2253.03
150	-284.857	2608.58	12186.3	2258.61
151	-284.857	2592.06	12161.7	2264.94
152	-284.857	2587.15	11660.3	2204.83
153	-284.857	2578.4 	12067.5	2212.27
154	-284.857	2567.74	11652  	2179.65
155	-284.857	2563.49	11476  	2159.91
156	-284.857	2550.86	12809.8	2154.86
157	-284.857	2551.26	13492.6	2180.69
158	-284.857	2533.44	12758.2	2181.91
159	-284.857	2527.2 	12159.3	2135.93
160	-284.857	2530.81	11562.6	2146.53
161	-284.857	2525.04	11562.6	2158.04
162	-284.857	2528.54	11502.5	2182.88
163	-284.857	2529.39	16449  	2216.87
164	-284.857	2511.93	11889.1	2119.99
165	-284.857	2492.71	11391.1	2074.98
166	-284.857	2489.98	11368.9	2072.51
167	-284.857	2490.79	11114.6	2094.02
168	-284.857	2485.9 	11114.6	2096.64
169	-284.857	2481.11	10802.4	2105.3 
170	-284.857	2477.75	10634.5	2091.27
171	-284.857	2472.84	10463  	2097   
172	-284.857	2485.55	10415.9	2103.07
173	-284.857	2481.1 	10387.2	2131.44
174	-284.857	2472.32	10141.2	2082.21
175	-284.857	2473.16	10216.6	2084.23
176	-284.857	2488.2 	11705.2	2098.08
177	-284.857	2484.87	12457.2	2110.72
178	-284.857	2494.03	12430.8	2137.13
179	-284.857	2485.33	10517.2	2095.03
180	-284.857	2481.68	10511.1	2079.9 
181	-284.857	2484.15	10940.8	2122.08
182	-284.857	2476.75	10755.1	2100.38
183	-284.857	2465.89	11714.6	2072.89
184	-284.857	2447.52	11529.6	2046.74
185	-284.857	2435.48	13238  	2047.61
186	-284.857	2430.87	12436.3	2067.29
187	-292.813	2416.38	12440.4	2054.98
188	-292.813	2415.44	12370.6	2059.46
189	-292.813	2397.19	11881.7	2071.73
190	-292.813	2383.19	11402.2	2055.77
191	-292.813	2378.02	10661  	2038.27
192	-292.813	2383.69	12638.2	2076.79
193	-294.071	2381.76	11975.9	2095.99
194	-294.071	2372.64	10488.2	2041.45
195	-294.071	2396.13	15371.2	2172.41
196	-294.071	2387.76	13268  	2181.76
197	-294.071	2385.63	13088.8	2134.88
198	-294.071	2374.19	12180  	2074.12
199	-299.209	2364.77	11955  	2021.31
200	-309.977	2363.05	10669.8	2000.29
201	-309.977	2365.86	11088.8	2021.56
202	-309.977	2362.35	10232.8	1973.35
203	-309.977	2348.35	11721.9	1987.24
204	-309.977	2336.6 	11448.9	1989.75
205	-309.977	2341.62	11091.2	2031.14
206	-309.977	2343.68	10304.6	2019.47
207	-309.977	2343.24	10539.8	2015.52
208	-309.977	2344.18	10347.3	2004.04
209	-331.881	2343.17	10365.9	1997.06
210	-331.881	2334.06	10448.8	1996.24
211	-331.881	2321.2 	12095.8	1996.08
212	-331.881	2317.17	11933.9	1992.35
213	-331.881	2314.94	11009.1	1978.36
214	-331.881	2327.56	12014.4	1986.51
215	-331.881	2328.58	10631.6	1965.71
216	-331.881	2320.96	9430.66	1965.79
217	-331.881	2314.53	9352.16	1957.26
218	-331.881	2312.17	9352.16	1926.3 
219	-331.881	2316.92	9474.77	1883.35
220	-331.881	2316.42	10694.2	1881.86
221	-331.881	2306.79	10694.2	1897.1 
222	-331.881	2298.45	8978.35	1899.29
223	-331.881	2291.01	8932.38	1907.88
224	-331.881	2281.3 	8932.38	1884.3 
225	-331.881	2271.99	11353.3	1887.57
226	-331.881	2259.96	10048.1	1815.78
227	-331.881	2253.74	9250.5 	1811.58
228	-331.881	2261.54	9250.5 	1851.58
229	-331.881	2260.37	9262.72	1862.42
230	-331.881	2253.83	9500.76	1878.71
231	-331.881	2255.27	9588.93	1881.36
232	-331.881	2256.6 	10300.2	1911.98
233	-331.881	2255.63	10222.3	1887.77
234	-331.881	2249.31	10207.5	1889.88
235	-331.881	2246.75	9746.49	1857.01
236	-331.881	2239.98	9522   	1851.42
237	-331.881	2229.38	9386.26	1817.32
238	-331.881	2216.29	9271.67	1792.86
239	-331.881	2219.6 	9254.27	1807.22
240	-331.881	2217.34	8704.27	1804.98
241	-331.881	2215.03	8641.09	1808.27
242	-331.881	2208.64	9875.75	1842.35
243	-331.881	2203.98	9897.47	1838.61
244	-331.881	2201.72	10080.1	1841.72
245	-331.881	2191.88	9139.51	1831.35
246	-331.881	2197.06	8768.7 	1837.57
247	-331.881	2187.1 	8734.34	1803   
248	-331.881	2179.44	10749.7	1824.52
249	-331.881	2164.29	10592.8	1825.43
250	-331.881	2159.07	9934.93	1796.25
251	-331.881	2145.66	10289.2	1780.64
252	-331.881	2142.46	10037.9	1759.75
253	-331.881	2138.15	9611.89	1698.3 
254	-331.881	2131.75	9353.61	1693.18
255	-338.016	2134.55	8907.51	1698.35
256	-338.016	2130.7 	8892.15	1712.44
257	-342.522	2121.9 	9279.95	1694.09
258	-342.522	2123.21	9167.6 	1692.38
259	-342.522	2123.55	10166.2	1724.98
260	-342.522	2121.38	8130.74	1684.88
261	-342.522	2126.7 	9644.57	1725.96
262	-342.522	2116.48	10606.2	1719.17
263	-342.522	2110.51	10181.3	1704.18
264	-342.522	2109.84	10280.9	1716.18
265	-342.522	2108.73	10280.9	1693.29
266	-342.522	2103.3 	10961.7	1698.83
267	-342.522	2108.37	10790.1	1710.74
268	-342.522	2109.8 	10024.1	1715.94
269	-342.522	2099.03	9503.04	1704.29
270	-342.522	2098.97	8826.7 	1693.34
271	-342.522	2093.71	8529.09	1658.89
272	-342.522	2081.59	8524.63	1650.01
273	-342.522	2074.87	8509.15	1626.77
274	-342.522	2079.19	8591.98	1645.32
275	-342.522	2082.42	8386.74	1679.35
276	-342.522	2084.69	8073.97	1664.28
277	-349.211	2076.58	8470.63	1651.36
278	-349.211	2077.81	8609.13	1653.76
279	-349.211	2081.1 	8432.33	1616.3 
280	-349.211	2070.6 	8718.59	1591.72
281	-349.211	2076.94	9734.49	1616.74
282	-349.211	2067.06	9301.7 	1616.27
283	-364.574	2066.38	10108.9	1649.16
284	-364.574	2067.15	10108.9	1677.61
285	-364.574	2060.17	9526.86	1640.04
286	-364.574	2060.01	8682.16	1654.26
287	-364.574	2057.69	8395.39	1628.44
288	-364.574	2051.2 	8958.97	1632.69
289	-364.574	2041.89	9980.98	1603.07
290	-364.574	2042.84	9980.98	1633.9 
291	-364.574	2035.5 	8332.75	1600.56
292	-364.574	2034.82	8155.14	1595.49
293	-364.574	2032.47	8281.15	1607.34
294	-364.574	2049.67	8263.9 	1605.39
295	-364.574	2043.58	8064.46	1559.34
296	-364.574	2034.46	7467.56	1577.26
297	-364.574	2037.39	7828.91	1585.65
298	-364.574	2027.84	7724.91	1575.7 
299	-364.574	2033.35	7554.69	1565.6 
300	-364.574	2041.43	7554.69	1581.54
301	-364.574	2038.96	8098.62	1593.9 
302	-364.574	2050.01	10826.9	1620.88
303	-364.574	2039.79	8732.99	1594.15
304	-364.574	2046.11	8818.71	1610.3 
305	-364.574	2036.55	8298.75	1572.63
306	-364.574	2031.58	8539.07	1575.53
307	-364.574	2023.06	8541.04	1615.48
308	-364.574	2023.57	8504.47	1630.86
309	-364.574	2015.81	9478.82	1658.34
310	-364.574	2017.04	8289.67	1637.59
311	-364.574	2025.83	8394.07	1651.01
312	-364.574	2022.53	8891.08	1649.91
313	-364.574	2015.68	8841.63	1608.98
314	-364.574	2018.38	8841.63	1577.25
315	-364.574	2012.61	8359.92	1563.84
