/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max    	std   
0  	199.833	389.11	534.999	52.018
1  	199.833	388.76	532.238	52.6552
2  	199.833	388.326	523.971	51.3655
3  	199.833	387.969	520.245	51.3123
4  	199.833	387.632	520.245	51.7125
5  	199.833	387.168	518.316	52.7432
6  	192.056	386.84 	535.259	53.3143
7  	192.056	386.486	530.337	52.2951
8  	192.056	386.137	524.605	52.2789
9  	192.056	385.69 	518.466	52.0619
10 	192.056	385.321	509.964	52.196 
11 	192.056	384.944	515.588	52.0434
12 	192.056	384.573	502.271	51.5587
13 	189.793	384.159	526.521	52.4366
14 	189.793	383.76 	520.464	51.7723
15 	189.793	383.458	520.464	51.4517
16 	189.793	382.949	521.358	51.8003
17 	189.793	382.513	522.179	52.4201
18 	189.793	381.999	529.117	51.6904
19 	189.793	381.631	517.125	52.3404
20 	189.793	381.259	511.266	52.7971
21 	189.793	380.834	509.1  	52.9376
22 	189.793	380.528	515.453	53.2335
23 	189.793	380.187	518.21 	52.946 
24 	189.793	379.829	519.909	51.465 
25 	187.41 	379.501	520.272	52.1978
26 	184.896	378.987	527.854	51.7573
27 	183.755	378.583	506.378	52.767 
28 	183.755	378.201	513.797	53.6378
29 	183.755	377.747	520.289	53.4967
30 	183.755	377.258	517.531	53.2124
31 	183.755	376.85 	497.599	52.4703
32 	183.755	376.445	509.047	52.9378
33 	177.002	376.104	504.407	52.9993
34 	177.002	375.73 	500.974	51.7981
35 	177.002	375.427	499.349	52.8069
36 	171.263	375.012	500.701	53.0954
37 	171.263	374.481	505.149	53.0469
38 	170.711	374.004	504.093	53.2158
39 	170.711	373.542	500.098	53.7579
40 	170.711	373.241	496.693	54.1334
41 	170.711	372.944	502.408	54.6737
42 	170.711	372.407	496.41 	52.7104
43 	170.711	371.977	510.801	52.3334
44 	170.711	371.661	505.975	52.047 
45 	170.711	371.294	507.976	51.2028
46 	170.711	370.894	505.975	51.6521
47 	169.217	370.426	501.755	52.3211
48 	169.217	369.956	501.755	52.7111
49 	169.217	369.54 	496.456	51.8765
50 	169.217	369.067	504.227	52.3812
51 	169.217	368.616	489.529	52.5451
52 	169.217	368.183	498.71 	53.1951
53 	169.217	367.681	494.918	53.5014
54 	169.217	367.3  	505.029	53.6695
55 	169.217	366.853	503.978	53.2118
56 	169.217	366.426	500.394	53.5168
57 	169.217	366.024	490.664	53.4778
58 	166.355	365.568	487.142	53.4371
59 	166.355	365.359	490.67 	53.6665
60 	166.355	364.933	492.128	52.9444
61 	166.355	364.545	486.537	52.789 
62 	166.355	364.116	491.057	52.9582
63 	166.355	363.642	500.216	52.2536
64 	160.521	363.2  	506.13 	52.1275
65 	160.521	362.696	488.641	51.7038
66 	160.521	362.236	491.673	53.6477
67 	160.521	361.875	495.34 	53.4119
68 	160.521	361.49 	500.353	53.8318
69 	160.521	360.97 	506.177	55.6181
70 	160.521	360.498	504.704	55.8801
71 	160.521	360.057	504.114	55.6186
72 	160.521	359.667	494.616	56.5146
73 	160.521	359.221	518.547	54.5385
74 	159.872	358.813	500.268	55.5869
75 	159.872	358.377	500.615	54.6835
76 	159.67 	357.954	495.222	54.7617
77 	159.67 	357.625	499.96 	54.8921
78 	159.67 	357.223	490.306	56.0464
79 	156.679	356.855	493.141	55.0886
80 	138.809	356.437	493.226	55.4359
81 	138.809	355.977	503.184	56.2318
82 	138.809	355.587	491.421	55.8941
83 	138.809	355.243	492.064	55.83  
84 	138.809	354.708	505.946	56.0647
85 	138.809	354.326	493.084	56.6461
86 	138.809	353.908	482.017	56.0989
87 	138.809	353.412	495.654	55.3596
88 	138.809	352.987	489.273	55.7884
89 	138.809	352.596	489.588	55.803 
90 	138.809	352.009	492.757	56.0606
91 	137.555	351.543	515.44 	55.8951
92 	137.555	351.187	489.259	55.1373
93 	135.082	350.683	489.259	53.4722
94 	135.082	350.264	481.453	54.2722
95 	135.082	349.915	482.459	54.7424
96 	134.688	349.437	493.026	55.7621
97 	134.067	348.955	485.032	55.0724
98 	124.411	348.672	491.125	55.6541
99 	124.411	348.102	487.879	54.8706
100	124.411	347.673	476.424	55.9288
101	120.529	347.232	470.352	56.5179
102	120.529	346.803	477.502	56.1791
103	120.529	346.258	476.707	55.3411
104	120.529	345.915	478.746	54.5989
105	120.529	345.442	510.11 	55.8322
106	119.895	345.025	484.648	55.3166
107	119.895	344.537	487.132	54.2552
108	119.895	344.164	480.038	54.018 
109	119.895	343.709	495.076	54.2655
110	119.895	343.207	514.504	54.2594
111	119.895	342.75 	514.504	55.551 
112	119.895	342.375	481.937	56.2772
113	116.983	342.018	492.153	56.5286
114	116.983	341.618	478.423	56.785 
115	116.983	341.306	492.363	57.8306
116	116.983	340.837	490.784	56.1718
117	105.989	340.475	485.888	57.4751
118	105.989	339.899	493.685	57.8964
119	105.989	339.487	477.783	57.1576
120	105.989	339.09 	485.696	56.8576
121	105.989	338.703	487.764	57.9019
122	105.989	338.295	493.642	58.6815
123	105.989	337.94 	491.865	58.8196
124	105.989	337.381	491.865	58.1598
125	105.989	336.97 	476.807	55.9133
126	104.924	336.653	492.027	57.1322
127	104.924	336.289	470.92 	55.3113
128	104.924	335.836	472.63 	55.2039
129	104.924	335.442	478.305	55.2636
130	104.924	334.931	467.226	55.3135
131	104.924	334.378	477.104	56.4122
132	92.0592	333.93 	475.487	57.6943
133	92.0592	333.52 	494.379	57.308 
134	90.2489	332.926	477.145	57.9909
135	88.8898	332.555	477.145	58.1403
136	88.8898	332.164	474.013	58.8586
137	88.8898	331.653	487.632	58.4778
138	88.8898	331.094	495.957	58.1866
139	88.8898	330.434	481.183	58.2905
140	86.9677	329.973	484.655	58.8359
141	86.9677	329.415	471.756	58.2599
142	86.9677	328.983	476.874	57.0127
143	86.9677	328.438	464.182	56.9988
144	86.9677	327.835	466.219	56.2529
145	86.9677	327.436	466.219	55.3376
146	86.9677	327.01 	466.219	56.1307
147	85.0765	326.51 	486.372	55.7382
148	85.0765	326.083	484.073	56.5611
149	80.7602	325.508	463.726	57.205 
150	80.7602	324.917	470.545	56.036 
151	80.7602	324.467	482.094	56.2696
152	80.7602	323.847	476.29 	56.7705
153	80.7602	323.403	471.475	57.2235
154	80.7602	322.945	482.621	57.9004
155	73.3933	322.531	472.935	57.5105
156	73.3933	322.076	471.503	57.1531
157	73.3933	321.5  	477.576	58.2421
158	73.3933	320.944	472.874	58.4975
159	73.3933	320.527	484.63 	59.1272
160	73.3933	319.982	476.537	59.4667
161	73.3933	319.614	472.792	60.2775
162	73.3933	319.188	472.792	61.5121
163	73.3933	318.706	476.469	62.2552
164	73.3933	318.172	481.634	61.4382
165	73.3933	317.675	479.293	61.9337
166	73.3933	317.236	472.102	62.1131
167	73.3933	316.768	472.221	61.2573
168	73.3933	316.286	467.314	62.5544
169	73.3933	315.804	482.909	61.1233
170	73.3933	315.209	463.65 	60.3204
171	72.3153	314.746	463.65 	58.8701
172	72.3153	314.193	464.44 	58.0767
173	72.3153	313.729	452.152	57.5151
174	72.3153	313.22 	457.157	56.546 
175	72.3153	312.637	460.729	56.3376
176	72.3153	312.117	459.178	55.3775
177	72.3153	311.69 	459.178	56.9082
178	72.3153	311.085	487.072	56.4683
179	72.3153	310.524	472.789	56.2348
180	70.6001	309.998	467.276	57.3968
181	70.6001	309.555	464.904	56.8838
182	70.6001	309.142	455.037	56.2855
183	70.6001	308.617	455.037	56.6714
184	70.6001	308.14 	455.037	57.5143
185	70.6001	307.766	450.298	57.4849
186	70.6001	307.385	452.84 	58.713 
187	70.6001	306.793	455.719	58.081 
188	70.6001	306.575	442.466	58.5484
189	70.6001	306.076	450.221	58.2109
190	70.6001	305.587	448.44 	57.6888
191	70.6001	305.143	440.942	58.054 
192	70.6001	304.673	454.394	58.7609
193	70.6001	304.153	466.558	59.0661
194	70.6001	303.838	463.678	58.9416
195	70.6001	303.393	464.23 	59.4384
196	70.6001	302.921	470.015	57.8038
197	70.6001	302.382	469.383	57.5088
198	70.6001	301.918	445.818	56.8007
199	70.6001	301.413	446.911	55.849 
200	70.6001	300.935	442.889	56.5079
201	70.6001	300.296	448.859	57.5991
202	70.6001	299.958	450.561	56.9056
203	70.6001	299.397	446.51 	56.5215
204	70.6001	299.023	446.51 	56.5052
205	70.6001	298.478	454.587	56.9886
206	70.6001	298.036	450.09 	57.5067
207	70.6001	297.698	450.924	58.6303
208	70.6001	297.208	450.924	59.9202
209	70.6001	296.776	461.019	59.433 
210	70.6001	296.28 	446.896	59.0023
211	70.6001	295.775	474.045	60.5635
212	70.6001	295.309	474.045	58.6609
213	70.6001	294.823	462.044	59.4349
214	70.6001	294.426	470.47 	59.807 
215	70.6001	293.879	458.69 	58.7616
216	70.6001	293.466	451.989	57.7623
217	70.6001	293.111	446.221	55.5987
218	70.6001	292.753	446.092	56.722 
219	70.6001	292.31 	449.658	57.9907
220	70.6001	291.806	452.324	58.3   
221	70.6001	291.421	468.623	59.9715
222	70.6001	290.971	454.155	58.668 
223	70.6001	290.399	446.827	59.1898
224	70.6001	289.944	445.704	59.4529
225	70.6001	289.425	447.175	59.4091
226	70.6001	289.028	438.534	59.4069
227	70.6001	288.498	454.194	60.2021
228	70.6001	288.047	450.667	59.4943
229	70.6001	287.501	468.16 	59.3602
230	70.6001	287.022	460.391	60.9762
231	70.6001	286.639	442.423	59.7403
232	69.4601	286.246	436.326	60.5694
233	69.4601	285.789	448.31 	60.3392
234	64.2757	285.298	441.755	60.3166
235	64.2757	284.869	442.085	60.3171
236	64.2757	284.213	442.105	59.8138
237	64.2757	283.67 	452.088	59.2719
238	64.2757	283.161	442.105	57.8003
239	64.2757	282.663	458.662	57.4007
240	64.2757	282.157	432.748	57.2286
241	64.2757	281.85 	428.814	57.8699
242	64.2757	281.486	426.472	57.3456
243	64.2757	281.093	432.803	57.7003
244	64.2757	280.74 	455.639	57.327 
245	64.2757	280.395	436.011	56.6358
246	64.2757	279.988	429.548	56.0463
247	64.2757	279.444	434.783	55.6485
248	64.2757	278.967	434.783	56.1589
249	64.2757	278.511	429.917	57.0604
250	64.2757	278.055	451.452	55.8424
