/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std 
0  	243.099	388.929	530.731	48.7
1  	227.456	388.748	519.594	48.6652
2  	223.549	388.282	528.852	49.503 
3  	223.549	387.921	513.782	49.7098
4  	223.549	387.565	508.331	50.1461
5  	223.549	387.201	513.159	50.5919
6  	217.009	386.693	524.509	50.5256
7  	217.009	386.228	545.078	51.0496
8  	217.009	385.856	528.527	51.3907
9  	217.009	385.453	512.257	50.7556
10 	217.009	385.285	512.257	51.2788
11 	217.009	384.914	525.966	49.9877
12 	214.392	384.441	520.784	52.1266
13 	204.018	384.254	520.118	52.1891
14 	204.018	383.81 	525.748	51.6843
15 	204.018	383.394	514.222	51.0037
16 	204.018	382.963	511.814	51.7333
17 	174.033	382.491	510.336	50.7531
18 	174.033	382.125	513.343	51.2867
19 	173.887	381.567	510.007	51.314 
20 	173.887	381.203	515.95 	52.1388
21 	172.507	380.772	509.16 	52.8158
22 	163.36 	380.374	506.848	52.8359
23 	163.36 	379.892	520.852	52.3451
24 	163.36 	379.36 	515.938	51.5891
25 	163.36 	378.881	528.519	51.6465
26 	163.36 	378.509	533.007	51.9112
27 	160.645	378.027	506.529	51.3114
28 	160.645	377.617	500.618	51.2558
29 	160.645	377.204	498.894	50.8222
30 	160.645	376.777	493.156	50.4412
31 	160.645	376.452	492.131	50.6785
32 	160.645	376.011	496.084	51.1207
33 	156.719	375.409	514.925	51.5465
34 	156.719	374.979	504.438	52.4821
35 	156.719	374.655	506.388	51.1448
36 	156.719	374.217	504.438	50.8801
37 	156.719	373.799	514.047	52.4236
38 	156.719	373.425	500.672	52.712 
39 	156.719	372.951	504.141	52.8223
40 	156.719	372.476	501.141	52.7699
41 	147.555	372.01 	506.462	52.9716
42 	147.555	371.534	507.347	51.707 
43 	147.555	371.07 	526.593	51.9939
44 	147.555	370.608	501.868	52.1197
45 	147.555	370.111	492.853	51.3567
46 	147.555	369.677	506.096	51.876 
47 	147.555	369.277	496.665	52.6987
48 	147.555	368.706	501.053	54.36  
49 	147.555	368.169	510.822	55.3055
50 	147.555	367.554	510.822	55.9555
51 	147.555	367.071	524.356	56.4649
52 	147.555	366.739	524.043	56.1904
53 	147.555	366.177	524.043	56.1708
54 	147.555	365.751	507.088	55.3189
55 	147.555	365.376	499.824	54.1322
56 	147.555	364.819	499.824	54.0589
57 	147.555	364.253	505.625	54.0642
58 	147.555	363.76 	503.366	54.4354
59 	147.555	363.391	499.96 	54.4765
60 	147.555	363.056	497.275	53.9807
61 	147.555	362.666	497.275	55.0928
62 	147.555	362.215	494.566	54.174 
63 	147.555	361.86 	496.751	53.6442
64 	147.555	361.32 	494.23 	53.1021
65 	147.555	360.935	501.998	54.0082
66 	147.555	360.411	499.759	55.1575
