/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg       	max        	std   
0  	316788	1.2982e+06	2.81522e+06	425709
1  	316788	1.30047e+06	2.77266e+06	413018
2  	297289	1.29585e+06	2.66182e+06	409596
3  	297289	1.29174e+06	2.78482e+06	413594
4  	297289	1.28929e+06	2.78485e+06	420646
5  	297289	1.28989e+06	2.78485e+06	420960
6  	297289	1.29472e+06	2.59126e+06	417965
7  	297289	1.29031e+06	2.4355e+06 	410681
8  	297289	1.28431e+06	2.44457e+06	410545
9  	297289	1.28649e+06	2.60371e+06	416320
10 	297289	1.27554e+06	2.37791e+06	409075
11 	297289	1.27661e+06	2.24768e+06	414924
12 	284969	1.27321e+06	2.59398e+06	424029
13 	283863	1.27631e+06	2.61056e+06	419190
14 	283863	1.27545e+06	2.5981e+06 	424375
15 	283863	1.2754e+06 	2.65492e+06	423202
16 	283863	1.27459e+06	2.58651e+06	425098
17 	282832	1.27618e+06	2.57538e+06	412180
18 	260389	1.27655e+06	2.51543e+06	416367
19 	260389	1.27112e+06	2.46296e+06	409104
20 	260389	1.26323e+06	2.45756e+06	407650
21 	260389	1.25869e+06	2.58818e+06	407746
22 	260389	1.25878e+06	2.58818e+06	411218
23 	184308	1.25847e+06	2.48935e+06	407189
24 	184308	1.25826e+06	2.9186e+06 	403407
25 	163980	1.25161e+06	2.46182e+06	402153
26 	163980	1.24578e+06	2.43563e+06	398027
27 	149471	1.24847e+06	2.69355e+06	402843
28 	149471	1.24764e+06	2.50203e+06	407212
29 	149471	1.24725e+06	2.51076e+06	403189
30 	149471	1.24912e+06	2.4265e+06 	402159
31 	149471	1.24279e+06	2.59028e+06	409960
32 	149471	1.2442e+06 	2.59085e+06	415671
33 	149471	1.23868e+06	2.73028e+06	421025
34 	149471	1.23486e+06	2.66342e+06	424040
35 	149471	1.23123e+06	2.54139e+06	418976
36 	149471	1.2301e+06 	2.54139e+06	424753
37 	149471	1.22903e+06	2.54139e+06	419455
38 	149471	1.23002e+06	2.44632e+06	421512
39 	149471	1.23111e+06	2.44685e+06	417893
40 	149471	1.22533e+06	2.41377e+06	419897
41 	114122	1.22164e+06	2.62532e+06	426030
42 	114122	1.226e+06  	2.50316e+06	422901
43 	113795	1.22184e+06	2.54666e+06	422017
44 	82906.9	1.2197e+06 	2.61315e+06	424066
45 	82906.9	1.22105e+06	2.76774e+06	426955
46 	82906.9	1.22315e+06	2.61632e+06	429955
47 	82906.9	1.21624e+06	2.44373e+06	423623
48 	82906.9	1.20927e+06	2.46456e+06	416183
49 	82906.9	1.2146e+06 	2.3651e+06 	420734
50 	82906.9	1.21227e+06	2.42967e+06	414507
51 	82906.9	1.20837e+06	2.49189e+06	402582
52 	82906.9	1.20422e+06	2.22141e+06	400977
53 	82906.9	1.20226e+06	2.53206e+06	410759
54 	71492.7	1.20492e+06	2.43552e+06	413351
55 	71492.7	1.20331e+06	2.4985e+06 	415515
56 	71492.7	1.20971e+06	2.51196e+06	423560
57 	71492.7	1.20939e+06	2.32915e+06	422112
58 	71492.7	1.19684e+06	2.29323e+06	415853
59 	71492.7	1.19799e+06	2.29323e+06	409124
60 	71492.7	1.19749e+06	2.34401e+06	415020
61 	71492.7	1.19234e+06	2.56189e+06	414656
62 	71492.7	1.19159e+06	2.56189e+06	416793
63 	71492.7	1.18603e+06	2.37719e+06	416416
64 	71492.7	1.18575e+06	2.46031e+06	431029
65 	71492.7	1.182e+06  	2.75379e+06	425013
66 	71492.7	1.18564e+06	2.91571e+06	426689
67 	71492.7	1.18501e+06	2.81524e+06	426691
68 	71492.7	1.1813e+06 	2.56809e+06	424435
69 	70362.3	1.17864e+06	2.56809e+06	423922
70 	70362.3	1.17933e+06	2.50347e+06	430640
71 	70362.3	1.17696e+06	2.57081e+06	427587
72 	70362.3	1.17607e+06	2.4895e+06 	415689
73 	70362.3	1.17483e+06	2.47896e+06	417871
74 	70362.3	1.17351e+06	2.62012e+06	423800
75 	70362.3	1.16658e+06	2.60517e+06	418792
76 	70362.3	1.15916e+06	2.66789e+06	417628
77 	70362.3	1.16059e+06	2.76936e+06	416539
78 	70362.3	1.15569e+06	2.46874e+06	408626
79 	70362.3	1.15578e+06	2.42684e+06	411000
80 	70362.3	1.14727e+06	2.37921e+06	405760
81 	70362.3	1.15222e+06	2.39934e+06	414263
82 	70362.3	1.14563e+06	2.36385e+06	402083
83 	70362.3	1.14402e+06	2.48342e+06	403290
84 	70362.3	1.14138e+06	2.58517e+06	397524
85 	65291.5	1.14139e+06	2.43118e+06	401646
86 	65291.5	1.14333e+06	2.59958e+06	408415
87 	65291.5	1.14222e+06	2.54769e+06	403115
88 	65291.5	1.14493e+06	2.4955e+06 	414759
89 	65291.5	1.14237e+06	2.4955e+06 	411660
90 	65291.5	1.13698e+06	2.50012e+06	418594
91 	65291.5	1.13796e+06	2.43625e+06	413217
92 	65291.5	1.13506e+06	2.39559e+06	415719
93 	65291.5	1.12767e+06	2.32925e+06	414249
94 	65291.5	1.12743e+06	2.40579e+06	410166
95 	62876.1	1.12514e+06	2.38799e+06	402097
96 	62876.1	1.12454e+06	2.38799e+06	406614
97 	62876.1	1.12545e+06	2.44778e+06	408947
98 	62876.1	1.117e+06  	2.52134e+06	406693
99 	62876.1	1.1165e+06 	2.52134e+06	408024
100	62876.1	1.11575e+06	2.45692e+06	409479
101	62876.1	1.11972e+06	2.32137e+06	409479
102	62876.1	1.11489e+06	2.64881e+06	414178
103	62876.1	1.10945e+06	2.51535e+06	410370
104	62876.1	1.11376e+06	2.41825e+06	397974
105	62876.1	1.11259e+06	2.40439e+06	397850
106	62876.1	1.11332e+06	2.60171e+06	402461
107	62876.1	1.10658e+06	2.31169e+06	398455
108	62876.1	1.10626e+06	2.30916e+06	395851
109	62876.1	1.11107e+06	2.41922e+06	398280
110	62876.1	1.11213e+06	2.25599e+06	396396
111	62876.1	1.11582e+06	2.33681e+06	401977
112	62876.1	1.10844e+06	2.44856e+06	410733
113	62876.1	1.10413e+06	2.44847e+06	411568
114	62876.1	1.10855e+06	2.39773e+06	413996
115	62876.1	1.10201e+06	2.26293e+06	414586
116	62876.1	1.09381e+06	2.44242e+06	408273
117	62876.1	1.09665e+06	2.41936e+06	403859
118	62876.1	1.09247e+06	2.44795e+06	407214
119	62876.1	1.09192e+06	2.55426e+06	408351
120	62876.1	1.08772e+06	2.45592e+06	412685
121	62876.1	1.09243e+06	2.53672e+06	416907
122	62876.1	1.08239e+06	2.40906e+06	409733
123	62876.1	1.07801e+06	2.39927e+06	413851
124	62876.1	1.08222e+06	2.52832e+06	415090
125	62876.1	1.07467e+06	2.16641e+06	399496
126	62876.1	1.06618e+06	2.31011e+06	404665
127	62876.1	1.05972e+06	2.33498e+06	397324
128	62876.1	1.05943e+06	2.34181e+06	397843
129	62876.1	1.0592e+06 	2.29371e+06	389262
130	62876.1	1.0528e+06 	2.23764e+06	395701
131	62445.5	1.05266e+06	2.30607e+06	403270
132	62445.5	1.05578e+06	2.34538e+06	405997
133	62445.5	1.05416e+06	2.52582e+06	410039
134	62445.5	1.05552e+06	2.21167e+06	417543
135	62445.5	1.05316e+06	2.39295e+06	413499
136	62445.5	1.04575e+06	2.35508e+06	397115
137	62445.5	1.04311e+06	2.17643e+06	395508
138	62445.5	1.04583e+06	2.37643e+06	398887
139	62445.5	1.04393e+06	2.42788e+06	396548
140	62445.5	1.03716e+06	2.36043e+06	380842
141	62445.5	1.03897e+06	2.33809e+06	387915
142	62445.5	1.03693e+06	2.33809e+06	386037
143	62445.5	1.03862e+06	2.11753e+06	388460
144	62445.5	1.03382e+06	2.27155e+06	388384
145	62445.5	1.03055e+06	2.34722e+06	387728
146	62445.5	1.02935e+06	2.17398e+06	380056
147	62445.5	1.02383e+06	2.30851e+06	377704
148	62445.5	1.02866e+06	2.26753e+06	394524
149	62445.5	1.03132e+06	2.36256e+06	395767
150	62445.5	1.03323e+06	2.25857e+06	394028
151	62445.5	1.03168e+06	2.60185e+06	399289
152	62445.5	1.02552e+06	2.31929e+06	385003
153	62445.5	1.01728e+06	2.09086e+06	385179
154	62445.5	1.02047e+06	2.27719e+06	392068
155	62445.5	1.02513e+06	2.27719e+06	395486
156	62445.5	1.02385e+06	2.21332e+06	392362
157	62445.5	1.02581e+06	2.32072e+06	397640
158	62445.5	1.02107e+06	2.10783e+06	389914
159	62445.5	1.02423e+06	2.44369e+06	388329
