/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max        	std   
0  	301130	1.31941e+06	2.80814e+06	429541
1  	301130	1.31369e+06	2.69899e+06	420883
2  	301130	1.3096e+06 	2.72836e+06	420786
3  	223631	1.31281e+06	2.53862e+06	420608
4  	223631	1.31411e+06	2.56216e+06	420221
5  	223631	1.31062e+06	2.71384e+06	423700
6  	80677.8	1.30491e+06	2.56216e+06	430963
7  	80677.8	1.30619e+06	2.72018e+06	428079
8  	80677.8	1.29543e+06	2.72018e+06	433339
9  	80677.8	1.29775e+06	2.65912e+06	427336
10 	80677.8	1.29645e+06	2.57035e+06	429495
11 	80677.8	1.29271e+06	2.45112e+06	421982
12 	80677.8	1.28888e+06	2.65337e+06	421749
13 	80677.8	1.28667e+06	2.74259e+06	421920
14 	80677.8	1.28455e+06	2.74388e+06	423867
15 	80677.8	1.2808e+06 	2.76048e+06	418069
16 	80677.8	1.27505e+06	2.49136e+06	406274
17 	80677.8	1.26829e+06	2.46278e+06	411750
18 	80677.8	1.26834e+06	2.70133e+06	417500
19 	80677.8	1.27076e+06	2.64019e+06	410470
20 	80677.8	1.26757e+06	2.5083e+06 	421604
21 	80677.8	1.26822e+06	2.5083e+06 	421985
22 	80677.8	1.26491e+06	2.51163e+06	423166
23 	80677.8	1.26473e+06	2.38183e+06	422000
24 	80677.8	1.27028e+06	2.31557e+06	413222
25 	80677.8	1.26815e+06	2.55993e+06	419268
26 	80677.8	1.26225e+06	2.62729e+06	425587
27 	80677.8	1.2577e+06 	2.44923e+06	415409
28 	80677.8	1.25258e+06	2.34581e+06	409883
29 	60219.9	1.25243e+06	2.45468e+06	418071
30 	60219.9	1.24497e+06	2.5116e+06 	418004
31 	60219.9	1.24192e+06	2.48556e+06	419410
32 	60219.9	1.23838e+06	2.55174e+06	416469
