/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max      	std   
0  	286061	1.31767e+06	2.839e+06	436281
1  	286061	1.31826e+06	2.79545e+06	434140
2  	286061	1.32077e+06	2.59682e+06	428887
3  	286061	1.31174e+06	2.55205e+06	419206
4  	286061	1.30756e+06	2.51588e+06	420057
5  	284284	1.30469e+06	2.44845e+06	409583
6  	284284	1.30262e+06	2.61742e+06	411955
7  	284284	1.29737e+06	2.45624e+06	412315
8  	173025	1.29678e+06	2.40884e+06	408415
9  	173025	1.29499e+06	2.48859e+06	413934
10 	173025	1.29125e+06	2.48082e+06	427801
11 	173025	1.29125e+06	2.49753e+06	428859
12 	105559	1.28971e+06	2.34746e+06	417831
13 	70581.8	1.28832e+06	2.44577e+06	422377
14 	70581.8	1.28437e+06	2.44677e+06	413580
15 	70581.8	1.28089e+06	2.44677e+06	419835
16 	40753.8	1.27499e+06	2.38777e+06	413929
17 	40753.8	1.28167e+06	2.61451e+06	419464
18 	40753.8	1.28021e+06	2.50634e+06	422777
19 	40753.8	1.27275e+06	2.47421e+06	420916
20 	40753.8	1.26953e+06	2.59539e+06	427098
21 	40753.8	1.266e+06  	2.5926e+06 	435124
22 	40753.8	1.26351e+06	2.5926e+06 	430065
23 	40753.8	1.26493e+06	2.63547e+06	427053
24 	39722  	1.26032e+06	2.57582e+06	426845
25 	39722  	1.26091e+06	2.56335e+06	425243
26 	39722  	1.26459e+06	2.50308e+06	422012
27 	39722  	1.25976e+06	2.52038e+06	430993
28 	39722  	1.25652e+06	2.53891e+06	420070
29 	39722  	1.25928e+06	2.4841e+06 	418509
30 	39722  	1.25336e+06	2.47604e+06	421457
31 	39722  	1.25597e+06	2.57754e+06	425732
32 	39722  	1.24998e+06	2.40481e+06	426652
33 	39722  	1.24852e+06	2.38714e+06	421856
34 	39722  	1.24816e+06	2.34324e+06	418889
35 	31491.4	1.24545e+06	2.66258e+06	422188
36 	31491.4	1.24577e+06	2.49259e+06	417811
37 	31491.4	1.23975e+06	2.35681e+06	415816
38 	31491.4	1.23755e+06	2.51547e+06	412435
39 	31491.4	1.23976e+06	2.3794e+06 	412761
40 	31491.4	1.24038e+06	2.64212e+06	417034
41 	31491.4	1.23836e+06	2.42804e+06	421429
42 	31491.4	1.22941e+06	2.61095e+06	419954
43 	31491.4	1.22695e+06	2.53938e+06	423120
44 	31491.4	1.22283e+06	2.58185e+06	431323
45 	31491.4	1.22319e+06	2.58185e+06	424138
46 	31491.4	1.22454e+06	2.59138e+06	420697
47 	31491.4	1.21766e+06	2.47221e+06	416010
48 	31491.4	1.21201e+06	2.81121e+06	414268
49 	31491.4	1.2136e+06 	2.61727e+06	407247
50 	31491.4	1.21131e+06	2.41888e+06	407694
51 	31491.4	1.20512e+06	2.42102e+06	411939
52 	31491.4	1.20156e+06	2.6233e+06 	413443
53 	31491.4	1.20277e+06	2.57057e+06	420385
54 	31491.4	1.20422e+06	2.5653e+06 	420713
55 	20304.3	1.20267e+06	2.60232e+06	416846
56 	20304.3	1.20116e+06	2.63305e+06	420166
57 	20304.3	1.19862e+06	2.36354e+06	421358
58 	20304.3	1.19418e+06	2.50793e+06	425237
59 	20304.3	1.19411e+06	2.50793e+06	424429
60 	20304.3	1.18921e+06	2.62056e+06	419406
61 	20304.3	1.18423e+06	2.59719e+06	414871
62 	20304.3	1.17767e+06	2.48549e+06	410146
63 	20304.3	1.17689e+06	2.45184e+06	408562
64 	20304.3	1.17657e+06	2.49502e+06	417429
65 	20304.3	1.17689e+06	2.48195e+06	416807
66 	20304.3	1.16938e+06	2.52074e+06	413615
67 	20304.3	1.16731e+06	2.40121e+06	410525
68 	20304.3	1.16366e+06	2.35254e+06	401532
69 	20304.3	1.16655e+06	2.41734e+06	415177
70 	20304.3	1.16051e+06	2.54849e+06	417957
71 	20304.3	1.15793e+06	2.58368e+06	416735
72 	20304.3	1.15867e+06	2.33084e+06	416000
73 	20304.3	1.16496e+06	2.36158e+06	419103
74 	20304.3	1.16143e+06	2.59755e+06	409431
75 	20304.3	1.16013e+06	2.3581e+06 	414231
76 	20304.3	1.15839e+06	2.34486e+06	414648
77 	20304.3	1.15189e+06	2.31645e+06	413570
78 	20304.3	1.15188e+06	2.4093e+06 	415380
79 	20304.3	1.14793e+06	2.32215e+06	417961
80 	20304.3	1.14752e+06	2.57757e+06	416400
81 	20304.3	1.13968e+06	2.67215e+06	414530
82 	20304.3	1.14239e+06	2.61511e+06	429106
83 	20304.3	1.14186e+06	2.61547e+06	429836
84 	19957.2	1.14507e+06	2.65951e+06	433780
85 	19957.2	1.1439e+06 	2.73402e+06	430147
86 	19957.2	1.13778e+06	2.58963e+06	434251
87 	19957.2	1.14045e+06	2.43786e+06	434835
88 	19957.2	1.14261e+06	2.53724e+06	436046
89 	19957.2	1.13617e+06	2.49181e+06	432340
90 	19957.2	1.136e+06  	2.53444e+06	428105
91 	19957.2	1.13616e+06	2.46515e+06	423824
92 	19957.2	1.13234e+06	2.4541e+06 	433471
93 	19957.2	1.12785e+06	2.75468e+06	432489
94 	19957.2	1.12784e+06	2.47771e+06	426522
95 	19957.2	1.126e+06  	2.49908e+06	426043
96 	19957.2	1.1268e+06 	2.41302e+06	425525
97 	19957.2	1.12454e+06	2.41302e+06	425842
98 	19957.2	1.11263e+06	2.51379e+06	422014
99 	19957.2	1.11865e+06	2.48988e+06	421690
100	19957.2	1.11209e+06	2.48988e+06	421924
101	19957.2	1.11036e+06	2.4663e+06 	419425
102	19957.2	1.10919e+06	2.45816e+06	417390
103	19957.2	1.11694e+06	2.80363e+06	427867
104	19957.2	1.11539e+06	2.58039e+06	422347
105	19957.2	1.11202e+06	2.4747e+06 	418648
106	19957.2	1.11103e+06	2.34749e+06	419952
107	19957.2	1.10046e+06	2.751e+06  	411761
108	19957.2	1.09917e+06	2.74032e+06	411961
109	19957.2	1.09155e+06	2.61809e+06	413366
110	19957.2	1.09321e+06	2.68961e+06	424607
111	19957.2	1.09219e+06	2.6142e+06 	418777
112	19515.4	1.09437e+06	2.39388e+06	416911
113	19515.4	1.09161e+06	2.48577e+06	411215
114	19515.4	1.09085e+06	2.44651e+06	401289
115	19515.4	1.09111e+06	2.62225e+06	417795
116	19515.4	1.09046e+06	2.52407e+06	423357
117	19515.4	1.08813e+06	2.53595e+06	420831
118	19515.4	1.08647e+06	2.56757e+06	422436
119	19515.4	1.0763e+06 	2.35433e+06	411111
