/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max       	std   
0  	249169	1.31267e+06	2.9587e+06	439765
1  	249169	1.31107e+06	2.81317e+06	431113
2  	249169	1.30678e+06	2.44652e+06	428742
3  	249169	1.31397e+06	2.46338e+06	420283
4  	249169	1.31135e+06	2.7933e+06 	415128
5  	249169	1.30799e+06	2.45255e+06	409957
6  	249169	1.30254e+06	2.38414e+06	417434
7  	249169	1.2984e+06 	2.54405e+06	420209
8  	249169	1.30029e+06	2.5419e+06 	429360
9  	249169	1.30508e+06	2.54591e+06	422554
10 	238355	1.30839e+06	2.72927e+06	432634
11 	238355	1.30391e+06	2.67591e+06	431293
12 	222884	1.2942e+06 	2.6268e+06 	414984
13 	196203	1.29347e+06	2.60603e+06	409333
14 	196203	1.29579e+06	2.45295e+06	411361
15 	155362	1.3022e+06 	2.45201e+06	423399
16 	137137	1.29658e+06	2.39508e+06	417378
17 	137137	1.29703e+06	2.36505e+06	417382
18 	137137	1.29092e+06	2.50407e+06	415486
19 	132812	1.28353e+06	2.58999e+06	417254
20 	120240	1.28678e+06	2.51214e+06	414612
21 	120240	1.27704e+06	2.74954e+06	416278
22 	120240	1.27563e+06	2.5926e+06 	415344
23 	120240	1.27312e+06	2.61195e+06	424206
24 	63143.9	1.2707e+06 	2.55788e+06	431552
25 	63143.9	1.26726e+06	2.58106e+06	430981
26 	63143.9	1.26314e+06	2.51655e+06	424081
27 	63143.9	1.26161e+06	2.68287e+06	428261
28 	63143.9	1.26688e+06	2.6962e+06 	440226
29 	63143.9	1.26285e+06	2.68048e+06	438985
30 	63143.9	1.25918e+06	2.40584e+06	427778
31 	63143.9	1.26326e+06	2.50453e+06	426171
32 	63143.9	1.2593e+06 	2.59205e+06	432100
33 	63143.9	1.25707e+06	2.46702e+06	432594
34 	57304.7	1.25194e+06	2.48266e+06	420295
35 	57304.7	1.25488e+06	2.48444e+06	419805
36 	57304.7	1.25155e+06	2.45012e+06	430667
37 	57304.7	1.25143e+06	2.6581e+06 	437927
38 	50816.6	1.24769e+06	2.60207e+06	434723
39 	50816.6	1.24302e+06	2.51235e+06	427545
40 	50816.6	1.23628e+06	2.58412e+06	423686
41 	50816.6	1.23373e+06	2.58112e+06	405359
42 	50816.6	1.22639e+06	2.56003e+06	405836
43 	50816.6	1.22766e+06	2.42862e+06	398226
44 	50816.6	1.22377e+06	2.5002e+06 	403509
45 	50816.6	1.22434e+06	2.69265e+06	415573
46 	50816.6	1.2256e+06 	2.4652e+06 	417052
47 	50816.6	1.21786e+06	2.5079e+06 	422846
48 	50816.6	1.21583e+06	2.43988e+06	428445
49 	50816.6	1.21255e+06	2.32395e+06	417847
50 	50816.6	1.21062e+06	2.29518e+06	414973
51 	49992.8	1.21234e+06	2.45474e+06	425794
52 	49992.8	1.21577e+06	2.52097e+06	438281
53 	49992.8	1.21033e+06	2.66733e+06	437756
54 	49992.8	1.21003e+06	2.52461e+06	434130
55 	48452.4	1.21374e+06	2.39313e+06	425709
56 	48452.4	1.21464e+06	2.51923e+06	437165
57 	48452.4	1.2106e+06 	2.5168e+06 	423451
58 	48452.4	1.21283e+06	2.48958e+06	431967
59 	48452.4	1.20313e+06	2.52721e+06	427140
60 	48452.4	1.19876e+06	2.4247e+06 	427738
61 	48452.4	1.19446e+06	2.4939e+06 	420680
62 	37093.6	1.19319e+06	2.42983e+06	430689
63 	37093.6	1.18543e+06	2.51816e+06	430633
64 	37093.6	1.18316e+06	2.65151e+06	429655
65 	37093.6	1.17918e+06	2.6964e+06 	430281
66 	37093.6	1.18293e+06	2.44433e+06	433012
67 	37093.6	1.18549e+06	2.51492e+06	428541
68 	37093.6	1.1848e+06 	2.59198e+06	429994
69 	37093.6	1.18233e+06	2.58005e+06	436807
70 	37093.6	1.17912e+06	2.48081e+06	436223
71 	37093.6	1.17166e+06	2.66005e+06	434595
72 	37093.6	1.17578e+06	2.52237e+06	428709
73 	37093.6	1.1732e+06 	2.55206e+06	426644
74 	37093.6	1.16782e+06	2.55684e+06	421382
75 	37093.6	1.16401e+06	2.72729e+06	424717
76 	37093.6	1.16825e+06	2.71496e+06	421528
77 	37093.6	1.1587e+06 	2.22289e+06	412038
78 	37093.6	1.15642e+06	2.33308e+06	413431
79 	37093.6	1.15197e+06	2.42977e+06	416962
80 	37093.6	1.14927e+06	2.63237e+06	424343
81 	37093.6	1.14915e+06	2.57021e+06	423355
82 	37093.6	1.1498e+06 	2.46695e+06	423201
83 	37093.6	1.14824e+06	2.66775e+06	411407
84 	37093.6	1.14129e+06	2.4929e+06 	418727
85 	37093.6	1.13934e+06	2.4929e+06 	408001
86 	37093.6	1.14012e+06	2.4929e+06 	415012
87 	37093.6	1.14322e+06	2.63113e+06	424102
88 	37093.6	1.14169e+06	2.43348e+06	425440
89 	37093.6	1.14344e+06	2.38558e+06	419279
90 	37093.6	1.14345e+06	2.38558e+06	417642
91 	37093.6	1.13545e+06	2.38558e+06	412545
92 	37093.6	1.13506e+06	2.45715e+06	416616
93 	37093.6	1.13326e+06	2.74342e+06	421328
94 	37093.6	1.13044e+06	2.55648e+06	416066
95 	37093.6	1.12483e+06	2.36891e+06	398219
96 	37093.6	1.12875e+06	2.2937e+06 	403195
97 	37093.6	1.12452e+06	2.316e+06  	407147
98 	37093.6	1.12498e+06	2.20584e+06	405129
99 	37093.6	1.12817e+06	2.22746e+06	416626
100	37093.6	1.12315e+06	2.48695e+06	407553
101	37093.6	1.11762e+06	2.4372e+06 	407556
102	37093.6	1.11669e+06	2.37884e+06	415000
103	37093.6	1.1193e+06 	2.58611e+06	419231
104	37093.6	1.11449e+06	2.59077e+06	409291
105	37093.6	1.11798e+06	2.51152e+06	422704
106	37093.6	1.11539e+06	2.35642e+06	420558
107	37093.6	1.11149e+06	2.34429e+06	413048
108	37093.6	1.10973e+06	2.3445e+06 	416656
109	37093.6	1.10889e+06	2.3445e+06 	411113
110	37093.6	1.10133e+06	2.28486e+06	416424
111	37093.6	1.09918e+06	2.29073e+06	413614
112	37093.6	1.09442e+06	2.34283e+06	411218
113	37093.6	1.09468e+06	2.67163e+06	413688
114	37093.6	1.09257e+06	2.44438e+06	418664
115	37093.6	1.09732e+06	2.29752e+06	410030
116	37093.6	1.091e+06  	2.33934e+06	402211
117	37093.6	1.09102e+06	2.33934e+06	396007
118	37093.6	1.0845e+06 	2.4053e+06 	397917
119	37093.6	1.08119e+06	2.29999e+06	396046
120	37093.6	1.08279e+06	2.24654e+06	391054
121	37093.6	1.07718e+06	2.26349e+06	385561
122	37093.6	1.07836e+06	2.16158e+06	390236
123	37093.6	1.07689e+06	2.3091e+06 	389333
124	37093.6	1.08204e+06	2.53654e+06	396834
125	37093.6	1.07765e+06	2.44021e+06	388360
126	37093.6	1.07703e+06	2.4219e+06 	389811
127	37093.6	1.07665e+06	2.27315e+06	390138
128	37093.6	1.07465e+06	2.24171e+06	388947
129	37093.6	1.07041e+06	2.41104e+06	388645
130	37093.6	1.07277e+06	2.41406e+06	401516
131	37093.6	1.07476e+06	2.3942e+06 	410390
132	37093.6	1.07078e+06	2.3942e+06 	421371
133	37093.6	1.06924e+06	2.35346e+06	413365
134	36916  	1.07149e+06	2.28137e+06	421199
135	36916  	1.07036e+06	2.55762e+06	423185
136	36916  	1.06458e+06	2.47533e+06	411181
137	36916  	1.06503e+06	2.43943e+06	418917
138	36916  	1.0653e+06 	2.47255e+06	413766
139	36916  	1.063e+06  	2.73148e+06	428236
140	36916  	1.0613e+06 	2.38041e+06	412119
141	36916  	1.05197e+06	2.58839e+06	406132
142	36916  	1.05117e+06	2.38041e+06	406669
143	36916  	1.04921e+06	2.60083e+06	397881
144	36916  	1.0387e+06 	2.58778e+06	394253
145	36916  	1.03884e+06	2.58778e+06	393291
146	36916  	1.03715e+06	2.37302e+06	395915
147	36916  	1.03965e+06	2.38544e+06	392828
148	36916  	1.03807e+06	2.36863e+06	398474
149	36916  	1.03071e+06	2.51377e+06	396307
150	36916  	1.02551e+06	2.43413e+06	396051
151	36916  	1.02977e+06	2.32282e+06	398785
152	36916  	1.02598e+06	2.44435e+06	400189
153	36916  	1.02365e+06	2.26303e+06	404310
154	36916  	1.01987e+06	2.32899e+06	401691
155	36916  	1.01568e+06	2.38923e+06	395800
156	36916  	1.01734e+06	2.32977e+06	399034
157	36916  	1.01854e+06	2.24358e+06	398362
158	36916  	1.01222e+06	2.35358e+06	389870
159	36916  	1.01369e+06	2.19924e+06	393581
160	36916  	1.01367e+06	2.19924e+06	382154
161	36916  	1.01355e+06	2.19332e+06	381636
162	36916  	1.00605e+06	2.19332e+06	373540
163	36916  	1.00574e+06	2.16014e+06	374748
164	36916  	1.0044e+06 	2.17452e+06	370569
165	35622.7	1.0036e+06 	2.19788e+06	377987
166	35622.7	1.00237e+06	2.16974e+06	374403
167	35622.7	997675     	2.38565e+06	373756
168	35622.7	1.00381e+06	2.20636e+06	376904
169	35622.7	996136     	2.19291e+06	373962
170	35622.7	998958     	2.20982e+06	365513
171	35622.7	996316     	2.08584e+06	374097
172	35622.7	992427     	2.34333e+06	382186
173	35622.7	989401     	2.31073e+06	381165
174	35622.7	992878     	2.239e+06  	391560
175	35294  	986946     	2.29825e+06	399038
176	35294  	985652     	2.35237e+06	393518
177	35294  	986807     	2.37904e+06	395222
178	35294  	981677     	2.5401e+06 	394258
179	35294  	980443     	2.19479e+06	394810
180	35294  	981606     	2.26395e+06	389498
181	35294  	983752     	2.35422e+06	394326
182	35294  	985222     	2.32944e+06	392500
183	35294  	984139     	2.29945e+06	397678
184	35294  	975385     	2.37739e+06	388000
185	35294  	966651     	2.17141e+06	375921
186	35294  	966575     	2.14101e+06	370353
187	35294  	966876     	2.15918e+06	370827
188	35294  	968041     	2.23457e+06	374181
189	35294  	961549     	2.25155e+06	377072
190	35294  	967278     	2.2167e+06 	370507
191	35294  	969705     	2.19311e+06	380890
192	35294  	959246     	2.45618e+06	382019
193	35294  	959808     	2.45618e+06	385006
194	35294  	963908     	2.19973e+06	390376
195	35294  	959356     	2.19806e+06	381115
196	35294  	956562     	2.19806e+06	383135
197	35294  	957162     	2.21136e+06	379365
198	35294  	953686     	2.30826e+06	381704
199	35294  	950701     	2.30826e+06	379821
200	35294  	948196     	2.12081e+06	371287
201	35294  	949172     	2.1551e+06 	378498
202	35294  	945867     	2.59357e+06	384813
203	35294  	945867     	2.42111e+06	383603
204	35294  	939039     	2.28096e+06	369298
205	35294  	937650     	2.28276e+06	368393
206	35294  	935793     	2.02593e+06	369751
207	35294  	935965     	2.32519e+06	373357
208	35294  	933386     	2.22541e+06	376169
