/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max 	std    
0  	394.099	2778.62	6679	1068.16
1  	394.099	2771.59	6530.02	1079.15
2  	394.099	2775.15	6530.02	1097.31
3  	394.099	2766.14	6229.99	1083.46
4  	394.099	2766.45	5987.55	1079.19
5  	394.099	2754.11	5899.24	1081.13
6  	363.884	2753.16	5878.5 	1084.16
7  	363.884	2759.38	6395.52	1087.92
8  	363.884	2742.72	6070.07	1075.13
9  	363.884	2730.68	6352.34	1085.53
10 	352.335	2725.14	6138.28	1094.22
11 	352.335	2720.58	6592.84	1100.75
12 	352.335	2720.79	6110.66	1077.78
13 	352.335	2706.33	6182.29	1083.82
14 	352.335	2715.57	6413.15	1104.11
15 	352.335	2704.68	6370.75	1092.19
16 	352.335	2695.37	6093.38	1079.62
17 	352.335	2682.54	6262.56	1061.53
18 	352.335	2677.68	6667.97	1072.47
19 	245.572	2675.39	6643.07	1092.65
20 	245.572	2675.22	6643.07	1099.44
21 	245.572	2671.05	6536.36	1102.6 
22 	245.572	2673.97	6374.37	1081.75
23 	245.572	2672.13	6524.71	1083.23
24 	245.572	2655.87	6997.8 	1085.14
25 	245.572	2663.51	6930.25	1101.81
26 	245.572	2637.74	6218.5 	1076.27
27 	245.572	2623.58	6222.88	1076.79
28 	245.572	2616.31	6215.7 	1090.94
29 	245.572	2607.01	6690.29	1098.85
30 	245.572	2606.25	6690.29	1094.77
31 	245.572	2586.58	6690.29	1070.81
32 	245.572	2583.4 	6651.95	1059.72
33 	245.572	2571.06	6133.53	1027.18
34 	245.572	2584.37	6128.99	1045.22
35 	245.572	2572.66	5889.49	1038.6 
36 	245.572	2582.57	6221.49	1054.27
37 	245.572	2559.39	6112.26	1031.58
38 	245.572	2545.44	5607.02	1040.97
39 	245.572	2545.19	5659.76	1060.3 
40 	245.572	2536.74	5794.46	1032.82
41 	245.572	2533.84	6069.99	1030.5 
42 	245.572	2538.75	6136.35	1027.47
43 	245.572	2529.71	6373.18	1029.65
44 	245.572	2518.28	6373.18	1014.57
45 	245.572	2514.12	6136.35	1030.92
46 	245.572	2517.58	6441.73	1037.42
47 	245.572	2530.06	6315.75	1054.7 
48 	245.572	2514.46	6133.47	1036.07
49 	245.572	2511.66	6084.57	1034.3 
50 	245.572	2516.79	6460.32	1045.46
51 	245.572	2526.78	6236.92	1067.45
52 	245.572	2529.24	6612.2 	1077.73
53 	245.572	2504.29	6355.04	1037.08
54 	245.572	2497.99	5630.16	1010.32
55 	245.572	2488.68	5723.59	1009.53
56 	245.572	2481.78	5676.51	1019.95
57 	245.572	2473.86	6069.51	1020.4 
58 	245.572	2462.58	5968.35	995.611
59 	245.572	2452.84	6597.92	1005.62
60 	245.572	2438.71	6447.32	1020.94
61 	245.572	2452.56	6447.32	1035.67
62 	245.572	2448.9 	5926.55	1048.4 
63 	245.572	2443.77	5995.34	1036.42
64 	245.572	2452.24	6245.29	1036.16
65 	245.572	2439.45	5990.2 	1004.67
66 	245.572	2437.47	6686.99	1010.33
67 	245.572	2421.84	6139.46	998.157
68 	245.572	2419.56	6343.34	1026.81
69 	245.572	2415.93	7001.01	1045.66
70 	245.572	2413.95	6080.76	1022.57
71 	245.572	2408.5 	5988.05	1032.65
72 	245.572	2406.27	5962.38	1032.31
73 	245.572	2406.71	5888.99	1031.27
74 	245.572	2395.1 	5960.77	1011.95
75 	245.572	2401.6 	6294.62	1040   
76 	245.572	2408.3 	6680.45	1055.14
77 	245.572	2408.55	6330.98	1062.54
78 	244.699	2409.84	6493.05	1061.63
79 	244.699	2408.42	6275.92	1047.91
80 	244.699	2402.07	6038.75	1026.22
81 	244.699	2391.51	6398.6 	1031.48
82 	244.699	2387.5 	5987.63	1031.72
83 	244.699	2371.49	5912.59	1033.07
84 	244.699	2364.2 	5795.31	1002.92
85 	244.699	2363.65	5795.31	991.756
86 	244.699	2347.31	5778.01	992.24 
87 	244.699	2346.73	6703.4 	1018.49
88 	244.699	2339.1 	6002.72	1008.68
89 	244.699	2327.69	6216.98	1020.37
90 	244.699	2315.47	5790.23	1023.75
91 	241.913	2308.03	6043.61	1020   
92 	233.36 	2313.65	6097.82	1019.11
93 	233.36 	2304.27	6043.61	1028.1 
94 	233.36 	2298.73	5623.93	999.077
95 	233.36 	2305.8 	5705.79	1006.49
96 	208.197	2297.01	5704.95	993.44 
97 	208.197	2278.17	6031.7 	980.271
98 	208.197	2267.57	6253.64	980.391
99 	208.197	2273.88	6647.36	976.493
100	208.197	2279.85	6095.32	988.405
101	208.197	2281.25	5933.73	985.988
102	208.197	2268.16	5795.24	968.36 
103	208.197	2260.41	5439.64	963.841
104	208.197	2265.79	5461.16	1004.87
105	208.197	2256.44	5829.53	969.696
106	194.937	2242.58	5310.4 	953.125
107	194.937	2241.67	5929.54	972.133
108	194.937	2241.18	5910.34	973.537
109	194.937	2256.39	5910.34	980.576
110	194.937	2249.16	5868.75	990.382
111	194.937	2238.06	6825.51	977.553
112	194.937	2226.12	5645.57	983.691
113	194.937	2237.95	5789.9 	991.396
114	181.746	2235.55	5797.47	975.566
115	181.746	2233.35	5575.06	965.088
116	181.746	2225.61	5760.55	956.922
117	181.746	2210.4 	5759.55	929.091
118	181.746	2189.26	5590.94	924.43 
119	181.746	2176.33	5372.74	919.497
120	181.746	2168.15	5674.72	907.536
121	181.746	2168.5 	5709.29	914.852
122	181.746	2171.97	6278.37	946.54 
123	181.746	2162.28	5786.93	945.737
124	181.746	2143.85	5582.25	921.683
125	181.746	2144.46	5616.03	917.362
126	181.746	2143.27	5621.73	938.095
127	181.746	2124.75	5865.8 	928.733
128	181.746	2115.56	5865.8 	905.256
129	181.746	2113.11	5640.75	890.842
130	181.746	2116.86	5770.31	892.854
131	181.746	2110.37	5370.35	883.622
132	181.746	2109.2 	5264.82	867.513
133	181.746	2101.28	5756.89	880.802
134	181.746	2099.83	5631.69	903.336
135	181.746	2099.06	5336.8 	912.616
136	181.746	2094.17	5572.76	909.46 
137	181.746	2078.58	5391.01	910.819
138	181.746	2071.34	5085.13	905.977
139	181.746	2067.43	5164.5 	917.988
140	181.746	2074.59	5355.02	913.22 
141	181.746	2068.56	5464.17	911.293
