/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max   	std  
0  	20634.7	170633	661936	89586
1  	20634.7	171274	692599	91592.2
2  	20634.7	171208	556196	91332.9
3  	20634.7	171320	563019	90889.2
4  	18174.6	169340	654080	88869  
5  	18174.6	167370	511369	81611.7
6  	18174.6	167475	556890	82512.5
7  	15179.4	168395	517442	84746.2
8  	13137  	169155	575116	86381.1
9  	13137  	166273	646680	85459.3
10 	13137  	168180	580000	84828.9
11 	13137  	168688	559248	88854.5
12 	13137  	170371	504452	88884.5
13 	13137  	170164	597447	91770.6
14 	13137  	168948	667612	93067.3
15 	13137  	169749	636060	90899.8
16 	13137  	169952	557441	91697.2
17 	12675  	169238	584861	91861.7
18 	12675  	170530	653149	93143.9
19 	12675  	171867	560387	93503.3
20 	12675  	170109	547255	90426.3
21 	12675  	173308	596713	92120.6
22 	12675  	176535	586034	93554.7
23 	12675  	175406	639499	91785.3
24 	12675  	176313	602639	95194.4
25 	12675  	175793	644413	96748.9
26 	11699.2	177828	657874	99569  
27 	11699.2	176824	657874	97540.8
28 	10588.4	177687	789489	102673 
29 	10588.4	178865	618825	98743.8
30 	8398.36	179199	622573	98878.9
31 	8398.36	176844	631044	93529.5
32 	8398.36	176974	643685	92352.1
33 	6539.8 	177530	643685	95539.3
34 	6539.8 	176114	638936	95877.8
35 	5421.32	175848	647134	96372.4
36 	5421.32	174498	638936	93719.1
37 	5421.32	172832	638936	94463.8
38 	5421.32	173946	648268	95476.2
39 	5330.24	174947	633026	93066.9
40 	5330.24	174793	620473	95216.2
41 	5330.24	172600	620473	93044.4
42 	5330.24	173074	684886	94309.4
43 	5330.24	174430	642379	93277.6
44 	5330.24	174395	595497	96097.6
45 	5330.24	175578	714821	100403 
46 	5330.24	174650	625195	98042.7
47 	5330.24	172049	614360	96897.3
48 	5330.24	171912	614360	95910.5
49 	5330.24	172628	693307	95733.7
50 	5330.24	171021	590818	93961.1
51 	5330.24	170481	631351	96464.7
52 	5330.24	169084	592128	93157.3
53 	5330.24	170571	604270	95101.6
54 	4278.9 	170546	592212	94709.4
55 	4278.9 	172136	584475	96792.9
56 	4278.9 	172670	604680	95635  
57 	4278.9 	174448	607983	96790.6
58 	4278.9 	172762	566168	97650.1
59 	4278.9 	173102	679146	100839 
60 	4278.9 	175257	675581	104551 
61 	4278.9 	176224	684159	101881 
62 	4278.9 	175318	632422	98625.2
63 	4278.9 	176370	700624	100346 
64 	4278.9 	177171	575878	98698.7
65 	4278.9 	177301	622360	101794 
66 	4278.9 	175819	622360	98454.5
67 	4278.9 	176528	723912	99929.2
68 	4278.9 	176118	666742	102356 
69 	4278.9 	174968	740110	98686.4
70 	4278.9 	174888	635727	99660  
71 	4278.9 	175908	632276	95526.3
72 	4278.9 	176523	578494	96744.3
73 	4278.9 	178540	620663	102281 
74 	4278.9 	180482	640555	104042 
75 	4278.9 	182167	709124	107635 
