/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg      	max        	std        
0  	6.21761e+06	4.475e+07	1.52232e+08	2.08904e+07
1  	4.48003e+06	4.42963e+07	1.30413e+08	1.99929e+07
2  	4.48003e+06	4.42696e+07	1.4481e+08 	1.9546e+07 
3  	4.48003e+06	4.42485e+07	1.28059e+08	1.96238e+07
4  	4.48003e+06	4.40421e+07	1.12566e+08	1.92503e+07
5  	3.46025e+06	4.40847e+07	1.13969e+08	1.89544e+07
6  	3.33785e+06	4.3973e+07 	1.1237e+08 	1.94384e+07
7  	2.74385e+06	4.38128e+07	1.20014e+08	1.94818e+07
8  	2.74385e+06	4.3659e+07 	1.08497e+08	1.8898e+07 
9  	2.74385e+06	4.34017e+07	1.125e+08  	1.86259e+07
10 	2.74385e+06	4.36057e+07	1.04954e+08	1.93946e+07
11 	2.74385e+06	4.366e+07  	1.11937e+08	1.96968e+07
12 	2.74385e+06	4.38088e+07	1.2028e+08 	2.01151e+07
13 	2.74385e+06	4.4046e+07 	1.0423e+08 	2.02372e+07
14 	2.57663e+06	4.38762e+07	1.05303e+08	2.03436e+07
15 	2.57663e+06	4.38118e+07	1.10885e+08	1.99189e+07
16 	2.57663e+06	4.34339e+07	1.15995e+08	1.95291e+07
17 	2.32933e+06	4.31518e+07	1.18493e+08	1.97846e+07
18 	2.32933e+06	4.31966e+07	1.17424e+08	1.96253e+07
19 	2.32933e+06	4.32515e+07	1.294e+08  	2.03382e+07
20 	2.32933e+06	4.29299e+07	1.24359e+08	2.06042e+07
21 	2.32933e+06	4.27413e+07	1.25152e+08	2.01817e+07
22 	2.247e+06  	4.28985e+07	1.16412e+08	2.00589e+07
23 	2.247e+06  	4.28567e+07	1.18142e+08	2.02475e+07
24 	2.247e+06  	4.25926e+07	1.07113e+08	1.97401e+07
25 	2.247e+06  	4.22303e+07	1.05766e+08	1.91191e+07
26 	2.247e+06  	4.22643e+07	1.09206e+08	1.98811e+07
27 	2.247e+06  	4.20118e+07	9.99039e+07	1.95942e+07
28 	2.247e+06  	4.23059e+07	1.0839e+08 	2.04041e+07
29 	2.247e+06  	4.23719e+07	1.17591e+08	2.04726e+07
30 	2.247e+06  	4.19857e+07	1.08744e+08	2.02374e+07
31 	2.247e+06  	4.21329e+07	1.06288e+08	1.9756e+07 
32 	2.247e+06  	4.1879e+07 	1.086e+08  	2.01641e+07
33 	2.247e+06  	4.1678e+07 	1.14438e+08	1.98558e+07
34 	2.247e+06  	4.17145e+07	1.1666e+08 	2.03805e+07
35 	2.247e+06  	4.18568e+07	1.37052e+08	2.08395e+07
36 	1.91608e+06	4.15292e+07	1.17227e+08	2.04754e+07
37 	1.91608e+06	4.1676e+07 	1.17729e+08	2.08057e+07
38 	1.91608e+06	4.12002e+07	1.10004e+08	1.99293e+07
39 	1.91608e+06	4.12739e+07	1.10004e+08	1.97157e+07
40 	1.91608e+06	4.12386e+07	1.04182e+08	1.94075e+07
41 	1.91608e+06	4.09107e+07	1.12066e+08	1.96288e+07
42 	1.91608e+06	4.08966e+07	1.13362e+08	1.94498e+07
43 	1.91608e+06	4.06817e+07	1.13362e+08	1.94144e+07
44 	1.91608e+06	4.08624e+07	1.02054e+08	1.94455e+07
45 	1.91608e+06	4.0748e+07 	1.02054e+08	1.89707e+07
46 	1.91608e+06	4.06372e+07	1.11807e+08	1.9832e+07 
47 	1.91608e+06	4.06597e+07	1.13733e+08	1.98936e+07
48 	1.91608e+06	4.05319e+07	1.11848e+08	1.96526e+07
49 	1.91608e+06	4.04225e+07	1.1321e+08 	1.94156e+07
50 	1.91608e+06	4.04438e+07	1.31126e+08	1.98871e+07
51 	1.91608e+06	4.0327e+07 	1.12552e+08	1.96084e+07
52 	1.91608e+06	4.02864e+07	1.13247e+08	2.0051e+07 
53 	1.91608e+06	4.04701e+07	1.04328e+08	2.03062e+07
54 	1.91608e+06	4.02685e+07	1.07675e+08	1.97938e+07
55 	1.91608e+06	4.00219e+07	1.06412e+08	1.97252e+07
56 	1.91608e+06	4.00034e+07	1.11804e+08	1.97681e+07
57 	1.91608e+06	4.01208e+07	1.23472e+08	2.01011e+07
58 	1.91608e+06	3.97051e+07	1.20649e+08	1.93849e+07
59 	1.91608e+06	4.00622e+07	1.21854e+08	2.02888e+07
60 	1.91608e+06	4.00901e+07	1.24359e+08	2.0353e+07 
61 	1.91608e+06	3.97489e+07	1.20305e+08	2.01075e+07
62 	1.91608e+06	3.95703e+07	1.20289e+08	1.99985e+07
63 	1.72326e+06	3.97368e+07	1.21094e+08	2.01323e+07
64 	1.72326e+06	3.97284e+07	1.21094e+08	2.03507e+07
65 	1.72326e+06	3.95928e+07	1.24313e+08	2.04208e+07
66 	1.72326e+06	3.93546e+07	1.06225e+08	1.97919e+07
67 	1.72326e+06	3.91494e+07	1.04055e+08	1.98475e+07
68 	1.72326e+06	3.89831e+07	1.10937e+08	1.93721e+07
69 	1.45195e+06	3.90433e+07	1.10232e+08	1.90882e+07
70 	1.45195e+06	3.88697e+07	1.0209e+08 	1.90862e+07
71 	1.45195e+06	3.89992e+07	9.97699e+07	1.9313e+07 
72 	1.45195e+06	3.89316e+07	1.15797e+08	1.92552e+07
73 	1.45195e+06	3.90622e+07	1.06023e+08	1.92676e+07
74 	1.45195e+06	3.88572e+07	1.06117e+08	1.89057e+07
75 	1.45195e+06	3.87142e+07	1.02668e+08	1.91167e+07
76 	1.45195e+06	3.84033e+07	1.03579e+08	1.92031e+07
77 	1.45195e+06	3.85593e+07	1.00775e+08	1.89209e+07
78 	1.45195e+06	3.81407e+07	9.61124e+07	1.89473e+07
79 	1.45195e+06	3.79763e+07	1.27479e+08	1.92881e+07
80 	1.45195e+06	3.81865e+07	1.17466e+08	1.89289e+07
81 	1.45195e+06	3.8273e+07 	1.04593e+08	1.89861e+07
82 	1.45195e+06	3.82811e+07	1.02495e+08	1.9308e+07 
83 	1.45195e+06	3.84603e+07	1.02554e+08	1.95047e+07
84 	1.45195e+06	3.87337e+07	1.03577e+08	2.02048e+07
85 	1.45195e+06	3.83307e+07	1.21359e+08	2.01123e+07
86 	1.45195e+06	3.81863e+07	1.07367e+08	1.9754e+07 
87 	1.45195e+06	3.81241e+07	1.34847e+08	1.99406e+07
88 	1.45195e+06	3.79941e+07	1.17714e+08	1.9678e+07 
89 	1.45195e+06	3.76586e+07	1.17714e+08	1.92691e+07
