/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max        	std      
0  	348.137	6.77865e+06	6.71745e+07	8.414e+06
1  	348.137	6.99532e+06	5.32541e+07	8.44851e+06
2  	348.137	7.21554e+06	5.50098e+07	8.93562e+06
3  	309.74 	6.99435e+06	5.8771e+07 	8.79364e+06
4  	309.74 	6.87176e+06	5.46296e+07	8.50339e+06
5  	309.74 	6.79913e+06	4.28234e+07	8.18709e+06
6  	309.74 	6.59332e+06	4.45639e+07	7.96255e+06
7  	309.74 	6.84829e+06	5.09701e+07	8.7952e+06 
8  	309.74 	6.95563e+06	4.97391e+07	8.9489e+06 
9  	309.74 	6.96901e+06	4.42517e+07	8.56689e+06
10 	309.74 	7.09733e+06	5.15119e+07	8.65267e+06
11 	309.74 	6.97143e+06	7.36422e+07	8.95791e+06
12 	309.74 	6.99232e+06	6.10851e+07	8.69816e+06
13 	309.74 	7.02393e+06	5.96442e+07	8.76651e+06
14 	309.74 	7.0159e+06 	6.34553e+07	9.06886e+06
15 	309.74 	6.7511e+06 	4.6364e+07 	8.24484e+06
16 	309.74 	6.74022e+06	4.10037e+07	8.27623e+06
17 	309.74 	6.89938e+06	5.44939e+07	8.53987e+06
18 	309.74 	6.56177e+06	4.44353e+07	8.02542e+06
19 	309.74 	6.67906e+06	5.05584e+07	8.33403e+06
20 	309.74 	6.4949e+06 	4.87501e+07	7.89643e+06
21 	309.74 	6.56803e+06	4.50824e+07	7.98146e+06
22 	309.74 	6.23452e+06	4.34811e+07	7.69726e+06
23 	309.74 	6.22959e+06	4.92299e+07	7.96946e+06
24 	309.74 	6.14734e+06	5.16774e+07	8.05305e+06
25 	309.74 	6.22506e+06	4.95681e+07	7.88062e+06
26 	309.74 	6.26242e+06	5.36036e+07	7.95164e+06
27 	309.74 	6.24147e+06	5.00453e+07	8.00625e+06
28 	309.74 	6.39272e+06	4.58e+07   	8.4364e+06 
29 	309.74 	6.55123e+06	5.12629e+07	8.50607e+06
30 	309.74 	6.55236e+06	5.70701e+07	8.59437e+06
31 	309.74 	6.69215e+06	5.70701e+07	8.79035e+06
32 	309.74 	6.54577e+06	5.37298e+07	8.671e+06  
33 	309.74 	6.41309e+06	4.73931e+07	8.27157e+06
34 	309.74 	6.23733e+06	4.54564e+07	8.06636e+06
35 	309.74 	6.31324e+06	6.45908e+07	8.13247e+06
36 	309.74 	6.19482e+06	5.17888e+07	7.82271e+06
37 	309.286	6.18725e+06	3.92593e+07	7.76884e+06
38 	309.286	6.23467e+06	4.63273e+07	8.09614e+06
39 	309.286	6.21034e+06	5.18904e+07	7.87501e+06
40 	309.286	6.06365e+06	4.56383e+07	7.69273e+06
41 	309.286	6.10221e+06	4.56383e+07	7.93169e+06
42 	309.286	6.31503e+06	5.11251e+07	8.10622e+06
43 	309.286	6.1434e+06 	5.22578e+07	8.09573e+06
44 	309.286	6.02616e+06	4.53125e+07	7.79403e+06
45 	309.286	5.96356e+06	4.82112e+07	7.76263e+06
46 	309.286	6.40605e+06	7.14829e+07	8.54314e+06
47 	309.286	6.36026e+06	4.82966e+07	8.08104e+06
48 	309.286	6.28844e+06	4.73952e+07	8.12952e+06
49 	309.286	6.16536e+06	4.25183e+07	7.77152e+06
50 	309.286	5.96479e+06	3.87301e+07	7.42414e+06
51 	309.286	6.03445e+06	4.20454e+07	7.83137e+06
52 	309.286	5.98147e+06	5.9352e+07 	7.85037e+06
53 	309.286	6.08315e+06	4.29484e+07	7.74358e+06
54 	309.286	6.09643e+06	4.28862e+07	7.50347e+06
55 	309.286	6.13396e+06	4.28862e+07	7.31393e+06
56 	309.286	6.37588e+06	5.27755e+07	7.77928e+06
57 	309.286	6.37073e+06	6.98426e+07	7.91568e+06
58 	309.286	6.37927e+06	7.41019e+07	8.05727e+06
59 	309.286	6.33517e+06	5.0546e+07 	8.12871e+06
60 	309.286	6.23874e+06	4.63847e+07	7.64745e+06
61 	309.286	6.25243e+06	4.58342e+07	7.85034e+06
62 	309.286	6.02416e+06	4.99375e+07	7.65577e+06
63 	309.286	6.22111e+06	4.72506e+07	7.51033e+06
64 	309.286	6.31166e+06	4.89907e+07	7.7417e+06 
65 	309.286	6.26236e+06	5.1045e+07 	7.8148e+06 
66 	309.286	6.14964e+06	5.07506e+07	7.93009e+06
67 	309.286	5.89649e+06	4.84572e+07	7.43852e+06
68 	309.286	5.78139e+06	4.88368e+07	7.23163e+06
69 	309.286	5.75975e+06	5.91728e+07	7.3284e+06 
70 	309.286	5.90642e+06	5.91728e+07	7.8344e+06 
71 	309.286	5.71133e+06	4.73427e+07	7.47857e+06
72 	309.286	5.61582e+06	4.84539e+07	7.32247e+06
73 	309.286	5.65421e+06	5.42723e+07	7.51022e+06
74 	309.286	5.81729e+06	5.18728e+07	7.93252e+06
75 	309.286	5.84396e+06	6.6281e+07 	8.13805e+06
