/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg       	max        	std        
0  	467.74	7.0979e+06	6.61725e+07	9.06914e+06
1  	435.309	7.23409e+06	5.61381e+07	8.92332e+06
2  	435.309	7.21922e+06	4.76023e+07	8.84266e+06
3  	383.968	7.19308e+06	5.77029e+07	8.90343e+06
4  	383.968	7.19788e+06	5.13375e+07	8.62283e+06
5  	383.968	7.04065e+06	5.6468e+07 	8.5883e+06 
6  	383.968	7.10134e+06	5.61263e+07	9.03928e+06
7  	383.968	7.0661e+06 	5.71527e+07	8.89894e+06
8  	383.968	7.08705e+06	5.10754e+07	9.10924e+06
9  	344.813	7.24748e+06	5.87976e+07	9.29526e+06
10 	344.813	7.04564e+06	5.4681e+07 	9.19144e+06
11 	344.813	7.11078e+06	5.23273e+07	8.91668e+06
12 	344.813	7.24756e+06	5.43134e+07	9.24696e+06
13 	344.813	6.95933e+06	5.27509e+07	8.67396e+06
14 	344.813	6.71708e+06	5.12941e+07	8.5083e+06 
15 	344.813	6.62803e+06	4.65311e+07	8.30627e+06
16 	344.813	6.57993e+06	4.53077e+07	8.2377e+06 
17 	344.813	6.5032e+06 	5.37285e+07	8.21697e+06
18 	344.813	6.17365e+06	4.08355e+07	7.86341e+06
19 	344.813	6.05648e+06	4.06305e+07	7.56122e+06
20 	344.813	6.15253e+06	3.89737e+07	7.49862e+06
21 	344.813	6.47335e+06	4.71443e+07	7.79829e+06
22 	344.813	6.55897e+06	4.46222e+07	7.74231e+06
23 	344.813	6.47912e+06	3.99109e+07	7.43339e+06
24 	344.813	6.36283e+06	3.36693e+07	7.20762e+06
25 	344.813	6.32364e+06	4.07676e+07	7.49583e+06
26 	344.813	6.4159e+06 	4.07676e+07	7.77431e+06
27 	344.813	6.11263e+06	3.90789e+07	7.59474e+06
28 	344.813	6.17649e+06	5.00531e+07	7.98136e+06
29 	344.813	6.43755e+06	4.46886e+07	8.04613e+06
30 	344.813	6.46387e+06	4.2719e+07 	7.73816e+06
31 	344.813	6.52519e+06	4.57629e+07	7.97328e+06
32 	344.813	6.49e+06   	4.44207e+07	7.86983e+06
33 	344.813	6.45971e+06	5.05899e+07	7.99038e+06
34 	344.813	6.43078e+06	5.60623e+07	8.11748e+06
35 	344.813	6.41242e+06	5.27529e+07	8.13406e+06
36 	344.813	6.3143e+06 	4.86171e+07	7.88599e+06
37 	344.813	6.31722e+06	5.37513e+07	8.42502e+06
38 	344.813	6.15878e+06	4.94959e+07	7.99884e+06
39 	344.813	6.15534e+06	4.49698e+07	7.81517e+06
40 	344.813	6.23628e+06	4.59389e+07	8.0405e+06 
41 	344.813	6.0704e+06 	6.22779e+07	7.68636e+06
42 	344.813	5.96019e+06	4.01265e+07	7.34001e+06
43 	344.813	5.93533e+06	4.58415e+07	7.30972e+06
44 	344.813	5.90347e+06	4.33244e+07	7.36997e+06
45 	344.813	5.87289e+06	4.44731e+07	7.68484e+06
46 	344.813	6.00638e+06	4.82115e+07	7.75819e+06
47 	344.813	5.95124e+06	5.05817e+07	7.60169e+06
48 	344.813	5.85037e+06	4.79465e+07	7.22895e+06
49 	344.813	5.80134e+06	5.33784e+07	7.2767e+06 
50 	344.813	5.74271e+06	5.27834e+07	7.10955e+06
51 	344.813	5.79855e+06	4.02353e+07	7.198e+06  
52 	344.813	5.8822e+06 	4.38394e+07	7.20017e+06
53 	344.813	5.95031e+06	4.38394e+07	7.52659e+06
54 	344.813	6.14007e+06	4.06799e+07	7.71496e+06
55 	344.813	6.06632e+06	4.01571e+07	7.59531e+06
56 	344.813	6.24153e+06	4.29263e+07	7.82979e+06
57 	344.813	6.09019e+06	4.77916e+07	7.5508e+06 
58 	344.813	6.30248e+06	4.31268e+07	7.62219e+06
59 	344.813	6.15112e+06	4.21422e+07	7.47943e+06
60 	344.813	6.14693e+06	4.87455e+07	7.73275e+06
61 	344.813	6.10458e+06	4.36619e+07	7.7388e+06 
62 	344.813	6.20572e+06	5.54181e+07	7.80197e+06
63 	344.813	6.27341e+06	5.09713e+07	8.09113e+06
64 	344.813	6.28331e+06	4.89894e+07	8.2812e+06 
65 	344.813	6.54489e+06	5.2483e+07 	8.60949e+06
66 	344.813	6.64666e+06	5.23867e+07	8.53092e+06
67 	344.813	6.39971e+06	4.69104e+07	8.33751e+06
68 	344.813	6.16193e+06	4.31291e+07	7.58774e+06
69 	344.813	6.05388e+06	5.34527e+07	7.8403e+06 
70 	344.813	5.93009e+06	4.24748e+07	7.52618e+06
71 	344.813	6.17035e+06	5.9182e+07 	8.04139e+06
72 	344.813	6.11984e+06	4.59961e+07	7.52236e+06
73 	344.813	6.06945e+06	5.63421e+07	7.96068e+06
74 	344.813	6.21328e+06	4.75882e+07	7.92197e+06
75 	344.813	5.96787e+06	5.21698e+07	7.4839e+06 
76 	344.813	6.01288e+06	5.31633e+07	7.48932e+06
