/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg       	max       	std        
0  	532.787	7.0474e+06	5.0184e+07	8.97665e+06
1  	488.298	6.91126e+06	4.54804e+07	8.74892e+06
2  	443.126	6.91801e+06	4.85421e+07	8.88124e+06
3  	443.126	6.99093e+06	5.67276e+07	8.69998e+06
4  	426.068	6.95006e+06	4.86276e+07	8.473e+06  
5  	426.068	6.65477e+06	4.26486e+07	8.10687e+06
6  	426.068	6.49806e+06	4.16099e+07	8.0092e+06 
7  	426.068	6.464e+06  	4.91462e+07	8.05767e+06
8  	426.068	6.53409e+06	4.9365e+07 	8.14672e+06
9  	426.068	6.64697e+06	5.09955e+07	8.12737e+06
10 	426.068	6.50859e+06	4.79472e+07	8.23495e+06
11 	426.068	6.65667e+06	5.65475e+07	8.24446e+06
12 	372.214	6.51937e+06	4.70308e+07	7.84174e+06
13 	372.214	6.58876e+06	6.24749e+07	8.1036e+06 
14 	372.214	6.46032e+06	5.45141e+07	8.11052e+06
15 	372.214	6.34681e+06	4.28447e+07	7.70966e+06
16 	372.214	6.36683e+06	5.78714e+07	7.98741e+06
17 	372.214	6.47904e+06	4.39328e+07	8.13449e+06
18 	372.214	6.43554e+06	5.21298e+07	8.18926e+06
19 	372.214	6.51092e+06	5.55884e+07	8.43538e+06
20 	372.214	6.43658e+06	5.99154e+07	8.48291e+06
21 	372.214	6.21457e+06	4.74485e+07	8.05789e+06
22 	372.214	6.22467e+06	4.51116e+07	7.92333e+06
23 	372.214	6.14418e+06	4.33584e+07	7.70459e+06
24 	372.214	6.15139e+06	3.63226e+07	7.54262e+06
25 	372.214	6.0477e+06 	3.5868e+07 	7.57591e+06
26 	372.214	6.08561e+06	3.67344e+07	7.27763e+06
27 	372.214	6.23284e+06	5.06124e+07	7.64913e+06
28 	372.214	6.17462e+06	4.55359e+07	8.0522e+06 
29 	372.214	6.35203e+06	5.32285e+07	8.62303e+06
30 	372.214	6.13458e+06	4.72804e+07	8.07163e+06
31 	372.214	6.23191e+06	5.54628e+07	8.08001e+06
32 	360.031	6.57354e+06	5.92537e+07	8.59616e+06
33 	360.031	6.69341e+06	6.13571e+07	9.17081e+06
34 	360.031	6.76689e+06	5.7729e+07 	9.03246e+06
35 	358.094	6.85381e+06	5.74345e+07	9.03421e+06
36 	358.094	6.72741e+06	4.79516e+07	8.93531e+06
37 	358.094	6.61648e+06	4.33603e+07	8.36723e+06
38 	312.354	6.54438e+06	4.61166e+07	8.39747e+06
39 	312.354	6.62336e+06	5.06958e+07	8.61713e+06
40 	312.354	6.62319e+06	5.48278e+07	8.61332e+06
41 	312.354	6.6795e+06 	5.60728e+07	8.52883e+06
42 	312.354	6.58052e+06	4.61981e+07	8.14127e+06
43 	312.354	6.46183e+06	4.65032e+07	8.01201e+06
44 	312.354	6.20514e+06	4.26699e+07	7.53601e+06
45 	312.354	6.03524e+06	4.44866e+07	7.31749e+06
46 	312.354	6.1133e+06 	3.79342e+07	7.38848e+06
47 	312.354	6.13579e+06	4.58909e+07	7.63595e+06
48 	312.354	6.0538e+06 	4.4317e+07 	7.56278e+06
49 	312.354	5.99189e+06	5.43234e+07	7.92775e+06
50 	312.354	5.94583e+06	4.8856e+07 	8.10865e+06
51 	312.354	6.00638e+06	5.13382e+07	8.19044e+06
52 	312.354	5.98436e+06	4.70466e+07	7.91079e+06
53 	312.354	5.92436e+06	4.70466e+07	7.53014e+06
54 	312.354	5.76421e+06	4.55565e+07	7.69064e+06
55 	312.354	5.67735e+06	4.02733e+07	7.39273e+06
56 	312.354	5.78463e+06	3.92509e+07	7.24934e+06
57 	312.354	5.90588e+06	4.84565e+07	7.785e+06  
58 	312.354	5.93175e+06	5.72583e+07	7.7342e+06 
59 	312.354	5.86342e+06	6.10009e+07	7.78275e+06
60 	312.354	5.88398e+06	4.33358e+07	7.67214e+06
61 	312.354	5.92775e+06	4.42708e+07	7.67471e+06
62 	312.354	5.79342e+06	5.11613e+07	7.44789e+06
63 	312.354	5.8324e+06 	4.25153e+07	7.28266e+06
64 	312.354	5.81788e+06	4.94217e+07	7.4509e+06 
65 	312.354	5.98157e+06	4.81805e+07	7.45986e+06
66 	312.354	5.93022e+06	4.4615e+07 	7.53732e+06
67 	312.354	5.94981e+06	4.19062e+07	7.41481e+06
68 	312.354	5.96611e+06	5.07445e+07	7.36865e+06
69 	312.354	5.97365e+06	4.08318e+07	7.37368e+06
70 	312.354	6.05488e+06	3.92651e+07	7.65944e+06
71 	312.354	6.15107e+06	4.45813e+07	7.83577e+06
72 	312.354	5.95779e+06	4.51789e+07	7.46744e+06
73 	312.354	5.74813e+06	3.77022e+07	7.19825e+06
74 	312.354	5.92822e+06	3.73335e+07	7.28467e+06
75 	312.354	5.79316e+06	4.35963e+07	7.34261e+06
76 	312.354	5.92968e+06	4.7479e+07 	7.63231e+06
77 	312.354	6.10111e+06	4.52604e+07	7.73044e+06
78 	312.354	6.21966e+06	4.8861e+07 	8.10355e+06
79 	312.354	5.92527e+06	5.29915e+07	7.91351e+06
