/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max        	std        
0  	458.14	7.05933e+06	5.52876e+07	8.59624e+06
1  	458.14	6.75504e+06	4.64231e+07	8.35595e+06
2  	458.14	6.71491e+06	4.46861e+07	8.33232e+06
3  	369.44	6.80609e+06	5.15818e+07	8.63309e+06
4  	369.44	6.68157e+06	4.94666e+07	8.35019e+06
5  	369.44	6.53031e+06	4.96081e+07	8.16547e+06
6  	369.44	6.31929e+06	5.71804e+07	8.16057e+06
7  	369.44	6.14734e+06	4.91526e+07	7.57348e+06
8  	369.44	6.43878e+06	4.46758e+07	7.83372e+06
9  	369.44	6.50683e+06	4.46758e+07	7.88403e+06
10 	369.44	6.6123e+06 	5.12098e+07	8.15903e+06
11 	369.44	6.62374e+06	5.20587e+07	8.30875e+06
12 	369.44	6.66976e+06	6.06211e+07	8.5815e+06 
13 	369.44	6.63732e+06	5.73583e+07	8.55449e+06
14 	369.44	6.56394e+06	4.49528e+07	8.25485e+06
15 	369.44	6.51137e+06	4.65382e+07	8.27689e+06
16 	369.44	6.55338e+06	4.44763e+07	8.14989e+06
17 	369.44	6.60547e+06	4.42267e+07	8.29066e+06
18 	369.44	6.72655e+06	5.66612e+07	8.59357e+06
19 	369.44	6.66937e+06	5.89023e+07	8.74485e+06
20 	369.44	6.74011e+06	4.72017e+07	8.50734e+06
21 	369.44	6.69926e+06	5.17902e+07	8.49436e+06
22 	369.44	6.59281e+06	4.79024e+07	8.08413e+06
23 	369.44	6.36196e+06	5.32631e+07	8.07447e+06
24 	369.44	6.26602e+06	4.35908e+07	7.87077e+06
25 	369.44	6.38709e+06	5.05935e+07	8.05179e+06
26 	369.44	6.37915e+06	4.534e+07  	7.91351e+06
27 	369.44	6.31882e+06	4.91267e+07	7.98395e+06
28 	369.44	6.32641e+06	4.59415e+07	7.90287e+06
29 	369.44	6.23162e+06	4.57963e+07	7.75601e+06
30 	369.44	6.22111e+06	5.4854e+07 	8.21562e+06
31 	369.44	6.38045e+06	5.70638e+07	8.54102e+06
32 	369.44	6.40458e+06	5.2407e+07 	8.21219e+06
33 	369.44	6.5612e+06 	4.63384e+07	8.31807e+06
34 	369.44	6.42927e+06	4.63384e+07	7.99784e+06
35 	369.44	6.23995e+06	4.63384e+07	7.99253e+06
36 	369.44	6.00799e+06	4.30366e+07	7.41263e+06
37 	369.44	6.27064e+06	4.70337e+07	8.00624e+06
38 	369.44	6.15593e+06	5.01714e+07	7.83281e+06
39 	369.44	6.18711e+06	5.23288e+07	8.0496e+06 
40 	369.44	6.02272e+06	5.39794e+07	8.04275e+06
41 	369.44	6.0007e+06 	5.48216e+07	7.98139e+06
42 	369.44	6.04183e+06	4.42416e+07	7.71682e+06
43 	369.44	5.93358e+06	4.83913e+07	7.31558e+06
44 	369.44	6.12914e+06	5.02148e+07	7.71859e+06
45 	369.44	6.01959e+06	4.49182e+07	7.42698e+06
46 	369.44	6.08222e+06	4.66943e+07	7.54218e+06
47 	369.44	5.88109e+06	4.26364e+07	7.40406e+06
48 	369.44	5.938e+06  	4.4132e+07 	7.50125e+06
