/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max        	std        
0  	3.28793e+08	2.46821e+09	1.03594e+11	5.50094e+09
1  	2.84337e+08	2.34497e+09	4.24184e+10	3.63245e+09
2  	2.84337e+08	2.2913e+09 	4.66229e+10	3.30515e+09
3  	2.5801e+08 	2.28459e+09	4.18392e+10	2.97465e+09
4  	2.5801e+08 	2.16259e+09	1.94273e+10	2.5059e+09 
5  	2.5801e+08 	2.1306e+09 	2.20347e+10	2.42187e+09
6  	2.53005e+08	2.13929e+09	2.52063e+10	2.64559e+09
7  	2.53005e+08	2.11694e+09	2.28357e+10	2.39624e+09
8  	2.06233e+08	2.08523e+09	2.38717e+10	2.37933e+09
9  	2.06233e+08	2.08772e+09	1.82675e+10	2.26007e+09
10 	2.06233e+08	2.0747e+09 	2.38416e+10	2.29429e+09
11 	2.06233e+08	2.14797e+09	3.13706e+10	2.74238e+09
12 	2.06233e+08	2.18696e+09	3.00881e+10	2.84402e+09
13 	2.06233e+08	2.18939e+09	2.8112e+10 	2.7785e+09 
14 	2.06233e+08	2.26425e+09	3.71898e+10	3.29536e+09
15 	2.06233e+08	2.31485e+09	3.49728e+10	3.26985e+09
16 	2.06233e+08	2.3306e+09 	4.5573e+10 	3.51413e+09
17 	1.95802e+08	2.16668e+09	2.66183e+10	2.53868e+09
18 	1.87035e+08	2.12369e+09	2.35615e+10	2.54322e+09
19 	1.87035e+08	2.13731e+09	2.35615e+10	2.62429e+09
20 	1.87035e+08	2.12685e+09	3.40438e+10	2.73482e+09
21 	1.87035e+08	2.24675e+09	5.36013e+10	3.56302e+09
22 	1.87035e+08	2.38818e+09	6.45544e+10	4.25272e+09
23 	1.87035e+08	2.23661e+09	3.08783e+10	2.91926e+09
24 	1.87035e+08	2.19956e+09	4.89608e+10	3.44588e+09
25 	1.87035e+08	2.28018e+09	5.51153e+10	3.68375e+09
26 	1.87035e+08	2.16586e+09	3.25645e+10	2.96747e+09
27 	1.87035e+08	2.34452e+09	8.71477e+10	4.47829e+09
28 	1.87035e+08	2.21882e+09	5.55899e+10	3.41688e+09
29 	1.87035e+08	2.37799e+09	4.95379e+10	4.17458e+09
30 	1.87035e+08	2.30133e+09	4.45092e+10	3.87298e+09
31 	1.87035e+08	2.22225e+09	3.16618e+10	2.92023e+09
32 	1.87035e+08	2.16088e+09	3.3969e+10 	2.70308e+09
33 	1.87035e+08	2.19062e+09	2.27235e+10	2.70828e+09
34 	1.87035e+08	2.0962e+09 	2.14717e+10	2.40443e+09
35 	1.87035e+08	2.16881e+09	2.16523e+10	2.52653e+09
36 	1.80933e+08	2.18791e+09	2.8231e+10 	2.74257e+09
37 	1.79381e+08	2.13101e+09	3.63618e+10	2.84081e+09
38 	1.79381e+08	2.10262e+09	3.52503e+10	2.75468e+09
39 	1.79381e+08	2.11285e+09	4.30925e+10	2.97671e+09
40 	1.3822e+08 	2.07754e+09	3.67199e+10	3.00425e+09
41 	1.33512e+08	2.19604e+09	6.32645e+10	3.8652e+09 
42 	1.33512e+08	2.07298e+09	2.31064e+10	2.52553e+09
43 	1.33512e+08	2.06419e+09	2.68346e+10	2.45919e+09
44 	1.33512e+08	2.06145e+09	2.04314e+10	2.42921e+09
45 	1.33512e+08	2.00097e+09	2.64302e+10	2.38876e+09
46 	1.33512e+08	1.97429e+09	2.31956e+10	2.17642e+09
47 	1.33512e+08	2.01611e+09	1.78589e+10	2.18737e+09
48 	1.33512e+08	2.12898e+09	3.32657e+10	2.80179e+09
49 	1.33512e+08	2.19016e+09	3.69554e+10	3.14211e+09
50 	1.3096e+08 	2.24862e+09	5.09559e+10	3.5421e+09 
51 	1.3096e+08 	2.33176e+09	6.41564e+10	4.28227e+09
52 	1.3096e+08 	2.19871e+09	1.1232e+11 	4.5482e+09 
53 	1.3096e+08 	2.14024e+09	3.66246e+10	2.96798e+09
54 	1.23455e+08	2.07031e+09	2.58104e+10	2.36599e+09
55 	1.23455e+08	2.14233e+09	3.21674e+10	2.80186e+09
56 	1.23455e+08	2.14091e+09	3.36081e+10	2.97792e+09
57 	1.23455e+08	2.15287e+09	4.29657e+10	3.12692e+09
58 	1.23455e+08	2.07103e+09	4.01648e+10	2.9556e+09 
59 	1.23455e+08	1.98899e+09	3.00984e+10	2.65409e+09
60 	1.23455e+08	1.97262e+09	2.80026e+10	2.15223e+09
61 	1.23455e+08	1.99323e+09	3.802e+10  	2.2523e+09 
62 	1.23455e+08	1.99053e+09	2.2454e+10 	2.29886e+09
63 	1.23455e+08	2.01362e+09	2.08897e+10	2.43903e+09
64 	1.23455e+08	2.13799e+09	4.79155e+10	3.57949e+09
65 	1.09397e+08	2.13867e+09	4.73229e+10	3.33383e+09
66 	1.09397e+08	1.99921e+09	2.74779e+10	2.35385e+09
67 	1.09397e+08	2.04316e+09	2.20911e+10	2.48397e+09
68 	1.09397e+08	2.05173e+09	2.22869e+10	2.53058e+09
69 	1.09397e+08	2.14855e+09	4.16551e+10	3.13409e+09
70 	1.09397e+08	2.04422e+09	1.94694e+10	2.5012e+09 
71 	1.09397e+08	2.07599e+09	2.41165e+10	2.71651e+09
72 	1.09397e+08	2.07907e+09	2.90138e+10	2.76746e+09
73 	1.09397e+08	2.0387e+09 	3.12662e+10	2.65162e+09
74 	1.09397e+08	2.08671e+09	3.12662e+10	2.90542e+09
75 	1.09397e+08	2.04331e+09	3.10869e+10	2.81585e+09
76 	1.09397e+08	1.89941e+09	1.79484e+10	2.13675e+09
77 	1.09397e+08	1.96235e+09	2.22669e+10	2.32562e+09
78 	1.09397e+08	1.98186e+09	3.59326e+10	2.54232e+09
79 	1.09397e+08	2.05088e+09	3.64479e+10	2.72035e+09
80 	1.09397e+08	2.00111e+09	2.60092e+10	2.49989e+09
81 	1.09397e+08	2.0016e+09 	2.57546e+10	2.48889e+09
82 	1.09397e+08	1.91336e+09	2.44096e+10	2.40583e+09
83 	1.09397e+08	1.81483e+09	2.51856e+10	2.14699e+09
84 	1.02761e+08	1.84191e+09	1.86208e+10	2.10457e+09
85 	1.02761e+08	1.93092e+09	2.18464e+10	2.35592e+09
86 	1.02177e+08	1.89478e+09	1.96937e+10	2.19953e+09
87 	1.02177e+08	1.85335e+09	1.74658e+10	1.95477e+09
88 	1.02177e+08	1.94964e+09	4.79196e+10	2.82013e+09
89 	1.02177e+08	1.91468e+09	4.33171e+10	2.55394e+09
90 	1.02177e+08	1.84235e+09	2.8136e+10 	2.05463e+09
91 	1.02177e+08	1.76105e+09	2.21552e+10	1.8518e+09 
92 	1.02177e+08	1.76837e+09	1.38349e+10	1.75786e+09
93 	1.02177e+08	1.78888e+09	1.68517e+10	1.98458e+09
94 	1.02177e+08	1.77933e+09	2.09543e+10	2.00459e+09
95 	1.02177e+08	1.75926e+09	1.75069e+10	1.85803e+09
96 	1.02177e+08	1.79629e+09	2.0736e+10 	1.91631e+09
97 	9.37311e+07	1.94086e+09	2.93716e+10	2.51562e+09
98 	9.37311e+07	2.05479e+09	3.82532e+10	3.05515e+09
99 	9.37311e+07	1.96458e+09	3.66426e+10	2.69361e+09
100	9.37311e+07	1.8717e+09 	2.3078e+10 	2.29567e+09
101	9.37311e+07	1.89494e+09	1.87301e+10	2.2029e+09 
102	9.37311e+07	1.91442e+09	1.99227e+10	2.19261e+09
103	9.37311e+07	1.91386e+09	2.25767e+10	2.15066e+09
104	9.37311e+07	1.93554e+09	3.97549e+10	2.58331e+09
105	9.37311e+07	2.03151e+09	4.24208e+10	3.34887e+09
106	9.37311e+07	2.02062e+09	3.46793e+10	3.00401e+09
107	9.37311e+07	1.96581e+09	2.30293e+10	2.65138e+09
108	9.37311e+07	2.00885e+09	2.65141e+10	2.80613e+09
109	9.37311e+07	1.95763e+09	3.29269e+10	2.62485e+09
110	9.37311e+07	1.95057e+09	4.12901e+10	2.71312e+09
111	9.37311e+07	1.86777e+09	2.15057e+10	2.17364e+09
112	9.12601e+07	1.80648e+09	2.16508e+10	1.8727e+09 
113	9.12601e+07	1.87725e+09	2.27219e+10	2.08719e+09
