/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max    	std   
0  	2671.5	4076.7	5375.32	425.62
1  	2671.5	4069.83	5328   	426.198
2  	2671.5	4075.21	5176.77	427.68 
3  	2671.5	4071.21	5237.04	424.99 
4  	2671.5	4066.47	5211.11	425.367
5  	2671.5	4064.78	5263.37	429.868
6  	2671.5	4062.56	5111.21	419.341
7  	2671.5	4062.27	5112.12	412.942
8  	2600.13	4065.04	5069.45	419.493
9  	2600.13	4059.38	5093.73	417.233
10 	2600.13	4056.98	5347.46	438.631
11 	2600.13	4057.02	5256.81	440.945
12 	2531.55	4058.05	5103.14	443.591
13 	2522.94	4059.46	5072.18	429.042
14 	2522.94	4056.54	5133.61	435.905
15 	2298.91	4055.9 	5101.98	440.917
16 	2227.09	4055.54	5325.19	440.647
17 	2085.05	4053.96	5306.09	441.126
18 	2085.05	4052.83	5213.57	448.562
19 	2085.05	4056.84	5283.84	446.491
20 	2085.05	4056.31	5178.87	444.961
21 	2085.05	4053.86	5178.87	435.304
22 	2085.05	4056.57	5138.08	430.153
23 	2085.05	4055.15	5138.08	443.021
24 	2085.05	4056.64	5219.9 	443.684
25 	2085.05	4049.09	5193.12	441.916
26 	2085.05	4047.76	5104.52	439.902
27 	2085.05	4043.68	5251.45	444.003
28 	2085.05	4045.69	5262.62	461.871
29 	2085.05	4043.51	5226.42	456.395
30 	2085.05	4044.12	5238.33	457.478
31 	2084.98	4045.64	5203.1 	455.306
32 	2084.98	4042.55	5059.98	450.698
33 	2084.98	4042.52	5219.39	457.656
34 	2084.98	4041.55	5286.55	454.736
35 	2084.98	4037.91	5359.59	459.508
36 	2084.98	4032.51	5329.53	459.658
37 	2084.98	4031.82	5273.73	456.369
38 	2084.98	4027.58	5230.27	464.871
39 	2084.98	4027.32	5294.71	464.373
40 	2084.98	4027.36	5234.15	466.324
41 	2084.98	4029.47	5269.05	458.784
42 	2084.98	4028.9 	5235.74	451.129
43 	2084.98	4028.74	5269.18	446.977
44 	2084.98	4026.52	5128.14	447.308
45 	2084.98	4025.08	5099.02	457.252
46 	2084.98	4027.6 	5217.91	474.861
47 	2084.98	4024.21	5239.44	473.467
48 	2084.98	4023.73	5335.14	472.04 
49 	2084.98	4022.59	5253.81	474.989
50 	2084.98	4013.45	5168.14	473.486
51 	2084.98	4014.92	5216.3 	466.161
52 	2084.98	4021.21	5128.75	460.249
53 	2084.98	4017.92	5115.44	461.453
54 	1998.18	4020.65	5321.19	461.496
55 	1998.18	4018.79	5529.97	455.203
56 	1998.18	4017.29	5482.4 	456.342
57 	1998.18	4007.91	5487.94	459.808
58 	1980.83	4009.9 	5355.74	469.158
59 	1980.83	4005.47	5208.44	466.589
60 	1980.83	4004.75	5194.09	466.658
61 	1980.83	4005.23	5185.62	461.446
62 	1980.83	4006.12	5131.67	447.847
63 	1980.83	4006.39	5354.42	445.954
64 	1803.81	4008.16	5241.67	449.978
65 	1803.81	4005.18	5325.14	450.036
66 	1803.81	3995.7 	5256.53	455.906
67 	1803.81	3993.81	5084.95	464.453
68 	1803.81	3994.12	5179.03	468.35 
69 	1803.81	3996.37	5146.36	464.722
70 	1803.81	3998.31	5099.65	464.38 
71 	1803.81	4003.31	5099.65	462.967
72 	1803.81	4003.15	5138.31	464.673
73 	1803.81	3999.1 	5028.27	459.902
74 	1803.81	4000.01	5133.15	471.012
75 	1803.81	3999.72	5145.98	466.229
76 	1803.81	3992.95	5221.93	475.785
77 	1803.81	3986.16	5240.65	479.626
78 	1803.81	3986.08	5414.54	473.946
79 	1803.81	3982.54	5281.39	475.021
80 	1803.81	3981.58	5197.33	472.856
81 	1800.8 	3980.72	5243.63	470.708
82 	1800.8 	3978.63	5197.54	462.776
83 	1800.8 	3976.14	5172.87	459.353
84 	1800.8 	3977.91	5159.17	460.315
85 	1800.8 	3975.08	5256.19	460.161
86 	1800.8 	3972.13	5159.24	459.627
87 	1800.8 	3974.04	5116.63	467.666
88 	1800.8 	3976.27	5285.92	457.762
89 	1800.8 	3972.44	5204.95	462.721
90 	1800.8 	3979.09	5268.87	468.277
91 	1800.8 	3973.41	5187.57	477.303
92 	1800.8 	3976.97	5203.46	480.774
93 	1800.8 	3968.28	5149.02	476.825
94 	1618.05	3963.14	5029.65	482.804
95 	1618.05	3961.54	5268.26	473.255
96 	1618.05	3970.01	5295.52	481.31 
97 	1618.05	3968.02	5218.6 	479.436
98 	1618.05	3963.76	5223.22	479.133
99 	1618.05	3962.69	5178.54	467.809
100	1618.05	3956.06	5178.54	469.713
101	1618.05	3956.47	5278.46	469.191
102	1618.05	3957.97	5231.19	467.32 
103	1618.05	3955.86	5246.94	468.042
104	1618.05	3957.7 	5409.64	464.605
105	1618.05	3958.96	5122.83	467.559
106	1618.05	3960.57	5129.04	471.92 
107	1618.05	3955.53	5129.04	474.281
108	1618.05	3955.99	5115.94	480.037
109	1618.05	3956.28	5204.23	486.076
110	1618.05	3959.46	5221.07	471.897
111	1618.05	3956.56	5161.38	471.789
112	1618.05	3949.69	5285   	467.901
113	1618.05	3952.25	5162.82	479.252
114	1618.05	3943.61	5171.85	474.521
115	1618.05	3945.53	5144.97	462.616
116	1618.05	3946.08	5218.59	462.908
117	1618.05	3947.29	5207.83	456.631
118	1618.05	3944.3 	5238.13	465.1  
119	1618.05	3945.03	5100.93	467.157
120	1618.05	3942.72	5116.05	477.713
121	1618.05	3945.17	5171.3 	475.998
122	1618.05	3951.94	5306.57	486.525
123	1618.05	3945.1 	5349.44	479.341
124	1618.05	3939.53	5185.19	486.449
125	1618.05	3929.01	5185.19	488.578
126	1618.05	3926.07	5160.26	490.273
127	1618.05	3930.6 	5127.89	496.107
128	1544.03	3927.6 	5356.14	498.232
129	1544.03	3923.14	5176.24	489.513
130	1544.03	3924.66	5249.04	493.366
131	1544.03	3920.39	5191.91	490.058
132	1544.03	3922.87	5208.81	495.04 
133	1544.03	3927.39	5208.81	491.813
