/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min      	avg    	max    	std    
0  	-0.120243	211.323	1059.02	141.796
1  	-0.120243	209.305	885.485	139.433
2  	-0.120243	207.757	904.402	139.793
3  	-0.120243	207.076	915.276	136.239
4  	-0.120243	204.6  	765.203	127.857
5  	-0.120243	205.208	799.587	125.151
6  	-0.120243	203.6  	807.447	128.238
7  	-3.14766 	203.277	765.996	126.562
8  	-3.14766 	203.925	893.761	128.93 
9  	-3.14766 	205.102	841.834	133.123
10 	-3.14766 	206.197	946.472	131.951
11 	-3.14766 	202.814	946.472	128.963
12 	-3.14766 	202.65 	729.348	123.901
13 	-3.14766 	202.757	800.667	131.169
14 	-3.14766 	203.979	824.194	133.388
15 	-3.14766 	204.304	959.74 	133.443
16 	-3.14766 	202.236	870.896	127.825
17 	-3.16325 	199.758	785.583	129.067
18 	-3.16325 	201.886	756.994	131.547
19 	-3.16325 	201.441	874.322	133.317
20 	-3.16325 	201.354	843.74 	136.112
21 	-3.16325 	196.573	950.911	129.234
22 	-3.16325 	192.992	841.881	125.846
23 	-3.16325 	189.926	785.065	121.756
24 	-4.91429 	190.587	844.925	127.899
25 	-4.91429 	189.615	776.827	124.071
26 	-4.91429 	189.905	891.99 	124.791
27 	-9.53882 	189.597	891.99 	123.697
28 	-9.53882 	191.483	804.586	127.68 
29 	-9.53882 	194.781	866.219	127.747
30 	-9.53882 	192.404	885.265	122.579
31 	-9.64642 	193.354	767.25 	123.71 
32 	-10.0895 	192.19 	882.935	125.614
33 	-10.0895 	189.139	789.039	123.515
34 	-10.0895 	188.437	968.184	121.816
35 	-10.0895 	186.283	917.466	119.798
36 	-10.0895 	188.674	838.147	122.955
37 	-10.0895 	186.165	697.408	116.095
38 	-10.0895 	187.066	1022.04	127.82 
39 	-10.0895 	187.452	915.768	129.01 
40 	-10.0895 	187.887	1019.02	126.26 
41 	-10.0895 	191.593	828.691	127.278
42 	-10.0895 	192.423	809.482	124.43 
43 	-10.0895 	192.398	727.684	123.337
44 	-10.0895 	191.892	751.962	123.204
45 	-10.0895 	190.904	751.962	121.029
46 	-10.0895 	189.732	798.874	122.7  
47 	-10.0895 	190.476	732.52 	125.697
48 	-12.9907 	188.631	790.544	126.667
49 	-12.9907 	187.744	831.092	126.626
50 	-12.9907 	188.715	877.777	128.047
51 	-15.6603 	192.263	831.733	129.031
52 	-20.0216 	191.219	919.061	125.96 
53 	-20.0216 	187.925	862.731	124.791
54 	-20.0216 	191.006	771.27 	126.735
55 	-20.0216 	192.318	731.388	126.278
56 	-23.263  	190.976	811.794	124.264
