/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min  	avg    	max    	std    
0  	100.5	152.727	207.555	15.5321
1  	100.5	151.401	199.257	15.5915
2  	100.5	152.605	202.311	15.1109
3  	100.5	152.453	201.735	15.9868
4  	100.5	152.09 	204.73 	15.4425
5  	100.5	153.096	215.323	15.6733
6  	100.5	151.503	204.345	15.3139
7  	100.5	151.603	203.964	15.2266
8  	100.5	151.618	201.438	15.1805
9  	100.5	151.39 	208.864	15.3429
10 	100.5	151.789	210.363	15.3313
11 	100.5	152.085	198.906	16.3302
12 	100.5	150.982	195.653	15.3117
13 	100.5	151.844	195.714	15.04  
14 	99.567	151.953	208.066	15.8121
15 	99.567	151.766	198.605	15.6918
16 	99.567	151.094	205.184	16.0204
17 	99.567	152.332	204.363	15.6788
18 	99.567	151.844	202.844	15.4952
19 	99.567	152.305	208.045	15.7071
20 	99.567	152.561	204.393	16.0167
21 	99.567	151.208	194.176	14.6137
22 	99.567	152.2  	199.59 	14.8409
23 	99.567	151.858	198.663	14.7991
24 	99.567	151.968	198.254	15.4054
25 	99.567	152.824	202.037	14.9072
26 	99.567	151.916	207.72 	15.7932
27 	99.567	152.107	207.72 	15.2101
28 	99.567	152.369	194.427	15.3167
29 	99.567	151.515	200.771	15.6559
30 	99.567	152.4  	207.412	15.7448
31 	99.567	153.033	205.898	15.4756
32 	99.567	152.13 	205.75 	15.3026
33 	99.567	152.042	197.445	15.0565
34 	99.567	150.362	205.112	14.8157
35 	99.567	152.043	200.963	15.2482
36 	99.567	152.086	203.171	15.4941
37 	99.567	152.238	211.988	16.4235
38 	99.567	152.075	204.376	15.5602
39 	99.567	151.958	214.717	15.6262
40 	99.567	152.843	210.632	15.5555
41 	99.567	152.328	197.205	15.1721
42 	99.567	151.201	201.413	15.5894
43 	99.567	152.824	202.725	15.543 
44 	99.567	151.852	204.008	15.653 
45 	99.567	152.959	200.273	15.7128
46 	99.567	153.581	208.798	15.608 
47 	99.2422	152.516	207.765	15.9596
48 	99.2422	151.974	200.648	15.1512
49 	99.2422	151.261	210.226	15.2224
50 	99.2422	152.498	200.609	16.0885
51 	99.2422	152.596	198.847	15.2952
52 	99.2422	152.289	202.432	15.6138
53 	99.2422	152.618	201.658	15.7431
54 	99.2422	152.119	196.076	15.0196
55 	99.2422	152.249	205.104	15.6419
56 	99.2422	152.365	205.104	15.7959
57 	99.2422	151.712	212.336	15.8029
58 	99.2422	150.975	203.069	15.2138
59 	99.2422	151.47 	207.253	15.2217
60 	99.2422	152.515	201.178	16.1787
61 	99.2422	151.985	201.071	16.0733
62 	99.2422	153.104	224.206	17.0264
63 	99.2422	152.559	205.89 	16.2871
64 	99.2422	151.942	198.119	15.5658
65 	99.2422	153.09 	201.525	16.0179
66 	99.2422	151.908	200.125	15.6322
67 	99.2422	153.028	202.034	15.4347
68 	99.2422	152.083	201.575	15.5937
69 	99.2422	152.029	211.176	15.4215
70 	99.2422	152.773	202.351	15.9866
71 	99.2422	151.912	210.292	15.3826
72 	99.2422	151.994	197.486	15.8327
73 	99.2422	152.276	208.336	15.8672
74 	99.2422	152.74 	198.656	15.3095
75 	99.2422	152.325	206.597	16.1667
76 	99.2422	152.036	202.406	15.8587
77 	99.2422	151.753	208.872	15.4907
78 	99.2422	152.217	203.432	15.2234
79 	99.2422	151.966	202.056	14.8762
80 	99.2422	152.459	202.741	15.5117
81 	99.2422	152.793	209.735	16.1509
82 	99.2422	151.494	206.657	15.1824
83 	99.2422	151.49 	194.14 	15.727 
84 	99.2422	152.18 	210.253	15.39  
85 	99.2422	153.447	207.515	15.7696
86 	99.2422	152.739	203.585	15.6378
87 	99.2422	152.734	206.077	15.6312
88 	99.2422	152.539	209.544	15.6762
89 	99.2422	151.513	195.563	15.0392
90 	99.2422	152.18 	221.102	16.04  
91 	99.2422	152.296	202.609	15.871 
92 	99.2422	152.212	202.609	15.3552
93 	99.2422	151.71 	204.776	15.9892
94 	99.2422	151.801	199.659	15.1688
95 	99.2422	151.873	202.423	15.3322
96 	99.2422	152.497	204.896	15.5026
97 	99.2422	152.887	201.666	16.3231
98 	99.2422	151.506	198.61 	14.8554
99 	99.2422	151.863	199.54 	15.0509
100	99.2422	151.937	203.286	15.135 
101	99.2422	152.196	200.326	15.2139
102	99.2422	151.337	195.853	15.0601
103	99.2422	151.772	201.078	15.5259
104	99.2422	152.441	206.284	15.1488
105	99.2422	151.872	212.534	15.3242
106	99.2422	153.154	200.544	15.2282
107	99.2422	152.035	204.453	15.1963
108	99.2422	153.06 	209.234	15.6929
109	99.2422	152.553	206.398	15.6073
110	99.2422	151.909	206.763	16.0009
111	99.2422	152.269	202.42 	16.2367
112	99.2422	152.175	201.82 	16.0095
113	99.2422	151.225	201.092	14.8678
114	99.2422	151.741	204.771	15.5998
115	99.2422	151.461	199.133	16.0508
116	99.2422	152.535	201.809	15.1991
117	99.2422	152.295	218.46 	15.0506
118	99.2422	152.242	197.579	15.3905
119	99.2422	153.591	203.309	16.0701
120	99.2422	151.968	203.28 	15.5662
121	99.2422	152.789	210.856	15.8399
122	99.2422	151.56 	204.894	15.7743
123	99.2422	152.953	201.23 	15.3481
124	99.2422	152.71 	206.845	15.8357
125	99.2422	152.746	200.14 	15.1271
126	99.2422	151.807	204.459	15.7267
127	99.2422	152.931	205.454	15.6096
128	99.2422	153.094	210.304	15.8325
129	99.2422	151.181	199.619	15.7944
130	99.2422	152.895	197.957	15.0531
131	99.2422	153.23 	198.862	14.7967
132	99.2422	153.854	209.796	15.4506
133	99.2422	152.291	200.968	15.5895
134	99.2422	152.957	200.961	15.6068
135	99.2422	152.738	208.313	15.5225
136	99.2422	151.579	206.044	15.2641
137	99.2422	151.408	205.202	14.9314
138	99.2422	151.743	207.597	15.7317
139	99.2422	152.353	200.894	15.3079
140	99.2422	152.609	207.051	16.0463
141	99.2422	151.69 	205.105	15.304 
142	99.2422	152.907	204.038	15.9602
143	99.2422	153.247	206.464	15.1089
144	99.2422	152.544	212.057	15.2568
145	99.2422	151.743	209.38 	16.2336
146	99.2422	151.99 	202.827	15.5718
147	99.2422	152.284	202.725	15.411 
148	99.2422	151.812	207.371	15.3717
149	97.6116	151.267	206.771	15.962 
150	97.6116	151.21 	206.771	15.604 
151	97.6116	151.785	214.298	16.5794
152	97.6116	152.32 	206.107	15.6319
153	97.6116	151.847	197.12 	15.8084
154	97.6116	152.131	199.839	15.6397
155	97.6116	152.104	203.437	15.5584
156	97.6116	151.818	200.533	14.8368
157	97.6116	151.492	208.551	15.2398
158	97.6116	151.545	197.392	15.2313
159	97.6116	151.924	199.216	15.6528
160	97.6116	151.151	195.981	15.4394
161	97.6116	152.159	201.536	15.855 
162	97.6116	152.051	209.678	15.7303
163	97.6116	153.206	204.885	16.3803
164	97.6116	152.928	208.149	15.9038
165	97.6116	152.108	208.149	15.6364
166	97.6116	151.913	205.932	16.2505
167	97.6116	152.266	197.954	15.0885
168	97.6116	151.496	205.674	15.7183
169	97.6116	151.796	197.846	14.6308
170	97.6116	152.562	204.304	14.7238
171	97.6116	152.339	202.954	15.445 
172	97.6116	152.951	198.567	15.6742
173	97.6116	152.462	199.131	15.6141
174	97.6116	152.452	207.923	15.6141
175	97.6116	152.77 	197.842	14.834 
176	97.6116	152.952	195.459	15.0835
177	97.6116	153.989	206.162	15.903 
178	97.6116	152.207	207.222	15.7719
179	97.6116	152.934	212.522	16.3695
180	97.6116	153.837	215.272	15.9491
181	97.6116	152.622	208.231	15.3775
182	97.6116	153.211	217.971	15.4524
183	97.6116	152.112	198.377	15.523 
184	97.6116	152.977	205.833	15.9903
185	97.6116	152.742	207.147	15.6096
186	97.6116	152.892	209.146	15.9043
187	97.6116	152.876	217.174	15.7413
188	97.6116	153.625	205.878	15.8307
189	97.6116	152.713	205.218	15.7812
190	97.6116	153.211	206.294	16.2908
191	97.6116	153.573	199.768	16.0714
192	97.6116	152.223	214.069	16.129 
193	97.6116	152.739	203.264	16.0644
194	97.6116	152.548	199.078	15.6288
195	97.6116	152.486	208.484	15.6149
196	97.6116	152.442	201.27 	15.2425
197	97.6116	152.962	196.717	15.8979
198	97.6116	152.773	204.97 	15.3814
199	97.6116	152.926	205.586	15.5946
200	97.6116	151.995	201.763	15.5252
201	97.6116	152.997	200.389	15.7775
202	97.6116	151.755	207.597	15.7627
203	97.6116	151.883	205.305	15.1065
204	97.6116	152.581	203.586	15.1871
205	97.6116	152.557	205.536	15.5808
206	97.6116	152.997	208.314	15.6879
207	97.6116	154.241	206.079	16.1637
208	97.6116	152.564	202.013	15.329 
209	97.6116	151.766	204.731	15.4246
210	97.6116	152.093	214.949	15.2254
211	97.6116	153.072	201.239	15.4265
212	97.6116	152.654	200.144	15.7851
213	97.6116	152.552	224.191	15.6602
214	97.6116	151.838	197.425	15.4474
215	97.6116	152.922	201.661	15.1785
216	97.6116	152.975	195.41 	15.1079
217	97.6116	153.255	203.112	15.1619
218	97.6116	153.676	202.655	15.8957
219	97.6116	152.371	199.195	15.9736
220	97.6116	151.68 	199.195	15.2832
221	97.6116	152.383	204.364	15.0856
222	97.6116	152.451	193.426	15.1656
223	97.6116	152.688	204.009	15.4252
224	97.6116	152.462	203.146	15.6914
225	97.6116	152.711	209.739	15.6551
226	97.6116	152.993	202.385	15.4957
227	97.6116	153.759	203.715	15.7305
228	97.6116	153.156	202.377	16.0145
229	97.6116	153.226	205.997	15.8699
230	97.6116	152.763	195.719	14.785 
231	97.6116	152.354	199.538	14.9783
232	97.6116	152.883	197.893	15.087 
233	97.6116	152.782	198.252	14.6144
234	97.6116	154.106	204.002	15.3336
235	97.6116	153.026	201.974	15.5883
236	97.6116	152.956	200.679	15.7763
237	97.6116	152.352	203.32 	15.4482
238	97.6116	153.37 	202.845	15.8368
239	97.6116	153.215	213.782	16.5696
240	97.6116	151.729	198.947	14.8664
241	97.6116	151.648	199.717	15.5003
242	97.6116	152.766	199.717	15.0383
243	97.6116	153.189	209.1  	15.5505
244	97.6116	153.564	214.084	15.696 
245	97.6116	153.439	200.434	16.1849
246	97.6116	152.745	215.677	16.0262
247	97.6116	152.967	196.463	14.6423
248	97.6116	153.067	196.445	15.2677
