/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max    	std   
0  	105.18	152.135	202.228	15.393
1  	105.18	152.505	208.137	16.0543
2  	105.18	151.823	208.137	15.5366
3  	105.18	151.815	207.091	15.4864
4  	105.18	151.124	209.571	15.6868
5  	105.18	151.976	202.616	15.6307
6  	105.18	151.121	194.513	15.5656
7  	105.18	151.896	199.879	15.454 
8  	105.18	152.639	197.903	15.5267
9  	105.18	152.866	219.447	15.4686
10 	105.18	151.812	202.637	15.5167
11 	105.18	151.577	206.807	15.9859
12 	105.18	152.684	201.053	14.9967
13 	101.832	151.601	202.344	15.2833
14 	101.832	151.457	193.231	15.5838
15 	101.832	152.212	204.224	16.3501
16 	101.832	152.37 	205.717	15.8264
17 	101.832	152.641	205.717	15.8992
18 	101.832	151.682	213.853	15.5695
19 	101.832	152.469	205.553	15.0767
20 	101.832	152.118	209.782	16.2637
21 	101.832	152.917	198.474	15.2169
22 	101.832	152.077	201.167	15.8777
23 	101.832	153.33 	208.788	15.8901
24 	101.832	152.133	204.49 	15.8239
25 	101.832	152.206	211.013	15.168 
26 	101.832	150.973	199.481	15.3011
27 	101.832	151.804	202.099	15.0138
28 	101.832	151.822	208.295	15.5255
29 	101.832	152.134	203.19 	15.6938
30 	101.832	151.855	202.368	15.7529
31 	101.832	151.384	202.368	15.1367
32 	101.832	151.465	207.16 	15.621 
33 	101.832	151.438	207.16 	15.3186
34 	101.832	152.969	206.812	15.7762
35 	101.09 	151.654	210.516	15.9627
36 	101.09 	151.96 	201.621	16.4068
37 	101.09 	151.465	202.382	15.4433
38 	101.09 	151.947	200.693	16.3252
39 	101.09 	152.348	204.522	15.317 
40 	101.09 	152.834	207.348	15.203 
41 	101.09 	152.425	204.346	15.6976
42 	101.09 	152.424	208.416	15.4718
43 	101.09 	152.13 	203.258	16.1871
44 	101.09 	152.672	209.774	15.511 
45 	101.09 	152.33 	208.76 	15.9085
46 	101.09 	151.681	197.593	15.5593
47 	101.09 	152.028	199.267	15.7536
48 	101.09 	151.127	205.759	16.2302
49 	101.09 	151.825	203.531	15.6494
50 	101.09 	152.702	210.552	15.5072
51 	101.09 	153.02 	218.76 	15.7429
52 	101.09 	151.434	202.759	16.0687
53 	101.09 	151.44 	205.678	15.2569
54 	101.09 	152.223	203.678	15.2687
55 	101.09 	151.949	207.428	15.8968
56 	101.09 	151.866	207.959	15.1952
57 	101.09 	151.646	214.332	14.4628
58 	101.09 	152.617	206.082	15.2111
59 	101.09 	152.542	203.947	15.6411
60 	101.09 	151.752	208.934	15.8654
61 	101.09 	152.025	204.773	15.9148
62 	101.09 	151.532	202.755	15.6332
63 	101.09 	152.628	201.632	15.4585
64 	101.09 	153.226	207.377	15.1277
65 	101.09 	151.056	213.358	14.635 
66 	101.09 	152.767	203.236	15.9683
67 	101.09 	152.139	210.165	15.9137
68 	101.09 	151.783	203.507	15.0588
69 	101.09 	152.259	207.039	15.1367
70 	101.09 	151.464	202.943	15.8879
71 	101.09 	153.177	202.028	16.2813
72 	101.09 	152.474	202.284	14.8642
73 	101.09 	152.306	208.281	16.2523
74 	101.09 	151.619	208.281	15.7985
75 	101.09 	152.486	198.365	15.4238
76 	101.09 	152.437	198.365	15.7366
77 	101.09 	151.588	198.647	15.6663
78 	101.09 	152.04 	200.157	16.0347
79 	101.09 	152.054	199.261	14.9169
80 	101.09 	152.108	197.341	14.784 
81 	101.09 	151.706	199.957	15.368 
82 	101.09 	151.61 	208.701	15.9556
83 	101.09 	152.802	204.607	15.7475
84 	101.09 	152.115	210.817	15.7874
85 	101.09 	153.537	206.962	16.3393
86 	101.09 	153.417	201.84 	16.0439
87 	101.09 	154.099	205.721	16.0629
88 	101.09 	152.981	200.258	15.9341
89 	101.09 	152.381	205.001	15.6253
90 	101.09 	152.629	200.43 	15.4517
91 	101.09 	152.494	198.862	15.8784
92 	101.09 	152.266	196.495	14.8974
93 	101.09 	152.578	196.434	15.0736
94 	101.09 	152.806	208.939	16.2142
95 	101.09 	152.674	206.735	15.516 
96 	101.09 	152.57 	200.829	15.6764
97 	101.09 	152.489	204.541	15.5663
98 	101.09 	152.691	209.254	15.8991
99 	101.09 	153.081	208.38 	15.6865
100	101.09 	153.6  	207.329	16.0432
101	101.09 	152.296	207.789	15.0214
102	101.09 	152.486	194.851	14.759 
103	101.09 	152.294	200.8  	16.218 
104	101.09 	151.752	204.197	15.3457
105	101.09 	152.878	208.391	15.7145
106	101.09 	151.703	205.066	15.8146
107	101.09 	152.079	211.708	16.239 
108	101.09 	153.401	201.704	15.7188
109	101.09 	153.045	197.751	15.9578
110	101.09 	152.368	206.308	15.2586
111	101.09 	151.787	202.739	15.0159
112	101.09 	151.814	195.303	14.8967
113	101.09 	153.149	200.418	15.0051
114	101.09 	153.977	208.029	16.2906
115	101.09 	153.227	208.508	16.2608
116	101.09 	153.111	200.373	16.3074
117	101.09 	152.216	204.562	15.8982
118	101.09 	151.405	198.926	15.2859
119	101.09 	152.13 	204.105	15.7024
120	101.09 	152.094	201.208	15.5825
121	101.09 	152.455	196.824	15.7268
122	101.09 	152.716	212.096	15.3504
123	101.09 	153.117	212.147	15.6803
124	101.09 	152.129	208.792	15.4688
125	101.09 	152.096	215.477	15.2039
126	101.09 	152.255	204.828	15.2215
127	101.09 	152.677	211.846	15.559 
128	101.09 	152.854	203.392	16.1464
129	100.969	152.913	201.315	15.1988
130	100.969	152.375	198.294	15.2045
131	100.54 	152.803	203.638	15.0238
132	100.54 	152.764	209.239	15.4593
133	100.54 	152.605	200.514	16.1218
134	100.54 	152.14 	206.51 	16.0747
135	100.54 	151.449	208.067	15.0401
136	100.54 	152.83 	211.494	15.6872
137	100.54 	152.585	199.419	15.5218
138	100.54 	151.874	207.406	15.0334
139	100.54 	152.301	200.232	15.2035
140	100.54 	152.025	216.071	15.7934
141	100.54 	152.611	204.311	15.6523
142	100.54 	152.032	198.206	15.0946
143	100.54 	152.941	202.032	15.6454
144	100.54 	152.807	218.807	16.1983
145	100.54 	152.979	217.146	15.4827
146	100.54 	153.284	200.971	15.898 
147	100.54 	152.469	197.869	15.4492
148	100.54 	152.51 	199.237	15.1719
149	100.54 	152.722	208.35 	16.3648
150	100.54 	152.312	202.511	16.1491
151	100.54 	152.654	212.105	16.2031
152	100.54 	152.414	212.105	15.9202
153	100.54 	152.369	204.234	15.0043
154	100.54 	151.979	198.315	15.4051
155	100.54 	152.093	208.24 	15.3533
156	100.54 	152.926	205.273	15.506 
157	100.54 	152.076	210.761	16.1413
158	100.54 	152.235	198.986	15.05  
159	100.54 	152.511	198.92 	15.3244
160	100.54 	152.535	216.026	15.3482
161	100.54 	152.159	202.887	15.6386
162	100.54 	152.696	213.378	15.5322
163	100.54 	152.832	203.288	16.2439
164	100.54 	152.812	201.753	15.976 
165	100.54 	153.493	199.788	16.0005
166	100.54 	152.379	205.428	14.9033
167	100.54 	152.904	202.999	16.2742
168	100.54 	151.494	199.33 	15.5763
169	100.54 	152.292	212.497	16.3368
170	100.54 	153.667	198.017	15.8554
171	100.54 	153.398	202.329	16.0966
172	100.54 	151.985	205.082	15.3261
173	100.54 	152.173	199.309	15.4037
174	100.54 	153.292	210.97 	15.8336
175	100.54 	152.361	198.575	15.2507
176	100.54 	152.433	200.657	15.8162
177	100.54 	152.992	205.726	15.9567
178	100.54 	152.555	202.334	15.9817
179	100.54 	153.689	207.55 	15.1499
180	100.54 	153.059	214.263	15.7272
181	100.54 	152.922	212.377	16.2191
182	100.54 	152.919	208.709	16.4224
183	100.54 	152.257	201.151	15.5962
184	100.54 	153.611	212.045	15.5145
185	100.54 	152.808	211.037	15.8618
186	100.54 	151.862	211.037	16.3798
187	100.54 	152.106	197.521	15.3487
188	100.54 	152.849	200.801	14.8201
189	100.54 	153.527	201.083	15.424 
190	100.54 	152.889	202.393	15.5081
191	100.54 	152.685	206.929	15.7912
192	100.54 	152.895	201.455	15.9266
193	100.54 	153.617	205.073	15.7756
194	100.54 	153.064	199.315	16.1938
195	100.54 	152.948	210.687	16.0822
196	100.54 	153.434	208.458	15.7614
197	100.54 	152.918	199.52 	15.7308
198	100.54 	152.267	206.35 	15.2227
199	100.54 	152.961	206.859	15.253 
200	100.54 	152.542	199.873	15.3059
201	100.54 	152.173	203.559	15.7711
202	100.54 	151.828	209.5  	15.8207
203	100.54 	152.341	206.215	15.1278
204	100.54 	152.309	211.5  	15.2626
205	100.54 	152.247	206.426	16.0388
206	100.54 	151.911	204.102	15.4576
207	100.54 	152.93 	202.529	15.7331
208	100.54 	151.972	197.957	15.3545
209	100.54 	152.177	201.948	15.2229
210	100.54 	152.013	208.878	15.746 
211	100.54 	153.219	202.468	15.4879
212	100.54 	152.345	208.309	15.08  
213	100.54 	151.998	204.48 	15.1533
214	100.54 	152.382	199.094	15.283 
215	100.54 	152.596	204.443	15.3242
216	100.54 	152.625	201.447	15.4252
217	100.54 	153.091	207.42 	16.0274
218	100.54 	153.169	205.614	16.2596
219	100.54 	153.691	210.086	16.612 
220	100.54 	152.256	207.255	15.9539
221	100.54 	154.147	209.967	16.0289
222	100.54 	152.827	199.408	15.6019
223	100.54 	153.233	205.847	15.6806
224	100.54 	151.75 	201.053	15.0015
225	100.54 	152.733	200.949	15.6061
226	100.54 	152.378	202.282	15.3333
227	100.54 	153.649	206.702	15.9304
228	100.54 	152.591	210.858	15.7481
229	100.54 	153.135	203.225	15.9467
230	100.54 	152.515	192.939	14.9435
231	100.54 	152.871	206.479	15.3178
232	100.54 	152.993	208.245	15.7748
233	100.54 	152.728	202.46 	15.672 
234	100.54 	153.456	204.557	15.572 
235	100.54 	152.926	206.267	15.6978
236	100.54 	153.485	204.682	15.4034
237	100.54 	152.607	193.995	15.5204
238	100.54 	153.581	201.41 	15.7836
239	100.54 	152.866	206.007	15.2935
240	100.54 	152.504	199.792	15.5664
241	100.54 	152.208	198.562	15.6205
242	100.54 	153.813	210.308	16.2234
243	100.54 	152.53 	203.48 	15.9924
244	100.54 	153.145	205.896	16.1577
245	100.54 	153.292	212.684	15.7851
246	100.54 	152.577	195.801	15.2931
247	100.54 	151.959	211.851	15.1594
248	100.54 	152.987	200.639	14.9485
249	100.54 	152.638	215.1  	15.4946
250	100.54 	153.297	212.057	15.8404
251	100.54 	153.315	210.489	15.7853
252	100.54 	153.307	203.183	15.8628
253	100.54 	153.744	199.039	15.4518
254	100.54 	152.9  	204.201	15.793 
255	100.54 	153.165	207.724	16.1018
256	100.54 	152.943	202.482	15.6471
257	100.54 	152.359	202.246	15.2254
258	100.54 	153.132	201.409	14.8924
259	100.54 	152.53 	218.738	15.6159
260	100.54 	152.594	202.493	15.6449
261	100.54 	153.327	207.672	15.3264
262	100.54 	154.006	228.464	15.4506
263	100.54 	152.919	201.554	15.7195
264	100.54 	152.817	201.261	16.0278
265	100.54 	153.168	214.758	16.0014
266	100.54 	153.153	207.282	16.0051
267	100.54 	153.029	202.505	15.6484
268	100.54 	153.494	198.389	16.0719
269	100.54 	152.702	199.278	15.7968
270	100.54 	152.914	199.606	15.3892
271	100.54 	153.219	197.534	14.8197
272	100.54 	153.21 	208.893	15.8656
273	100.54 	153.393	204.496	15.5569
274	100.54 	153.715	205.695	15.388 
275	100.54 	152.798	208.027	15.7559
276	100.54 	153.883	218.045	15.6041
277	100.54 	153.528	204.328	15.4095
278	100.54 	152.696	201.698	15.7466
279	100.54 	153.039	201.224	15.1246
280	100.54 	153.568	205.362	15.7946
281	100.54 	153.259	208.452	15.4055
282	100.54 	153.229	204.997	15.7812
283	100.54 	153.542	216.141	15.4818
284	100.54 	153.356	208.177	16.0233
285	100.54 	153.686	211.013	15.9959
286	100.54 	153.406	199.361	15.0164
287	100.54 	152.179	200.216	14.8928
288	100.54 	153.151	211.72 	15.3765
289	100.54 	152.004	209.652	15.3703
290	100.54 	152.908	206.388	15.8787
291	100.54 	152.712	210.679	16.0395
292	100.54 	154.018	211.17 	16.0181
293	100.54 	153.507	202.458	15.1357
294	100.54 	152.993	209.216	15.5305
295	100.54 	153.772	214.607	15.5917
296	100.54 	153.605	199.253	15.2435
297	100.54 	152.674	204.671	15.5545
298	100.54 	153.311	204.034	16.0502
299	100.54 	153.144	203.551	15.4972
300	100.54 	153.221	206.74 	15.7026
301	100.54 	153.887	200.912	15.7595
302	100.54 	152.833	204.509	15.8141
303	100.54 	151.896	201.14 	15.9557
304	100.54 	152.882	199.84 	15.096 
305	100.54 	153.06 	203.737	15.5033
306	100.54 	153.528	208.183	15.2231
307	100.54 	153.314	206.941	15.9923
308	100.54 	153.516	206.316	15.5721
309	100.54 	153.636	199.083	15.5777
310	100.54 	153.656	208.172	16.0034
