/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max     	std   
0  	-87.4162	-69.6185	-29.0478	8.9012
1  	-87.4341	-70.0706	-34.72  	8.5276
2  	-87.4341	-69.9461	-33.677 	8.3261
3  	-87.4341	-69.8302	-39.3001	8.5868
4  	-87.4341	-69.7013	-30.7065	8.52487
5  	-87.4341	-69.7617	-32.8408	8.36039
6  	-87.4341	-69.8142	-36.2795	8.24408
7  	-87.4341	-69.756 	-36.4707	8.26193
8  	-87.4341	-69.4282	-33.6016	8.61038
9  	-87.4341	-69.4851	-33.6016	8.71656
10 	-87.4341	-69.4024	-27.6504	9.03076
11 	-87.4341	-69.3293	-25.3799	8.96548
12 	-87.4341	-69.6162	-33.0867	8.85681
13 	-88.0017	-69.4548	-33.8816	8.82022
14 	-88.0017	-69.4325	-30.7003	8.62867
15 	-88.0017	-69.232 	-39.1268	8.75088
16 	-88.0017	-69.2479	-34.2715	9.09668
17 	-88.2108	-69.1707	-31.0555	8.98988
18 	-88.2108	-68.9823	-19.5357	9.37476
19 	-88.2108	-69.0034	-28.2375	9.57785
20 	-88.2108	-68.6775	-27.3654	9.82801
21 	-88.2108	-68.9045	-18.1213	9.72983
22 	-88.8075	-68.9135	-22.241 	9.72997
23 	-88.8075	-68.8303	-15.6214	9.75504
24 	-88.8075	-68.7182	-29.0551	9.28136
25 	-89.8068	-68.59  	-29.6353	9.49141
26 	-89.8068	-68.468 	-20.6012	10.1415
27 	-89.8068	-68.3013	-24.2238	10.3299
28 	-89.8068	-68.3776	-20.4674	10.1967
29 	-89.8068	-68.7203	-21.4874	9.90854
30 	-89.8068	-68.6598	-25.1024	9.71981
31 	-89.8068	-68.6234	-28.0194	9.40426
32 	-89.8068	-68.9543	-28.1091	9.12117
33 	-90.8526	-68.6676	-26.645 	9.42738
34 	-90.8526	-68.7103	-31.9162	9.38143
35 	-90.8526	-68.8435	-25.3316	9.40669
36 	-90.8526	-68.8534	-19.8581	9.43502
37 	-90.8526	-68.7463	-24.9016	9.25468
38 	-90.8526	-68.6358	-30.3976	9.2258 
39 	-90.8526	-68.5817	-29.1019	9.02835
40 	-90.8526	-68.2614	0.26591 	9.61451
41 	-90.8526	-67.9243	-26.7111	9.75599
42 	-90.8526	-68.1543	-20.8443	9.62179
43 	-90.8526	-68.1976	-29.9958	9.61722
44 	-90.8526	-68.0065	-13.857 	9.75038
45 	-90.8526	-67.9282	-18.0026	9.82657
46 	-90.8526	-67.6178	-23.0744	10.412 
47 	-90.8526	-67.5815	-19.0157	10.5542
48 	-90.8526	-67.8349	-13.0714	10.3002
49 	-90.8526	-67.915 	-25.3656	9.9803 
50 	-90.8526	-67.8516	-26.6775	10.1548
51 	-90.8526	-68.0076	-27.4511	9.91776
52 	-90.8526	-67.8648	-32.9584	9.91453
53 	-90.8526	-68.1026	-29.8827	10.0653
54 	-90.8526	-67.9208	-23.59  	9.7596 
55 	-90.8526	-67.9933	-21.7942	9.99672
56 	-90.8526	-67.7984	-30.8038	10.1669
57 	-90.8526	-67.5462	-27.7286	10.2811
58 	-90.8526	-67.7666	-16.4845	10.1531
59 	-90.8526	-67.5913	-20.4661	10.349 
60 	-90.8526	-67.6251	-25.7269	10.0884
61 	-90.8526	-67.3845	-24.3611	10.4178
62 	-90.8526	-67.387 	-21.0858	10.5711
63 	-90.8526	-67.6199	-24.2041	10.2021
64 	-90.8526	-67.7965	-16.8304	10.3717
65 	-90.8526	-67.7011	-13.4112	10.5224
66 	-90.8526	-67.6646	-33.918 	10.0825
67 	-90.8526	-67.8445	-30.9546	9.81543
68 	-90.8526	-67.4694	-16.8169	9.89064
69 	-90.8526	-67.6101	-26.8184	9.75938
70 	-90.8526	-67.4199	-29.6149	9.70718
71 	-90.8526	-67.0283	-25.2521	10.4415
72 	-90.8526	-66.8966	-23.4114	10.9293
73 	-91.0904	-66.9381	-24.0729	10.5526
74 	-91.0904	-67.042 	-11.0622	10.5816
75 	-91.0904	-66.6094	-7.47568	10.996 
76 	-91.0904	-66.7949	-21.6013	10.7157
77 	-91.0904	-66.6725	-23.5948	10.6837
78 	-91.0904	-66.74  	-11.8618	11.0589
79 	-91.0904	-66.815 	-14.5729	10.7969
80 	-91.0904	-66.6716	-17.3857	10.6601
81 	-91.0904	-66.7621	-13.2279	10.3727
82 	-91.0904	-66.5495	-4.38975	10.7984
83 	-91.0904	-66.5456	-18.0385	11.1192
84 	-91.0904	-66.7862	-17.1643	10.8217
85 	-91.0904	-66.823 	-17.1643	10.992 
86 	-91.0904	-66.7981	-24.8503	11.2131
87 	-91.0904	-66.6755	-17.2262	11.577 
88 	-91.0904	-66.7149	-12.2635	11.86  
89 	-91.0904	-66.5718	-12.2635	11.319 
90 	-91.0904	-66.5669	-17.3556	11.4536
91 	-91.0904	-66.6861	-6.24413	11.5573
92 	-91.0904	-66.4665	-18.1388	11.3892
93 	-91.0904	-66.7181	-16.388 	11.2874
94 	-91.0904	-66.7579	-16.8409	11.2911
95 	-91.0904	-66.363 	-11.3207	11.6809
96 	-91.0904	-66.412 	-11.3207	11.4519
97 	-91.0904	-66.3197	-2.88267	11.4897
98 	-91.0904	-66.4113	-8.5729 	11.4762
99 	-91.0904	-66.3995	-11.2773	11.2545
100	-91.1856	-66.1973	-5.69535	11.6737
101	-91.1856	-66.3933	-3.80041	11.3786
102	-91.1856	-66.4102	-15.953 	11.3328
103	-91.1856	-66.1591	-19.5812	11.168 
104	-91.1856	-66.1658	-18.8441	11.5126
105	-91.1856	-66.2308	-16.1758	11.6032
106	-91.1856	-65.9704	-13.6057	11.7597
107	-91.1856	-65.8861	-15.132 	11.8677
108	-91.1856	-65.7591	-18.304 	11.8874
109	-91.1856	-65.5481	-21.7217	11.9929
110	-91.1856	-66.088 	-8.17873	11.6847
