/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max     	std  
0  	-85.5237	-69.2215	-27.7349	9.035
1  	-85.6382	-69.0462	-20.7715	9.19325
2  	-85.6784	-68.9448	-27.789 	9.33551
3  	-87.3063	-68.7083	-21.7308	9.67318
4  	-87.3063	-68.8993	-22.1048	9.27485
5  	-87.3063	-69.1007	-19.531 	9.2719 
6  	-88.2304	-68.9262	-17.3411	9.50832
7  	-88.2304	-69.2619	-17.3411	9.32516
8  	-88.2304	-69.2922	-23.8418	9.25598
9  	-89.0387	-69.1961	-13.638 	9.21421
10 	-89.0387	-69.2467	-22.8853	9.17841
11 	-90.6082	-69.2578	-32.7561	8.92783
12 	-90.6082	-69.1371	-29.8043	8.87318
13 	-90.6082	-69.0952	-33.5278	8.83281
14 	-90.6082	-68.8557	-26.9156	9.46872
15 	-90.6082	-68.923 	-34.6489	9.30879
16 	-90.6082	-68.9093	-27.9418	9.35512
17 	-90.6082	-68.7438	-26.0312	9.51662
18 	-90.6082	-68.7145	-36.2468	8.97605
19 	-90.6082	-68.6977	-25.2992	9.41526
20 	-90.6082	-68.4936	-2.8527 	9.74218
21 	-90.6082	-68.4404	-32.0841	9.403  
22 	-90.6082	-68.412 	-28.6856	9.66886
23 	-90.6082	-68.6203	-26.0687	9.62534
24 	-90.6082	-68.6772	-30.4468	9.51053
25 	-90.6082	-68.4661	-21.1554	9.97171
26 	-90.6082	-68.7345	-38.5601	9.26374
27 	-90.6082	-68.6749	-30.8989	9.09716
28 	-90.6082	-68.8245	-32.0211	9.07138
29 	-90.6082	-68.685 	-19.9546	9.56254
30 	-90.6082	-68.4551	-19.9546	9.66817
31 	-90.6082	-68.4177	-25.9241	9.52496
32 	-90.6082	-68.1484	-12.4344	10.1657
33 	-90.6082	-68.3406	-26.0559	9.76287
34 	-90.6082	-68.2866	-22.7948	9.83343
35 	-90.6082	-68.3163	-28.4728	9.71012
36 	-90.6082	-68.2484	-7.30324	10.0857
37 	-90.6082	-68.3227	-24.7637	9.75057
38 	-90.6082	-68.1385	-7.98941	9.87295
39 	-90.6082	-68.1808	-15.0957	9.58623
40 	-90.6082	-68.1493	-7.35045	9.95383
41 	-90.6082	-68.1184	-25.0399	9.62709
42 	-90.6082	-68.1227	-24.4349	9.45853
43 	-90.6082	-67.8818	-25.684 	9.6975 
44 	-90.6082	-67.7508	-26.7149	9.72295
45 	-90.6082	-67.9017	-22.0205	9.84089
46 	-90.6082	-67.8839	-29.8791	9.90691
47 	-90.6082	-68.191 	-32.6702	9.78325
48 	-90.6082	-68.0524	-15.714 	10.0639
49 	-90.6082	-68.2167	-28.1796	9.98466
50 	-90.6082	-67.8457	-15.6052	10.6931
51 	-90.6082	-67.7456	-13.7076	10.7438
52 	-90.6082	-67.8258	-23.2255	10.4552
53 	-90.6082	-67.7308	-3.29403	10.3424
54 	-90.6082	-67.669 	-20.6548	10.3152
55 	-90.6082	-67.5079	-29.2405	10.3075
56 	-90.6082	-67.8148	-30.1433	9.83814
57 	-90.6082	-67.8893	-30.1433	9.51048
58 	-90.6082	-67.7143	-14.3082	10.2138
59 	-90.6082	-67.978 	-28.1239	10.1314
60 	-91.1843	-67.8696	-27.2856	10.1058
61 	-91.1843	-67.7794	-26.0851	10.0032
62 	-91.1843	-67.6824	-27.6115	9.86265
63 	-91.1843	-67.2102	-7.90319	10.5003
64 	-91.1843	-67.1816	-9.26426	10.7162
65 	-91.1843	-67.1349	-16.8647	10.781 
66 	-91.1843	-67.1846	-25.5892	10.612 
67 	-91.1843	-66.8274	-21.7821	10.9443
68 	-91.1843	-66.8416	-17.4338	10.7896
69 	-91.1843	-66.7672	-5.49634	10.9361
70 	-91.1843	-66.606 	-11.5141	11.1168
71 	-91.1843	-66.9147	-21.0943	10.6533
72 	-91.1843	-66.715 	-21.8553	10.8277
73 	-91.1843	-67.2047	-32.7688	10.1849
74 	-91.1843	-66.8603	-26.0371	10.6623
75 	-91.1843	-67.0563	-26.5516	10.2899
76 	-91.1843	-66.7764	-24.8293	10.553 
77 	-91.1843	-66.9723	-26.3592	10.5194
78 	-91.1843	-66.8013	-19.0777	10.5062
79 	-91.1843	-66.4599	-21.2995	10.8989
80 	-91.1843	-66.518 	18.3305 	11.8995
81 	-91.1843	-66.5451	-11.6868	11.1813
82 	-91.1843	-66.8211	-26.7691	10.9037
83 	-91.1843	-66.754 	-14.6274	11.0485
84 	-91.1843	-66.63  	-12.608 	11.5633
85 	-91.1843	-66.5233	-10.4377	11.3501
86 	-91.1843	-66.4708	-21.8134	11.1496
87 	-91.1843	-66.1671	-16.8955	11.2789
88 	-91.1843	-66.3425	-17.5387	11.1635
89 	-91.1843	-65.9124	-15.8878	11.5697
90 	-91.1843	-66.0754	-19.2216	11.5517
91 	-91.1843	-65.8534	-26.6478	11.6376
92 	-91.1843	-66.0212	-20.0071	11.504 
93 	-91.1843	-65.9917	-19.4375	11.8256
94 	-91.1843	-66.2031	-19.9079	11.6166
95 	-91.1843	-65.9766	-17.45  	11.7529
96 	-91.1843	-66.2617	-16.7484	11.2542
97 	-91.1843	-66.1979	-16.1865	11.5445
98 	-91.1843	-66.1461	-15.6575	11.5146
99 	-91.1843	-66.128 	-14.2924	11.5538
100	-91.1843	-66.0412	-10.1216	11.9725
101	-91.1843	-66.2397	-20.4247	11.7712
