/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max     	std    
0  	-89.0774	-69.8798	-24.5299	8.58826
1  	-89.0774	-69.6899	-31.0432	8.67856
2  	-89.0797	-69.8113	-29.6738	8.62707
3  	-89.0797	-69.7375	-34.275 	8.74986
4  	-89.0797	-69.8053	-37.0108	8.48868
5  	-89.0797	-69.6051	-21.1558	8.82404
6  	-89.0797	-69.8116	-36.2745	8.45537
7  	-89.0797	-69.8593	-34.3577	8.40771
8  	-89.0797	-69.6782	-36.2899	8.43626
9  	-89.0797	-69.567 	-30.7574	8.42401
10 	-89.0797	-69.5703	-32.4931	8.60181
11 	-89.0797	-69.5013	-38.3138	8.53799
12 	-89.0797	-69.486 	-26.4905	8.76532
13 	-89.0797	-69.4225	-27.3958	9.10144
14 	-89.0797	-69.1626	-24.329 	9.06162
15 	-89.7363	-68.9308	-33.8457	9.14627
16 	-89.7363	-68.7692	-19.8649	9.35483
17 	-89.7363	-68.7062	-28.9982	9.50036
18 	-89.7363	-68.777 	-28.9982	9.55916
19 	-89.7363	-68.9918	-28.066 	9.38233
20 	-89.7363	-68.592 	-28.3545	9.35435
21 	-89.7363	-68.6179	-15.5705	9.65786
22 	-89.7363	-68.6532	-27.2448	9.49489
23 	-89.7363	-68.7694	-31.0516	9.02384
24 	-89.7363	-68.5629	-26.2619	8.8825 
25 	-89.7363	-68.6495	-13.4912	9.29755
26 	-89.7363	-68.484 	-30.0148	9.40917
27 	-89.865 	-68.4661	-26.1853	9.49648
28 	-89.865 	-68.3496	-25.1229	9.54111
29 	-89.865 	-68.3344	-30.6524	9.7352 
30 	-89.865 	-68.1073	-30.4761	9.8293 
31 	-89.865 	-68.1541	-30.2479	9.63991
32 	-89.865 	-68.0692	-21.7545	9.79043
33 	-89.865 	-68.1449	-30.0239	9.77298
34 	-89.865 	-68.1079	-25.9712	10.2556
35 	-91.3438	-68.0018	-28.4477	10.1796
36 	-91.3438	-68.2401	-31.9271	10.0534
37 	-91.3438	-68.2624	-9.12761	10.3053
38 	-91.3438	-68.0742	-19.4901	10.442 
39 	-91.3438	-68.1437	-22.7275	10.3645
40 	-91.3438	-68.0306	-24.026 	10.1716
41 	-91.3438	-68.1111	-23.0318	10.0472
42 	-91.3438	-68.1685	-26.8954	9.84179
43 	-91.3438	-67.8914	-20.7188	10.2768
44 	-91.3438	-68.0043	-24.3694	10.1664
45 	-91.3438	-67.6072	-28.0513	10.4208
46 	-91.3438	-67.5318	-13.0149	10.8123
47 	-91.3438	-67.631 	-20.1485	10.4277
48 	-91.3438	-67.8746	-19.5076	10.2662
49 	-91.3438	-67.5377	-26.7048	10.4223
50 	-91.3438	-67.5946	-16.3818	10.957 
51 	-91.3438	-67.5337	-17.8465	10.746 
52 	-91.3438	-67.5334	-27.3757	10.4409
53 	-91.8684	-67.3974	-25.0037	10.6434
54 	-91.8684	-67.3191	-32.0255	10.4146
