gen	min    	avg    	max    	std    
0  	276.931	468.279	662.673	67.4222
1  	276.931	468.2  	664.737	66.5792
2  	276.931	468.073	660.652	66.6738
3  	276.931	467.997	654.884	67.1684
4  	276.931	467.967	654.884	67.3449
5  	276.931	468.025	651.106	67.9481
6  	265.58 	467.965	666.842	69.3168
7  	265.58 	467.682	648.596	68.0169
8  	242.49 	467.779	634.568	67.2755
9  	240.909	467.501	643.081	67.7211
10 	213.22 	467.321	661.649	66.8559
11 	213.22 	467.28 	649.27 	68.5299
12 	213.22 	467.205	657.247	69.4119
13 	213.22 	466.798	655.93 	69.3404
14 	213.22 	466.635	648.505	68.1025
15 	213.22 	466.448	673.842	68.826 
16 	213.22 	466.584	674.821	70.3056
17 	213.22 	466.125	693.913	70.8408
18 	213.22 	465.87 	689.95 	71.624 
19 	213.22 	465.722	678.265	70.904 
20 	213.22 	465.468	696.919	70.7018
21 	208.566	465.203	673.462	71.8553
22 	200.79 	464.986	662.356	71.2611
23 	200.79 	464.782	673.844	70.3522
24 	200.79 	464.608	661.634	69.648 
25 	190.321	464.462	688.636	69.7636
26 	190.321	464.093	651.809	70.082 
27 	190.321	463.99 	643.511	70.3737
28 	190.321	463.639	661.69 	69.9793
29 	190.321	463.558	682.728	70.2143
30 	190.321	463.707	664.296	71.0537
31 	190.321	463.512	649.668	71.6862
32 	190.321	463.545	654.878	72.4778
33 	190.321	463.236	647.562	74.7325
34 	190.321	463.096	648.044	73.5163
35 	190.321	463.012	695.395	73.0629
36 	190.321	462.821	665.149	71.2756
37 	190.321	462.513	655.156	69.4438
38 	190.321	462.342	663.579	70.0664
39 	190.321	462.222	657.672	71.7454
40 	180.223	462.104	649.201	71.8037
41 	180.223	462.008	680.545	70.0986
42 	180.223	461.782	676.276	71.0021
43 	180.223	461.709	657.242	71.1758
44 	180.223	461.607	644.164	70.0942
45 	180.223	461.109	639.728	71.0953
46 	180.223	461.066	650.969	71.5555
47 	167.464	460.995	675.968	71.9659
48 	167.464	460.646	660.928	72.6084
49 	167.464	460.398	666.733	72.8789
50 	167.464	460.028	672.569	73.782 
51 	167.464	459.667	672.859	74.0651
52 	167.464	459.682	649.084	72.6235
53 	167.464	459.461	675.017	73.051 
54 	167.464	459.356	669.508	73.9559
55 	167.464	459.232	654.229	73.6358
56 	167.464	459.051	659.918	73.7499
57 	150.975	458.685	666.276	74.078 
58 	150.587	458.139	667.726	74.289 
59 	150.587	457.847	656.791	72.956 
60 	150.587	457.467	654.958	72.7054
