gen	min    	avg   	max    	std    
0  	250.146	464.61	671.594	67.2443
1  	250.146	464.469	669.556	68.2743
2  	247.243	464.267	660.551	69.6245
3  	237.158	464.107	671.54 	69.0241
4  	230.11 	463.885	657.903	69.2615
5  	215.373	463.837	636.499	68.4369
6  	215.373	463.459	635.381	68.1127
7  	215.373	463.273	631.136	67.2268
8  	215.373	462.967	643.677	68.1482
9  	215.373	462.744	660.778	67.2212
10 	215.373	462.746	663.69 	67.2928
11 	202.588	462.541	663.69 	67.5441
12 	202.588	462.197	676.591	67.8425
13 	202.588	461.816	655.626	67.1041
14 	202.588	461.659	635.265	67.1896
15 	202.588	461.566	634.005	69.0754
16 	202.588	461.155	643.71 	70.0188
17 	201.257	460.989	631.017	69.517 
18 	201.257	461.135	651.553	69.9006
19 	197.34 	461.205	660.749	69.954 
20 	192.871	461.001	643.081	70.2031
21 	185.746	460.985	646.748	70.7219
22 	185.746	460.795	639.077	71.6655
23 	185.746	460.642	658.629	71.9323
24 	185.746	460.688	643.739	71.7818
25 	185.746	460.757	644.082	72.6944
26 	185.746	460.881	641.89 	74.1332
27 	185.746	460.56 	649.844	73.2635
28 	185.746	460.407	671.092	73.4932
29 	185.746	460.302	675.217	74.3188
30 	185.746	459.973	657.463	73.8806
31 	185.746	459.74 	681.13 	72.8318
32 	185.746	459.281	675.368	72.42  
33 	185.746	459.06 	667.705	71.601 
34 	185.746	458.56 	673.476	72.019 
35 	185.746	458.441	656.103	72.705 
36 	185.746	458.372	659.206	72.6197
37 	185.746	458.238	681.851	72.8285
38 	185.746	457.988	681.851	74.6487
39 	185.746	457.563	685.299	74.7864
40 	185.746	457.604	684.555	74.5727
41 	185.746	457.467	667.748	75.7582
42 	185.746	457.115	684.273	76.3128
43 	185.746	456.823	676.397	75.4213
44 	185.746	456.865	669.876	75.2694
45 	185.746	456.407	731.525	74.9162
46 	181.713	456.116	687.512	74.0841
47 	181.713	455.637	676.743	73.3273
48 	181.713	455.287	676.415	72.9896
49 	180.8  	455.009	680.903	73.3048
50 	180.8  	454.419	663.134	71.8362
51 	180.8  	454.132	665.067	71.4174
52 	180.8  	453.985	664.457	72.3025
53 	180.8  	454.026	645.845	73.1962
54 	180.187	453.502	666.836	73.6698
55 	180.187	453.277	666.631	73.8441
56 	180.187	453.171	651.235	74.0036
57 	180.187	453.097	648.876	74.191 
58 	180.187	452.778	659.883	73.3906
59 	180.187	452.724	637.065	73.8718
60 	180.187	452.341	676.211	73.6713
61 	180.187	452.198	678.791	72.9452
62 	180.187	452.021	672.324	74.4087
63 	180.187	451.582	665.55 	74.9659
64 	180.187	451.528	693.575	73.5838
65 	180.187	451.158	657.901	72.8141
66 	180.187	450.618	669.424	74.3312
67 	180.187	450.479	709.784	74.2035
68 	180.187	450.265	694.807	74.2463
69 	180.187	450.103	699.18 	74.4687
70 	180.187	450.132	648.427	72.5498
71 	180.187	449.658	672.421	73.8063
72 	180.187	449.375	652.73 	74.5018
73 	180.187	448.996	652.73 	73.7643
74 	180.187	448.549	663.834	73.6834
75 	180.187	448.303	664.354	73.644 
76 	180.187	448.026	639.898	72.7063
77 	180.187	447.883	630.205	73.231 
78 	180.187	447.684	635.039	73.4015
79 	180.187	447.723	629.977	72.728 
80 	180.187	447.446	656.207	72.2457
81 	175.848	447.059	639.494	72.5025
82 	175.848	446.973	656.425	73.7492
83 	175.848	446.732	653.314	73.2885
84 	175.848	446.594	654.227	73.6505
85 	175.848	446.272	650.894	73.1736
86 	175.848	445.874	647.276	73.3489
87 	175.848	445.595	649.05 	73.8911
