/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max   	std    
0  	44967.5	265957	640031	97462.7
1  	44967.5	265499	581914	98322.1
2  	44967.5	265043	568958	96610.6
3  	44967.5	265722	566818	99075.3
4  	43683.2	266110	590732	97478.1
5  	43683.2	264776	575616	97842.1
6  	43683.2	263704	572605	97641  
7  	43683.2	263825	556577	96322.3
8  	43683.2	263956	558418	96422.9
9  	43683.2	263335	541116	95139.9
10 	43683.2	263943	535165	96927.9
11 	43683.2	263130	565553	95893.5
12 	39963  	262509	528402	96424.7
13 	39963  	263403	619551	98189  
14 	29353.6	263512	576448	97902  
15 	29353.6	263099	601598	98878.1
16 	29353.6	262323	618968	100013 
17 	24679.6	262991	578177	98364.9
18 	24679.6	262344	567415	97450  
19 	24679.6	261141	570185	97496.4
20 	24679.6	261502	583905	98514.9
21 	23395.4	261488	567584	96470.7
22 	23395.4	260947	561817	96191.2
23 	16294.9	260090	560507	95348.5
24 	15767.4	260664	575224	97235.5
25 	15767.4	260985	575224	95055.3
26 	15767.4	260746	575224	95753.2
27 	15767.4	261328	568163	97622.6
28 	15767.4	261660	568010	97683  
29 	15767.4	261228	595787	96489.8
30 	15767.4	261106	604469	99803.9
31 	15767.4	261031	592047	99967.5
32 	15019.9	260269	584379	100688 
33 	15019.9	259349	623064	99379  
34 	15019.9	259452	613180	99805.1
35 	15019.9	257945	629757	96539.7
36 	15019.9	257898	572132	96978.7
37 	13025.2	257751	555736	97485.4
38 	12579  	257744	591443	98684.6
39 	12579  	257517	525265	96863.2
40 	12579  	257641	654189	99006.6
41 	12579  	257515	617115	98916.6
42 	12579  	257412	609233	101186 
43 	11762.2	257006	596790	100475 
44 	11707.6	256147	596790	98552.6
45 	11707.6	255515	579521	99064.8
46 	11707.6	255523	574290	98574.1
47 	11707.6	255077	551659	95822.1
48 	11707.6	254359	551659	95830.2
49 	11707.6	254099	551659	97736.3
50 	11707.6	254349	569877	100635 
51 	11707.6	254000	569877	99174.7
52 	11707.6	253910	605558	99865.3
53 	11707.6	253808	599182	99675.8
54 	11707.6	254609	598165	101623 
55 	11707.6	253571	589703	100394 
56 	11707.6	251908	583774	97599.3
57 	11707.6	252857	565991	96487.2
58 	11707.6	251918	592619	98072.3
59 	11707.6	251571	612292	101006 
60 	11707.6	250567	620130	100153 
61 	11707.6	249984	623260	97738.1
62 	11707.6	248992	625396	98855.6
63 	11707.6	248196	549344	95506.3
64 	11707.6	248120	560737	94365.1
65 	11707.6	247857	544342	94548.9
66 	11707.6	248502	544342	97230.3
67 	11707.6	248067	571547	97086.6
68 	11707.6	247590	544867	96985.6
69 	11707.6	246190	586073	97040.8
70 	11707.6	246273	579645	96388  
71 	11707.6	246986	594042	97597.5
72 	11707.6	246405	569901	96378.6
73 	11707.6	246218	562799	93366  
74 	11707.6	245674	550827	91160.8
75 	11707.6	246819	555545	93496.1
76 	11707.6	246707	575961	98245.6
77 	11707.6	245692	566887	97565.4
78 	11707.6	244854	554661	97862.3
79 	11707.6	243831	571495	95819.6
80 	11707.6	243305	548027	95087.1
81 	11646.5	244444	579426	99349.1
82 	10481.5	245226	564826	97618  
83 	10481.5	245851	587338	98166.6
84 	10481.5	245859	579624	97134.6
85 	10481.5	245679	578051	97492.1
86 	10481.5	246009	590098	97804.9
87 	10481.5	245719	549631	98712.5
88 	10481.5	244225	576661	97708  
89 	10481.5	244664	644806	96692.8
90 	10481.4	243915	590327	96636.8
91 	10388.3	243332	602870	97695.3
92 	10364.9	243045	560848	96437.6
93 	10364.9	243805	686798	97498.1
94 	10364.9	243710	651501	97698.6
95 	10364.9	243793	611760	97722  
96 	10364.9	241858	628675	95727.4
97 	10364.9	241812	616321	95309.8
98 	10125.4	241766	610527	94633.3
99 	10125.4	241281	600711	96722.1
100	10125.4	241025	600711	95210.5
101	10125.4	240908	578751	94115.2
102	10125.4	241253	578202	97326.9
103	10125.4	240192	583796	97822.6
104	10125.4	239356	592905	94717.8
105	10125.4	238829	552534	91967.2
106	10125.4	237871	513759	89739.2
107	10125.4	237275	527414	89478  
108	10125.4	237564	542585	91128.1
109	10125.4	238128	562237	92437.2
110	10125.4	237933	543832	92465.3
111	10125.4	237249	543832	92755.3
112	10125.4	237977	512147	90565  
113	10125.4	237517	522626	91526.2
114	10125.4	237573	527633	92599.3
115	10124.8	237868	545915	91155  
116	10124.8	236953	545915	92774  
117	10124.8	235916	535101	91737.6
118	10124.8	235015	540873	92041.5
119	10124.8	234396	516914	92274.4
120	10124.8	234988	506143	91329.4
121	10124.8	235918	497511	91269.4
122	10124.8	236061	562878	90332.5
123	10124.8	236167	567402	91276.1
124	10124.8	235708	513539	88908.3
125	10124.8	235512	599668	91410  
126	9652.76	235564	548988	90046  
127	9652.76	235671	500525	90086.6
128	9652.76	234526	555684	91987.7
129	9546.45	233754	520813	90932.7
130	9546.45	234076	522108	91454.9
131	9546.45	234261	556102	93849  
132	9546.45	233505	575724	93290.6
133	9546.45	232805	575133	94001.1
134	9546.45	233304	524078	94638  
135	9546.45	233035	593714	97274.6
136	9546.45	232640	593714	96188.3
137	9546.45	232325	598910	95922.1
138	9546.45	231544	576055	94059.8
139	9546.45	231229	599910	95514.1
140	9546.45	231600	604820	95993.4
141	9546.45	231143	595003	94325.4
142	9546.45	231180	618305	93880.5
143	9546.45	229398	600832	92244.3
144	5214.12	228963	578320	89565.8
145	5214.12	229216	566263	89692.5
146	5214.12	228763	584167	90766.6
147	5214.12	228287	555544	91521.7
148	5214.12	227765	536629	88826.8
149	5214.12	228288	533730	89387.5
150	5214.12	227350	541186	90737.5
151	5214.12	226605	535923	89563  
152	4499.56	227239	555426	90734.3
153	4499.56	227866	516029	91699.6
154	4499.56	228174	517230	92634.3
155	4499.56	228580	512173	94749  
156	4499.56	227783	581193	93399.1
157	4172.5 	228015	599721	92051.2
158	4172.5 	227559	547074	91762.9
159	4172.5 	228031	555726	90641.9
160	4172.5 	228164	555381	91859.2
161	4172.5 	227105	594633	89646.4
162	4172.47	226602	555658	91198.6
