/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min  	avg   	max   	std    
0  	60071	268069	600129	98802.9
1  	57196.4	268421	611378	100801 
2  	57196.4	268988	597217	99538.8
3  	40893.9	269379	567921	99133.8
4  	29978.9	269207	590824	97291.1
5  	29978.9	268161	601129	96639  
6  	29978.9	267824	600061	98539  
7  	29978.9	267633	617443	97224.1
8  	29978.9	267430	575910	96117.2
9  	28881.3	267501	602185	96793.8
10 	28881.3	266939	585860	99038.3
11 	28881.3	267228	580936	99757.4
12 	27817.5	266980	630906	99973.1
13 	27817.5	266619	617041	98963.2
14 	24722.2	266428	603909	98994.8
15 	24722.2	266435	608229	99408.9
16 	24092.9	266355	621258	99406.3
17 	24092.9	266102	621433	98063.8
18 	24092.9	265799	595931	96901.5
19 	24092.9	265387	588215	95574.5
20 	24092.9	264447	553847	94085.5
21 	24092.9	264065	592360	95252  
22 	24092.9	263899	592360	97149  
23 	24092.9	264170	697075	101494 
24 	24092.9	263078	615566	101226 
25 	24092.9	262251	613794	100756 
26 	24092.9	262207	628563	101676 
27 	23663.2	262124	621600	102865 
28 	23663.2	261367	607157	101787 
29 	16310.3	260465	586761	100014 
30 	16310.3	260377	569185	100697 
31 	15375.8	260630	616026	100135 
32 	15375.8	260728	612575	98883.4
33 	15375.8	259840	569267	98506.4
34 	15375.8	259562	569267	97748.6
35 	15375.8	259516	566227	99336.1
36 	15375.8	259060	555132	96040.2
37 	15375.8	259042	544711	97098.3
38 	15375.8	259037	609950	97295.6
39 	15375.8	259253	577039	99538.4
40 	15375.8	259992	572681	98592.2
41 	15375.8	259505	573806	98447.9
42 	15375.8	258339	569441	95875.2
43 	15375.8	259328	585221	99317.3
44 	15362.1	259341	603384	101041 
45 	14020  	258976	630678	103557 
46 	14020  	258624	599958	101201 
47 	14020  	257949	617220	99749.7
48 	14020  	256904	597613	101561 
49 	14020  	258172	592586	103099 
50 	14020  	257372	625678	102635 
51 	14020  	257101	622745	105211 
52 	14020  	256459	589379	101974 
53 	14020  	256258	567499	100709 
54 	14020  	256963	587060	101431 
55 	14020  	256886	598224	97597.7
56 	14020  	256750	651776	98432.6
57 	14020  	255901	599964	98784.4
58 	14020  	254981	625456	98132.5
59 	14020  	254799	570451	98248.3
60 	14020  	254140	555268	98006.9
61 	14020  	253165	556190	98084.2
62 	14020  	253069	563766	97001.5
63 	14020  	252709	542019	96436.2
64 	14020  	251950	587756	95592.5
65 	14020  	252419	589918	95635.7
66 	14020  	251277	604471	95951.4
67 	14020  	251353	600288	95103.4
68 	14020  	250852	527513	93144.8
69 	13811  	251527	533259	93079.6
70 	10936.1	251430	561583	92643.3
71 	10936.1	251082	561700	94635.4
72 	10936.1	251590	534517	94788.3
