/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max    	std     
0  	118.16	125.936	127.145	0.979235
1  	118.16	125.971	127.152	1.00773 
2  	117.063	125.941	127.186	1.07024 
3  	115.497	125.95 	127.164	1.10264 
4  	115.497	125.906	127.199	1.15878 
5  	115.497	125.913	127.214	1.12633 
6  	115.497	125.906	127.437	1.0974  
7  	115.497	125.91 	127.209	1.11591 
8  	115.497	125.888	127.172	1.21577 
9  	113.782	125.906	128.284	1.21507 
10 	113.782	125.91 	128.454	1.20683 
11 	113.782	125.882	127.943	1.28751 
12 	113.782	125.891	127.928	1.29738 
13 	113.782	125.944	128.381	1.1867  
14 	113.782	125.94 	128.11 	1.16498 
15 	113.782	125.941	128.289	1.12834 
16 	113.782	125.964	127.842	1.08134 
17 	113.782	125.946	127.497	1.14403 
18 	113.782	125.972	129.72 	1.09955 
19 	113.782	125.989	128.535	1.13238 
20 	113.782	125.982	129.003	1.19579 
21 	113.782	125.982	128.347	1.13321 
22 	113.782	126.001	129.995	1.1354  
23 	113.782	125.974	129.628	1.18553 
24 	113.782	125.955	129.659	1.24371 
25 	113.782	125.974	129.066	1.19057 
26 	113.782	125.991	129.066	1.20584 
27 	113.782	125.962	128.568	1.34389 
28 	113.782	125.988	128.568	1.2121  
29 	112.602	125.972	128.216	1.30856 
30 	112.602	125.998	128.194	1.30302 
31 	112.602	125.94 	128.322	1.3899  
32 	112.602	125.946	128.225	1.33824 
33 	111.117	125.969	128.21 	1.35797 
34 	110.01 	125.914	128.266	1.54388 
35 	110.01 	125.961	127.934	1.35342 
36 	109.824	125.966	128.073	1.4082  
37 	109.824	125.955	128.897	1.38675 
38 	109.824	125.945	128.143	1.43519 
39 	109.824	125.992	128.162	1.36072 
40 	109.824	125.986	128.145	1.4649  
41 	109.824	125.999	128.492	1.41962 
42 	109.824	126.002	128.369	1.44395 
43 	109.824	126.013	128.357	1.42898 
44 	109.824	126.038	128.357	1.37493 
45 	109.824	126.028	128.361	1.33321 
46 	109.824	126.025	128.155	1.42474 
47 	109.824	126.033	128.456	1.3773  
48 	109.824	126.055	128.326	1.34234 
49 	109.824	126.053	128.308	1.31732 
50 	109.824	126.055	128.697	1.34204 
51 	109.824	126.04 	128.35 	1.3902  
52 	109.824	126.042	128.265	1.46389 
53 	109.824	126.052	129.102	1.33974 
54 	109.824	126.089	128.551	1.23956 
55 	109.824	126.042	128.058	1.34474 
56 	109.491	126.047	128.16 	1.37533 
57 	109.491	126.056	128.396	1.39216 
58 	109.491	126.048	128.418	1.48281 
59 	109.491	126.05 	129.374	1.53915 
60 	109.491	126.046	128.853	1.58991 
61 	109.491	126.052	129.413	1.52593 
62 	105.627	126.055	129.277	1.62025 
63 	103.427	126.067	134.983	1.73518 
64 	103.427	126.073	129.986	1.82765 
65 	103.427	126.041	129.068	1.92537 
66 	103.427	126.058	128.736	1.73873 
67 	103.427	126.12 	128.898	1.5631  
68 	103.427	126.135	128.517	1.50029 
69 	103.427	126.106	128.785	1.50744 
70 	103.427	126.085	129.628	1.62082 
71 	103.427	126.107	128.624	1.56284 
72 	103.427	126.156	128.998	1.52766 
73 	103.427	126.198	129.103	1.36738 
74 	103.427	126.16 	129.979	1.49332 
75 	103.427	126.215	130.547	1.52323 
76 	103.427	126.223	130.684	1.5348  
77 	103.427	126.233	131.105	1.54063 
78 	103.427	126.189	130.758	1.75447 
79 	103.427	126.199	130.958	1.70214 
80 	103.427	126.161	130.75 	1.75594 
81 	103.427	126.21 	130.866	1.68917 
82 	103.427	126.194	130.819	1.67198 
83 	103.427	126.169	129.927	1.74855 
84 	103.427	126.232	129.872	1.71393 
85 	103.427	126.213	129.903	1.73296 
86 	103.427	126.184	129.622	1.72895 
87 	103.427	126.138	129.661	1.82154 
88 	103.427	126.161	130.327	1.67747 
89 	103.427	126.197	129.653	1.71526 
90 	103.427	126.218	132.117	1.77961 
91 	103.427	126.229	130.042	1.70639 
92 	102.915	126.21 	130.601	1.88924 
93 	102.915	126.254	130.568	1.72531 
94 	102.915	126.228	130.394	1.87177 
95 	102.915	126.257	130.766	1.69055 
96 	102.915	126.271	130.94 	1.66139 
97 	102.915	126.232	131.227	1.88751 
98 	102.915	126.233	131.375	1.93173 
99 	102.915	126.231	131.374	1.99463 
100	102.915	126.28 	131.43 	1.81147 
101	102.915	126.35 	130.932	1.62367 
102	102.915	126.337	131.658	1.67893 
103	102.915	126.34 	131.094	1.62958 
104	102.915	126.321	130.767	1.70943 
105	102.915	126.336	131    	1.80325 
106	102.915	126.329	131.07 	1.85505 
107	102.915	126.299	131.229	1.95875 
108	102.915	126.287	130.887	1.97644 
109	102.915	126.333	131.427	1.87219 
110	102.915	126.36 	130.723	1.77776 
111	102.915	126.365	130.379	1.76336 
112	102.915	126.397	130.568	1.64442 
113	102.915	126.385	130.59 	1.90616 
114	102.915	126.404	131.006	1.81066 
115	102.915	126.406	130.679	1.88898 
116	102.915	126.431	130.511	1.70869 
117	102.915	126.405	130.511	1.67008 
118	102.915	126.401	130.31 	1.85905 
119	102.915	126.44 	130.753	1.78102 
120	102.915	126.465	133.743	1.68003 
121	102.915	126.499	132.713	1.75851 
122	102.915	126.49 	131.762	1.80675 
123	102.915	126.423	131.963	2.05448 
124	102.915	126.46 	133.35 	1.92    
125	102.915	126.47 	132.27 	1.96807 
126	102.915	126.502	134.651	1.94704 
127	102.915	126.506	132.642	1.95749 
128	102.915	126.531	132.301	1.82797 
129	102.563	126.54 	132.301	1.90541 
130	102.146	126.493	133.109	2.09546 
131	102.146	126.487	133.109	2.17413 
132	102.146	126.468	132.475	2.18107 
133	102.146	126.491	132.729	2.12161 
