/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std     
0  	117.058	126.084	128.914	0.957886
1  	117.058	126.053	128.793	1.00009 
2  	117.058	126.052	127.845	0.923286
3  	117.058	126.044	128.058	1.01612 
4  	117.058	126.035	127.811	1.00242 
5  	117.058	126.004	128.05 	1.09958 
6  	117.058	125.991	127.731	1.11582 
7  	116.605	126.027	127.468	1.0675  
8  	114.961	126.052	127.537	1.10705 
9  	114.961	126.052	127.423	1.16967 
10 	112.616	126.064	127.528	1.20102 
11 	112.616	126.01 	127.727	1.28498 
12 	112.616	126    	128.467	1.21481 
13 	112.616	126.008	128.467	1.19954 
14 	112.616	126.015	128.222	1.22193 
15 	112.616	126.045	127.897	1.11764 
16 	112.616	126.013	127.892	1.28042 
17 	112.156	125.998	128.05 	1.37102 
18 	112.156	125.982	127.67 	1.38185 
19 	112.156	125.985	127.712	1.3742  
20 	111.575	125.986	127.73 	1.38458 
21 	111.575	125.999	127.577	1.27097 
22 	111.575	125.988	128.615	1.2713  
23 	111.575	125.991	128.718	1.23222 
24 	111.575	126.01 	128.243	1.26701 
25 	111.575	126.014	128.954	1.40514 
26 	111.575	126.005	128.329	1.38296 
27 	111.575	126.008	128.421	1.48751 
28 	111.575	126.032	128.535	1.41488 
29 	111.575	126.006	128.459	1.35328 
30 	111.497	126.008	128.141	1.38516 
31 	111.497	126.025	128.186	1.32789 
32 	111.497	126.023	128.21 	1.31287 
33 	111.497	126.021	129.85 	1.36931 
34 	108.493	126.005	128.519	1.44566 
35 	108.493	126.001	128.363	1.52845 
36 	108.493	126.019	128.439	1.4273  
37 	108.493	126.061	128.307	1.43794 
38 	108.493	126.063	128.585	1.39702 
39 	108.493	126.026	128.484	1.4676  
40 	108.493	126.067	128.396	1.38362 
41 	108.493	126.096	128.333	1.28725 
42 	108.493	126.091	128.14 	1.23426 
43 	108.493	126.154	129.137	1.20949 
44 	104.407	126.141	129.042	1.42064 
45 	104.407	126.104	128.658	1.4201  
46 	104.407	126.088	128.643	1.38116 
47 	104.407	126.1  	130.013	1.49845 
48 	104.407	126.082	128.849	1.44045 
49 	104.407	126.074	129.148	1.42298 
50 	104.407	126.065	128.909	1.5044  
51 	104.407	126.062	128.794	1.50958 
52 	104.407	126.066	128.723	1.55338 
53 	104.407	126.084	128.615	1.54796 
54 	104.407	126.123	128.524	1.51481 
55 	104.407	126.081	128.55 	1.58371 
56 	104.407	126.102	128.849	1.44624 
57 	104.407	126.118	129.6  	1.4842  
58 	104.407	126.096	129.142	1.5907  
59 	104.407	126.079	129.055	1.68319 
60 	104.407	126.081	128.875	1.64459 
61 	104.407	126.043	128.999	1.7028  
62 	102.122	126.086	130.309	1.7769  
63 	102.122	126.1  	130.347	1.88965 
64 	102.122	126.139	130.102	1.85833 
65 	102.122	126.144	130.084	1.76468 
66 	102.122	126.131	130.154	1.65831 
67 	102.122	126.111	130.237	1.77577 
68 	102.122	126.091	130.199	1.65108 
69 	102.122	126.156	130.121	1.57432 
70 	102.122	126.156	130.114	1.6724  
71 	102.122	126.155	129.47 	1.6287  
72 	102.122	126.094	129.302	1.84079 
73 	102.122	126.13 	129.084	1.76269 
74 	102.122	126.171	129.063	1.85002 
75 	102.122	126.148	130.769	1.77603 
76 	102.122	126.149	129.579	1.8256  
77 	102.122	126.13 	130.158	1.78051 
78 	102.122	126.166	130.048	1.81677 
79 	100.795	126.158	130.048	1.91948 
80 	100.795	126.149	129.579	1.98745 
81 	100.795	126.142	129.502	1.94474 
82 	100.795	126.151	129.647	1.87337 
83 	100.795	126.156	129.865	2.00008 
84 	100.795	126.141	130.938	2.00294 
85 	100.795	126.193	130.533	1.8972  
86 	100.795	126.22 	130.521	1.77598 
87 	100.795	126.202	129.809	1.79851 
88 	100.795	126.183	129.281	1.89554 
89 	100.795	126.162	129.475	1.93978 
90 	100.795	126.214	129.632	1.85589 
91 	100.795	126.225	129.449	1.97265 
92 	100.795	126.25 	129.807	1.85813 
