/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max    	std     
0  	118.749	125.98	127.205	0.991937
1  	118.749	125.998	127.201	0.986539
2  	118.749	126.01 	127.919	1.01279 
3  	118.749	126.029	127.832	0.964391
4  	118.671	125.998	127.822	1.05725 
5  	115.013	126.044	127.853	1.01377 
6  	115.013	125.996	127.877	1.11905 
7  	115.013	126.006	127.447	1.0333  
8  	115.013	125.95 	127.447	1.15798 
9  	114.586	125.991	128.013	1.16948 
10 	114.586	125.974	127.978	1.21725 
11 	114.586	125.981	128.15 	1.21585 
12 	114.586	125.959	128.498	1.22235 
13 	114.586	125.99 	128.161	1.16546 
14 	114.586	125.982	128.049	1.25806 
15 	114.586	126.003	127.997	1.17864 
16 	114.586	125.978	127.499	1.23235 
17 	114.586	125.968	127.755	1.2242  
18 	114.586	125.962	127.643	1.27931 
19 	114.586	125.998	128.07 	1.24309 
20 	114.586	126.036	127.753	1.18176 
21 	108.879	126.007	127.814	1.34365 
22 	108.879	125.965	127.952	1.39763 
23 	108.879	125.983	127.97 	1.43935 
24 	108.879	125.963	127.839	1.44693 
25 	108.879	125.932	127.569	1.55491 
26 	108.879	125.956	127.709	1.49866 
27 	108.879	125.964	127.836	1.49356 
28 	108.879	125.97 	127.948	1.51151 
29 	108.879	126.007	127.937	1.39247 
30 	108.879	126.004	127.988	1.40611 
31 	108.879	125.991	127.921	1.3764  
32 	108.879	125.981	128.782	1.49305 
33 	108.147	125.983	128.868	1.52746 
34 	108.147	126.019	128.409	1.45581 
35 	108.147	126.03 	129.023	1.47394 
36 	108.147	126.039	128.492	1.50151 
37 	107.377	126.079	128.469	1.5331  
38 	107.377	126.077	128.191	1.47582 
39 	107.377	126.041	129.044	1.45567 
40 	107.377	126.081	128.455	1.46204 
41 	107.377	126.064	128.615	1.40996 
42 	107.377	126.096	128.815	1.3816  
43 	107.377	126.107	128.882	1.30542 
44 	107.377	126.083	128.475	1.37714 
45 	107.377	126.141	128.709	1.41665 
46 	107.377	126.121	128.12 	1.42518 
47 	107.377	126.161	130.622	1.46159 
48 	107.377	126.162	130.185	1.40885 
49 	107.377	126.136	133.777	1.54292 
50 	107.377	126.174	131.518	1.43101 
51 	107.377	126.197	129.886	1.33174 
52 	107.377	126.194	129.824	1.42258 
53 	107.32 	126.146	129.392	1.49459 
54 	107.32 	126.141	129.011	1.53803 
55 	107.32 	126.126	128.995	1.58246 
56 	106.455	126.131	128.995	1.66184 
57 	106.455	126.166	128.995	1.54543 
58 	106.455	126.173	129.112	1.52087 
59 	106.455	126.177	129.006	1.54842 
60 	106.455	126.195	129.912	1.56017 
61 	106.455	126.165	130.586	1.70514 
62 	106.455	126.214	131.209	1.55103 
63 	106.455	126.22 	130.599	1.48666 
64 	106.455	126.233	130.555	1.52476 
65 	106.455	126.191	129.964	1.55711 
66 	106.455	126.19 	129.762	1.6305  
67 	106.455	126.191	129.522	1.6159  
68 	106.455	126.207	129.505	1.47319 
69 	106.455	126.191	129.535	1.57363 
70 	106.455	126.189	129.224	1.59767 
71 	106.455	126.246	129.224	1.56091 
72 	106.455	126.261	133.382	1.41529 
73 	106.455	126.223	130.081	1.5773  
74 	106.455	126.209	131.038	1.5956  
75 	106.455	126.248	131.052	1.57296 
76 	106.455	126.257	130.104	1.55418 
77 	106.455	126.285	130.253	1.54249 
78 	106.455	126.302	130.157	1.54877 
79 	106.455	126.271	130.157	1.63663 
80 	106.455	126.256	131.078	1.63402 
81 	106.455	126.228	130.624	1.70129 
82 	106.455	126.251	130.63 	1.61808 
83 	106.455	126.25 	131.025	1.65087 
84 	106.455	126.255	130.857	1.57041 
85 	106.455	126.281	130.857	1.59284 
86 	106.455	126.298	130.787	1.5783  
87 	106.455	126.321	130.903	1.62834 
88 	106.455	126.312	130.462	1.65451 
89 	106.323	126.353	130.184	1.59568 
90 	106.323	126.325	131.307	1.67964 
91 	106.323	126.332	131.395	1.68759 
92 	106.323	126.339	131.331	1.66    
93 	106.323	126.331	130.396	1.64745 
94 	106.323	126.326	129.883	1.5902  
95 	106.323	126.35 	131.763	1.64787 
96 	106.323	126.378	131.753	1.55644 
97 	106.323	126.379	131.034	1.58646 
98 	106.323	126.377	130.341	1.59606 
99 	106.323	126.391	129.978	1.48138 
100	106.323	126.437	130.369	1.47659 
101	106.323	126.452	130.017	1.51788 
102	106.323	126.426	130.176	1.57235 
103	106.323	126.365	130.299	1.74412 
104	106.323	126.387	130.564	1.63243 
105	106.323	126.437	130.372	1.57854 
106	106.323	126.414	130.233	1.6228  
107	106.323	126.444	130.426	1.53469 
108	106.323	126.469	130.855	1.44962 
109	106.323	126.435	130.885	1.64173 
110	106.323	126.425	131.663	1.69334 
111	106.323	126.433	131.159	1.73867 
112	106.323	126.495	131.159	1.53924 
113	106.323	126.484	131.798	1.56899 
114	106.323	126.467	131.07 	1.64738 
115	106.323	126.477	130.976	1.71069 
116	106.323	126.478	130.965	1.77783 
117	106.323	126.463	131.23 	1.69859 
118	106.323	126.483	130.819	1.67881 
119	106.323	126.532	130.563	1.57277 
120	106.323	126.506	130.75 	1.67859 
121	106.323	126.508	130.731	1.73305 
122	106.043	126.506	135.017	1.83347 
123	106.043	126.522	134.937	1.74509 
124	106.043	126.565	133.865	1.76431 
125	106.043	126.636	133.87 	1.67001 
126	106.043	126.613	133.737	1.80874 
127	106.043	126.603	132.588	1.9029  
128	106.043	126.65 	132.438	1.68623 
129	106.043	126.689	132.438	1.65212 
130	106.043	126.725	132.411	1.59804 
131	106.043	126.73 	132.114	1.53719 
132	106.043	126.7  	132.162	1.6863  
133	106.043	126.716	131.989	1.65064 
134	106.043	126.721	133.949	1.71568 
135	106.043	126.738	132.025	1.64007 
136	106.043	126.706	133.509	1.63742 
137	106.043	126.716	132.796	1.75232 
138	106.043	126.736	132.472	1.60797 
139	106.043	126.756	133.227	1.78835 
140	106.043	126.75 	133.331	1.72021 
141	105.737	126.729	133.092	1.85832 
142	105.737	126.72 	132.817	1.89221 
143	105.737	126.742	132.902	1.96481 
144	105.737	126.731	132.714	1.94614 
145	105.737	126.739	132.798	2.01784 
146	104.319	126.743	133.295	2.0624  
147	104.319	126.737	132.816	2.03867 
148	104.319	126.74 	132.608	1.96411 
149	104.319	126.759	132.595	1.94711 
150	104.319	126.763	132.521	1.96265 
151	104.319	126.818	134.634	1.83406 
152	104.319	126.838	132.635	1.84456 
153	104.319	126.801	132.551	1.99007 
154	104.319	126.813	132.919	2.07007 
155	104.319	126.81 	133.04 	2.08207 
156	104.319	126.808	133.463	2.18202 
157	104.319	126.826	133.28 	2.06306 
158	104.319	126.847	133.284	1.87637 
159	104.319	126.879	134.701	1.9113  
160	104.319	126.899	133.734	1.99212 
161	104.319	126.865	133.364	2.01678 
162	102.581	126.849	133.925	2.1743  
163	102.581	126.803	133.848	2.20129 
164	102.581	126.859	134.452	2.14447 
165	102.581	126.841	134.134	2.11371 
166	102.581	126.834	134.059	2.08665 
167	102.581	126.896	134.058	2.01635 
168	102.581	126.885	133.121	2.00547 
169	102.581	126.876	133.122	2.15299 
170	102.581	126.882	133    	2.11894 
171	102.581	126.942	133.743	2.0627  
172	102.581	126.923	132.981	2.21619 
173	102.581	126.909	132.711	2.1881  
174	102.581	126.885	133.184	2.2072  
175	102.581	126.834	132.916	2.28167 
176	102.581	126.841	133.953	2.30255 
177	102.581	126.846	135.359	2.24408 
178	102.581	126.854	133.979	2.24339 
179	102.581	126.906	133.696	2.322   
180	102.581	126.929	133.462	2.19282 
181	102.581	126.933	133.088	2.2174  
182	102.581	126.95 	133.474	2.1953  
183	102.559	126.953	134.865	2.27815 
184	102.559	126.996	133.63 	2.20724 
185	100.411	127.038	133.163	2.25142 
186	100.411	127.021	133.24 	2.22032 
187	100.411	127.015	133.952	2.2399  
188	100.411	127.045	133.404	2.31343 
189	100.411	127.095	133.849	2.13531 
190	100.411	127.113	133.911	2.13442 
191	100.411	127.086	135.568	2.27292 
192	100.411	127.102	133.91 	2.29215 
193	100.411	127.09 	134.329	2.25465 
194	100.411	127.142	136.453	2.21628 
195	100.411	127.15 	135.369	2.19741 
196	100.411	127.164	134.935	2.19366 
197	100.411	127.211	137.505	2.23567 
198	100.411	127.179	137.451	2.39163 
199	100.394	127.199	136.341	2.49603 
200	100.394	127.176	135.918	2.57362 
201	100.394	127.187	135.918	2.53851 
202	100.394	127.244	136.846	2.49526 
203	100.258	127.232	136.453	2.49818 
204	100.258	127.242	135.645	2.33014 
205	100.258	127.264	135.813	2.26658 
206	100.258	127.297	135.453	2.33541 
207	100.258	127.321	136.949	2.32226 
208	100.258	127.281	135.739	2.36019 
209	100.258	127.277	135.619	2.33188 
210	100.258	127.316	136.636	2.35059 
211	100.258	127.319	136.151	2.45903 
212	100.258	127.356	136.351	2.51994 
213	100.258	127.389	136.721	2.52593 
214	100.258	127.38 	136.482	2.60774 
215	100.258	127.367	135.895	2.72188 
216	100.258	127.395	136.791	2.66927 
217	100.258	127.395	136.714	2.77612 
218	100.258	127.384	136.204	2.78271 
219	99.5767	127.412	135.072	2.74438 
220	99.5767	127.463	136.851	2.83589 
221	99.5767	127.499	137.692	2.64376 
222	99.5767	127.462	137.692	2.7498  
223	99.5767	127.455	136.772	2.63045 
224	99.5767	127.442	136.726	2.73073 
225	99.5767	127.43 	137.258	2.74768 
226	98.3071	127.416	137.258	2.90467 
