/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg     	max     	std     
0  	-919.08	-914.196	-911.441	0.693898
1  	-919.515	-914.196	-913.057	0.70965 
2  	-922.999	-914.202	-913.054	0.762084
3  	-922.999	-914.227	-913.148	0.821314
4  	-922.999	-914.224	-913.249	0.842525
5  	-922.999	-914.216	-912.815	0.791373
6  	-922.999	-914.198	-912.048	0.764896
7  	-922.999	-914.194	-911.962	0.798735
8  	-922.999	-914.218	-912.06 	0.908857
9  	-923.5  	-914.23 	-912.513	0.95173 
10 	-924.313	-914.205	-912.389	0.863392
11 	-924.313	-914.206	-912.809	0.824644
12 	-924.313	-914.188	-912.809	0.8048  
13 	-924.526	-914.198	-912.505	0.874032
14 	-927.135	-914.212	-912.357	0.959181
15 	-927.135	-914.229	-912.595	1.04298 
16 	-927.135	-914.206	-912.611	0.973631
17 	-927.135	-914.216	-912.047	1.08564 
18 	-930.075	-914.208	-912.483	1.10522 
19 	-930.075	-914.206	-912.7  	1.13024 
20 	-930.075	-914.225	-912.771	1.18144 
21 	-930.075	-914.23 	-912.773	1.19119 
22 	-930.075	-914.23 	-912.35 	1.16802 
23 	-930.075	-914.218	-912.398	1.15222 
24 	-930.075	-914.216	-912.396	1.12635 
25 	-930.075	-914.195	-912.694	1.12692 
26 	-930.075	-914.183	-912.332	1.08647 
27 	-932.221	-914.204	-912.416	1.19317 
28 	-932.221	-914.224	-912.416	1.33345 
29 	-932.396	-914.227	-909.802	1.44005 
30 	-932.516	-914.204	-911.459	1.34709 
31 	-932.516	-914.21 	-912.354	1.31514 
32 	-932.516	-914.184	-910.102	1.31534 
33 	-932.516	-914.198	-911.465	1.37683 
34 	-932.516	-914.225	-912.141	1.50658 
35 	-932.516	-914.183	-912.334	1.30516 
36 	-933.167	-914.195	-912.361	1.32678 
37 	-933.167	-914.181	-910.634	1.29418 
38 	-933.167	-914.188	-912.032	1.42511 
39 	-933.167	-914.181	-910.8  	1.34964 
40 	-933.167	-914.172	-910.8  	1.29746 
41 	-933.19 	-914.18 	-911.847	1.32859 
42 	-933.214	-914.16 	-911.823	1.30253 
43 	-933.88 	-914.154	-911.826	1.2644  
44 	-935.924	-914.177	-911.975	1.42185 
45 	-935.924	-914.17 	-912.304	1.34574 
46 	-935.924	-914.149	-910.664	1.19268 
47 	-935.924	-914.156	-912.035	1.36374 
48 	-935.924	-914.141	-911.878	1.29654 
49 	-935.924	-914.154	-910.924	1.38892 
