/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std     
0  	-919.262	-914.213	-913.48	0.702827
1  	-920.776	-914.226	-913.031	0.735395
2  	-920.784	-914.226	-913.452	0.765227
3  	-920.784	-914.21 	-912.42 	0.727047
4  	-920.784	-914.226	-912.418	0.730382
5  	-920.784	-914.221	-912.381	0.764064
6  	-924.384	-914.228	-912.854	0.853887
7  	-924.384	-914.23 	-913.44 	0.873907
8  	-924.384	-914.229	-913.44 	0.87973 
9  	-924.384	-914.236	-913.073	0.901156
10 	-924.384	-914.226	-913.465	0.880866
11 	-924.384	-914.209	-913.164	0.869331
12 	-924.384	-914.207	-912.051	0.945464
13 	-924.384	-914.204	-911.815	0.966982
14 	-924.384	-914.198	-911.992	0.922318
15 	-924.384	-914.203	-912.584	0.895861
16 	-924.384	-914.2  	-912.402	0.843738
17 	-924.384	-914.187	-911.941	0.89846 
18 	-925.141	-914.183	-911.965	0.9008  
19 	-925.141	-914.186	-911.353	0.950407
20 	-927.469	-914.179	-911.316	0.983068
21 	-927.469	-914.191	-911.628	1.06472 
22 	-927.469	-914.195	-912.31 	1.06946 
23 	-927.469	-914.223	-912.256	1.18921 
24 	-927.668	-914.231	-912.242	1.23213 
25 	-928.362	-914.215	-910.911	1.14805 
26 	-928.362	-914.216	-911.964	1.05268 
27 	-928.362	-914.196	-911.844	1.06666 
28 	-929.618	-914.205	-912.015	1.15912 
29 	-929.618	-914.206	-912.13 	1.17316 
30 	-929.618	-914.21 	-910.973	1.21138 
31 	-929.618	-914.22 	-912.028	1.24509 
32 	-930.714	-914.225	-912.093	1.23725 
33 	-930.714	-914.203	-911.063	1.23174 
34 	-931.173	-914.172	-911.78 	1.1839  
35 	-931.173	-914.202	-912.336	1.26659 
36 	-931.173	-914.177	-912.412	1.14429 
37 	-931.173	-914.18 	-912.232	1.22912 
38 	-931.173	-914.159	-912.102	1.18132 
39 	-931.173	-914.152	-911.696	1.03213 
40 	-931.173	-914.146	-911.723	1.09383 
41 	-931.173	-914.156	-911.767	1.19768 
42 	-931.173	-914.173	-912.043	1.2484  
43 	-931.173	-914.164	-912.031	1.25588 
44 	-931.173	-914.159	-912.144	1.24276 
45 	-931.173	-914.123	-909.851	1.195   
46 	-931.173	-914.163	-911.481	1.25906 
47 	-931.173	-914.161	-911.848	1.23229 
48 	-931.173	-914.165	-911.154	1.32893 
49 	-931.173	-914.166	-911.367	1.33702 
50 	-931.344	-914.156	-911.696	1.35088 
51 	-931.344	-914.156	-911.701	1.31739 
52 	-931.552	-914.144	-911.631	1.35402 
53 	-931.552	-914.152	-911.669	1.30307 
54 	-931.552	-914.131	-911.461	1.18619 
55 	-931.552	-914.144	-911.703	1.28023 
56 	-931.552	-914.127	-911.627	1.29901 
57 	-931.552	-914.111	-911.627	1.27056 
58 	-931.552	-914.127	-911.407	1.27616 
59 	-931.552	-914.12 	-911.537	1.23539 
60 	-934.065	-914.131	-910.112	1.37771 
61 	-934.065	-914.111	-910.187	1.2633  
62 	-934.065	-914.082	-910.159	1.2642  
63 	-934.065	-914.093	-910.581	1.28552 
64 	-934.065	-914.104	-910.615	1.28962 
65 	-934.065	-914.124	-911.188	1.40103 
66 	-934.065	-914.138	-911.496	1.47021 
67 	-939.665	-914.123	-911.503	1.57855 
68 	-939.665	-914.14 	-910.845	1.65545 
69 	-939.665	-914.147	-911.249	1.69269 
70 	-939.665	-914.126	-911    	1.65746 
71 	-939.665	-914.113	-910.492	1.6399  
72 	-939.665	-914.101	-911.014	1.63911 
73 	-939.665	-914.115	-911.191	1.7371  
74 	-939.665	-914.062	-911.011	1.50651 
75 	-939.665	-914.116	-911.3  	1.76134 
76 	-939.665	-914.112	-910.737	1.74189 
77 	-939.665	-914.09 	-910.45 	1.76748 
78 	-939.665	-914.067	-910.346	1.58047 
79 	-939.665	-914.039	-910.346	1.58638 
80 	-939.665	-914.015	-908.692	1.60564 
81 	-939.665	-914.026	-909.981	1.59777 
82 	-939.665	-914.028	-907.859	1.7405  
83 	-940.895	-914.049	-907.861	1.92892 
84 	-940.895	-914.056	-908.994	1.88976 
85 	-940.895	-914.048	-909.431	1.91501 
86 	-940.895	-914.011	-910.133	1.69316 
87 	-940.895	-914.051	-910.12 	1.78493 
88 	-943.335	-914.09 	-910.07 	2.01248 
89 	-943.335	-914.028	-910.22 	1.70795 
90 	-943.76 	-914.014	-910.383	1.82917 
91 	-943.76 	-914.02 	-910.489	1.79104 
92 	-943.76 	-914.002	-910.518	1.64276 
93 	-943.76 	-913.991	-910.22 	1.64954 
94 	-943.76 	-914    	-909.94 	1.83867 
95 	-943.76 	-913.984	-910.254	1.69739 
96 	-943.76 	-913.987	-910.38 	1.81857 
97 	-943.76 	-914.011	-910.54 	1.80312 
98 	-943.76 	-914.003	-910.258	1.80629 
99 	-943.76 	-914.025	-910.301	1.91936 
100	-943.76 	-914.022	-910.388	1.86251 
101	-943.76 	-914.01 	-910.217	1.83123 
102	-943.76 	-914.014	-909.94 	1.86018 
103	-943.76 	-914.02 	-909.942	1.84884 
104	-943.76 	-914.064	-909.942	1.90813 
105	-943.76 	-914.071	-909.959	2.03672 
106	-943.76 	-914.076	-910.301	2.07309 
107	-943.76 	-914.101	-910.368	2.06524 
108	-943.76 	-914.064	-910.376	1.90042 
109	-943.76 	-914.051	-910.196	2.05863 
110	-943.76 	-914.049	-910.657	2.06271 
111	-943.76 	-914.019	-910.578	1.81599 
112	-943.76 	-914.031	-910.805	1.7567  
113	-943.76 	-914.035	-910.719	1.96411 
114	-943.76 	-914.013	-909.594	2.01652 
115	-943.76 	-914.001	-909.594	1.94658 
116	-943.76 	-914.005	-909.003	2.06008 
117	-943.76 	-913.981	-909.611	2.00478 
118	-943.76 	-913.98 	-909.782	2.00807 
119	-943.76 	-914.008	-910    	2.07266 
120	-943.76 	-914.036	-909.758	2.27421 
121	-943.76 	-913.969	-909.731	2.0837  
122	-943.76 	-913.987	-909.731	2.01156 
123	-943.76 	-913.999	-907.572	2.07167 
124	-943.76 	-913.975	-907.529	2.02426 
125	-943.76 	-913.99 	-908.234	2.04313 
126	-943.76 	-914.013	-909.354	2.09235 
127	-943.76 	-913.973	-907.343	1.8987  
128	-943.76 	-913.975	-906.699	2.00379 
129	-944.701	-913.982	-906.672	2.21152 
130	-944.701	-913.986	-907.652	2.19905 
131	-944.701	-913.948	-906.841	2.2348  
132	-944.701	-913.917	-907.628	2.07022 
133	-944.701	-913.937	-908.475	2.13511 
134	-944.701	-913.936	-909.18 	2.12404 
135	-950.106	-913.942	-909.636	2.2791  
136	-950.106	-913.911	-908.898	2.24799 
137	-950.106	-913.878	-909.107	1.936   
138	-950.106	-913.911	-909.567	2.15649 
139	-950.106	-913.952	-909.547	2.45556 
140	-950.106	-913.945	-909.708	2.20815 
141	-950.106	-913.885	-909.566	2.08422 
142	-950.106	-913.886	-908.005	2.01714 
143	-950.106	-913.875	-907.985	2.13886 
144	-950.106	-913.897	-908.313	2.38984 
145	-950.106	-913.876	-909.478	2.38032 
146	-950.106	-913.871	-908.325	2.4929  
147	-950.106	-913.813	-908.383	2.25421 
148	-950.106	-913.835	-908.302	2.2636  
149	-950.106	-913.802	-908.415	2.14653 
150	-950.106	-913.783	-908.467	2.02393 
151	-950.106	-913.774	-908.461	1.95297 
152	-950.106	-913.789	-908.582	2.10567 
153	-950.106	-913.791	-908.828	2.01137 
154	-950.106	-913.762	-908.154	2.19418 
155	-951.606	-913.798	-908.15 	2.66876 
156	-951.606	-913.819	-908.215	2.65596 
157	-951.606	-913.782	-907.408	2.34223 
158	-951.606	-913.729	-907.421	2.08488 
159	-951.606	-913.721	-907.982	2.13432 
160	-951.606	-913.725	-907.655	2.27577 
161	-951.606	-913.711	-907.924	2.07166 
162	-951.606	-913.701	-907.31 	2.17342 
163	-951.606	-913.74 	-907.682	2.22396 
164	-951.606	-913.743	-908.024	2.31247 
165	-951.645	-913.732	-907.988	2.55201 
166	-951.645	-913.701	-907.386	2.33421 
167	-951.645	-913.688	-907.389	2.0853  
168	-951.645	-913.7  	-903.089	2.43732 
169	-951.645	-913.704	-907.092	2.26079 
170	-951.645	-913.714	-908.043	2.35921 
171	-951.645	-913.749	-906.125	2.64851 
172	-951.645	-913.739	-906.848	2.48611 
173	-951.645	-913.709	-907.366	2.41516 
174	-951.645	-913.734	-907.63 	2.50378 
175	-951.645	-913.721	-907.811	2.32696 
176	-951.645	-913.713	-907.738	2.4757  
177	-951.645	-913.702	-906.925	2.4276  
178	-951.645	-913.675	-905.445	2.39689 
179	-951.645	-913.692	-906.343	2.60341 
180	-956.665	-913.681	-906.067	2.8142  
181	-956.665	-913.67 	-906.047	2.68333 
182	-956.665	-913.686	-906.996	2.81766 
183	-956.665	-913.671	-906.993	2.76317 
184	-956.665	-913.66 	-905.896	2.628   
185	-956.665	-913.663	-907.283	2.54259 
186	-956.665	-913.697	-907.821	2.8339  
187	-956.665	-913.69 	-907.874	2.94604 
188	-956.665	-913.661	-906.988	2.69501 
189	-959.954	-913.675	-905.045	2.95977 
190	-959.954	-913.696	-905.852	3.11157 
191	-959.954	-913.657	-903.61 	3.12048 
192	-959.954	-913.573	-903.838	2.58917 
193	-959.954	-913.612	-904.075	3.02744 
194	-959.954	-913.546	-904.906	2.64822 
195	-959.954	-913.602	-904.749	3.08007 
196	-959.954	-913.643	-904.753	3.21387 
197	-959.954	-913.598	-904.995	2.8022  
198	-959.954	-913.598	-906.013	2.77349 
199	-959.954	-913.612	-905.681	2.8707  
200	-959.954	-913.605	-906.161	2.9909  
201	-959.954	-913.601	-906.245	3.02814 
202	-959.954	-913.601	-906.368	3.10662 
203	-959.954	-913.637	-906.353	3.45899 
204	-959.954	-913.627	-906.72 	3.32289 
205	-959.954	-913.591	-906.554	3.00265 
206	-959.954	-913.637	-906.777	3.15923 
207	-959.954	-913.57 	-906.424	2.69266 
208	-959.954	-913.521	-904.689	2.73066 
209	-959.954	-913.529	-905.639	2.7106  
210	-959.954	-913.548	-906.502	2.80263 
211	-959.954	-913.513	-906.781	2.65435 
212	-959.954	-913.518	-907.254	2.70821 
213	-959.954	-913.522	-907.022	2.95623 
214	-959.954	-913.503	-906.332	2.73531 
215	-959.954	-913.505	-905.182	2.70907 
216	-960.275	-913.556	-905.905	3.1769  
217	-960.275	-913.497	-905.976	2.74775 
218	-960.275	-913.475	-906.034	2.68977 
219	-960.275	-913.492	-905.994	2.79871 
220	-960.275	-913.521	-906.089	3.09534 
221	-962.474	-913.557	-906.297	3.332   
222	-962.474	-913.502	-905.341	2.83308 
223	-962.474	-913.525	-906.037	3.1697  
224	-962.474	-913.485	-906.473	3.14257 
225	-962.474	-913.504	-906.477	3.25362 
226	-962.474	-913.455	-905.355	3.14225 
227	-962.474	-913.401	-905.198	2.93353 
228	-962.474	-913.417	-905.205	2.91439 
229	-962.474	-913.412	-904.449	3.2812  
230	-962.474	-913.35 	-903.388	3.29916 
231	-962.474	-913.41 	-903.308	3.46935 
232	-962.474	-913.376	-904.028	2.99282 
233	-962.474	-913.355	-904.021	3.01405 
234	-962.474	-913.353	-904.379	3.04631 
235	-962.474	-913.353	-904.401	3.40296 
236	-962.474	-913.379	-904.455	3.50421 
237	-962.474	-913.367	-904.442	3.38679 
238	-962.474	-913.364	-905.017	3.20373 
239	-962.474	-913.332	-905.857	2.98958 
240	-962.474	-913.362	-906.222	3.06319 
241	-962.474	-913.355	-906.111	2.944   
242	-962.474	-913.375	-901.893	3.18757 
243	-962.474	-913.36 	-904.591	3.03993 
244	-962.474	-913.366	-904.572	3.05061 
245	-962.474	-913.348	-904.988	3.11431 
246	-962.474	-913.333	-906.012	3.20717 
247	-962.474	-913.344	-905.778	3.33795 
248	-962.474	-913.334	-905.577	3.39983 
249	-962.474	-913.323	-906.277	3.4887  
250	-962.474	-913.336	-905.355	3.52028 
251	-962.474	-913.359	-903.696	3.57278 
252	-962.474	-913.315	-904.941	3.06847 
253	-967.049	-913.358	-902.925	3.62638 
254	-968.16 	-913.334	-902.616	3.65642 
255	-968.16 	-913.326	-902.967	3.57499 
256	-968.16 	-913.36 	-902.716	3.9695  
257	-968.16 	-913.332	-902.449	3.93436 
258	-968.16 	-913.275	-901.864	3.61582 
259	-968.16 	-913.255	-902.069	3.47896 
260	-968.16 	-913.283	-903.308	3.61623 
261	-968.16 	-913.284	-903.203	3.86846 
262	-968.16 	-913.289	-903.175	3.69828 
263	-968.16 	-913.27 	-903.917	3.48911 
264	-968.16 	-913.307	-904.657	3.91273 
265	-968.16 	-913.363	-904.545	4.06481 
266	-968.16 	-913.399	-904.329	4.31077 
267	-968.16 	-913.402	-904.826	4.45988 
268	-968.16 	-913.268	-905.185	3.87421 
269	-968.16 	-913.293	-905.224	4.07503 
270	-968.16 	-913.303	-905.224	4.14279 
271	-968.16 	-913.324	-904.324	4.26872 
272	-968.16 	-913.252	-904.254	3.47872 
273	-968.725	-913.282	-901.666	3.90252 
274	-968.725	-913.255	-904.228	3.60789 
275	-968.725	-913.256	-904.273	3.64711 
276	-968.725	-913.236	-904.954	3.70907 
277	-968.725	-913.228	-904.62 	3.63902 
278	-968.725	-913.201	-904.193	3.51148 
279	-968.725	-913.185	-900.6  	3.67514 
280	-968.725	-913.141	-900.955	3.87257 
281	-968.725	-913.108	-902.335	3.57947 
282	-968.725	-913.187	-903.273	4.29186 
283	-968.725	-913.157	-901.995	3.84816 
284	-968.725	-913.14 	-902.269	3.59304 
285	-968.725	-913.199	-902.608	3.88559 
286	-968.725	-913.237	-902.863	4.09194 
287	-968.725	-913.232	-902.863	4.29386 
288	-968.725	-913.18 	-903.086	3.89183 
289	-968.725	-913.176	-903.176	3.82    
290	-968.725	-913.167	-904.542	3.58817 
291	-968.725	-913.111	-903.82 	3.48811 
292	-969.454	-913.112	-904.022	4.04564 
293	-969.454	-913.05 	-904.502	3.50858 
294	-969.454	-913.088	-904.143	3.77446 
295	-969.454	-913.09 	-904.756	3.55502 
296	-969.454	-913.119	-904.236	3.86442 
297	-969.454	-912.998	-899.427	3.41896 
298	-969.454	-912.977	-904.422	3.31984 
299	-969.454	-913.006	-901.475	3.66744 
300	-969.454	-913.015	-901.478	3.57744 
301	-969.454	-913.032	-902.063	3.71546 
302	-969.454	-913.059	-902.264	4.10369 
303	-973.524	-913.097	-902.346	4.39831 
304	-973.524	-913.144	-902.313	4.76427 
305	-973.524	-913.005	-902.322	3.91382 
306	-973.524	-912.971	-899.5  	3.70369 
307	-973.524	-912.954	-899.493	3.99042 
308	-973.524	-912.926	-899.686	3.55438 
309	-973.524	-912.967	-900.379	4.07164 
310	-973.524	-912.893	-899.844	3.58791 
311	-973.524	-912.878	-900.59 	3.54557 
312	-973.524	-912.899	-901.187	3.70172 
313	-973.524	-912.935	-901.502	3.87555 
314	-973.524	-912.947	-901.064	4.17556 
315	-973.524	-912.938	-899.553	4.38506 
316	-973.769	-912.989	-901.076	4.64658 
317	-974.045	-913.011	-901.157	4.92109 
318	-974.045	-912.98 	-901.231	4.40833 
319	-974.045	-913.029	-901.139	5.01001 
320	-974.045	-912.982	-901.164	4.41661 
321	-974.045	-912.895	-898.319	3.84471 
322	-974.045	-912.898	-901.16 	3.75776 
323	-974.045	-912.877	-899.437	3.87863 
324	-974.045	-912.857	-902.048	4.1829  
325	-974.045	-912.837	-902.879	4.2298  
326	-974.045	-912.856	-902.266	4.32645 
327	-974.045	-912.787	-902.138	3.75733 
328	-974.045	-912.842	-902.949	3.93853 
329	-974.045	-912.834	-900.835	4.16581 
330	-974.045	-912.789	-900.895	3.72279 
331	-974.045	-912.798	-901.698	3.81669 
332	-974.045	-912.839	-902.018	4.30334 
333	-974.045	-912.819	-903.208	4.19384 
334	-974.045	-912.839	-901.357	4.49494 
335	-974.045	-912.828	-903.07 	4.66183 
336	-974.045	-912.798	-903.865	4.31211 
337	-974.045	-912.808	-903.74 	4.4641  
338	-974.045	-912.702	-902.438	3.94505 
339	-974.045	-912.649	-902.463	3.82756 
340	-974.045	-912.664	-902.675	3.98128 
341	-974.045	-912.696	-899.971	4.32994 
342	-977.76 	-912.738	-901.709	4.74176 
343	-977.76 	-912.722	-897.424	4.63355 
344	-977.76 	-912.779	-898.119	5.07287 
345	-977.76 	-912.761	-902.055	4.9567  
346	-977.76 	-912.696	-900.073	4.90179 
347	-977.76 	-912.616	-902.379	4.349   
