/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max     	std     
0  	-920.178	-914.213	-913.499	0.712601
1  	-921.478	-914.228	-913.261	0.75927 
2  	-921.478	-914.224	-913.081	0.790736
3  	-921.478	-914.22 	-913.416	0.770202
4  	-921.478	-914.214	-913.433	0.755509
5  	-921.478	-914.236	-913.092	0.844999
6  	-921.478	-914.213	-912.857	0.787254
7  	-921.478	-914.214	-912.895	0.793263
8  	-922.859	-914.213	-912.895	0.827868
9  	-922.859	-914.183	-910.849	0.769531
10 	-922.859	-914.2  	-910.812	0.814817
11 	-923.046	-914.203	-911.832	0.878677
12 	-923.046	-914.205	-911.84 	0.838753
13 	-923.046	-914.212	-911.829	0.885043
14 	-923.046	-914.192	-911.587	0.844818
15 	-923.046	-914.183	-911.722	0.818166
16 	-923.046	-914.193	-911.448	0.799133
17 	-923.046	-914.204	-911.764	0.827207
18 	-923.046	-914.202	-912.223	0.805696
19 	-923.046	-914.204	-912.276	0.832637
20 	-923.046	-914.198	-912.472	0.827722
21 	-923.046	-914.194	-912.46 	0.833349
22 	-923.046	-914.19 	-912.413	0.800474
23 	-923.046	-914.199	-912.614	0.833591
24 	-923.046	-914.214	-911.603	0.939154
25 	-923.046	-914.2  	-912.062	0.925025
26 	-924.087	-914.186	-911.888	0.946536
27 	-924.087	-914.171	-912.02 	0.904679
28 	-925.057	-914.184	-912.062	0.959232
29 	-925.057	-914.174	-912.044	0.982561
30 	-925.491	-914.178	-912.404	1.00219 
31 	-925.491	-914.186	-912.505	0.983811
32 	-925.491	-914.197	-912.416	1.00624 
33 	-925.491	-914.199	-912.294	1.01957 
34 	-925.491	-914.206	-912.368	1.05972 
35 	-925.491	-914.184	-912.368	1.05133 
36 	-925.491	-914.184	-912.368	1.01275 
37 	-925.491	-914.179	-912.282	1.00677 
38 	-925.491	-914.16 	-912.243	0.935454
39 	-925.491	-914.143	-909.937	0.959803
40 	-925.491	-914.161	-911.845	0.944338
41 	-925.491	-914.152	-910.087	0.960872
42 	-925.491	-914.133	-910.277	0.963146
43 	-925.491	-914.142	-911.377	0.978991
44 	-925.491	-914.153	-911.384	1.06181 
45 	-927.923	-914.152	-911.32 	1.14678 
46 	-927.923	-914.164	-911.415	1.23992 
47 	-927.923	-914.157	-911.336	1.15294 
48 	-927.923	-914.167	-912.067	1.16431 
49 	-927.923	-914.177	-910.842	1.21218 
50 	-929.274	-914.17 	-910.489	1.2985  
51 	-929.274	-914.17 	-909.703	1.35405 
52 	-929.769	-914.142	-910.575	1.36035 
53 	-929.769	-914.128	-910.678	1.34395 
54 	-929.769	-914.115	-911.089	1.27203 
55 	-929.769	-914.087	-911.085	1.16854 
56 	-929.769	-914.092	-909.831	1.1655  
57 	-929.769	-914.09 	-911.045	1.15827 
58 	-929.769	-914.1  	-911.135	1.14123 
59 	-929.769	-914.076	-911.097	1.14004 
60 	-930.105	-914.079	-911.204	1.20914 
61 	-930.105	-914.057	-911.077	1.21565 
62 	-930.105	-914.065	-911.081	1.28142 
63 	-930.105	-914.059	-910.529	1.28997 
64 	-930.105	-914.066	-910.343	1.38258 
65 	-930.105	-914.053	-910.509	1.30804 
66 	-930.302	-914.022	-910.097	1.33527 
67 	-930.302	-914.024	-910.196	1.39073 
68 	-930.302	-914.036	-910.153	1.36969 
69 	-930.302	-914.026	-910.113	1.30677 
70 	-930.302	-914.03 	-909.867	1.35636 
71 	-930.302	-914.009	-909.374	1.34072 
72 	-930.749	-914.008	-909.821	1.33216 
73 	-930.749	-913.996	-909.698	1.38615 
74 	-930.749	-913.98 	-910.129	1.34547 
75 	-930.749	-913.966	-909.838	1.34352 
76 	-930.749	-913.982	-909.989	1.38867 
77 	-931.783	-913.998	-909.913	1.40018 
78 	-931.783	-913.992	-909.913	1.44285 
79 	-931.783	-914.013	-910.344	1.53894 
80 	-931.783	-913.975	-910.168	1.47594 
81 	-931.783	-913.96 	-909.561	1.56307 
82 	-931.783	-913.94 	-909.9  	1.51209 
83 	-931.783	-913.971	-910.213	1.61044 
84 	-931.79 	-913.98 	-908.758	1.57657 
85 	-931.79 	-913.995	-909.24 	1.64723 
86 	-932.221	-913.972	-909.307	1.56508 
87 	-932.221	-913.962	-909.852	1.57946 
88 	-932.221	-913.942	-909.909	1.58598 
89 	-932.221	-913.918	-909.951	1.45652 
90 	-932.221	-913.923	-909.677	1.56137 
91 	-932.221	-913.934	-909.677	1.57887 
92 	-932.221	-913.918	-909.018	1.55705 
93 	-932.221	-913.886	-909.292	1.43606 
94 	-932.221	-913.893	-909.753	1.37597 
95 	-932.221	-913.873	-909.36 	1.49534 
96 	-933.963	-913.884	-909.232	1.59833 
97 	-933.963	-913.877	-909.244	1.62658 
98 	-933.963	-913.874	-909.61 	1.59969 
99 	-933.963	-913.88 	-908.872	1.6267  
100	-933.963	-913.88 	-909.369	1.68922 
101	-933.963	-913.861	-909.383	1.67348 
102	-933.963	-913.843	-909.237	1.58134 
103	-934.735	-913.852	-909.306	1.65215 
104	-934.735	-913.815	-907.029	1.6738  
105	-934.735	-913.817	-907.037	1.7671  
106	-935.188	-913.809	-907.931	1.73195 
107	-935.188	-913.772	-907.868	1.61207 
108	-935.188	-913.768	-908.354	1.55441 
109	-935.188	-913.773	-908.404	1.68202 
110	-935.188	-913.747	-907.451	1.7525  
111	-935.188	-913.77 	-907.43 	1.86686 
112	-935.188	-913.768	-908.338	1.85885 
113	-935.511	-913.783	-908.329	2.02175 
114	-935.511	-913.766	-906.687	1.9153  
115	-935.511	-913.754	-908.074	1.78535 
116	-935.511	-913.745	-908.325	1.69878 
117	-935.511	-913.736	-908.453	1.75645 
118	-935.511	-913.764	-908.427	1.87469 
119	-935.511	-913.78 	-908.809	1.9154  
120	-935.511	-913.736	-908.233	1.80035 
121	-935.511	-913.729	-908.357	1.91392 
122	-937.571	-913.742	-908.7  	1.96826 
123	-937.571	-913.733	-908.416	2.13801 
124	-937.571	-913.731	-907.048	2.12001 
125	-937.571	-913.709	-907.048	2.1049  
126	-937.571	-913.669	-907.595	2.02799 
127	-937.571	-913.669	-908.061	1.92696 
128	-937.571	-913.662	-907.826	1.80875 
129	-937.571	-913.673	-907.778	1.90273 
130	-937.571	-913.638	-907.778	1.76287 
131	-937.571	-913.624	-907.263	1.73862 
132	-937.571	-913.633	-907.348	1.9085  
133	-937.571	-913.629	-907.688	1.91514 
134	-938.521	-913.623	-906.583	2.03802 
135	-938.521	-913.602	-907.378	1.95412 
136	-938.521	-913.626	-907.41 	1.96595 
137	-938.521	-913.628	-907.728	1.86707 
138	-938.521	-913.632	-907.853	2.01395 
139	-938.521	-913.595	-904.785	2.0169  
140	-938.521	-913.632	-907.876	2.19737 
141	-938.521	-913.619	-907.876	2.1005  
142	-938.521	-913.584	-907.481	1.97443 
143	-943.005	-913.609	-907.515	2.21724 
144	-943.005	-913.617	-907.97 	2.27834 
145	-943.005	-913.623	-907.797	2.24442 
146	-943.005	-913.58 	-906.735	2.21791 
147	-943.005	-913.588	-905.723	2.23636 
148	-943.005	-913.602	-906.711	2.27056 
149	-943.005	-913.563	-906.689	2.10462 
150	-943.005	-913.55 	-904.49 	2.17847 
151	-943.005	-913.533	-905.678	2.17989 
152	-943.005	-913.534	-906.27 	2.21335 
153	-943.968	-913.603	-906.728	2.41416 
154	-943.968	-913.632	-907.178	2.51282 
155	-944.717	-913.602	-907.214	2.47284 
156	-945.682	-913.605	-907.052	2.64443 
157	-945.682	-913.562	-905.331	2.32574 
158	-945.682	-913.563	-906.61 	2.37242 
159	-945.682	-913.55 	-904.811	2.34966 
160	-945.682	-913.547	-905.999	2.32135 
161	-945.682	-913.528	-906.001	2.25456 
162	-945.682	-913.543	-907.484	2.40839 
163	-945.682	-913.516	-907.363	2.44298 
164	-945.945	-913.487	-905.987	2.42831 
165	-946.384	-913.483	-906.052	2.53466 
166	-946.97 	-913.492	-906.041	2.48106 
167	-948.977	-913.502	-905.53 	2.78377 
168	-948.977	-913.489	-905.46 	2.68383 
169	-948.977	-913.481	-904.573	2.69437 
170	-948.977	-913.499	-904.295	2.67592 
171	-948.977	-913.508	-906.923	2.57885 
172	-948.977	-913.537	-906.66 	2.80651 
173	-948.977	-913.559	-906.66 	2.8932  
174	-948.977	-913.548	-906.726	2.69008 
175	-948.977	-913.52 	-906.482	2.57133 
176	-948.977	-913.485	-906.769	2.49238 
177	-948.977	-913.477	-906.809	2.60911 
178	-948.977	-913.466	-907.179	2.65972 
179	-948.977	-913.467	-906.709	2.6316  
180	-948.977	-913.476	-907.301	2.55325 
181	-948.977	-913.472	-907.249	2.73148 
182	-948.977	-913.441	-906.006	2.72205 
183	-948.977	-913.434	-906.147	2.72585 
184	-948.977	-913.452	-906.856	2.69036 
185	-948.977	-913.416	-899.631	2.58571 
186	-948.977	-913.427	-905.02 	2.51884 
187	-948.977	-913.416	-905.408	2.4981  
188	-948.977	-913.427	-905.237	2.64948 
189	-948.977	-913.429	-902.604	2.73126 
190	-948.977	-913.386	-906.133	2.53414 
191	-948.977	-913.411	-904.473	2.80781 
192	-948.977	-913.393	-905.945	2.63221 
193	-948.977	-913.392	-906.688	2.66871 
194	-948.977	-913.343	-905.252	2.33715 
195	-948.977	-913.362	-903.547	2.42053 
196	-948.977	-913.36 	-905.209	2.51219 
197	-951.883	-913.377	-905.276	2.73089 
198	-951.883	-913.351	-905.323	2.53215 
199	-951.883	-913.419	-905.366	2.88185 
200	-951.883	-913.369	-904.209	2.49831 
201	-951.883	-913.333	-903.653	2.51403 
202	-952.074	-913.32 	-904.556	2.84914 
203	-952.074	-913.343	-902.375	2.67995 
204	-952.074	-913.321	-904.705	2.55497 
205	-952.074	-913.328	-905.96 	2.54756 
206	-952.074	-913.311	-906.408	2.52805 
207	-952.074	-913.305	-905.653	2.4905  
208	-952.074	-913.325	-905.575	2.51474 
209	-952.074	-913.301	-904.396	2.58578 
210	-952.074	-913.329	-904.204	2.80058 
211	-952.074	-913.33 	-904.19 	2.95184 
