/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max     	std     
0  	-919.208	-914.19	-913.474	0.630172
1  	-919.208	-914.2 	-912.582	0.656723
2  	-919.208	-914.199	-912.3  	0.690802
3  	-923.429	-914.211	-912.793	0.781944
4  	-923.429	-914.234	-912.793	0.861764
5  	-923.429	-914.245	-912.899	0.884979
6  	-923.429	-914.238	-912.413	0.890015
7  	-923.429	-914.225	-912.563	0.896708
8  	-923.429	-914.209	-912.749	0.828027
9  	-923.429	-914.241	-912.74 	0.871848
10 	-923.429	-914.237	-912.11 	0.861743
11 	-923.429	-914.208	-912.259	0.783346
12 	-923.429	-914.226	-912.847	0.799034
13 	-923.429	-914.215	-912.858	0.807285
14 	-923.437	-914.222	-912.836	0.867305
15 	-924.439	-914.22 	-912.899	0.875072
16 	-924.439	-914.214	-912.89 	0.864653
17 	-924.439	-914.222	-912.897	0.914221
18 	-924.439	-914.218	-912.67 	0.883495
19 	-924.439	-914.232	-912.73 	0.920297
20 	-924.439	-914.207	-911.182	0.883145
21 	-924.439	-914.218	-911.967	0.910554
22 	-924.549	-914.212	-912.725	0.909818
23 	-924.549	-914.205	-912.113	0.923691
24 	-924.549	-914.185	-911.787	0.86555 
25 	-924.549	-914.192	-912.223	0.928158
26 	-924.549	-914.183	-912.381	0.865244
27 	-924.549	-914.196	-912.267	0.862014
28 	-924.549	-914.206	-912.563	0.854428
29 	-924.549	-914.205	-912.017	0.870676
30 	-924.549	-914.199	-912.292	0.925102
31 	-924.549	-914.204	-912.292	0.904729
32 	-924.549	-914.216	-912.465	0.946323
33 	-924.549	-914.22 	-912.518	1.00518 
34 	-924.549	-914.223	-912.625	1.01427 
35 	-925.824	-914.201	-910.825	1.07619 
36 	-925.824	-914.199	-911.077	1.08708 
37 	-925.824	-914.199	-911.043	1.08076 
38 	-925.824	-914.207	-911.415	1.00116 
39 	-927.246	-914.222	-911.591	1.0953  
40 	-927.246	-914.197	-911.239	1.10747 
41 	-927.246	-914.192	-910.537	1.0829  
42 	-927.246	-914.169	-907.117	1.06913 
43 	-927.246	-914.166	-910.548	1.0619  
44 	-927.246	-914.172	-911.301	1.06299 
45 	-927.246	-914.184	-911.301	1.10662 
46 	-927.246	-914.176	-911.139	1.06896 
47 	-927.246	-914.17 	-910.67 	1.06017 
