/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max    	std     
0  	-921.211	-914.25	-913.14	0.792145
1  	-921.211	-914.244	-912.795	0.816139
2  	-921.35 	-914.259	-912.736	0.845996
3  	-921.35 	-914.26 	-912.972	0.826167
4  	-921.35 	-914.239	-912.963	0.774465
5  	-921.35 	-914.228	-912.959	0.773623
6  	-921.79 	-914.233	-913.032	0.778863
7  	-921.79 	-914.234	-913.065	0.773289
8  	-921.79 	-914.239	-913.068	0.757838
9  	-921.79 	-914.231	-913.02 	0.768429
10 	-921.79 	-914.211	-912.81 	0.744874
11 	-921.79 	-914.187	-912.566	0.746799
12 	-921.79 	-914.185	-913.002	0.749959
13 	-921.79 	-914.205	-912.782	0.765341
14 	-921.79 	-914.198	-912.938	0.819082
15 	-921.79 	-914.203	-913.059	0.80397 
16 	-921.79 	-914.229	-913.088	0.861512
17 	-922.352	-914.217	-912.938	0.848113
18 	-922.352	-914.214	-912.928	0.846777
19 	-922.352	-914.191	-913.088	0.819421
20 	-922.352	-914.199	-913.046	0.818435
21 	-923.477	-914.209	-913.089	0.85063 
22 	-923.477	-914.197	-913.006	0.819895
23 	-923.477	-914.185	-913.013	0.815007
24 	-923.477	-914.203	-911.203	0.885476
25 	-923.477	-914.204	-911.147	0.884045
26 	-923.477	-914.202	-913.004	0.84745 
27 	-923.477	-914.176	-912.099	0.823974
28 	-923.477	-914.17 	-912.387	0.788352
29 	-923.631	-914.166	-912.445	0.796669
30 	-923.631	-914.174	-912.442	0.804267
31 	-925.486	-914.178	-912.563	0.852872
32 	-925.486	-914.168	-912.898	0.823381
33 	-925.486	-914.17 	-912.633	0.843547
34 	-925.486	-914.178	-912.787	0.894234
35 	-925.486	-914.19 	-912.616	0.944717
36 	-925.884	-914.199	-912.683	0.987038
37 	-926.379	-914.201	-912.436	1.04948 
38 	-926.379	-914.205	-912.625	0.999223
39 	-926.379	-914.193	-911.127	1.01935 
40 	-926.379	-914.189	-912.418	0.976026
41 	-926.379	-914.182	-912.472	0.922866
42 	-926.379	-914.172	-912.519	0.908371
43 	-926.379	-914.172	-912.405	0.958964
44 	-926.379	-914.166	-912.545	0.950149
45 	-926.379	-914.17 	-912.69 	0.998932
46 	-926.379	-914.157	-911.922	0.925359
47 	-926.379	-914.154	-911.836	0.96052 
48 	-928.476	-914.181	-912.363	1.04428 
49 	-928.476	-914.177	-909.791	1.03433 
50 	-928.476	-914.166	-910.661	1.09249 
51 	-928.855	-914.166	-910.162	1.20094 
52 	-929.221	-914.172	-911.809	1.23116 
53 	-929.221	-914.166	-911.495	1.25818 
54 	-929.221	-914.16 	-911.539	1.2635  
55 	-929.833	-914.144	-911.701	1.2475  
56 	-929.917	-914.149	-912.128	1.25366 
57 	-929.917	-914.153	-911.246	1.22258 
58 	-929.917	-914.132	-910.638	1.16037 
59 	-929.917	-914.139	-910.676	1.20268 
60 	-929.917	-914.139	-910.705	1.21249 
61 	-929.917	-914.143	-911.29 	1.30737 
62 	-929.934	-914.126	-908.068	1.36371 
63 	-929.934	-914.122	-910.859	1.29836 
64 	-929.934	-914.089	-910.727	1.12499 
65 	-929.934	-914.094	-908.581	1.16567 
66 	-929.934	-914.102	-910.25 	1.23393 
67 	-929.934	-914.105	-910.242	1.23467 
68 	-929.934	-914.092	-910.363	1.25031 
69 	-929.934	-914.118	-910.694	1.28586 
70 	-929.934	-914.107	-910.596	1.28257 
71 	-929.934	-914.079	-910.907	1.16182 
72 	-929.934	-914.063	-910.93 	1.16183 
73 	-929.934	-914.07 	-909.731	1.17231 
74 	-929.934	-914.089	-910.614	1.2627  
75 	-929.934	-914.083	-910.899	1.22515 
76 	-929.934	-914.113	-910.714	1.33925 
77 	-929.934	-914.086	-910.16 	1.23697 
78 	-929.934	-914.096	-910.083	1.30059 
79 	-929.941	-914.113	-910.274	1.32286 
80 	-929.941	-914.112	-909.699	1.28102 
81 	-929.941	-914.096	-910.497	1.21361 
82 	-929.941	-914.107	-910.491	1.25997 
83 	-929.941	-914.108	-910.807	1.29254 
84 	-930.474	-914.112	-910.74 	1.37164 
85 	-930.474	-914.092	-910.678	1.3726  
86 	-930.474	-914.086	-910.221	1.3512  
87 	-930.474	-914.088	-910.712	1.32547 
88 	-930.474	-914.091	-909.738	1.44357 
89 	-930.474	-914.092	-910.172	1.4867  
90 	-930.474	-914.091	-909.832	1.50256 
91 	-930.474	-914.056	-909.946	1.43707 
92 	-930.474	-914.055	-910.656	1.38614 
93 	-930.474	-914.05 	-910.759	1.39483 
94 	-930.474	-914.015	-910.644	1.31699 
95 	-930.474	-914.02 	-910.644	1.35372 
96 	-930.474	-914.052	-911.035	1.41771 
97 	-930.474	-914.045	-908.991	1.42134 
98 	-930.474	-914.039	-909.24 	1.42348 
99 	-930.474	-914.028	-910.539	1.43731 
100	-930.474	-914.034	-910.589	1.39456 
101	-931.627	-914.044	-910.584	1.48684 
102	-931.627	-914.027	-910.293	1.41897 
103	-931.627	-914.022	-910.33 	1.43642 
104	-931.627	-914.013	-909.605	1.53246 
105	-931.627	-914.033	-910.068	1.45674 
106	-931.627	-914.008	-910.015	1.41911 
107	-931.627	-914.012	-910.007	1.43482 
108	-931.627	-914.015	-908.308	1.40459 
109	-931.627	-914.023	-910.03 	1.479   
110	-931.627	-914.013	-910.081	1.47387 
111	-931.627	-914.007	-910.326	1.46056 
112	-931.627	-913.983	-909.044	1.46545 
113	-931.627	-913.98 	-909.038	1.50739 
114	-931.627	-913.99 	-909.474	1.53319 
115	-931.627	-913.974	-909.982	1.51604 
116	-931.627	-913.98 	-910.012	1.47349 
117	-931.627	-913.979	-909.963	1.56258 
118	-932.997	-913.968	-908.988	1.59678 
119	-932.997	-913.959	-908.226	1.6061  
120	-932.997	-913.946	-908.607	1.59516 
121	-932.997	-913.942	-908.935	1.53692 
122	-932.997	-913.945	-909.152	1.66893 
123	-932.997	-913.909	-908.777	1.51762 
124	-932.997	-913.935	-909.002	1.58126 
125	-933.367	-913.917	-908.407	1.70547 
126	-933.367	-913.915	-908.474	1.73373 
127	-933.367	-913.935	-908.564	1.72299 
128	-933.367	-913.941	-908.587	1.60653 
129	-933.367	-913.951	-908.664	1.655   
130	-934.134	-913.956	-908.804	1.75447 
131	-934.134	-913.951	-908.806	1.76593 
132	-934.134	-913.957	-908.87 	1.72796 
133	-935.69 	-913.972	-908.971	1.88808 
134	-935.763	-913.955	-909.349	1.83264 
135	-935.763	-913.937	-909.299	1.66793 
136	-935.763	-913.919	-909.375	1.6067  
137	-935.763	-913.923	-909.355	1.6298  
138	-935.763	-913.933	-909.391	1.6863  
139	-935.763	-913.925	-909.358	1.68735 
140	-935.763	-913.927	-909.382	1.80847 
141	-935.763	-913.911	-909.624	1.74025 
142	-935.763	-913.888	-909.144	1.62336 
143	-935.763	-913.901	-909.753	1.67136 
144	-935.763	-913.906	-909.714	1.72733 
145	-935.763	-913.916	-909.791	1.83516 
146	-935.763	-913.932	-909.039	1.94844 
147	-935.763	-913.947	-908.886	1.91594 
148	-935.763	-913.927	-908.705	1.91816 
149	-935.763	-913.952	-907.916	2.00695 
150	-935.763	-913.932	-906.699	1.95375 
151	-935.763	-913.907	-908.451	1.90356 
152	-935.763	-913.897	-908.451	1.82501 
153	-935.763	-913.918	-908.905	1.84273 
154	-936.035	-913.91 	-908.886	1.96793 
155	-936.035	-913.883	-907.368	1.99908 
156	-936.035	-913.859	-907.327	1.97906 
157	-936.035	-913.854	-907.369	1.96134 
158	-936.035	-913.842	-907.478	1.94008 
159	-936.035	-913.821	-907.362	1.81945 
160	-936.035	-913.818	-907.46 	1.77829 
161	-936.035	-913.802	-905.561	1.76995 
162	-936.035	-913.815	-905.582	1.8472  
163	-936.035	-913.821	-905.995	1.90945 
164	-936.035	-913.815	-907.969	1.78748 
165	-936.035	-913.789	-907.882	1.83358 
166	-936.035	-913.778	-908.855	1.81488 
167	-936.035	-913.776	-908.906	1.86529 
168	-936.035	-913.773	-908.915	1.79551 
169	-936.035	-913.767	-908.844	1.84414 
170	-936.035	-913.753	-906.792	1.88623 
171	-936.035	-913.737	-908.48 	1.87562 
172	-936.035	-913.721	-908.623	1.81559 
173	-936.035	-913.726	-907.686	1.8631  
174	-936.035	-913.715	-907.735	1.78688 
175	-937.14 	-913.727	-907.073	1.86851 
176	-937.14 	-913.713	-907.746	1.81168 
177	-937.14 	-913.691	-907.62 	1.87706 
178	-937.14 	-913.701	-906.942	2.05566 
179	-937.14 	-913.678	-907.245	1.98955 
180	-937.14 	-913.644	-906.179	1.92178 
181	-937.14 	-913.631	-906.549	2.09982 
182	-937.14 	-913.612	-906.514	2.0421  
183	-937.14 	-913.598	-906.471	2.09203 
184	-937.14 	-913.605	-906.992	2.09281 
185	-937.14 	-913.609	-907.119	2.06111 
186	-937.14 	-913.629	-907.238	2.11398 
187	-938.584	-913.669	-907.262	2.23792 
188	-938.584	-913.652	-905.677	2.16766 
189	-938.584	-913.672	-905.677	2.26673 
190	-938.584	-913.65 	-906.253	2.05857 
191	-938.584	-913.649	-907.343	2.01698 
192	-938.584	-913.626	-906.094	2.02615 
193	-938.584	-913.629	-907.301	2.1473  
194	-938.584	-913.601	-906.668	2.08627 
195	-938.584	-913.592	-906.668	1.94821 
196	-938.584	-913.58 	-906.288	2.07073 
197	-938.584	-913.577	-906.23 	2.10744 
