/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max   	std    
0  	11.966	21.0775	32.265	3.67007
1  	11.966	21.4711	34.0311	3.87763
2  	11.966	21.4843	34.0311	3.89874
3  	11.966	21.5694	33.1335	3.76014
4  	11.9024	21.5193	34.1421	4.02636
5  	11.9024	21.5743	34.4763	3.82652
6  	11.3636	21.7502	36.1738	3.89094
7  	11.3636	21.3903	35.4365	3.80417
8  	11.3636	21.3296	32.7578	3.71244
9  	11.3636	21.6099	33.6806	3.83577
10 	11.3636	21.5783	34.3771	3.84415
11 	11.3636	21.5162	36.7317	3.75833
12 	11.3636	21.5645	33.5002	3.73985
13 	11.3636	21.6415	32.3786	3.65086
14 	11.3636	21.5996	33.9146	3.86042
15 	10.8838	21.4452	35.1222	3.96694
16 	10.8838	21.4068	34.2801	3.93886
17 	10.8838	21.5912	32.692 	3.84968
18 	10.8838	21.7745	34.5737	3.98838
19 	10.8838	21.5825	34.7541	3.92616
20 	10.8838	21.7047	37.5274	4.08884
21 	10.8838	21.6782	33.8065	3.82947
22 	10.8838	21.5539	34.6657	4.03307
23 	10.8838	21.6243	34.1942	3.9692 
24 	10.8838	21.4108	34.0738	3.77148
25 	10.8838	21.3047	33.4689	3.71002
26 	10.8838	21.6308	33.7503	3.82188
27 	10.8838	21.576 	33.6563	3.80123
28 	10.8838	21.7873	35.7206	4.06145
29 	10.8838	21.5524	36.9711	4.02612
30 	10.8838	21.8707	35.8121	4.0563 
31 	10.8838	21.4517	36.4415	4.02043
32 	10.8838	21.605 	34.9071	3.93982
33 	10.8838	21.7161	35.6698	3.89768
34 	10.8838	21.8492	36.5703	3.96806
35 	10.8838	21.635 	34.2814	3.84041
36 	10.8838	21.7536	37.2893	4.03296
37 	10.8838	21.8384	33.5567	3.73633
38 	10.8838	21.5485	31.7953	3.7672 
39 	10.8838	21.7435	39.9274	4.01383
40 	10.8838	21.5834	34.2482	4.11188
41 	10.8838	21.754 	35.5352	4.00276
42 	10.8838	21.7536	35.4811	3.97409
43 	10.8838	21.5899	34.9196	4.04864
44 	10.8838	21.7426	36.1147	3.92045
45 	10.8838	21.9362	35.066 	4.011  
46 	10.8838	21.6475	33.881 	3.73169
47 	10.8838	21.5362	34.1764	3.94271
48 	10.8838	21.7068	34.0002	3.95863
49 	10.8838	21.6121	32.7623	3.84089
50 	10.8838	21.6327	33.1172	3.87113
51 	10.8838	21.6643	33.8462	3.88391
52 	10.8838	21.7384	34.4715	3.99629
53 	10.8838	21.9561	35.5741	3.88482
54 	10.8838	21.6375	36.8507	3.98204
55 	10.8838	21.7186	36.0118	3.86958
56 	10.8838	21.7819	34.1727	3.89229
57 	10.8838	21.7081	34.1727	3.9352 
58 	10.8838	21.6487	33.3674	3.82682
59 	10.8838	21.5563	35.332 	3.89324
60 	10.8838	21.637 	34.7332	3.92892
61 	10.8838	21.9119	36.29  	4.00547
62 	10.8838	21.7145	33.1897	3.80311
63 	10.8838	21.6205	34.5043	3.86805
64 	10.8838	21.6235	34.4513	3.89049
65 	10.8838	21.9313	36.8198	4.02316
66 	10.8838	21.9866	33.9101	3.71461
67 	10.8838	22.016 	35.8283	3.91468
68 	10.8838	21.8404	35.6796	3.96696
69 	10.8838	21.6233	38.085 	4.07377
70 	10.8838	21.574 	34.7481	4.02909
71 	10.8838	21.8291	33.4747	3.98113
72 	10.8838	21.7089	35.5974	3.95524
73 	10.8838	21.7515	34.435 	4.03588
74 	10.8838	21.5915	33.3738	3.88393
75 	10.8838	21.8262	33.8272	3.92892
76 	10.8838	22.001 	33.0662	3.98732
77 	10.8838	21.964 	35.4324	4.20167
78 	10.8838	21.9657	35.1467	4.02501
79 	10.8838	21.6655	35.5452	4.10277
80 	10.8838	21.6559	33.8213	3.80616
81 	10.8838	21.9545	38.7443	3.95294
82 	10.8838	21.5425	33.627 	3.83331
83 	10.8838	21.677 	34.8438	3.87811
84 	10.8838	21.7908	33.9808	3.79783
85 	10.8838	21.8246	35.1696	4.01325
86 	10.8838	21.7833	36.7149	4.10964
87 	10.8838	21.8102	35.1696	3.89614
88 	10.8838	21.8963	35.1696	4.20805
89 	10.7669	22.3304	38.8452	4.21178
90 	10.7669	21.9955	33.7057	3.94456
91 	10.7669	22.0465	37.5031	4.0098 
92 	10.7669	21.9988	39.3589	4.06568
93 	10.7669	21.897 	37.0314	4.04649
94 	10.7669	21.9273	35.7456	3.97382
95 	10.7669	21.9575	35.0602	4.03863
96 	10.7669	21.9422	35.1714	4.22048
97 	10.7669	21.9797	38.1367	3.97821
98 	10.7669	22.0286	36.3538	4.23521
99 	10.7669	22.0376	40.1524	4.31677
100	10.7669	22.0691	40.1145	4.06079
101	10.7669	22.1232	36.4324	4.21403
102	10.7669	22.0283	34.914 	4.05474
103	10.7669	22.1171	35.4795	4.14915
104	10.7669	22.2631	34.9982	4.12914
105	10.7669	22.0818	35.9562	3.97815
106	10.7669	21.9614	35.6256	4.05515
107	10.7669	22.0077	34.7183	4.10999
108	10.7669	22.2294	34.6746	4.0566 
109	10.7669	22.0852	35.253 	4.05021
110	10.7669	21.9006	36.5263	3.91199
111	10.7669	22.1589	37.4474	4.05036
112	10.7669	22.1194	35.1488	4.14798
113	10.7669	21.8446	34.6951	3.93422
114	10.7669	22.1063	34.7931	3.91679
115	10.7669	22.209 	34.9747	3.86562
116	10.7669	22.28  	37.1594	4.22343
117	10.7669	21.895 	34.6351	4.15431
118	10.7669	22.1916	36.0152	4.07068
119	10.7669	22.1202	34.4388	3.9477 
120	10.7669	22.3408	36.6392	4.2902 
121	10.7669	22.2301	39.7282	4.18303
122	10.7669	22.2462	37.9729	4.08863
123	10.7669	22.1462	36.5083	4.02953
124	10.7669	22.4007	37.7467	4.18043
125	10.7669	22.3405	35.0899	4.04677
126	10.7669	22.1618	37.3013	4.09654
127	10.7669	22.3011	34.4296	3.93508
128	10.7669	22.4187	35.7281	4.11852
129	10.7669	22.4441	36.9957	4.29231
130	10.7669	22.2228	34.4747	3.99573
131	10.7669	22.4024	34.2114	4.18485
132	10.7669	22.3497	35.403 	4.24774
133	10.7669	22.1288	37.5184	4.11641
134	10.7669	22.3868	35.6715	4.2521 
135	10.7669	22.3484	35.119 	4.22592
136	10.7669	22.3103	35.08  	4.17144
137	10.7669	22.4356	36.4939	4.2866 
138	10.7669	22.3905	36.4372	4.11979
139	10.7669	22.2276	34.5812	4.10167
140	10.7669	22.4846	40.7413	4.14757
141	10.7669	22.2032	35.6046	4.17813
142	10.7669	22.3864	36.0362	4.28957
143	10.7669	22.4161	36.6117	4.14069
144	10.7669	22.1864	39.4783	4.2362 
145	10.7669	22.4617	37.2954	4.30475
146	10.7669	22.2506	36.7718	4.21184
147	10.7669	22.4065	35.2275	4.21535
148	10.7669	22.6328	37.0746	4.25542
149	10.7669	22.4815	36.8479	4.33488
150	10.7669	22.6096	37.5589	4.37306
151	10.7669	22.35  	36.2683	4.12805
152	10.7669	22.7267	37.038 	4.28917
153	10.7669	22.5831	37.1318	4.26773
154	10.7669	22.4424	36.2407	4.38251
155	10.7669	22.6232	36.5891	4.40921
156	10.7669	22.6928	38.7041	4.18904
157	10.7669	22.4557	38.1875	4.18892
158	10.7669	22.4718	37.4346	4.32904
159	10.7669	22.4694	36.4075	4.24846
160	10.7669	22.5166	35.8492	4.11246
161	10.7669	22.5992	42.3494	4.41804
162	10.5685	22.3183	40.0843	4.38187
163	10.5685	22.6299	38.1977	4.34728
164	10.5685	22.354 	38.3707	4.48148
165	10.5685	22.5939	37.219 	4.19143
166	10.5685	22.441 	37.9877	4.4197 
167	10.5685	22.746 	37.9882	4.45525
168	10.5685	22.4477	36.7008	4.22716
169	10.5685	22.7098	37.4321	4.33037
170	10.5685	22.9391	38.8844	4.30673
171	10.5685	22.6757	38.8395	4.22723
172	10.5685	22.6332	41.4789	4.32535
173	10.5685	22.7873	39.3219	4.45642
174	10.5685	22.9076	39.7322	4.14166
175	10.5685	22.9832	40.211 	4.36857
176	10.5685	22.8059	35.12  	4.11647
177	10.5685	22.7564	37.6011	4.39818
178	10.5685	22.6943	37.2503	4.21886
179	10.5685	22.8657	37.6619	4.35513
180	10.5685	22.853 	35.7602	4.27767
181	10.5685	22.7843	40.1836	4.37311
182	10.5685	22.9745	37.8118	4.43007
183	10.5685	22.8481	39.2384	4.56207
184	10.5685	22.9025	39.6385	4.33069
185	10.5685	22.7592	37.3557	4.52955
186	10.5685	22.7037	37.0021	4.39173
187	10.5685	22.8422	41.0747	4.50777
188	10.5685	22.9613	35.6983	4.40043
189	10.5685	22.8924	38.1484	4.32373
190	10.5685	22.8881	39.1495	4.35477
191	10.5685	22.8063	37.0403	4.41834
192	10.5685	22.7091	39.3339	4.43567
193	10.5685	22.7038	38.8784	4.36021
194	10.5685	23.1349	40.3152	4.53379
195	10.5685	22.9414	39.5068	4.55732
196	10.5685	22.8383	37.6976	4.45531
197	10.5685	22.9966	36.6311	4.36298
198	10.5685	23.0481	41.001 	4.49426
199	10.5685	23.1205	40.0124	4.43899
200	10.5685	23.1053	41.7873	4.5702 
201	10.5685	22.9619	39.3648	4.5416 
202	10.5685	22.8018	36.3167	4.38416
203	10.5685	22.9876	37.4418	4.39538
204	10.5685	22.9375	40.4241	4.57648
205	10.5685	23.205 	40.9969	4.77689
206	10.5685	22.9649	40.8487	4.41891
207	10.5685	23.039 	41.0012	4.5618 
208	10.5685	23.2378	40.0699	4.56316
209	10.5685	22.8668	41.1825	4.48657
210	10.5685	23.0967	40.1244	4.58118
211	10.5685	23.0073	39.0221	4.54152
212	10.5685	23.1894	40.646 	4.5084 
213	10.5685	22.863 	37.8178	4.40174
214	10.5685	23.022 	37.318 	4.33754
215	10.5685	23.3179	38.1148	4.36892
216	10.5685	22.9237	37.4727	4.39136
217	10.5685	23.1141	40.5748	4.40673
218	10.5685	22.9081	41.8469	4.53763
219	10.5685	23.1387	40.8721	4.62217
220	10.5685	23.3506	41.4158	4.65362
221	10.5685	23.1783	37.4234	4.5199 
222	10.5685	22.9272	37.1755	4.40207
223	10.5685	23.1159	40.077 	4.60366
224	10.5685	23.1643	40.3322	4.51811
225	10.5685	23.1314	40.0588	4.59333
226	10.5685	23.1967	38.3309	4.58504
227	10.5685	23.2573	38.9694	4.30671
