/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max    	std    
0  	11.923	21.5503	34.7283	3.85059
1  	11.9006	21.4378	34.1735	3.84194
2  	11.58  	21.5637	33.0044	3.95119
3  	11.58  	21.47  	34.7574	3.82587
4  	11.58  	21.6841	34.1644	3.84992
5  	11.58  	21.4644	33.9592	3.7221 
6  	11.58  	21.46  	32.8582	3.96496
7  	11.58  	21.6069	34.1189	3.87927
8  	11.58  	21.4199	34.7047	3.93033
9  	11.58  	21.4412	33.2441	3.95221
10 	11.58  	21.4376	35.5896	3.82758
11 	11.58  	21.6024	33.2748	3.92207
12 	11.58  	21.5451	34.6888	4.00561
13 	11.58  	21.7144	34.7882	3.83182
14 	11.58  	21.5532	35.2719	3.85586
15 	11.58  	21.5381	33.5121	3.73152
16 	11.58  	21.3505	34.7976	3.72877
17 	11.58  	21.492 	35.2653	3.98816
18 	11.58  	21.6368	33.9911	3.86199
19 	11.58  	21.7102	35.987 	4.00882
20 	11.58  	21.4771	33.6405	4.0126 
21 	11.58  	21.5228	33.4028	3.94116
22 	11.58  	21.3601	34.0062	3.77409
23 	11.58  	22.0035	37.575 	4.15666
24 	11.58  	21.9475	34.4026	3.91145
25 	11.1655	21.6135	33.9231	3.94923
26 	11.1655	21.5476	33.8246	3.78874
27 	11.1655	21.5822	33.1698	3.7488 
28 	11.1655	21.8741	33.7865	3.81619
29 	11.1655	21.852 	35.1248	4.00152
30 	10.8358	21.6166	34.0204	4.06695
31 	10.8358	21.4932	34.3688	3.94404
32 	10.8358	21.7249	34.7473	3.96401
33 	10.8358	21.6518	33.3089	4.01111
34 	10.8358	21.7875	35.3923	4.32623
35 	10.8358	21.6226	38.5936	4.04748
36 	10.8358	21.6571	33.1806	3.93619
37 	10.8358	21.5791	34.1847	3.79787
38 	10.8358	21.7202	35.2168	3.9848 
39 	10.8358	21.8225	34.0893	3.86362
40 	10.8358	21.7296	35.9287	4.00162
41 	10.8358	21.5569	34.7703	3.96669
42 	10.8358	21.4246	33.4309	3.78421
43 	10.8358	21.8037	35.2944	3.94382
44 	10.8358	21.6713	35.2856	3.92955
45 	10.8358	21.5935	34.3563	4.02274
