/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std  
0  	870.805	1437.63	7945.92	305.8
1  	870.805	1439.28	5616.02	255.148
2  	870.805	1460.4 	8195.06	440.29 
3  	870.805	1471.1 	7779.95	459.32 
4  	870.805	1471.52	7748.6 	458.746
5  	870.805	1479.72	7942.71	493.308
6  	870.805	1538.21	17575.6	971.216
7  	870.805	1574.01	17711.6	1190.29
8  	870.805	1579.99	17649.2	1170.43
9  	870.805	1674.9 	61300.3	2441.54
10 	870.805	1626.96	17580.7	1288.26
11 	870.805	1646.41	17497.6	1311.22
12 	870.805	1670.98	14296.1	1317.45
13 	870.805	1727.53	14040.3	1479.9 
14 	870.805	1744.84	14001.5	1500.12
15 	870.805	1747.08	13982.1	1455.05
16 	870.805	1805.04	26704.4	1726.07
17 	870.805	1785.07	13955.6	1515.89
18 	870.805	1785.48	13911.3	1491.24
19 	870.805	1822.58	13890.1	1569.49
20 	870.805	1807.1 	13972.4	1491.6 
21 	870.805	1848.62	14084.4	1586.31
22 	870.805	1839   	13704.9	1519.74
23 	870.805	1847.42	13538  	1550.94
24 	870.805	1840.94	12968.8	1497.52
25 	870.805	1833.92	12855.2	1472.77
26 	870.805	1888.34	14223.2	1627.94
27 	870.805	1942.19	33161.3	2004.96
28 	870.805	1915.72	14256.8	1698.35
29 	870.805	1924.35	14228.4	1700.33
30 	870.805	1996.19	27340.8	1978.05
31 	870.805	2039.24	27087.4	2039.57
32 	870.805	2034.31	18192.1	1926.78
33 	870.805	2035.89	18185.8	1940.48
34 	870.805	2088.56	24969.2	2135.92
35 	870.805	2110.79	25041.9	2211.92
36 	870.805	2250.82	44847  	3117.24
37 	870.805	2210.62	39581.3	2694.71
38 	870.805	2221.43	26924.2	2494.65
39 	870.805	2304.29	26779.6	2765   
40 	870.805	2388.73	27048.8	2935.14
41 	870.805	2398.8 	25088.7	2937.84
42 	870.805	2390.52	25119.9	2946.22
43 	870.805	2410.95	25162.4	2969.44
44 	870.805	2438.02	25102.9	2973.08
45 	870.805	2477.81	35276.6	3215.42
46 	870.805	2503.22	25158.9	3089.11
47 	870.805	2572.23	25385.2	3196.16
