gen	min        	avg        	max      	std        
0  	3.65845e+06	2.26987e+07	5.095e+07	9.12544e+06
1  	3.65842e+06	2.26782e+07	4.98881e+07	9.02605e+06
2  	3.65842e+06	2.26967e+07	5.06049e+07	8.95124e+06
3  	3.63982e+06	2.26642e+07	4.97053e+07	9.00126e+06
4  	3.62931e+06	2.26355e+07	5.24953e+07	8.95173e+06
5  	3.62488e+06	2.26192e+07	5.19499e+07	9.03834e+06
6  	3.62488e+06	2.25791e+07	5.19499e+07	9.11952e+06
7  	3.62257e+06	2.25319e+07	5.30593e+07	9.1678e+06 
8  	3.62257e+06	2.25113e+07	5.07311e+07	9.1785e+06 
9  	3.55075e+06	2.2479e+07 	5.07102e+07	9.16474e+06
10 	3.55075e+06	2.24544e+07	5.08587e+07	9.04228e+06
11 	3.55004e+06	2.24391e+07	5.08293e+07	9.05139e+06
12 	3.55004e+06	2.23707e+07	5.446e+07  	9.14833e+06
13 	2.80105e+06	2.23362e+07	5.14023e+07	9.15966e+06
14 	2.80105e+06	2.22905e+07	5.82699e+07	9.389e+06  
15 	2.80105e+06	2.22093e+07	5.51722e+07	9.31274e+06
16 	2.80105e+06	2.21527e+07	5.37176e+07	9.17187e+06
17 	2.80105e+06	2.20863e+07	5.35345e+07	9.0321e+06 
18 	2.80105e+06	2.20677e+07	4.9739e+07 	8.99971e+06
19 	2.80105e+06	2.2037e+07 	4.98866e+07	9.05337e+06
20 	2.80105e+06	2.20199e+07	5.24998e+07	9.07052e+06
21 	2.80105e+06	2.19819e+07	5.14997e+07	8.90428e+06
22 	2.80105e+06	2.19481e+07	5.14998e+07	9.08352e+06
23 	2.80105e+06	2.18837e+07	4.96293e+07	9.01936e+06
24 	2.80105e+06	2.18922e+07	5.22594e+07	9.19302e+06
25 	2.80105e+06	2.18385e+07	4.93304e+07	9.06671e+06
26 	2.46611e+06	2.17707e+07	4.90279e+07	9.0543e+06 
27 	2.46611e+06	2.17301e+07	5.21642e+07	9.16158e+06
28 	1.95398e+06	2.16919e+07	5.16684e+07	9.22913e+06
29 	1.94122e+06	2.16621e+07	5.11746e+07	9.22091e+06
30 	1.94122e+06	2.16368e+07	5.07214e+07	9.14182e+06
31 	1.94122e+06	2.16198e+07	5.05699e+07	9.17095e+06
32 	1.94122e+06	2.15408e+07	5.2869e+07 	9.13147e+06
33 	1.93193e+06	2.14871e+07	5.26044e+07	8.95217e+06
34 	1.93193e+06	2.14791e+07	5.10586e+07	9.12555e+06
35 	1.93172e+06	2.14669e+07	5.10585e+07	9.15246e+06
36 	1.54816e+06	2.14288e+07	5.00873e+07	9.22958e+06
37 	1.54816e+06	2.13828e+07	5.02378e+07	9.03467e+06
38 	1.54816e+06	2.13246e+07	4.9897e+07 	8.91993e+06
39 	1.54816e+06	2.13007e+07	4.9553e+07 	8.84911e+06
40 	1.54816e+06	2.12552e+07	5.17096e+07	9.03964e+06
41 	1.54816e+06	2.12232e+07	4.7445e+07 	8.88471e+06
42 	1.54816e+06	2.11879e+07	5.18354e+07	8.93467e+06
43 	1.54816e+06	2.11068e+07	5.13155e+07	8.9692e+06 
44 	1.54816e+06	2.10587e+07	5.04429e+07	8.86352e+06
45 	1.54816e+06	2.10328e+07	5.00026e+07	8.65217e+06
46 	1.54816e+06	2.09984e+07	4.95886e+07	8.65972e+06
47 	1.36054e+06	2.09943e+07	5.08458e+07	8.60189e+06
48 	1.36054e+06	2.09453e+07	5.07717e+07	8.58787e+06
49 	1.22574e+06	2.09427e+07	5.00949e+07	8.69673e+06
50 	1.22574e+06	2.08963e+07	4.87364e+07	8.63507e+06
51 	1.22574e+06	2.08347e+07	4.90835e+07	8.73141e+06
52 	1.20694e+06	2.07924e+07	4.79591e+07	8.84241e+06
53 	1.20694e+06	2.07335e+07	4.8057e+07 	8.74849e+06
54 	1.20694e+06	2.06879e+07	4.8038e+07 	8.78999e+06
55 	1.08673e+06	2.06396e+07	5.0518e+07 	8.81801e+06
56 	1.08394e+06	2.05994e+07	5.04469e+07	8.8957e+06 
57 	1.08389e+06	2.06104e+07	4.94071e+07	9.09629e+06
58 	1.08389e+06	2.05693e+07	4.95874e+07	9.2648e+06 
59 	1.08389e+06	2.05441e+07	5.01818e+07	9.27832e+06
60 	1.08389e+06	2.05275e+07	4.93982e+07	9.01863e+06
61 	1.08389e+06	2.04869e+07	4.72931e+07	8.88488e+06
62 	1.08389e+06	2.04402e+07	5.75345e+07	9.06268e+06
63 	1.08389e+06	2.04145e+07	5.06839e+07	9.15712e+06
64 	1.08389e+06	2.04111e+07	5.04062e+07	9.20256e+06
65 	1.08389e+06	2.04224e+07	5.04062e+07	9.15797e+06
66 	997928     	2.04138e+07	5.2169e+07 	9.10977e+06
67 	997928     	2.03978e+07	4.66442e+07	8.82075e+06
68 	997928     	2.03927e+07	4.71205e+07	8.87462e+06
69 	997928     	2.03474e+07	4.85271e+07	9.00685e+06
70 	997928     	2.03051e+07	4.56162e+07	8.85198e+06
71 	948359     	2.02569e+07	4.56184e+07	8.75296e+06
72 	948359     	2.02113e+07	4.78491e+07	8.70404e+06
73 	948359     	2.0195e+07 	4.88147e+07	8.63206e+06
74 	941018     	2.01906e+07	4.96861e+07	8.72734e+06
75 	941018     	2.01924e+07	5.31207e+07	8.83613e+06
76 	941018     	2.0215e+07 	4.95977e+07	8.86272e+06
77 	935342     	2.01541e+07	4.76283e+07	8.88601e+06
78 	935342     	2.00958e+07	4.77728e+07	9.13174e+06
79 	935342     	2.00936e+07	4.70866e+07	8.90973e+06
80 	935342     	2.00097e+07	5.1378e+07 	8.91317e+06
81 	935342     	2.00148e+07	4.86098e+07	8.88801e+06
82 	935342     	2.00172e+07	4.86098e+07	8.90294e+06
83 	808469     	1.99995e+07	4.80784e+07	8.91493e+06
84 	808469     	1.99834e+07	4.92e+07   	8.99214e+06
85 	751920     	1.99326e+07	4.9204e+07 	8.91962e+06
86 	751920     	1.98679e+07	4.85221e+07	8.85566e+06
87 	751920     	1.98013e+07	4.56119e+07	8.67283e+06
88 	751920     	1.97894e+07	4.60466e+07	8.66369e+06
89 	751920     	1.97304e+07	4.75203e+07	8.67399e+06
90 	751920     	1.97264e+07	4.36479e+07	8.7788e+06 
91 	751920     	1.97005e+07	5.1064e+07 	8.6533e+06 
92 	751920     	1.96728e+07	5.13562e+07	8.68775e+06
93 	751920     	1.97137e+07	5.10259e+07	8.79302e+06
94 	679087     	1.96482e+07	4.72841e+07	8.80046e+06
95 	679087     	1.96105e+07	4.47689e+07	8.79196e+06
96 	679087     	1.95623e+07	4.88333e+07	8.66239e+06
97 	679087     	1.95532e+07	4.74062e+07	8.81171e+06
98 	679087     	1.95667e+07	5.07753e+07	8.93297e+06
99 	660211     	1.94992e+07	4.85893e+07	8.96451e+06
100	660211     	1.94624e+07	4.85893e+07	8.89773e+06
101	656517     	1.94392e+07	4.98107e+07	8.82797e+06
102	656517     	1.93787e+07	4.52927e+07	8.86786e+06
103	656517     	1.93299e+07	4.8998e+07 	8.74629e+06
104	656517     	1.92951e+07	4.9001e+07 	8.82098e+06
105	656517     	1.92622e+07	4.74011e+07	8.80463e+06
106	656517     	1.92196e+07	4.61242e+07	8.81401e+06
107	656517     	1.92345e+07	4.66492e+07	8.80319e+06
108	656517     	1.92025e+07	4.71062e+07	8.59386e+06
109	645043     	1.91426e+07	4.76576e+07	8.54171e+06
110	645043     	1.91299e+07	5.00837e+07	8.54498e+06
111	645043     	1.91232e+07	5.01005e+07	8.47412e+06
112	645043     	1.90761e+07	4.68798e+07	8.3679e+06 
113	645043     	1.90553e+07	4.82419e+07	8.30416e+06
114	605999     	1.89991e+07	4.78946e+07	8.39774e+06
115	605999     	1.89717e+07	4.60502e+07	8.26061e+06
116	605999     	1.89173e+07	4.7884e+07 	8.38562e+06
117	605999     	1.89418e+07	4.51038e+07	8.28788e+06
118	605999     	1.89322e+07	4.67862e+07	8.28462e+06
119	605999     	1.89097e+07	4.6311e+07 	8.32634e+06
120	605999     	1.88606e+07	4.60275e+07	8.43767e+06
121	605999     	1.88327e+07	4.45771e+07	8.34876e+06
122	605999     	1.88007e+07	4.36053e+07	8.26911e+06
123	605999     	1.87602e+07	4.80962e+07	8.43017e+06
124	605999     	1.87382e+07	4.64312e+07	8.34626e+06
125	605999     	1.87257e+07	4.46071e+07	8.34352e+06
126	605999     	1.86821e+07	4.44328e+07	8.28134e+06
127	605999     	1.8646e+07 	4.61582e+07	8.3297e+06 
128	605999     	1.86151e+07	5.21326e+07	8.41146e+06
129	605999     	1.8587e+07 	4.44935e+07	8.22116e+06
130	605999     	1.85758e+07	5.33537e+07	8.33612e+06
131	605999     	1.8547e+07 	4.90774e+07	8.25213e+06
132	605999     	1.85405e+07	4.89084e+07	8.32468e+06
133	605999     	1.84962e+07	4.88172e+07	8.4163e+06 
134	605999     	1.84777e+07	4.97858e+07	8.19868e+06
135	605999     	1.84338e+07	4.59706e+07	8.21972e+06
136	605999     	1.84e+07   	4.4732e+07 	8.18461e+06
137	591508     	1.83635e+07	4.98531e+07	8.31699e+06
138	582716     	1.83495e+07	4.45924e+07	8.3668e+06 
139	579082     	1.82963e+07	4.56927e+07	8.32861e+06
140	579082     	1.82541e+07	4.56927e+07	8.3083e+06 
141	579082     	1.82249e+07	4.49599e+07	8.14868e+06
142	579082     	1.81991e+07	4.49438e+07	8.01928e+06
143	579082     	1.81855e+07	4.60226e+07	8.19063e+06
144	579082     	1.81423e+07	5.15747e+07	8.20814e+06
145	579082     	1.8141e+07 	5.12136e+07	8.16084e+06
146	579082     	1.81199e+07	4.57985e+07	8.32673e+06
147	579082     	1.81089e+07	4.34165e+07	8.21242e+06
148	579082     	1.80908e+07	4.31839e+07	8.0593e+06 
149	579082     	1.80755e+07	4.31941e+07	8.18778e+06
150	579082     	1.80301e+07	4.31947e+07	8.16879e+06
151	579082     	1.79953e+07	4.32041e+07	8.191e+06  
152	579082     	1.79675e+07	4.25173e+07	8.19501e+06
153	579082     	1.79461e+07	4.31781e+07	8.30015e+06
154	579082     	1.79151e+07	4.50202e+07	8.17756e+06
155	579082     	1.79022e+07	4.59349e+07	8.19917e+06
156	579082     	1.78734e+07	4.60517e+07	8.19009e+06
157	579082     	1.78403e+07	4.42246e+07	8.13315e+06
158	579082     	1.78163e+07	4.48747e+07	8.04362e+06
159	579082     	1.78084e+07	4.29231e+07	8.065e+06  
160	579082     	1.77619e+07	4.20594e+07	7.93882e+06
161	579082     	1.77844e+07	4.30001e+07	7.88171e+06
162	579082     	1.776e+07  	4.42268e+07	7.82999e+06
163	579082     	1.76763e+07	4.76952e+07	7.68047e+06
164	579082     	1.76357e+07	4.42207e+07	7.61614e+06
165	579082     	1.76393e+07	4.54935e+07	7.73738e+06
166	579082     	1.76017e+07	4.43395e+07	7.75801e+06
167	579082     	1.75681e+07	4.32635e+07	7.83393e+06
168	579082     	1.75146e+07	4.51241e+07	7.71078e+06
169	579082     	1.75055e+07	4.41771e+07	7.6277e+06 
170	579082     	1.74576e+07	4.28308e+07	7.66114e+06
171	579045     	1.74029e+07	4.42823e+07	7.64571e+06
172	571189     	1.73525e+07	4.34366e+07	7.64841e+06
173	571189     	1.7321e+07 	4.23617e+07	7.46515e+06
174	571189     	1.73101e+07	4.50761e+07	7.68742e+06
175	571189     	1.72932e+07	4.52847e+07	7.66466e+06
176	571189     	1.72398e+07	4.38436e+07	7.64885e+06
177	571189     	1.71763e+07	4.48858e+07	7.62522e+06
178	571189     	1.71322e+07	4.31612e+07	7.59154e+06
179	570868     	1.71154e+07	4.16449e+07	7.66414e+06
180	570868     	1.70771e+07	4.27907e+07	7.73171e+06
181	570868     	1.70395e+07	4.28093e+07	7.63649e+06
182	570868     	1.70219e+07	4.71512e+07	7.66522e+06
183	570868     	1.70387e+07	4.69071e+07	7.73962e+06
184	570868     	1.70358e+07	4.64736e+07	7.75348e+06
185	570868     	1.70366e+07	4.44699e+07	7.61583e+06
186	570868     	1.70234e+07	4.52693e+07	7.8131e+06 
187	565912     	1.6967e+07 	4.51871e+07	7.67429e+06
188	565912     	1.69595e+07	4.31093e+07	7.78861e+06
189	461964     	1.69428e+07	4.57159e+07	7.82954e+06
190	453540     	1.69564e+07	5.03364e+07	7.74391e+06
191	453540     	1.69223e+07	4.50814e+07	7.74404e+06
192	453540     	1.6904e+07 	4.50816e+07	7.75054e+06
193	453540     	1.68443e+07	4.31392e+07	7.68176e+06
194	453540     	1.68328e+07	5.06803e+07	7.69899e+06
195	453540     	1.68156e+07	4.15347e+07	7.6922e+06 
196	453540     	1.68015e+07	4.82175e+07	7.65393e+06
197	453540     	1.67856e+07	4.47428e+07	7.62694e+06
198	453476     	1.6738e+07 	4.4046e+07 	7.66708e+06
199	453476     	1.66956e+07	4.75269e+07	7.63899e+06
200	453476     	1.66984e+07	4.74843e+07	7.60933e+06
201	453476     	1.66321e+07	4.67307e+07	7.52716e+06
202	453476     	1.66117e+07	4.01749e+07	7.40386e+06
203	453476     	1.65812e+07	4.38935e+07	7.65047e+06
204	453476     	1.65827e+07	4.37321e+07	7.73119e+06
205	453476     	1.65385e+07	4.27879e+07	7.55847e+06
206	449035     	1.64703e+07	4.28079e+07	7.63771e+06
207	449035     	1.6449e+07 	4.24534e+07	7.67429e+06
208	449035     	1.64284e+07	4.22763e+07	7.72254e+06
209	449035     	1.642e+07  	4.0552e+07 	7.50255e+06
210	439494     	1.63688e+07	4.02863e+07	7.5818e+06 
211	439494     	1.63545e+07	3.99678e+07	7.56151e+06
212	439494     	1.63246e+07	4.02457e+07	7.64166e+06
213	439494     	1.62844e+07	4.13444e+07	7.63775e+06
214	439494     	1.62641e+07	4.13444e+07	7.69757e+06
215	439494     	1.62159e+07	4.3059e+07 	7.81561e+06
216	439494     	1.61846e+07	4.07334e+07	7.64185e+06
217	377480     	1.61961e+07	4.24636e+07	7.79158e+06
218	377480     	1.61304e+07	4.25226e+07	7.63616e+06
219	377480     	1.61388e+07	4.24558e+07	7.56042e+06
220	377480     	1.61107e+07	4.06597e+07	7.51402e+06
221	377480     	1.60965e+07	4.27336e+07	7.56459e+06
222	281340     	1.60551e+07	4.36761e+07	7.66929e+06
223	281340     	1.60548e+07	4.18326e+07	7.55265e+06
224	275688     	1.60191e+07	4.27732e+07	7.68366e+06
225	275688     	1.59991e+07	4.76639e+07	7.62574e+06
226	275688     	1.59586e+07	4.27405e+07	7.61283e+06
227	275688     	1.59574e+07	4.68547e+07	7.58931e+06
228	275688     	1.59086e+07	4.21526e+07	7.38658e+06
229	275688     	1.58825e+07	3.98807e+07	7.26215e+06
230	275688     	1.58384e+07	4.47253e+07	7.34786e+06
231	193344     	1.58291e+07	4.22096e+07	7.34973e+06
232	193344     	1.58335e+07	4.07887e+07	7.27918e+06
233	193344     	1.57894e+07	4.10688e+07	7.23242e+06
234	193344     	1.57575e+07	4.12263e+07	7.28874e+06
235	193344     	1.57014e+07	4.0422e+07 	7.27018e+06
236	193344     	1.56818e+07	4.04579e+07	7.1743e+06 
237	193344     	1.56623e+07	3.8565e+07 	7.11882e+06
238	193344     	1.56862e+07	3.75841e+07	7.11712e+06
239	193344     	1.56385e+07	3.91845e+07	7.10664e+06
240	183933     	1.56153e+07	3.9845e+07 	7.14649e+06
241	153913     	1.56018e+07	4.32431e+07	7.22492e+06
242	153913     	1.55793e+07	4.08808e+07	7.07643e+06
243	153913     	1.55923e+07	3.94347e+07	7.08254e+06
244	153913     	1.55795e+07	3.92604e+07	7.00435e+06
245	153913     	1.55401e+07	3.97938e+07	7.06749e+06
246	153913     	1.5506e+07 	4.17772e+07	7.15304e+06
247	153913     	1.54425e+07	3.99805e+07	7.11529e+06
248	153913     	1.54125e+07	4.0071e+07 	6.99068e+06
249	153913     	1.53829e+07	3.91328e+07	6.8589e+06 
250	153913     	1.53823e+07	4.2415e+07 	6.98957e+06
251	153913     	1.53669e+07	4.26509e+07	7.00606e+06
252	153913     	1.53985e+07	4.11815e+07	7.10186e+06
253	153913     	1.53818e+07	4.89529e+07	7.2521e+06 
254	153913     	1.53586e+07	4.21407e+07	7.14256e+06
