gen	min        	avg        	max       	std        
0  	1.99611e+06	2.24699e+07	5.5836e+07	9.41126e+06
1  	1.99611e+06	2.24293e+07	5.62879e+07	9.5264e+06 
2  	1.99611e+06	2.23841e+07	5.04024e+07	9.49394e+06
3  	1.99611e+06	2.23965e+07	5.22357e+07	9.34593e+06
4  	1.99611e+06	2.23491e+07	5.07939e+07	9.33381e+06
5  	1.99611e+06	2.23261e+07	4.86869e+07	9.35895e+06
6  	1.99611e+06	2.23086e+07	4.8689e+07 	9.36817e+06
7  	1.99611e+06	2.22641e+07	4.82767e+07	9.2746e+06 
8  	1.99611e+06	2.22416e+07	5.43105e+07	9.37059e+06
9  	1.99611e+06	2.21814e+07	5.17845e+07	9.48131e+06
10 	1.99611e+06	2.21397e+07	5.04204e+07	9.4575e+06 
11 	1.99611e+06	2.20633e+07	5.64561e+07	9.46508e+06
12 	1.99611e+06	2.20096e+07	5.50058e+07	9.45254e+06
13 	1.99611e+06	2.19755e+07	5.48044e+07	9.44489e+06
14 	1.99611e+06	2.19607e+07	5.3152e+07 	9.48002e+06
15 	1.79714e+06	2.19e+07   	5.35164e+07	9.4048e+06 
16 	1.79714e+06	2.18592e+07	5.50723e+07	9.43326e+06
17 	1.60269e+06	2.18579e+07	5.37489e+07	9.4297e+06 
18 	1.60269e+06	2.17966e+07	5.03215e+07	9.27326e+06
19 	1.60269e+06	2.17511e+07	5.01452e+07	9.35699e+06
20 	1.60269e+06	2.17193e+07	5.21367e+07	9.32177e+06
21 	1.60269e+06	2.16804e+07	5.22324e+07	9.28973e+06
22 	1.60269e+06	2.16247e+07	5.21728e+07	9.41152e+06
23 	1.60269e+06	2.15816e+07	5.6226e+07 	9.35587e+06
24 	1.60269e+06	2.15488e+07	4.92299e+07	9.16959e+06
25 	1.60269e+06	2.14995e+07	4.92299e+07	9.21478e+06
26 	1.60269e+06	2.14416e+07	5.15453e+07	9.15683e+06
27 	1.60246e+06	2.14206e+07	4.90204e+07	9.24274e+06
28 	1.49331e+06	2.13644e+07	5.06086e+07	9.04915e+06
29 	1.49331e+06	2.135e+07  	4.90191e+07	8.84113e+06
30 	1.08118e+06	2.13548e+07	4.71026e+07	8.85996e+06
31 	1.08118e+06	2.12887e+07	5.73135e+07	8.89111e+06
32 	1.08118e+06	2.12737e+07	5.56833e+07	8.95223e+06
33 	1.08118e+06	2.12417e+07	5.14567e+07	9.01148e+06
34 	1.08118e+06	2.11753e+07	4.79269e+07	8.80671e+06
35 	1.08118e+06	2.1124e+07 	5.14377e+07	9.02692e+06
36 	1.08118e+06	2.10911e+07	5.44473e+07	8.99145e+06
37 	1.08118e+06	2.10468e+07	5.25243e+07	8.88481e+06
38 	1.08118e+06	2.09973e+07	4.90545e+07	8.88535e+06
39 	1.08118e+06	2.09468e+07	4.90892e+07	8.89833e+06
40 	1.07862e+06	2.09544e+07	5.15063e+07	8.96598e+06
41 	1.07862e+06	2.09384e+07	5.28854e+07	9.01503e+06
42 	1.03118e+06	2.09229e+07	5.12474e+07	8.99917e+06
43 	1.03118e+06	2.09189e+07	4.8839e+07 	8.91257e+06
44 	908881     	2.09029e+07	4.94679e+07	8.94107e+06
45 	908881     	2.08784e+07	4.94679e+07	9.02207e+06
46 	908881     	2.08409e+07	5.39463e+07	9.17805e+06
47 	908881     	2.07833e+07	4.82845e+07	9.05197e+06
48 	908881     	2.07597e+07	4.82001e+07	8.9006e+06 
49 	908881     	2.07492e+07	5.02758e+07	8.9561e+06 
50 	908881     	2.07075e+07	5.02586e+07	9.10349e+06
51 	902663     	2.06756e+07	5.04664e+07	9.04207e+06
52 	902663     	2.06241e+07	4.87369e+07	8.94627e+06
53 	902663     	2.0622e+07 	4.71623e+07	8.93137e+06
54 	517095     	2.06106e+07	5.29172e+07	8.88947e+06
55 	517095     	2.05597e+07	4.79761e+07	8.81075e+06
56 	517095     	2.04967e+07	5.13615e+07	8.75591e+06
57 	517095     	2.04718e+07	5.01196e+07	8.73155e+06
58 	517095     	2.04239e+07	5.00236e+07	8.82473e+06
59 	517095     	2.0391e+07 	5.0046e+07 	8.88865e+06
60 	517095     	2.03649e+07	4.98916e+07	8.94804e+06
61 	517095     	2.03503e+07	4.91267e+07	8.99686e+06
62 	517095     	2.02828e+07	5.11767e+07	8.86302e+06
63 	516588     	2.02636e+07	4.97639e+07	8.92897e+06
64 	516588     	2.02359e+07	5.12715e+07	8.9171e+06 
65 	516588     	2.02146e+07	5.12797e+07	8.89619e+06
66 	471545     	2.01993e+07	4.80395e+07	8.60715e+06
67 	471545     	2.01487e+07	4.86229e+07	8.62866e+06
68 	471545     	2.01068e+07	5.05111e+07	8.66985e+06
69 	471545     	2.00914e+07	5.05132e+07	8.64081e+06
70 	471545     	2.00714e+07	4.79961e+07	8.75006e+06
71 	471545     	2.00541e+07	4.68727e+07	8.70309e+06
72 	439657     	1.99975e+07	4.75515e+07	8.79834e+06
73 	423123     	1.99838e+07	5.15098e+07	8.87984e+06
74 	423123     	1.99568e+07	5.2215e+07 	8.86196e+06
75 	423123     	1.99312e+07	5.20647e+07	8.82241e+06
76 	423123     	1.98863e+07	5.32037e+07	8.86729e+06
77 	423123     	1.97844e+07	5.32155e+07	8.72623e+06
78 	423123     	1.97939e+07	5.33975e+07	8.8053e+06 
79 	423123     	1.97635e+07	5.33975e+07	9.00496e+06
80 	423123     	1.97338e+07	5.10469e+07	9.08911e+06
81 	423123     	1.97402e+07	4.96178e+07	9.02692e+06
82 	423123     	1.97298e+07	4.80696e+07	9.10023e+06
83 	423123     	1.96716e+07	4.80699e+07	8.97904e+06
84 	423123     	1.96694e+07	4.98257e+07	9.03481e+06
85 	423123     	1.96653e+07	4.67712e+07	8.805e+06  
86 	423123     	1.96344e+07	4.70403e+07	8.56491e+06
87 	423123     	1.95699e+07	4.75572e+07	8.49698e+06
88 	423123     	1.95291e+07	4.64807e+07	8.48175e+06
89 	423123     	1.94751e+07	4.66747e+07	8.59545e+06
90 	423123     	1.94528e+07	4.53976e+07	8.54243e+06
91 	423123     	1.94045e+07	4.69989e+07	8.62608e+06
92 	423123     	1.94098e+07	4.59779e+07	8.53147e+06
93 	394755     	1.94077e+07	4.77807e+07	8.62433e+06
94 	394755     	1.94055e+07	4.40263e+07	8.56724e+06
95 	394755     	1.93914e+07	4.34808e+07	8.68018e+06
96 	378207     	1.93549e+07	5.22322e+07	8.63556e+06
97 	378207     	1.9317e+07 	4.77946e+07	8.52428e+06
98 	378207     	1.93019e+07	4.37382e+07	8.65684e+06
99 	378207     	1.92489e+07	4.89958e+07	8.61786e+06
100	378207     	1.92173e+07	4.69172e+07	8.51981e+06
101	378207     	1.91772e+07	5.90198e+07	8.70022e+06
102	378181     	1.9173e+07 	4.6341e+07 	8.71972e+06
103	378181     	1.91702e+07	4.40426e+07	8.53723e+06
104	336047     	1.91442e+07	4.32623e+07	8.44396e+06
105	336047     	1.91182e+07	4.58652e+07	8.6582e+06 
106	336047     	1.9094e+07 	4.91362e+07	8.68295e+06
107	336047     	1.90642e+07	4.91476e+07	8.60737e+06
108	336047     	1.90283e+07	5.04787e+07	8.47464e+06
109	336047     	1.89864e+07	4.74785e+07	8.47129e+06
110	336047     	1.89536e+07	4.57133e+07	8.56349e+06
111	336047     	1.89339e+07	5.10604e+07	8.66718e+06
112	336047     	1.89236e+07	4.5487e+07 	8.66552e+06
113	336047     	1.8894e+07 	4.65906e+07	8.6233e+06 
114	336047     	1.88594e+07	4.63707e+07	8.70835e+06
115	336047     	1.88517e+07	4.6052e+07 	8.7853e+06 
116	336047     	1.87755e+07	4.60736e+07	8.61658e+06
117	336047     	1.87484e+07	5.08692e+07	8.6504e+06 
