gen	min        	avg       	max        	std        
0  	2.16726e+06	2.3064e+07	5.80851e+07	9.81368e+06
1  	2.16632e+06	2.30089e+07	5.72829e+07	9.75915e+06
2  	2.16632e+06	2.29543e+07	5.52748e+07	9.69784e+06
3  	1.96377e+06	2.28769e+07	5.52748e+07	9.43795e+06
4  	1.94373e+06	2.28565e+07	5.18837e+07	9.36107e+06
5  	1.65594e+06	2.28553e+07	5.07049e+07	9.38218e+06
6  	1.65594e+06	2.28166e+07	5.68879e+07	9.4406e+06 
7  	1.65594e+06	2.27394e+07	5.65368e+07	9.31718e+06
8  	1.65594e+06	2.27387e+07	5.22798e+07	9.22368e+06
9  	1.65594e+06	2.26866e+07	4.94233e+07	9.28214e+06
10 	1.64733e+06	2.26197e+07	4.92133e+07	9.20445e+06
11 	1.64733e+06	2.2597e+07 	5.08243e+07	9.25265e+06
12 	1.64733e+06	2.2545e+07 	5.23477e+07	9.22287e+06
13 	1.64733e+06	2.25275e+07	5.21007e+07	9.41291e+06
14 	1.64733e+06	2.24674e+07	5.55385e+07	9.46726e+06
15 	1.64733e+06	2.24228e+07	5.30634e+07	9.42298e+06
16 	1.64733e+06	2.23523e+07	5.12883e+07	9.45284e+06
17 	1.64733e+06	2.23062e+07	4.90581e+07	9.47022e+06
18 	1.64733e+06	2.23115e+07	5.09553e+07	9.37057e+06
19 	1.63212e+06	2.2236e+07 	4.98859e+07	9.2673e+06 
20 	1.63124e+06	2.21802e+07	4.98838e+07	9.24305e+06
21 	1.63124e+06	2.21527e+07	5.1884e+07 	9.12619e+06
22 	1.63124e+06	2.21215e+07	5.18001e+07	9.20618e+06
23 	1.63124e+06	2.20393e+07	5.39751e+07	9.13568e+06
24 	1.63124e+06	2.19982e+07	5.32584e+07	9.22324e+06
25 	1.63124e+06	2.19497e+07	5.26049e+07	9.20724e+06
26 	1.63124e+06	2.19262e+07	5.17423e+07	9.109e+06  
27 	1.63124e+06	2.18886e+07	5.39264e+07	9.11205e+06
28 	1.63124e+06	2.18494e+07	5.46244e+07	9.19545e+06
29 	1.30299e+06	2.18703e+07	5.73287e+07	9.32834e+06
30 	1.30299e+06	2.18013e+07	5.39662e+07	9.34878e+06
31 	1.30299e+06	2.18265e+07	5.33606e+07	9.49361e+06
32 	1.30299e+06	2.17963e+07	5.34238e+07	9.58876e+06
33 	1.30299e+06	2.17977e+07	5.25846e+07	9.32994e+06
34 	1.24825e+06	2.17074e+07	5.22493e+07	9.45108e+06
35 	1.24825e+06	2.16322e+07	5.20518e+07	9.35344e+06
36 	1.24825e+06	2.16385e+07	5.5026e+07 	9.43428e+06
37 	1.24794e+06	2.15902e+07	4.99334e+07	9.39828e+06
38 	1.24794e+06	2.15408e+07	4.93669e+07	9.20857e+06
39 	1.24794e+06	2.15338e+07	4.77964e+07	9.31908e+06
40 	1.24148e+06	2.15016e+07	4.62042e+07	9.17321e+06
41 	1.24148e+06	2.15016e+07	4.62056e+07	9.22423e+06
42 	1.20248e+06	2.14787e+07	4.6188e+07 	9.2536e+06 
43 	1.20248e+06	2.14687e+07	4.81963e+07	9.27968e+06
44 	1.20248e+06	2.1471e+07 	5.77293e+07	9.2654e+06 
45 	1.20248e+06	2.14458e+07	5.03273e+07	9.2822e+06 
46 	1.10474e+06	2.14264e+07	5.04199e+07	9.42431e+06
47 	1.10474e+06	2.13859e+07	5.04199e+07	9.2492e+06 
48 	1.10474e+06	2.13946e+07	5.02784e+07	9.30309e+06
