gen	min    	avg   	max    	std   
0  	973.744	3038.1	7291.09	1127.8
1  	868.689	3031.55	6832.62	1117.53
2  	796.743	3032.97	6645.54	1127.94
3  	698.656	3030.29	6533.37	1120.35
4  	698.656	3027.14	6804.96	1121.72
5  	464.579	3027.32	6643.98	1117.57
6  	464.579	3026.58	6592.49	1132.4 
7  	445.295	3020.36	6753.78	1126.17
8  	445.295	3013.81	6826.05	1133.45
9  	445.295	3004.83	6825.41	1130.88
10 	445.295	3002.55	6825.41	1115.27
11 	445.295	2996.95	6759.01	1120.07
12 	445.295	2999.45	7310.08	1151.12
13 	445.295	2999.51	7484.02	1155.92
14 	441.046	2992.6 	7456.9 	1148.87
15 	441.046	2988.35	7264.29	1142.67
16 	441.046	2981.37	7514.07	1134.88
17 	441.046	2975.44	7322.16	1156.72
18 	441.046	2970.05	7181.77	1132.75
19 	441.046	2968.59	7285.46	1133.43
20 	441.046	2960.84	7589.26	1131.82
21 	430.421	2957.8 	7624.62	1121.7 
22 	399.54 	2953.33	7329.29	1107.94
23 	399.54 	2947.55	7154.45	1122.13
24 	399.54 	2943.62	6954.93	1128.42
25 	399.54 	2941.93	6694.34	1129.66
26 	399.54 	2934.52	6617.53	1114.76
27 	399.54 	2935.73	6492.99	1124.03
28 	399.54 	2934.32	6450.96	1127.64
29 	399.54 	2928.52	6440.05	1126.1 
30 	399.54 	2926.56	6509.25	1127.82
31 	349.79 	2923.08	7400.6 	1141   
32 	349.79 	2919.11	7363.14	1157.46
33 	349.79 	2913.06	7302.68	1146.94
34 	349.79 	2905.75	6990.89	1126   
35 	324.389	2903.9 	6894.89	1118.66
36 	324.389	2899.47	6788.91	1108.68
37 	317.27 	2897.06	7113.46	1111.96
38 	317.27 	2895.44	7334.04	1111.45
39 	317.27 	2888.33	7010.6 	1124.92
40 	317.27 	2884.33	7006.88	1100.56
41 	317.27 	2878.99	6665.7 	1128.99
42 	317.27 	2869.92	6894.71	1118.76
43 	312.008	2863.75	6688.47	1102.68
44 	312.008	2866.53	6652.36	1138.34
45 	312.008	2865.32	6720.38	1130.24
46 	312.008	2867.1 	7826   	1154.2 
47 	311.509	2863.6 	6745.69	1144.76
48 	311.509	2858.21	6956.89	1132.67
49 	311.509	2858.3 	7068.08	1117.85
50 	311.509	2853.22	6838.81	1114.14
