gen	min    	avg   	max    	std 
0  	831.744	2986.3	7321.93	1117
1  	698.828	2980.63	7198.42	1110.2
2  	698.828	2973.67	7222.64	1095.22
3  	666.469	2968.68	7004.98	1103.27
4  	566.777	2969.11	6992.52	1108.7 
5  	566.777	2969.73	7027.7 	1108.89
6  	531.111	2963.41	7112.41	1100.58
7  	531.111	2961.82	7617.01	1114.3 
8  	531.111	2959.02	7105.02	1111.26
9  	531.111	2955.93	6940.71	1104.04
10 	531.111	2956.22	7173.86	1098.87
11 	531.111	2949.95	6980.01	1113.4 
12 	531.111	2945.03	6942.47	1079.14
13 	531.111	2936.29	6802.21	1091.61
14 	450.428	2933.91	6738.4 	1091.38
15 	450.428	2926.86	6897.6 	1080.94
16 	450.428	2920.37	6775.86	1069.22
17 	450.428	2919.02	6259.97	1071.06
18 	450.428	2918.6 	6325.68	1053.18
19 	450.428	2914.18	6325.68	1067.47
20 	401.684	2911.99	6164.62	1047.61
21 	401.684	2914.3 	6594.93	1046.99
22 	354.949	2906.53	6098.47	1051.66
23 	354.949	2904.97	6481.94	1062.03
24 	354.949	2908.29	6519.37	1089.64
25 	354.949	2904.28	6315.67	1084.56
26 	354.949	2901.12	6354.21	1062.63
27 	339.179	2900.84	5909.36	1052.17
28 	339.179	2892.11	5899.05	1039.91
29 	339.179	2886.86	6150.34	1038.88
30 	338.74 	2884.74	6096.06	1036.37
31 	338.74 	2883.21	6467.61	1061.5 
32 	338.74 	2879.3 	6490.92	1053.05
33 	334.358	2876.4 	6542.23	1061.34
34 	334.358	2867.43	6457.25	1069.51
35 	314.538	2869.05	6378.13	1042.05
36 	291.177	2865.78	6684.47	1044.75
37 	291.177	2857.56	6622.19	1033.09
38 	291.177	2856.3 	6413.13	1038.87
39 	291.177	2855.3 	6413.13	1052.7 
40 	291.177	2848.33	6198.87	1064.98
41 	291.177	2847.83	6188.15	1085.21
42 	291.177	2848.17	7028.06	1109.93
43 	291.177	2840.77	6653.62	1090.61
44 	291.177	2834.21	6521.16	1064   
45 	279.028	2827.65	6158.51	1045.34
46 	279.028	2823.87	6000.48	1063.12
47 	241.26 	2817.72	6277.9 	1081.77
48 	241.26 	2816.23	6356.44	1075.97
49 	241.26 	2815.55	6334.38	1083.83
50 	225.707	2814.47	6704.37	1092.83
51 	225.707	2811.19	6639.36	1068.91
52 	225.707	2807.94	6461.52	1071.38
53 	225.707	2800.58	6498.92	1087.1 
54 	225.707	2801.57	6476.68	1080.98
55 	225.707	2801.44	6406.56	1086.56
56 	225.707	2800.87	6653.82	1097.9 
57 	225.707	2800.26	6519.78	1071.94
58 	225.707	2800.94	6164.79	1063.03
59 	210.44 	2797.76	5880.87	1064.84
60 	210.44 	2793.04	6059.93	1079.31
61 	210.44 	2793.1 	6178.75	1065.42
62 	210.44 	2791.95	6272.45	1061.09
63 	210.44 	2789.16	6138.18	1052.57
64 	202.383	2786.98	6137.28	1079.4 
65 	202.383	2786.13	6346.42	1054.39
66 	183.467	2779.61	6318.45	1027.87
67 	183.467	2776.66	6246.1 	1039.86
68 	183.467	2772.61	6183.08	1021.55
69 	183.467	2769.93	6323.18	1035.11
70 	183.467	2771.05	6433.55	1039.66
71 	183.467	2774.47	7080.34	1065.99
72 	183.467	2773.24	7129.39	1065.97
73 	183.467	2768.43	7071.73	1042.75
74 	183.467	2766.51	6721.05	1065.52
75 	183.467	2760.97	6864.65	1075.79
76 	183.467	2757.69	6726.13	1074.74
77 	183.467	2754.21	6536.88	1072.02
78 	183.467	2751.08	6662.29	1081.89
79 	183.467	2745.29	7019.81	1121.22
80 	183.467	2744.19	7232.75	1104.19
81 	183.076	2733.39	7281.9 	1101.36
82 	183.076	2729.59	7036.07	1089.26
83 	183.076	2726.7 	6974.85	1063.48
84 	183.076	2725.43	6901.72	1078.29
85 	183.076	2719.38	6886.79	1082.89
86 	183.076	2716.29	6770.41	1069.51
87 	175.363	2710.39	6568.48	1046.75
88 	175.363	2703.99	6082.87	1030.03
89 	175.363	2706.06	7464.32	1059.14
90 	175.363	2709.5 	7509.11	1054.06
91 	161.461	2701.29	6743.37	1046.96
92 	161.461	2698.4 	6297.6 	1053.43
93 	161.461	2695.93	6590.47	1039.48
94 	161.461	2693.6 	7621.32	1038.51
95 	161.461	2681.75	6980.61	1016.82
96 	161.461	2680.42	6680.79	1036.34
97 	161.461	2674.86	6524.01	1022.24
98 	161.461	2670.14	6370.6 	1021.95
99 	161.461	2667.77	6152.59	1029.9 
100	161.461	2661.18	6118.38	1025.43
101	161.461	2658.59	6125.78	1022.44
102	161.461	2652.57	6422.9 	1022.95
103	161.461	2653.78	6392.37	1046.31
104	161.461	2651.81	6534.92	1034.76
105	161.461	2647.42	6309.92	1036.29
106	161.461	2645.31	6380.95	1029.23
107	161.461	2643.93	6412.99	1001.79
108	161.461	2645.12	6556.77	1013.41
109	145.646	2638.89	6351.72	1015.44
110	145.646	2635.44	7008.05	1028.14
111	145.646	2628.74	7504.37	1010.81
112	145.646	2627.86	7041.5 	1011.13
113	145.646	2625.96	6392.97	994.373
114	145.646	2618.46	6114.72	971.557
115	145.646	2615.48	6027.02	958.083
116	145.646	2613.35	5902.46	958.101
117	145.646	2609.87	5841.91	942.3  
118	136.811	2604.35	5808.57	959.62 
119	136.811	2599.58	5945.46	973.393
120	136.811	2589.98	5812.13	966.483
121	136.811	2585.21	5916.82	950.011
122	136.811	2580.51	5818.48	934.819
123	136.811	2579.88	5910.16	937.869
124	136.811	2575.61	5660.8 	948.495
125	136.811	2579.2 	5657.81	954.06 
126	126.272	2575.06	5690.4 	967.208
127	126.272	2570.05	5690.4 	953.435
128	126.272	2565.69	6013.86	971.007
129	126.272	2566.44	5898.75	958.22 
130	113.051	2566.6 	6339.26	971.892
131	113.051	2559.04	5833.5 	976.749
132	113.051	2552.89	6016.64	959    
133	113.051	2551.68	6853.42	970.569
134	113.051	2549.12	6297.99	957.506
135	113.051	2548.41	6308.95	955.208
136	113.051	2546.77	6283.67	936.466
137	113.051	2545.98	6247.66	947.996
138	113.051	2545.91	6251.95	942.495
139	113.051	2540.17	5970.97	935.467
140	113.051	2536.63	5970.97	938.093
141	113.051	2531.18	5970.97	915.784
142	103.275	2529.8 	6823.98	922.238
143	103.275	2524.4 	6396.98	916.752
144	103.275	2518.16	6392.49	934.298
145	103.275	2515.25	6566.2 	948.687
146	103.275	2512.46	6504.94	928.676
147	103.275	2506.38	6140.26	907.043
148	103.275	2505.2 	6007.93	923.997
149	103.275	2500   	5765.36	922.993
150	103.275	2497.88	5644.49	907.616
151	103.275	2493.67	5547.67	931.257
152	103.275	2492   	5488.93	915.63 
153	103.275	2489.04	5652.91	922.084
154	103.275	2487.24	5673.22	913.49 
155	103.275	2483.07	5629.42	917.103
156	103.275	2482.65	6060.43	922.468
157	103.275	2485.28	6029.85	935.843
158	103.275	2484.18	5768.3 	929.505
159	103.275	2480.75	5741.72	930.886
160	103.275	2477.01	5601   	929.077
161	103.275	2476.56	5635.02	923.896
162	103.275	2469.39	5367.17	923.618
163	103.275	2465.1 	5393.69	921.664
164	75.6809	2462.2 	5425.55	922.814
165	75.6809	2463.55	5371.41	937.052
166	75.6809	2464.48	5601.99	923.921
167	75.6809	2462.55	5852.77	938.106
168	75.6809	2461.69	6335.15	944.805
169	75.6809	2455.94	6053.89	961.163
170	75.6809	2455.93	5963.39	970.107
171	75.6809	2453.08	5946.21	958.425
172	75.6809	2449.35	5597.85	959.166
173	75.6809	2444.92	5578.53	964.708
174	75.6809	2441.57	5586.02	948.031
175	75.6809	2436.18	6102.41	952.623
176	75.6809	2431.46	6081.74	939.643
