/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max    	std    
0  	1278.09	7796.1	23703.9	3681.93
1  	1278.09	7799.28	21321.3	3664.31
2  	1243.13	7787.17	21321.3	3667.06
3  	1194.24	7765.12	20885  	3712.92
4  	1194.24	7766.41	20740.6	3739.89
5  	1194.24	7760.07	24301.9	3804.88
6  	1182.78	7759.59	21005.5	3847.6 
7  	1182.78	7747.09	20317  	3780.56
8  	1060.19	7752.04	20317  	3813.3 
9  	951.149	7742.58	20640.3	3798.12
10 	951.149	7750.46	20384.6	3772.74
11 	912.814	7799.67	20028.7	3815.73
12 	912.814	7814.16	21697.1	3807.67
13 	912.814	7820.26	23987.7	3862.09
14 	837.482	7812   	22251.5	3928.07
15 	837.482	7797.9 	22082.3	3993.36
16 	837.482	7779.83	24357  	4026.85
17 	809.166	7781.84	21278.5	4023.65
18 	809.166	7764.82	23614.7	4011.95
19 	809.166	7735   	21264.1	3966.49
20 	809.166	7740.11	21264.1	3983.59
21 	809.166	7745.86	19924  	3982.96
22 	719.886	7737.9 	18965  	4018.25
23 	675.832	7753.02	21775.9	4019.31
24 	675.832	7748.62	21775.9	3933.16
25 	663.172	7728.77	19711  	3885.31
26 	612.318	7724.28	19779.4	3879.12
27 	578.168	7740.4 	19821.6	3898.01
28 	578.168	7760   	21267.5	3928.22
29 	492.066	7794.09	22695.1	4016.41
30 	492.066	7808.05	25780  	4107.32
31 	492.066	7791.75	23075.1	4062.6 
32 	492.066	7780.79	22916  	4009.65
33 	492.066	7776.47	21860.2	3912.56
34 	492.066	7785.45	21831.6	3954.36
35 	492.066	7778.35	21366.8	3930.06
36 	492.066	7779.39	20793.3	3894.44
37 	492.066	7786.67	21596.7	3928.19
38 	477.02 	7796.94	23798.6	3929.15
39 	477.02 	7783.72	22550.8	3896.36
40 	477.02 	7792.41	22363  	3975.79
41 	477.02 	7783.09	21859.8	4027.33
42 	477.02 	7783.87	20602.5	4089.94
43 	477.02 	7778.01	21161.4	4010.36
44 	477.02 	7805.62	22803.2	4111.43
45 	477.02 	7781.05	22803.2	4082.42
46 	477.02 	7775.59	22802.7	4183.34
47 	404.291	7776.03	21463.3	4154.9 
48 	404.291	7779.35	21463.3	4128.28
49 	404.291	7764.91	24591  	4268.3 
50 	404.291	7758.53	24445.2	4344.32
51 	393.216	7743   	24157.3	4323.59
52 	393.216	7738.06	23709.3	4361.03
53 	393.216	7740.99	23386.7	4406.05
54 	393.216	7729.44	23642.3	4434.82
55 	393.216	7728.72	23316.9	4362.02
56 	393.216	7711.73	22583.9	4315.39
57 	328.294	7710.22	23055.8	4333.83
58 	328.294	7710.69	22271  	4268.04
59 	328.294	7698.79	24044.1	4208.12
60 	328.294	7688.72	23998.4	4199.64
61 	328.294	7673.87	23883.7	4265.17
62 	328.294	7680.61	23875  	4238.03
63 	328.294	7694.9 	24087.3	4291.8 
64 	328.294	7683.87	23302.3	4284.11
65 	328.294	7651.41	22613.7	4236.78
66 	328.294	7632.54	22556.9	4184.86
67 	313.719	7616.02	21698.4	4200.71
68 	312.275	7594.44	22795.2	4161.7 
69 	312.275	7580.5 	22666.8	4134.7 
70 	312.275	7555.74	22839.7	4111.64
71 	312.275	7535.89	21402  	4072.48
72 	312.275	7544.39	21402  	4092.99
73 	312.275	7549.98	20147.9	4084.42
74 	300.453	7531.7 	23267.2	4002.2 
75 	300.453	7516.65	20678.3	3990.11
76 	300.453	7511.01	20342.9	3970.55
77 	300.453	7497.57	21729.4	3965.23
78 	300.453	7472.75	20515.2	3972.95
79 	300.453	7452.41	19960  	3914.78
80 	300.453	7441.21	19975  	3939.94
81 	300.453	7438.22	20689.4	3983.97
82 	300.453	7467.24	20428.3	4105.03
83 	296.303	7448.45	20635.1	4133.03
84 	296.303	7424.52	20330.9	4088.06
85 	296.303	7441.84	20560.5	4134.39
86 	295.747	7439.73	23069.9	4107.46
87 	295.747	7437.51	23130.1	4122.69
88 	295.747	7428.97	22578.8	4016.47
89 	295.747	7413.06	23605.9	4078.42
90 	295.747	7409.05	24313.8	4082.12
91 	295.747	7408.73	22970.3	4114.38
92 	295.747	7398.04	24653.1	4215.48
93 	295.747	7399.96	27557.8	4279.21
94 	295.747	7414.08	22163  	4335.89
95 	295.747	7394.32	23026.2	4288.27
96 	295.747	7379.3 	25567.2	4403.84
97 	295.747	7373.37	22829.7	4372.08
98 	295.747	7390.29	22943.9	4367.63
99 	295.747	7398.38	23956.9	4321.76
100	295.747	7392.74	23867.8	4307.78
101	295.747	7397.59	21574  	4271.05
102	295.747	7372.88	21510.4	4244.58
103	295.747	7378.32	22637.8	4261.03
104	284.038	7358.06	23247.2	4214.62
105	284.038	7359.36	24160.9	4323.07
