/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max        	std   
0  	270468	871955	1.60656e+06	254627
1  	263581	875111	1.8018e+06 	258957
2  	258139	874666	1.62527e+06	261610
3  	150690	873206	1.74083e+06	268409
4  	150690	872403	1.72325e+06	271223
5  	150690	873881	1.93309e+06	272108
6  	150690	875794	1.7248e+06 	273628
7  	150690	877179	1.78866e+06	275715
8  	138024	878615	1.75556e+06	275257
9  	138024	879426	1.60566e+06	275271
10 	138024	878445	1.66884e+06	271987
11 	138024	877167	1.62706e+06	267408
12 	138024	876285	1.59006e+06	265523
13 	138024	877228	1.75838e+06	272469
14 	138024	878537	1.72612e+06	269644
15 	138024	879384	1.74687e+06	268543
16 	138024	879150	1.65405e+06	266328
17 	138024	880113	1.67509e+06	268395
18 	138024	880495	1.66302e+06	275903
19 	137980	879152	1.64607e+06	273939
20 	137980	879855	1.60706e+06	277254
21 	137980	881405	1.86944e+06	276887
22 	137980	882437	1.86422e+06	277108
23 	137980	883728	1.84898e+06	279048
24 	137980	885105	2.09175e+06	285397
25 	137980	886154	2.06158e+06	284735
26 	137980	887342	1.95658e+06	282500
27 	137980	887749	1.82066e+06	276106
28 	137980	887831	1.82036e+06	281327
29 	137980	888738	1.84096e+06	280656
30 	137980	889151	1.85971e+06	286904
31 	137980	889623	1.77869e+06	284743
32 	137980	890736	1.84918e+06	288325
33 	137980	889314	1.92292e+06	291416
34 	137980	891095	1.92562e+06	295058
35 	137980	890595	1.7605e+06 	297371
36 	137980	891955	1.84203e+06	288784
37 	137980	891976	1.8623e+06 	294038
38 	137980	894466	1.88976e+06	300975
39 	137980	894828	1.92345e+06	310999
40 	137980	893890	1.85006e+06	307843
41 	137980	894589	2.22467e+06	311728
42 	137980	893742	2.04235e+06	311656
43 	137980	893646	1.91671e+06	313401
44 	137980	893969	1.9172e+06 	310259
45 	134026	892692	1.87651e+06	316634
46 	134026	890657	2.12366e+06	311669
47 	134026	889582	2.12017e+06	309068
48 	92949.2	887528	1.87635e+06	303950
49 	92949.2	888510	1.86892e+06	303636
50 	92949.2	889894	1.8571e+06 	307287
51 	92949.2	889959	1.94283e+06	312940
52 	92949.2	889584	1.81619e+06	303321
53 	92949.2	889965	1.93482e+06	302007
54 	92949.2	891885	2.02747e+06	304940
55 	92949.2	891947	1.95123e+06	302529
56 	92949.2	891664	1.99834e+06	305524
57 	90159  	891923	1.90103e+06	302040
58 	75276.6	890210	1.88802e+06	305212
59 	75276.6	890398	1.89543e+06	304266
60 	74487  	890396	1.83248e+06	307378
61 	74002.3	891321	1.94563e+06	310854
62 	72416.4	891281	1.88683e+06	310793
63 	59164.6	891727	1.91048e+06	311122
64 	57781.6	891273	1.91048e+06	311691
65 	57781.6	890244	1.70356e+06	309206
66 	57781.6	890807	1.88779e+06	315195
67 	57781.6	891481	1.86192e+06	312847
68 	57781.6	892849	2.10348e+06	313228
69 	57781.6	892917	2.04299e+06	309908
70 	57781.6	895310	1.97711e+06	311474
71 	57732.7	894322	1.92755e+06	312092
72 	57732.7	895717	1.82763e+06	314920
73 	57732.7	894466	1.86945e+06	314464
74 	50086  	892930	1.95369e+06	312887
75 	50086  	892193	1.89245e+06	309958
76 	50086  	892078	1.92483e+06	306196
77 	50086  	893198	1.97978e+06	311491
78 	50086  	894104	1.95699e+06	315059
79 	49126.2	894607	1.88284e+06	314081
80 	49126.2	893605	1.89098e+06	305137
81 	49126.2	893585	1.90644e+06	313928
82 	49126.2	892355	1.93924e+06	307149
83 	49126.2	892184	1.93439e+06	308752
84 	49126.2	892064	1.91022e+06	310874
85 	49126.2	891300	1.83804e+06	307660
86 	46590.1	892287	2.00905e+06	307123
87 	45272  	891178	2.00905e+06	309795
88 	45272  	890807	2.07296e+06	302573
89 	45272  	888402	2.00061e+06	300868
90 	45272  	887637	1.83887e+06	303411
