/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max       	std   
0  	97328.5	352934	1.0396e+06	133735
1  	97328.5	353084	909033    	128701
2  	86629.5	355715	956954    	131776
3  	86629.5	357924	937282    	134762
4  	86629.5	359440	925611    	135065
5  	75607.5	360258	884519    	134229
6  	75607.5	361040	939377    	135762
7  	75607.5	362591	1.03673e+06	137029
8  	67194  	364109	1.04707e+06	133302
9  	59365.7	363594	1.12607e+06	138724
10 	45071.4	363500	965173     	139326
11 	45071.4	362506	981190     	138489
12 	45071.4	358682	1.1524e+06 	136302
13 	45071.4	356000	914127     	131218
14 	42921.6	359484	1.2816e+06 	137976
15 	42921.6	358045	1.04684e+06	135876
16 	42921.6	357631	992243     	137273
17 	42921.6	358247	1.03251e+06	137729
18 	42921.6	359173	1.02922e+06	138486
19 	42921.6	362044	996888     	143464
20 	42921.6	363715	1.09331e+06	143902
21 	42921.6	362930	1.05309e+06	142355
22 	42921.6	362007	1.06591e+06	141721
23 	42921.6	362300	1.01834e+06	140420
24 	42921.6	363101	1.03877e+06	141677
25 	40455.5	367363	968197     	144726
26 	40384.8	371361	1.00441e+06	145077
27 	40384.8	368683	896451     	142072
28 	40384.8	367953	1.0413e+06 	145522
29 	40384.8	369168	952538     	148702
30 	40384.8	367724	957191     	144978
31 	40384.8	371929	1.03596e+06	150542
32 	39583  	369549	1.01595e+06	147881
33 	39583  	366273	1.01271e+06	145968
34 	39583  	366861	951370     	142960
35 	39583  	371933	940703     	146148
36 	39583  	372505	1.05885e+06	146500
37 	39583  	375553	1.15303e+06	154135
38 	39583  	372427	1.01036e+06	148311
39 	39583  	377775	1.11615e+06	151719
40 	39583  	377122	958691     	149952
41 	31667.7	378729	1.00038e+06	150378
42 	31667.7	375756	1.01475e+06	153434
43 	31667.7	377253	1.03514e+06	152306
44 	31667.7	375320	981708     	147289
45 	31667.7	377900	914451     	146482
46 	31667.7	379996	959874     	151980
47 	31667.7	383595	1.22066e+06	158576
48 	31667.7	382293	1.01629e+06	155284
49 	31667.7	382402	1.06106e+06	153413
50 	31667.7	381793	932433     	152873
51 	31667.7	383022	929144     	149702
52 	31667.7	380145	908752     	148847
53 	31667.7	380958	1.11352e+06	152956
54 	31667.7	381576	1.00013e+06	154755
55 	31667.7	381947	1.30817e+06	152751
56 	31667.7	383231	1.16791e+06	152640
57 	31667.7	384747	1.13057e+06	158190
58 	31667.7	384122	1.01724e+06	155146
59 	31667.7	386538	1.10948e+06	159435
60 	31667.7	387328	1.22744e+06	158155
61 	31667.7	390617	1.07511e+06	161412
62 	31667.7	385772	1.03751e+06	155789
63 	31667.7	383284	1.01886e+06	155287
64 	31667.7	384428	999843     	157223
65 	31667.7	385069	1.10501e+06	161215
