/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max        	std   
0  	70015.4	353076	1.03639e+06	132308
1  	70015.4	352556	1.00298e+06	134803
2  	70015.4	353533	1.03408e+06	133428
3  	65201.2	355568	1.01321e+06	132609
4  	65201.2	355424	909527     	130085
5  	65201.2	358765	893708     	129546
6  	65201.2	359147	968329     	131587
7  	65201.2	360691	882620     	131415
8  	65201.2	361773	836301     	133481
9  	65201.2	362684	917493     	139718
10 	65201.2	362381	904906     	136308
11 	65201.2	361482	1.01422e+06	135174
12 	65201.2	367723	899723     	136667
13 	65201.2	365456	972618     	134514
14 	65201.2	365717	942212     	135176
15 	65201.2	369732	953016     	137215
16 	58322.8	370768	942102     	133735
17 	58322.8	368029	863221     	139534
18 	58322.8	366335	911019     	139737
19 	57260.2	364994	1.1816e+06 	135696
20 	57260.2	366351	897106     	136728
21 	57260.2	370073	958650     	143289
22 	55567.4	369739	1.01523e+06	145098
23 	55567.4	369621	1.09024e+06	141922
24 	55567.4	368912	905179     	134366
25 	55567.4	364781	849652     	128681
26 	55567.4	370757	914402     	136615
27 	55567.4	370915	980563     	138460
28 	55567.4	372482	914125     	137564
29 	55567.4	370975	886437     	140799
30 	48823.5	374546	983259     	147340
31 	48823.5	374506	973198     	148595
32 	48823.5	371707	909048     	136587
33 	48823.5	371138	877495     	133858
34 	48823.5	375668	955197     	139899
35 	48823.5	376350	949944     	141952
36 	47828.4	373821	1.00786e+06	142367
37 	47828.4	374549	997051     	143248
38 	47828.4	381620	1.16994e+06	149204
39 	47828.4	379395	934286     	145413
40 	47828.4	377644	1.00875e+06	148367
41 	47828.4	378734	840334     	142564
42 	47828.4	379127	912621     	145385
43 	47828.4	382541	948344     	151212
44 	47780.7	384605	1.04733e+06	151174
45 	43891.9	380715	1.19659e+06	146365
46 	43891.9	380686	1.21198e+06	148116
47 	43891.9	381924	1.0681e+06 	153309
48 	43891.9	381008	988341     	153481
49 	43891.9	379290	937895     	148913
50 	43891.9	375679	942964     	145768
51 	43891.9	377618	942161     	147774
52 	43891.9	379479	1.11793e+06	152821
53 	43891.9	379134	1.04407e+06	155230
54 	43891.9	379810	1.10112e+06	159177
55 	43891.9	385527	1.02825e+06	156941
56 	43891.9	383754	1.07461e+06	159178
57 	43891.9	383516	1.05075e+06	154821
58 	43891.9	388516	1.09344e+06	162809
59 	43891.9	389023	1.07985e+06	166729
60 	43891.9	388626	1.07033e+06	160296
61 	40395.4	386312	1.08887e+06	156062
62 	40395.4	390087	1.1736e+06 	162333
63 	40395.4	391544	1.08829e+06	160937
64 	40395.4	394816	1.02301e+06	168691
65 	40395.4	394297	1.24613e+06	165365
66 	40395.4	395497	1.313e+06  	173841
67 	40395.4	394911	1.32011e+06	171337
68 	40395.4	395562	1.32011e+06	170187
69 	40395.4	396379	1.32011e+06	176109
70 	40395.4	396766	1.34189e+06	173691
71 	40395.4	397476	1.0358e+06 	171138
72 	34309.2	393291	986776     	166769
73 	34309.2	392090	1.03791e+06	160085
74 	34309.2	392386	1.16356e+06	166151
75 	34200.6	390049	938155     	158448
76 	34200.6	395028	979744     	161205
77 	34200.6	394905	959795     	163784
78 	34200.6	391452	1.36323e+06	165976
79 	34200.6	393490	1.24814e+06	168345
80 	34200.6	395244	1.20577e+06	168377
81 	34200.6	399613	1.28592e+06	176228
82 	34200.6	398901	1.10514e+06	175687
83 	34200.6	395394	1.20669e+06	172355
84 	34200.6	395805	1.20755e+06	168921
85 	34200.6	394856	1.15347e+06	162060
86 	34200.6	395089	1.09445e+06	163658
87 	34200.6	393493	1.15467e+06	165092
88 	26104.4	392090	1.05389e+06	166567
89 	26104.4	394269	1.08496e+06	166562
90 	26104.4	397145	1.14515e+06	172020
91 	26104.4	399599	1.19923e+06	174423
92 	26104.4	399744	1.07555e+06	166886
93 	26104.4	403012	977320     	170815
94 	26104.4	399575	1.09033e+06	170453
95 	26104.4	397734	1.09033e+06	170551
96 	26104.4	402137	1.25471e+06	174418
97 	26104.4	405318	1.40992e+06	182511
98 	26104.4	402454	1.50385e+06	180609
99 	26104.4	400887	1.17074e+06	176738
100	26104.4	405044	1.37716e+06	181698
101	26104.4	398775	1.20538e+06	174913
102	26104.4	399666	1.18773e+06	177687
103	26104.4	397407	1.21021e+06	176556
104	26104.4	400434	1.08939e+06	175655
105	26104.4	396512	1.10845e+06	173423
106	26104.4	401245	1.13199e+06	178898
107	26104.4	404282	1.13199e+06	178734
108	26104.4	402116	1.33749e+06	176395
109	25173.1	400417	1.21078e+06	175931
110	25173.1	402365	1.12522e+06	176962
111	25173.1	401244	1.18876e+06	179629
112	25173.1	405294	1.0807e+06 	180299
113	25173.1	412196	1.11463e+06	181623
114	25173.1	417171	1.23508e+06	183400
115	23304  	417757	1.23849e+06	190719
116	23278.2	416516	1.27257e+06	189030
117	23278.2	413568	1.31312e+06	194959
118	19607.8	411777	1.40347e+06	187450
119	19607.8	412411	1.17149e+06	180281
120	19607.8	414733	1.32953e+06	180966
121	19607.8	414902	1.23735e+06	184423
122	19607.8	414611	1.28841e+06	185971
123	19607.8	412235	1.31015e+06	185970
124	19607.8	408583	1.27278e+06	179717
125	19607.8	409997	1.37165e+06	184486
126	19607.8	404678	1.07453e+06	171077
127	19607.8	405747	1.01664e+06	172074
128	19607.8	406571	1.02091e+06	174061
129	19607.8	405046	1.12843e+06	177877
130	19607.8	409468	1.11303e+06	178628
131	19607.8	409491	1.15037e+06	178079
132	19607.8	411661	1.41266e+06	178971
133	19607.8	417977	1.36896e+06	195348
134	19607.8	414067	1.311e+06  	194116
135	19607.8	408611	1.21864e+06	183759
136	19607.8	409617	1.13161e+06	187997
137	19607.8	406758	1.16891e+06	182472
138	19607.8	412054	1.22684e+06	183314
139	19607.8	412507	1.21659e+06	183593
140	19607.8	414422	1.14198e+06	185938
141	19607.8	414078	1.17402e+06	188047
142	19607.8	413102	1.33736e+06	186830
143	19607.8	409496	1.32689e+06	180180
144	19607.8	411450	1.27726e+06	183201
145	19607.8	413890	1.20602e+06	187386
146	17698.7	415855	1.36823e+06	189950
147	17698.7	414040	1.29143e+06	187712
148	17698.7	413615	1.24138e+06	191475
149	17698.7	417395	1.36555e+06	191376
150	17698.7	415514	1.22223e+06	189143
151	17698.7	412729	1.31248e+06	188928
152	17698.7	415432	1.16441e+06	191838
153	17698.7	415592	1.13959e+06	186853
154	17698.7	416038	1.16793e+06	195198
155	17698.7	418690	1.3226e+06 	198358
156	17698.7	418897	1.3289e+06 	198381
157	17698.7	415812	1.39143e+06	197734
158	17698.7	415139	1.29058e+06	185590
159	17698.7	416985	1.43956e+06	194268
160	17698.7	417750	1.33602e+06	187179
161	17698.7	412179	1.38959e+06	187793
162	17698.7	416486	1.48037e+06	185786
163	17698.7	411048	1.18111e+06	184129
164	17698.7	412471	1.16411e+06	189121
165	17698.7	411890	1.2388e+06 	184468
166	17011.3	410837	1.08066e+06	182314
167	17011.3	410276	1.19663e+06	179815
168	17011.3	413156	1.19663e+06	179906
169	17011.3	413539	1.0791e+06 	182498
170	17011.3	414276	1.20278e+06	185107
171	17011.3	416719	1.38612e+06	189677
