/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min  	avg   	max   	std   
0  	60761	356119	968698	137236
1  	55230.6	358723	968698	137984
2  	55230.6	357396	1.04069e+06	136268
3  	55230.6	357329	902316     	134803
4  	55230.6	359601	934159     	139068
5  	55230.6	362875	1.03447e+06	137873
6  	55230.6	358882	973007     	132303
7  	55230.6	358052	889097     	128763
8  	55230.6	357867	800238     	125744
9  	55230.6	356410	911818     	128983
10 	55230.6	355043	840246     	126884
11 	55230.6	358758	1.02252e+06	135293
12 	55230.6	362216	930983     	137846
13 	55230.6	362023	997256     	136638
14 	55230.6	363579	905248     	137208
15 	55230.6	369992	1.16644e+06	145140
16 	51585.9	373766	1.15044e+06	149472
17 	51585.9	369385	1.15044e+06	144982
18 	51585.9	366552	1.12746e+06	139299
19 	51585.9	364347	993462     	139451
20 	51585.9	367523	1.0294e+06 	142406
21 	51585.9	367691	1.14119e+06	138201
22 	50011.7	367234	1.08502e+06	141622
23 	50011.7	366372	947807     	143545
24 	50011.7	369832	1.04224e+06	150716
25 	50011.7	368548	937354     	143988
26 	50011.7	369715	1.12594e+06	142490
27 	50011.7	368481	873384     	138882
28 	50011.7	369789	971680     	140862
29 	50011.7	374779	1.00805e+06	146913
30 	50011.7	374711	943657     	142693
31 	48949.1	368252	1.13095e+06	142412
32 	48949.1	374346	1.08104e+06	144349
33 	48949.1	378361	1.05311e+06	147203
34 	48949.1	379721	958869     	148506
35 	48949.1	379988	1.04888e+06	153722
36 	48949.1	379874	1.02019e+06	153294
37 	47748.9	380250	1.12688e+06	153320
38 	41578.9	376366	1.0307e+06 	147943
39 	37972.9	375527	1.01082e+06	143830
40 	37972.9	372765	1.03968e+06	147412
41 	37972.9	368985	1.06791e+06	144479
42 	37972.9	373585	1.00065e+06	146596
43 	37972.9	381754	1.09303e+06	158397
44 	37972.9	381503	1.35475e+06	163616
45 	37179.2	377394	1.12585e+06	154636
46 	37179.2	374991	1.04499e+06	150138
47 	37179.2	377409	1.06134e+06	152117
48 	37179.2	373547	1.01639e+06	148318
49 	37179.2	376882	943653     	151526
50 	37179.2	381723	976443     	153997
51 	37179.2	382819	982140     	151323
52 	37179.2	382044	952213     	152911
53 	37179.2	385630	969292     	160101
54 	33737  	384728	1.03831e+06	155404
55 	33737  	384469	1.01016e+06	150887
56 	33737  	384709	1.01173e+06	155746
57 	33737  	385627	1.01922e+06	157062
58 	33737  	385903	975422     	154942
59 	33737  	386982	1.01503e+06	153703
60 	33737  	386969	1.02616e+06	162863
61 	33737  	391541	966187     	165233
62 	32736.2	387992	1.20774e+06	165537
63 	23745.6	388825	1.15488e+06	165157
64 	23745.6	390191	1.28606e+06	165839
65 	23745.6	396559	1.28606e+06	171807
66 	23745.6	395781	1.04786e+06	160269
67 	23745.6	395033	1.2103e+06 	159965
68 	23745.6	392926	1.00948e+06	156691
69 	23745.6	389580	1.00833e+06	157080
70 	23745.6	388091	1.06441e+06	164310
71 	23745.6	393211	986806     	166963
72 	23745.6	396253	1.20453e+06	169503
73 	23745.6	397930	1.15762e+06	168520
74 	23745.6	396419	1.13377e+06	161194
75 	23745.6	392717	1.08923e+06	158354
76 	23745.6	391819	1.07176e+06	159602
77 	23745.6	392664	1.03107e+06	158086
78 	23745.6	392065	1.03107e+06	154636
79 	23745.6	396654	1.03326e+06	165070
80 	23745.6	402071	1.19005e+06	166869
81 	23745.6	400123	1.02471e+06	164409
82 	23745.6	396198	1.09101e+06	163825
83 	23745.6	398382	1.22323e+06	169626
84 	23745.6	401694	1.27848e+06	174301
85 	23745.6	401605	1.54147e+06	179188
86 	23745.6	402751	1.36215e+06	175135
87 	18584.7	402867	1.06539e+06	173049
88 	18584.7	401819	1.09416e+06	170045
89 	18430.5	403642	1.18455e+06	171409
90 	16799.9	407544	1.20843e+06	173528
91 	16799.9	408197	1.18856e+06	174995
92 	16799.9	403958	1.17716e+06	173273
93 	16799.9	403397	1.17716e+06	176951
94 	16799.9	400019	1.13922e+06	168229
95 	16799.9	397091	1.13922e+06	166327
96 	16799.9	398854	1.13507e+06	165166
97 	16799.9	397117	1.20069e+06	168426
98 	16799.9	394287	1.14004e+06	166803
99 	16799.9	396143	1.14024e+06	174231
100	16799.9	398945	1.12588e+06	176567
101	16799.9	394689	1.28607e+06	175279
102	16799.9	397830	1.19258e+06	175978
103	15720.7	404972	1.28393e+06	188141
104	15720.7	405418	1.35562e+06	177800
105	15720.7	407822	1.21411e+06	181684
106	15720.7	405981	1.11559e+06	179619
107	15720.7	402258	1.27624e+06	181260
108	15720.7	403869	1.13281e+06	176982
109	15720.7	406901	1.29887e+06	184393
110	15720.7	412670	1.36975e+06	195581
111	15720.7	411862	1.53093e+06	189956
112	15720.7	411065	1.25415e+06	189061
113	15720.7	407737	1.22116e+06	186142
114	15720.7	406774	1.20056e+06	177931
115	15720.7	407797	1.12004e+06	177503
116	15720.7	407047	1.12505e+06	177317
117	15720.7	409156	1.36471e+06	186048
118	15720.7	406000	1.11384e+06	177786
119	15720.7	405553	1.2302e+06 	174617
120	15720.7	409470	1.22675e+06	185226
121	15720.7	411499	1.26129e+06	191725
122	15720.7	411167	1.34271e+06	192232
123	15720.7	409155	1.26546e+06	187610
124	15720.7	408200	1.22106e+06	179474
125	15720.7	414140	1.21954e+06	188669
126	15720.7	411813	1.22692e+06	190537
127	15720.7	410621	1.39798e+06	189769
128	15720.7	407977	1.17857e+06	183645
129	15720.7	412425	1.25296e+06	186437
130	15720.7	409867	1.1666e+06 	180366
131	15720.7	412017	1.49366e+06	183285
132	15720.7	414604	1.36653e+06	183057
133	15720.7	416890	1.36653e+06	189478
134	15720.7	416835	1.28391e+06	191740
135	15720.7	415063	1.23747e+06	187413
136	15720.7	413547	1.3175e+06 	188934
137	15720.7	417357	1.27272e+06	191872
138	15720.7	420524	1.19649e+06	194893
139	15720.7	420661	1.42124e+06	196033
140	15720.7	414587	1.27116e+06	190031
141	15720.7	415224	1.22544e+06	192236
142	15720.7	416565	1.72047e+06	197560
143	15720.7	418541	1.49503e+06	200278
144	15720.7	418908	1.3391e+06 	199717
145	15720.7	420294	1.41306e+06	196638
146	15720.7	421129	1.32333e+06	200470
147	15720.7	421697	1.30648e+06	203525
148	15720.7	421710	1.2831e+06 	207518
149	15720.7	420871	1.30355e+06	204301
150	15720.7	419962	1.23741e+06	195659
151	15720.7	417009	1.26671e+06	197982
152	15720.7	422981	1.52396e+06	210594
153	15720.7	416559	1.60657e+06	201194
154	15720.7	418908	1.31321e+06	196650
155	15720.7	420757	1.24127e+06	196588
156	15720.7	415175	1.27044e+06	190371
157	15720.7	418600	1.21806e+06	196083
158	15720.7	418221	1.29023e+06	199958
159	15720.7	419170	1.50831e+06	202978
160	15720.7	421220	1.50488e+06	203047
161	15720.7	424776	1.35641e+06	217657
162	15720.7	421899	1.38172e+06	208550
163	15720.7	420212	1.33607e+06	205715
164	15720.7	411796	1.41732e+06	199923
165	15720.7	414452	1.40926e+06	200332
166	15720.7	413383	1.48795e+06	204627
167	15704.9	411496	1.28397e+06	201469
168	14264.9	410251	1.25333e+06	195292
169	14264.9	413586	1.21455e+06	195480
170	11567.1	407928	1.14878e+06	187518
171	11567.1	410453	1.34182e+06	185631
172	11567.1	410734	1.15018e+06	177978
173	11567.1	412006	1.27765e+06	182855
174	11567.1	412176	1.35496e+06	184991
175	11567.1	409955	1.41918e+06	191016
176	11567.1	413187	1.33887e+06	195295
177	11567.1	407896	1.32594e+06	196605
178	11567.1	410659	1.44385e+06	195743
179	11567.1	411944	1.73893e+06	195368
180	11567.1	409220	1.42795e+06	189243
181	11567.1	408204	1.33652e+06	183629
182	11567.1	408521	1.25897e+06	184949
183	11567.1	409672	1.20005e+06	192703
184	11567.1	406260	1.17115e+06	187566
185	11567.1	411167	1.56149e+06	196845
186	11567.1	407801	1.43769e+06	193839
187	11567.1	407425	1.25509e+06	191470
