gen, min, avg, max, std, exp_number
0, -91.1947, -69.5689, -26.1387, 9.00681, 1
1, -91.1947, -69.6886, -24.6299, 8.80561, 1
2, -91.1947, -69.7636, -19.2569, 8.63042, 1
3, -91.1947, -69.823, -26.8002, 8.58577, 1
4, -91.1947, -69.8694, -32.3452, 8.21568, 1
5, -91.1947, -69.8748, -28.0788, 8.33638, 1
6, -91.1947, -69.6347, -33.3707, 8.42436, 1
7, -91.1947, -69.5605, -27.1317, 8.70574, 1
8, -91.1947, -69.4978, -26.5913, 8.73145, 1
9, -91.1947, -69.4349, -14.8781, 9.07203, 1
10, -91.1947, -69.2806, -22.229, 9.13652, 1
11, -91.1947, -69.3044, -25.9845, 9.11142, 1
12, -91.1947, -69.1257, -18.4817, 9.08041, 1
13, -91.1947, -68.9744, -24.4976, 9.34284, 1
14, -91.1947, -68.9989, -27.8287, 9.4155, 1
15, -91.1947, -69.1051, -31.4532, 9.28644, 1
16, -91.1947, -68.9651, -13.6489, 9.43899, 1
17, -91.1947, -69.0133, -31.5468, 9.19445, 1
18, -91.1947, -68.9692, -27.8302, 9.41109, 1
19, -91.1947, -68.7524, -23.3309, 9.4692, 1
20, -91.1947, -68.7365, -30.1491, 9.43894, 1
21, -91.1947, -68.7036, -26.6075, 9.6262, 1
22, -91.1947, -68.6289, -29.2645, 9.49326, 1
23, -91.1947, -68.5058, -28.767, 9.60028, 1
24, -91.1947, -68.3659, -8.40872, 9.71194, 1
25, -91.1947, -68.1694, -13.0186, 9.88096, 1
26, -91.1947, -68.0272, -19.6509, 10.0359, 1
27, -91.1947, -68.0094, -5.5693, 9.8658, 1
28, -91.1947, -67.9262, -3.52358, 9.98296, 1
29, -91.1947, -67.7167, -17.3989, 10.2546, 1
30, -91.1947, -67.838, -20.3453, 10.0978, 1
31, -91.1947, -67.8388, -21.6762, 10.1354, 1
32, -91.1947, -67.7517, -11.1437, 10.1847, 1
33, -91.1947, -67.6993, -19.6251, 9.8222, 1
34, -91.1947, -67.8009, -9.29992, 9.72012, 1
35, -91.1947, -67.6738, -15.3305, 9.97401, 1
36, -91.1947, -67.8643, -21.432, 9.8975, 1
37, -91.1947, -68.2085, -18.2662, 9.76264, 1
38, -91.1947, -68.0382, -7.78074, 9.69, 1
39, -91.1947, -67.7758, -12.3352, 9.88199, 1
40, -91.1947, -67.3379, -20.6906, 9.96228, 1
41, -91.1947, -67.379, -10.807, 10.2134, 1
42, -91.1947, -67.3939, -25.1988, 10.0744, 1
43, -91.1947, -67.364, -20.5254, 10.1735, 1
44, -91.1947, -67.1642, -23.2956, 10.5033, 1
45, -91.1947, -67.1261, -17.8545, 10.3518, 1
46, -91.1947, -67.2695, -24.7567, 10.2457, 1
47, -91.1947, -67.1121, -25.2931, 10.143, 1
48, -91.1947, -66.9706, -14.0427, 10.2331, 1
49, -91.1947, -67.1098, -16.9063, 10.0662, 1
50, -91.1947, -67.0491, -16.9063, 10.2576, 1
51, -91.1947, -66.8277, -9.23501, 10.6903, 1
52, -91.1947, -66.6926, -13.3982, 10.4564, 1
53, -91.1947, -66.9018, -8.46924, 10.1443, 1
54, -91.1947, -66.7914, -16.4292, 10.2249, 1
55, -91.1947, -66.6731, -16.775, 10.3263, 1
56, -91.1947, -66.6072, -12.3032, 10.5529, 1
57, -91.1947, -66.4086, -17.8607, 10.6097, 1
58, -91.1947, -66.2138, -11.449, 10.9175, 1
59, -91.1947, -66.27, -22.9397, 10.7134, 1
60, -91.1947, -66.0546, -13.85, 10.9238, 1
61, -91.1947, -65.9476, -12.4687, 10.973, 1
62, -91.1947, -66.1461, -3.02611, 11.0226, 1
63, -91.1947, -66.0169, -8.64914, 11.1151, 1
64, -91.1947, -66.1605, -5.01528, 11.1119, 1
65, -91.1947, -66.0554, -15.7763, 11.0596, 1
66, -91.1947, -65.6911, -2.01866, 11.2856, 1
67, -91.1947, -65.521, 1.78202, 11.6243, 1
68, -91.1947, -65.4517, -4.64198, 11.409, 1
69, -91.1947, -65.56, -1.9921, 11.3861, 1
70, -91.1947, -65.4663, -18.529, 11.2107, 1
71, -91.1947, -65.3249, -7.29985, 11.4564, 1
72, -91.1947, -65.3405, -15.1418, 11.2658, 1
73, -91.1947, -65.3767, -15.0638, 10.9132, 1
74, -91.1947, -65.6574, -12.3337, 10.8224, 1
