gen	min    	avg    	max    	std     
0  	92.0142	128.035	175.251	15.364  
1  	85.1718	104.714	124.383	6.99398 
2  	82.9307	94.0519	105.703	3.54969 
3  	81.8592	87.9505	97.8248	2.43952 
4  	80.7221	84.0876	90.3979	1.27375 
5  	80.5321	82.2878	88.9288	0.785088
6  	80.0695	81.3222	87.9279	0.729087
7  	79.8791	80.6462	89.2168	0.705375
8  	79.7613	80.1989	85.6116	0.496993
9  	79.6415	80.0117	88.2894	0.618085
10 	79.5797	79.8801	84.3186	0.503767
11 	79.571 	79.7474	85.0575	0.475502
12 	79.5292	79.6897	84.2891	0.468384
13 	79.5236	79.6219	84.7405	0.401993
14 	79.5205	79.6182	86.1279	0.544891
15 	79.5129	79.5759	83.386 	0.291037
16 	79.5074	79.5932	84.6117	0.437408
17 	79.5068	79.5846	84.6051	0.448382
18 	79.5068	79.6122	85.2146	0.538156
19 	79.5019	79.6047	86.1055	0.594551
20 	79.5019	79.5883	87.3499	0.510708
21 	79.5019	79.6452	87.017 	0.713931
22 	79.5019	79.6137	90.021 	0.720809
23 	79.5019	79.5635	84.2301	0.398836
24 	79.4963	79.5657	84.7042	0.413869
25 	79.4963	79.5796	85.9606	0.464468
26 	79.4955	79.6121	88.1041	0.58349 
27 	79.4955	79.5773	83.928 	0.455505
28 	79.4955	79.5671	84.7486	0.423121
29 	79.4936	79.623 	88.1103	0.747113
30 	79.4936	79.6066	86.4974	0.652535
31 	79.4922	79.5948	86.1729	0.589211
32 	79.4922	79.5576	85.1935	0.432458
33 	79.4913	79.5902	85.415 	0.537387
34 	79.4913	79.6078	86.8084	0.616713
35 	79.4913	79.5634	85.3266	0.421866
36 	79.4913	79.5678	86.0423	0.486264
37 	79.4913	79.5601	85.0369	0.405324
38 	79.4906	79.593 	85.3545	0.538534
39 	79.4906	79.6066	86.8022	0.659186
40 	79.4901	79.5601	85.0599	0.441824
41 	79.4901	79.5862	87.1411	0.540284
42 	79.4895	79.5702	87.0556	0.505117
43 	79.4895	79.5541	82.4914	0.335761
44 	79.4895	79.5684	84.2511	0.448201
45 	79.487 	79.5999	88.9637	0.650191
46 	79.487 	79.5669	85.499 	0.440639
47 	79.487 	79.5982	84.5835	0.539245
48 	79.4859	79.5852	87.2597	0.582481
49 	79.4859	79.5675	85.5007	0.463929
50 	79.4859	79.5813	84.2474	0.500041
51 	79.4859	79.5953	85.8616	0.55892 
52 	79.4859	79.5944	87.6834	0.6638  
53 	79.4859	79.5397	85.9349	0.353378
54 	79.4855	79.6153	87.4621	0.678837
55 	79.4851	79.5727	84.0336	0.474476
56 	79.4851	79.5636	84.2991	0.447256
57 	79.4851	79.5956	88.0815	0.645027
58 	79.4851	79.5861	86.6906	0.581907
59 	79.4851	79.5661	84.9126	0.481943
60 	79.4851	79.5892	87.3711	0.611238
61 	79.4842	79.6089	87.7499	0.71429 
62 	79.4838	79.6025	89.4456	0.759471
63 	79.4838	79.5448	83.3766	0.371175
64 	79.4838	79.5391	83.7253	0.365316
65 	79.4822	79.5728	85.8401	0.527852
66 	79.4822	79.5833	87.7738	0.609548
67 	79.4811	79.5368	83.2549	0.322396
68 	79.4811	79.5532	84.776 	0.420899
69 	79.4811	79.5913	85.6312	0.530126
70 	79.4811	79.5564	84.6862	0.456245
71 	79.4811	79.5396	83.2299	0.325253
72 	79.481 	79.5531	86.2444	0.457414
73 	79.481 	79.5401	84.06  	0.365372
74 	79.481 	79.5506	84.8194	0.433189
75 	79.481 	79.5701	88.5653	0.576232
76 	79.481 	79.5462	83.6826	0.376905
77 	79.481 	79.5727	85.2576	0.521588
78 	79.481 	79.5773	87.7544	0.627171
79 	79.481 	79.569 	83.6564	0.450623
80 	79.481 	79.5627	86.7137	0.55003 
81 	79.481 	79.562 	83.3034	0.423963
82 	79.481 	79.558 	86.7632	0.503707
83 	79.481 	79.5482	86.0248	0.439192
84 	79.481 	79.5735	84.045 	0.471017
85 	79.481 	79.568 	84.992 	0.507384
86 	79.481 	79.5922	87.2238	0.636489
87 	79.481 	79.5572	84.7561	0.408796
88 	79.481 	79.5662	85.1089	0.468651
89 	79.4809	79.5762	87.0957	0.516509
90 	79.4809	79.5457	84.4065	0.398979
91 	79.4809	79.5539	84.8085	0.435166
92 	79.4803	79.5737	85.1084	0.530066
93 	79.4803	79.5697	86.9798	0.520199
94 	79.4803	79.6152	86.8867	0.702869
95 	79.4803	79.5684	87.4558	0.595324
96 	79.4802	79.5711	86.1321	0.497859
97 	79.4802	79.5732	87.3994	0.515889
98 	79.4802	79.579 	85.7221	0.568723
99 	79.4802	79.6006	86.1118	0.593755
100	79.4802	79.5801	86.0736	0.572726
101	79.4802	79.5945	85.3691	0.546443
102	79.4802	79.5593	88.349 	0.537767
103	79.4801	79.6055	89.5247	0.740229
104	79.4801	79.6102	90.7358	0.72144 
105	79.4801	79.5661	85.6322	0.508975
106	79.4801	79.5881	89.1128	0.61025 
107	79.4801	79.5568	86.4078	0.461991
108	79.4801	79.5645	85.7766	0.488012
109	79.4801	79.55  	85.0143	0.39997 
110	79.4801	79.567 	84.32  	0.491179
111	79.4801	79.5746	85.4662	0.54648 
112	79.4801	79.5629	86.1959	0.483286
113	79.4801	79.5404	83.3351	0.354233
114	79.4801	79.5787	85.172 	0.497971
115	79.4801	79.5673	84.6745	0.476152
116	79.4801	79.5603	83.7612	0.438951
117	79.4801	79.6003	88.7913	0.710759
118	79.4801	79.5413	84.8551	0.394737
119	79.4801	79.5939	87.9074	0.631637
120	79.4801	79.5683	85.5058	0.512446
121	79.4801	79.554 	85.4184	0.447029
122	79.4801	79.5955	88.3286	0.658372
123	79.4801	79.5818	84.8875	0.546302
124	79.4801	79.5693	85.3669	0.464315
125	79.4801	79.5736	88.3014	0.595955
126	79.4801	79.5698	86.2984	0.545843
127	79.4801	79.5808	85.1592	0.55595 
128	79.4801	79.6098	85.7086	0.65897 
129	79.4801	79.5772	85.4197	0.563983
130	79.4801	79.5646	87.5608	0.525091
131	79.4801	79.5613	84.9037	0.480698
132	79.4801	79.5711	86.0581	0.567832
133	79.4801	79.5558	84.6509	0.430953
134	79.4801	79.5748	85.5138	0.541234
135	79.4801	79.5718	87.9623	0.575397
136	79.4801	79.5531	84.2423	0.472367
137	79.4801	79.5694	84.7245	0.493046
138	79.4801	79.5579	84.793 	0.449121
139	79.4801	79.5471	82.8902	0.349684
140	79.4801	79.5837	86.2644	0.537294
141	79.4801	79.5823	85.0076	0.535413
142	79.4801	79.5412	86.5429	0.411913
143	79.4801	79.573 	85.0567	0.521546
144	79.4801	79.5476	85.1881	0.435091
145	79.4801	79.5815	88.1093	0.660008
146	79.4801	79.573 	90.6637	0.617799
147	79.4801	79.5622	83.1633	0.41809 
148	79.4801	79.5648	88.6061	0.570406
149	79.4801	79.5387	86.0309	0.433622
150	79.4801	79.5466	84.8338	0.421854
151	79.4801	79.6018	86.9763	0.668109
152	79.4801	79.555 	83.7335	0.449918
153	79.4801	79.5683	85.2646	0.515535
154	79.4801	79.5684	86.8752	0.577509
155	79.4801	79.6062	88.1146	0.686391
156	79.4801	79.5689	86.2094	0.525224
157	79.4801	79.5678	86.8867	0.546978
158	79.4801	79.5593	85.4915	0.470104
159	79.4801	79.5789	85.8156	0.542474
160	79.4801	79.5605	85.1781	0.471661
161	79.4801	79.5724	89.0607	0.608501
162	79.4801	79.5879	86.2871	0.604159
163	79.4801	79.5563	84.1823	0.420518
164	79.4801	79.5645	86.588 	0.537563
165	79.4801	79.592 	91.6926	0.690984
166	79.4801	79.5618	85.981 	0.512045
167	79.4801	79.6059	86.2394	0.609956
168	79.4801	79.5565	83.0469	0.404963
169	79.4801	79.5824	89.1831	0.582308
170	79.4801	79.6071	89.161 	0.720547
171	79.4801	79.5533	86.3261	0.456973
172	79.4801	79.5974	88.1162	0.673697
173	79.4801	79.5734	84.2488	0.485586
174	79.4801	79.557 	85.09  	0.441865
175	79.4801	79.58  	85.6042	0.546693
176	79.4801	79.5379	84.9577	0.403894
177	79.4801	79.5334	85.9498	0.381302
178	79.4801	79.5604	84.8923	0.473207
179	79.4801	79.5787	86.8717	0.537231
180	79.4801	79.5673	86.6899	0.511398
181	79.4801	79.5776	85.2076	0.553351
182	79.4801	79.5457	84.3506	0.388476
183	79.4801	79.5764	87.4555	0.601852
184	79.4801	79.5834	86.1597	0.571833
185	79.48  	79.5749	86.0053	0.477321
186	79.48  	79.57  	86.249 	0.520051
187	79.48  	79.5354	82.9355	0.324932
188	79.48  	79.5679	85.0137	0.49685 
189	79.48  	79.5541	84.1325	0.43832 
190	79.48  	79.5884	90.8887	0.65674 
191	79.48  	79.5478	84.9568	0.450755
192	79.48  	79.5528	85.0711	0.476218
193	79.48  	79.5751	85.6268	0.532188
194	79.48  	79.5615	86.241 	0.485984
195	79.48  	79.5402	86.6263	0.394519
196	79.48  	79.6118	87.6115	0.647999
197	79.48  	79.5911	85.8662	0.599514
198	79.48  	79.5776	86.0002	0.541172
199	79.48  	79.5523	86.454 	0.496706
200	79.48  	79.5854	85.8935	0.568295
201	79.48  	79.5469	84.4663	0.417659
202	79.48  	79.5565	86.9748	0.482821
203	79.48  	79.5787	85.3253	0.523517
204	79.48  	79.5993	88.3735	0.685281
205	79.48  	79.5394	82.9006	0.334297
206	79.48  	79.5759	84.9716	0.511242
207	79.48  	79.556 	86.0018	0.507648
208	79.48  	79.5654	85.4376	0.48329 
209	79.48  	79.5601	86.3133	0.539114
210	79.48  	79.5615	86.348 	0.545757
211	79.48  	79.5845	86.5981	0.603058
212	79.48  	79.6067	91.5319	0.789985
213	79.48  	79.5755	85.3145	0.495644
214	79.48  	79.5453	86.2187	0.460371
215	79.48  	79.5909	83.9616	0.525548
216	79.48  	79.5576	84.3645	0.432809
217	79.48  	79.5669	85.3452	0.504844
218	79.48  	79.5768	86.0004	0.550559
219	79.48  	79.5717	86.4181	0.520729
220	79.48  	79.5776	85.8462	0.54662 
221	79.48  	79.5317	85.7869	0.394385
222	79.48  	79.6028	87.15  	0.651109
223	79.48  	79.5273	83.243 	0.294454
224	79.48  	79.5463	84.1622	0.391237
225	79.48  	79.5885	85.6253	0.57933 
226	79.48  	79.5592	86.2865	0.481327
227	79.48  	79.5859	88.2723	0.646233
228	79.48  	79.5743	85.8029	0.570813
229	79.48  	79.5636	86.4678	0.501629
230	79.48  	79.5721	86.2835	0.569319
231	79.48  	79.5651	84.6005	0.500768
232	79.48  	79.5645	84.6214	0.49516 
233	79.48  	79.5735	88.4809	0.639884
234	79.48  	79.543 	83.5946	0.403876
235	79.48  	79.5757	84.5027	0.531931
236	79.48  	79.5769	88.3286	0.63472 
237	79.48  	79.5734	84.7372	0.490543
238	79.48  	79.5959	87.7787	0.660076
239	79.48  	79.5673	87.8867	0.544204
240	79.48  	79.5617	84.8323	0.478802
241	79.48  	79.5439	84.7504	0.428772
242	79.48  	79.5507	84.6048	0.412583
243	79.48  	79.5905	86.297 	0.584892
244	79.48  	79.5699	87.1461	0.508296
245	79.48  	79.5755	85.1929	0.514797
246	79.48  	79.5427	84.4521	0.396514
247	79.48  	79.5775	86.574 	0.603475
248	79.48  	79.5306	84.4131	0.344915
249	79.48  	79.595 	85.3421	0.596703
250	79.48  	79.5802	85.703 	0.553382
251	79.48  	79.5581	85.7521	0.464419
252	79.48  	79.5871	86.2707	0.57598 
253	79.48  	79.5797	90.1624	0.643139
254	79.48  	79.5484	84.5542	0.414755
255	79.48  	79.5778	86.4646	0.571927
256	79.48  	79.6075	86.0895	0.660594
257	79.48  	79.5594	87.6068	0.495276
258	79.48  	79.5862	84.7995	0.558037
259	79.48  	79.5667	86.0442	0.58459 
260	79.48  	79.5466	86.639 	0.464892
261	79.48  	79.5575	85.2031	0.452145
262	79.48  	79.5517	89.2694	0.499203
263	79.48  	79.566 	87.6235	0.55107 
264	79.48  	79.5723	85.2998	0.491254
265	79.48  	79.5745	85.3527	0.506018
266	79.48  	79.5484	86.6718	0.451374
267	79.48  	79.5541	84.8981	0.417596
268	79.48  	79.5502	85.5731	0.457436
269	79.48  	79.5566	88.3412	0.54393 
270	79.48  	79.5712	84.6968	0.475153
271	79.48  	79.5946	88.0598	0.702977
272	79.48  	79.5526	83.4306	0.410624
273	79.48  	79.5577	84.9012	0.464976
274	79.48  	79.5573	83.9332	0.418415
275	79.48  	79.567 	86.4702	0.496637
276	79.48  	79.5795	85.0735	0.552247
277	79.48  	79.5931	86.2383	0.618284
278	79.48  	79.5813	88.3315	0.635192
279	79.48  	79.6064	86.2765	0.653396
280	79.48  	79.5644	86.5809	0.501285
281	79.48  	79.553 	87.3111	0.443227
282	79.48  	79.5526	85.4968	0.469394
283	79.48  	79.6082	87.022 	0.67076 
284	79.48  	79.6011	85.8449	0.652884
285	79.48  	79.5548	84.7446	0.407102
286	79.48  	79.5769	86.3371	0.577127
287	79.48  	79.5915	85.1307	0.538448
288	79.48  	79.5482	84.9519	0.417419
289	79.48  	79.5625	85.7532	0.464523
290	79.48  	79.5529	84.7213	0.410414
291	79.48  	79.5462	85.78  	0.421079
292	79.48  	79.5616	88.2654	0.541713
293	79.48  	79.5574	86.153 	0.506627
294	79.48  	79.578 	87.1289	0.546114
295	79.48  	79.5567	83.8146	0.403112
296	79.48  	79.6147	89.4691	0.747945
297	79.48  	79.5517	84.5684	0.412683
298	79.48  	79.5705	85.748 	0.526603
299	79.48  	79.5946	89.5915	0.672945
300	79.48  	79.5749	85.9557	0.529013
301	79.48  	79.5684	85.3927	0.495862
302	79.48  	79.584 	87.0616	0.636195
303	79.48  	79.5771	84.9938	0.547258
304	79.48  	79.5406	83.9323	0.38506 
305	79.48  	79.5628	84.4842	0.461582
306	79.48  	79.558 	84.0723	0.414288
307	79.48  	79.5491	85.3766	0.409627
308	79.48  	79.5563	85.1458	0.444593
309	79.48  	79.5634	84.7231	0.501988
310	79.48  	79.5777	86.0707	0.571113
311	79.48  	79.5563	86.8324	0.514445
312	79.48  	79.5393	83.3474	0.34719 
313	79.48  	79.5704	86.0069	0.500721
314	79.48  	79.5432	85.382 	0.412985
315	79.48  	79.5646	85.1515	0.515101
316	79.48  	79.608 	89.0083	0.664117
317	79.48  	79.5732	85.7319	0.516963
318	79.48  	79.543 	85.5357	0.449731
319	79.48  	79.5524	86.1415	0.519454
320	79.48  	79.5702	87.1821	0.54198 
321	79.48  	79.5907	86.5934	0.658139
322	79.48  	79.5845	84.8239	0.552521
323	79.48  	79.5929	85.7883	0.564239
324	79.48  	79.5338	83.7164	0.336177
325	79.48  	79.5708	85.5842	0.504755
326	79.48  	79.5523	86.5578	0.492371
327	79.48  	79.5844	88.9291	0.655673
328	79.48  	79.583 	85.8197	0.507089
329	79.48  	79.5732	86.3919	0.538315
330	79.48  	79.5669	86.0963	0.533922
331	79.48  	79.5739	86.2794	0.579236
332	79.48  	79.5325	85.8505	0.394195
333	79.48  	79.5984	86.421 	0.664092
334	79.48  	79.5664	92.7579	0.629443
335	79.48  	79.5731	87.3024	0.531214
336	79.48  	79.5685	85.3433	0.519162
337	79.48  	79.5707	85.4632	0.534924
338	79.48  	79.5967	88.3308	0.702701
339	79.48  	79.5628	84.0756	0.446587
340	79.48  	79.5558	85.3558	0.479389
341	79.48  	79.5836	85.2996	0.560453
342	79.48  	79.5962	86.2285	0.614694
343	79.48  	79.5653	86.5147	0.535412
344	79.48  	79.5611	84.6566	0.489912
345	79.48  	79.5594	84.4632	0.426977
346	79.48  	79.5297	85.1505	0.342103
347	79.48  	79.5811	85.5257	0.528648
348	79.48  	79.5568	85.6301	0.450591
349	79.48  	79.5885	89.508 	0.662196
350	79.48  	79.5471	84.2423	0.435205
351	79.48  	79.5905	85.6393	0.588978
352	79.48  	79.5579	85.7265	0.477477
353	79.48  	79.5626	83.8236	0.461297
354	79.48  	79.5598	84.6277	0.44489 
355	79.48  	79.5538	86.1523	0.464469
356	79.48  	79.6247	87.1114	0.735361
357	79.48  	79.5622	83.8106	0.454657
358	79.48  	79.5621	84.3656	0.444236
359	79.48  	79.5488	85.1349	0.440496
360	79.48  	79.5996	88.6288	0.705402
361	79.48  	79.5997	86.5239	0.608469
362	79.48  	79.5698	87.1542	0.542052
363	79.48  	79.5868	88.2811	0.566267
364	79.48  	79.5661	87.0599	0.5615  
365	79.48  	79.5634	88.0283	0.506324
366	79.48  	79.5375	83.5092	0.318246
367	79.48  	79.5737	84.4769	0.486913
368	79.48  	79.585 	87.1503	0.56145 
369	79.48  	79.5704	84.3262	0.510085
370	79.48  	79.5459	86.4602	0.462195
371	79.48  	79.5578	86.718 	0.495827
372	79.48  	79.5634	85.7122	0.530249
373	79.48  	79.5692	87.2604	0.527499
374	79.48  	79.5869	86.4572	0.600803
375	79.48  	79.5681	87.2575	0.554711
376	79.48  	79.5621	84.957 	0.465014
377	79.48  	79.5653	84.5108	0.476075
378	79.48  	79.5743	84.5933	0.458995
379	79.48  	79.5962	86.6868	0.635159
380	79.48  	79.5612	84.5099	0.475302
381	79.48  	79.5877	84.8999	0.545645
382	79.48  	79.6074	87.962 	0.724943
383	79.48  	79.5484	84.5677	0.450717
384	79.48  	79.5896	85.3398	0.595476
385	79.48  	79.5614	86.2427	0.487343
386	79.48  	79.5801	85.9399	0.588438
387	79.48  	79.6023	86.375 	0.655287
388	79.48  	79.5588	84.2564	0.428969
389	79.48  	79.5313	83.9554	0.353769
390	79.48  	79.5321	84.1855	0.326601
391	79.48  	79.5403	83.379 	0.358838
392	79.48  	79.5943	86.9443	0.642864
393	79.48  	79.5378	85.3737	0.398883
394	79.48  	79.5619	84.0315	0.438136
395	79.48  	79.5468	86.296 	0.468261
396	79.48  	79.5482	85.1272	0.377814
397	79.48  	79.5735	87.6689	0.542051
398	79.48  	79.5817	87.0315	0.584739
399	79.48  	79.5781	85.9327	0.569742
400	79.48  	79.6069	86.814 	0.683398
401	79.48  	79.6064	89.5   	0.743856
402	79.48  	79.5436	84.1755	0.399725
403	79.48  	79.5474	83.6911	0.403939
404	79.48  	79.5484	85.082 	0.418665
405	79.48  	79.5343	84.3669	0.346735
406	79.48  	79.605 	87.5888	0.722073
407	79.48  	79.5497	84.2203	0.438473
408	79.48  	79.5657	84.8714	0.479748
409	79.48  	79.5681	85.9775	0.518353
410	79.48  	79.5494	85.5847	0.47887 
411	79.48  	79.5625	84.9194	0.495993
412	79.48  	79.5526	83.5014	0.43538 
413	79.48  	79.5909	84.9611	0.54658 
414	79.48  	79.5776	87.1345	0.544508
415	79.48  	79.6168	88.2481	0.788031
416	79.48  	79.5894	86.3229	0.546371
417	79.48  	79.5322	83.9813	0.334828
418	79.48  	79.5805	86.9632	0.550273
419	79.48  	79.5514	88.2851	0.545623
420	79.48  	79.6015	88.4911	0.726742
421	79.48  	79.5718	83.7576	0.462427
422	79.48  	79.5717	85.3575	0.493392
423	79.48  	79.606 	87.3199	0.674115
424	79.48  	79.5517	83.4075	0.397036
425	79.48  	79.5669	85.3332	0.487746
426	79.48  	79.5676	85.6844	0.542823
427	79.48  	79.5474	84.1698	0.385185
428	79.48  	79.5711	86.5966	0.556836
429	79.48  	79.5788	86.6651	0.592389
430	79.48  	79.5652	85.2653	0.469803
431	79.48  	79.5535	85.3027	0.459597
432	79.48  	79.5834	84.1723	0.515955
433	79.48  	79.562 	83.7745	0.4045  
434	79.48  	79.5637	84.9122	0.467614
435	79.48  	79.5388	83.9575	0.360487
436	79.48  	79.5476	83.8731	0.395605
437	79.48  	79.5731	85.1891	0.464817
438	79.48  	79.589 	89.1604	0.67566 
439	79.48  	79.569 	84.6989	0.464031
440	79.48  	79.5592	85.282 	0.459728
441	79.48  	79.5573	83.659 	0.412223
442	79.48  	79.5625	85.1893	0.504151
443	79.48  	79.5383	84.4877	0.366926
444	79.48  	79.5882	86.9645	0.633425
445	79.48  	79.6159	87.5931	0.687349
446	79.48  	79.5707	85.6864	0.529053
447	79.48  	79.5844	87.0035	0.583528
448	79.48  	79.5904	90.2754	0.705541
449	79.48  	79.5535	88.3387	0.530723
450	79.48  	79.5757	87.0355	0.515152
451	79.48  	79.5857	87.1676	0.579446
452	79.48  	79.5637	86.0279	0.541745
453	79.48  	79.5897	85.5846	0.583709
454	79.48  	79.544 	84.6343	0.397963
455	79.48  	79.5582	85.9672	0.481574
456	79.48  	79.5881	84.5111	0.564854
457	79.48  	79.5894	88.9791	0.688323
458	79.48  	79.5628	83.8995	0.455202
459	79.48  	79.5699	86.083 	0.508073
460	79.48  	79.5779	87.1609	0.545448
461	79.48  	79.6221	85.9925	0.705922
462	79.48  	79.5817	90.4459	0.6616  
463	79.48  	79.5562	83.9004	0.406798
464	79.48  	79.5679	87.5625	0.591904
465	79.48  	79.5569	84.3065	0.462233
466	79.48  	79.5337	84.0581	0.362211
467	79.48  	79.5716	88.6693	0.612441
468	79.48  	79.56  	85.0929	0.461762
469	79.48  	79.5767	85.7265	0.537455
470	79.48  	79.5755	85.6157	0.544099
471	79.48  	79.5841	87.4217	0.609244
472	79.48  	79.5703	86.1669	0.503236
473	79.48  	79.5792	85.9449	0.519005
474	79.48  	79.5812	88.1356	0.590108
475	79.48  	79.542 	84.403 	0.362546
476	79.48  	79.5821	88.8377	0.585205
477	79.48  	79.5486	85.6287	0.385325
478	79.48  	79.5323	84.7663	0.356197
479	79.48  	79.5611	85.3619	0.461812
480	79.48  	79.5842	86.9273	0.628471
481	79.48  	79.5703	84.6656	0.492172
482	79.48  	79.5629	84.4154	0.44243 
483	79.48  	79.54  	83.8356	0.357196
484	79.48  	79.5253	82.9581	0.293536
485	79.48  	79.5511	85.0972	0.422415
486	79.48  	79.5829	86.4986	0.583898
487	79.48  	79.5446	87.2576	0.450349
488	79.48  	79.5527	84.4215	0.426097
489	79.48  	79.5884	84.8174	0.561985
490	79.48  	79.6039	86.2446	0.634346
491	79.48  	79.559 	86.618 	0.535665
492	79.48  	79.5474	86.3926	0.428529
493	79.48  	79.5566	84.1118	0.438581
494	79.48  	79.6124	86.769 	0.685293
495	79.48  	79.5842	88.6765	0.633086
496	79.48  	79.5766	86.1273	0.560609
497	79.48  	79.582 	84.6982	0.510481
498	79.48  	79.5566	85.8132	0.450201
499	79.48  	79.6115	89.1863	0.712887
