gen	min     	avg    	max    	std    
0  	-9.41254	21.7061	190.669	21.3778
1  	-9.41254	21.5641	157.367	20.0685
2  	-9.41254	21.3648	177.613	20.6319
3  	-9.41254	20.8083	110.177	18.4778
4  	-9.41254	20.8628	140.677	18.3697
5  	-9.41254	21.4558	160.849	20.6651
6  	-9.41254	21.2605	160.849	21.2612
7  	-9.41254	21.0641	154.597	21.2394
8  	-9.41254	21.2956	133.234	20.9382
9  	-9.41254	21.389 	154.983	21.2096
10 	-9.41254	21.378 	129.445	19.9538
11 	-9.41254	20.8873	134.812	19.6683
12 	-9.41254	21.0133	137.028	19.9917
13 	-9.41254	20.8367	154.127	19.8672
14 	-9.41254	20.9293	129.438	19.7429
15 	-9.41254	20.5994	127.334	18.6787
16 	-9.41254	21.2501	162.681	20.9542
17 	-9.41254	20.7248	141.136	19.8739
18 	-9.41254	20.7283	141.136	19.2492
19 	-9.41254	20.6617	155.43 	19.9688
20 	-9.41254	20.9178	132.115	19.8281
21 	-9.41254	21.2275	142.414	20.3782
22 	-9.41254	21.8867	156.818	21.1255
23 	-9.41254	21.241 	180.688	20.7368
24 	-9.41254	20.7349	148.004	19.7513
25 	-9.41254	21.303 	142.795	20.0276
26 	-9.41254	21.6213	148.697	21.1174
27 	-9.41254	21.4664	161.553	20.7678
28 	-9.41254	21.3681	136.436	20.2905
29 	-9.41254	21.2118	171.274	21.0874
30 	-9.41254	21.3606	179.855	21.4614
31 	-9.41254	20.6214	126.323	19.4157
32 	-9.41254	20.9304	148.306	20.3221
33 	-9.41254	21.8561	292.028	23.4767
34 	-9.41254	22.7658	287.124	23.8748
35 	-9.41254	22.6407	173.011	22.0984
36 	-9.41254	22.4709	154.128	22.3186
37 	-9.41254	22.2499	140.106	22.6406
38 	-9.41254	22.5323	179.377	23.6649
39 	-9.41254	22.5209	170.955	22.32  
40 	-9.41254	22.7369	168.443	22.8301
41 	-9.41254	22.0493	150.755	20.4345
42 	-9.41254	22.0308	167.92 	21.775 
43 	-9.41254	21.9324	150.821	21.4074
44 	-9.41254	21.7689	141.595	20.7912
45 	-9.41254	21.5439	131.535	20.2148
46 	-9.41254	21.2333	120.281	19.9553
47 	-9.41254	21.4724	107.04 	20.187 
48 	-9.41254	21.5651	168.793	20.741 
49 	-9.41254	21.479 	192.402	21.3389
50 	-9.41254	21.131 	141.087	19.9172
51 	-9.41254	21.6899	135.767	21.435 
52 	-9.41254	21.8929	142.56 	21.9674
53 	-9.41254	21.2671	151.103	21.6192
54 	-9.41254	20.8343	145.566	20.8995
55 	-9.41254	20.951 	146.349	20.9827
56 	-9.41254	20.5766	155.259	20.1637
57 	-9.41254	21.2459	155.259	21.0209
58 	-9.41254	21.0848	125.299	20.3545
59 	-9.41254	20.751 	150.359	19.9717
60 	-9.41254	21.3012	160.771	21.0887
61 	-9.41254	21.6486	160.993	21.2876
62 	-9.41254	20.7995	123.99 	19.2608
63 	-9.41254	20.9769	160.588	20.2232
64 	-9.41254	21.3661	148.596	21.09  
65 	-9.41254	21.1422	162.472	20.9476
