gen	min    	avg    	max    	std    
0  	260.94 	780.924	991.858	71.3119
1  	260.721	779.839	990.547	72.5658
2  	260.721	778.936	948.92 	73.1895
3  	260.721	778.156	974.547	74.9614
4  	260.721	777.323	948.277	74.0377
5  	260.721	776.366	974.388	76.492 
6  	260.721	775.349	962.877	78.03  
7  	260.721	774.478	957.342	80.5581
8  	260.721	773.595	967.065	80.9458
9  	260.721	772.62 	967.065	80.1143
10 	260.721	771.791	944.829	82.546 
11 	260.721	770.898	956.185	84.07  
12 	260.721	770.012	959.131	84.2139
13 	259.524	768.95 	977.779	84.6991
14 	259.524	768.009	969.144	83.4212
15 	259.524	767.063	959.416	83.7555
16 	259.524	766.3  	969.06 	85.1199
17 	259.524	765.542	972.848	84.2643
18 	259.524	764.753	986.437	85.4064
19 	259.524	763.959	987.825	84.5823
20 	259.524	763.006	974.715	83.9161
21 	259.524	762.094	955.99 	83.7431
22 	259.524	761.003	960.774	81.7674
23 	259.524	760.189	960.774	81.3722
24 	254.564	759.391	965.806	82.8707
25 	254.564	758.336	958.944	83.506 
26 	254.564	757.386	965.63 	82.1451
27 	254.564	756.395	975.959	80.944 
28 	254.564	755.598	985.131	81.5439
29 	254.564	754.616	969.188	80.9637
30 	254.564	753.736	963.011	80.0825
31 	254.564	752.835	945.986	80.8295
32 	254.564	751.803	930.877	80.2016
33 	254.564	750.913	966.985	81.2809
34 	254.564	750.061	967.164	81.9541
35 	254.564	749.262	955.052	82.3153
36 	246.652	748.372	955.478	81.6147
37 	246.652	747.51 	955.052	82.6029
38 	246.652	746.545	955.052	83.5002
39 	246.652	745.543	945.906	81.7477
40 	246.652	744.489	947.699	80.6339
41 	246.652	743.607	948.185	80.3394
42 	246.652	742.705	952.848	82.1853
43 	246.652	741.864	950.565	82.4054
44 	246.652	741.103	956.676	82.3837
45 	246.652	740.035	953.185	82.7998
46 	246.652	738.992	926.541	81.6192
47 	246.652	738.114	933.566	80.993 
48 	246.652	737.315	924.614	82.2221
49 	246.652	736.376	938.591	81.9583
50 	246.652	735.6  	951.7  	82.5998
51 	246.652	734.68 	906.67 	82.0994
52 	246.652	733.655	927.194	80.7535
53 	246.652	732.959	927.641	80.2504
54 	246.652	732.194	929.64 	81.0732
55 	246.652	731.512	923.055	81.9225
56 	246.652	730.85 	932.303	81.3859
57 	246.652	730.101	934.35 	82.9728
58 	246.652	729.2  	927.341	83.0584
59 	246.652	728.064	944.219	82.758 
60 	246.652	727.258	944.219	82.856 
61 	246.652	726.312	912.185	83.7488
62 	246.652	725.32 	939.484	84.0799
63 	246.652	724.432	942.652	85.0565
64 	246.652	723.452	927.614	85.4289
65 	246.652	722.664	917.178	85.0062
66 	246.652	721.837	915.679	84.8567
67 	246.652	720.944	916.833	85.4839
68 	246.652	720.13 	912.756	85.1366
69 	246.652	719.263	915.624	84.7589
70 	246.652	718.352	915.083	83.8418
