gen	min    	avg        	max        	std   
0  	10281  	1.74918e+06	3.19034e+06	478155
1  	10281  	1.7466e+06 	3.07022e+06	476201
2  	10281  	1.73781e+06	3.1728e+06 	471382
3  	10281  	1.73728e+06	3.17938e+06	470038
4  	10281  	1.73646e+06	3.06302e+06	478636
5  	10281  	1.73984e+06	3.15431e+06	484777
6  	10281  	1.73642e+06	3.44673e+06	489407
7  	10281  	1.74225e+06	3.1569e+06 	496512
8  	10281  	1.73675e+06	3.01367e+06	491541
9  	10281  	1.7426e+06 	3.02149e+06	486270
10 	10281  	1.73856e+06	3.14736e+06	500431
11 	10281  	1.73726e+06	3.05449e+06	505412
12 	10281  	1.74116e+06	3.01692e+06	501991
13 	10281  	1.7324e+06 	3.13503e+06	498733
14 	10281  	1.72839e+06	3.12177e+06	501998
15 	10281  	1.72435e+06	3.18913e+06	504647
16 	10205.9	1.72048e+06	3.1411e+06 	493853
17 	10205.9	1.71868e+06	3.1411e+06 	486557
18 	10205.9	1.71212e+06	3.28971e+06	481452
19 	10205.9	1.71151e+06	3.16486e+06	475016
20 	10205.9	1.69621e+06	3.23465e+06	460394
21 	10205.9	1.70541e+06	3.16225e+06	462399
22 	10205.9	1.6999e+06 	3.01683e+06	461348
23 	8965.89	1.69851e+06	3.11536e+06	468514
24 	8965.89	1.69529e+06	3.05684e+06	475219
25 	8965.89	1.68667e+06	3.14067e+06	487037
26 	8965.89	1.68225e+06	3.12903e+06	474775
27 	8965.89	1.67995e+06	3.05704e+06	479076
28 	8965.89	1.67983e+06	3.10312e+06	479091
29 	8965.89	1.67688e+06	3.1296e+06 	476548
30 	7394.15	1.67567e+06	3.1307e+06 	477254
31 	7394.15	1.67551e+06	3.15761e+06	483792
32 	7394.15	1.66907e+06	3.12927e+06	491206
33 	7394.15	1.66631e+06	3.25164e+06	494680
34 	7394.15	1.6668e+06 	3.28435e+06	490704
35 	7394.15	1.6585e+06 	3.16992e+06	483412
36 	7394.15	1.66153e+06	3.24508e+06	475120
37 	7394.15	1.6551e+06 	3.0295e+06 	471944
38 	7394.15	1.65431e+06	3.08236e+06	477604
39 	7394.15	1.65691e+06	3.02395e+06	473067
40 	7394.15	1.65326e+06	3.02821e+06	461467
41 	7394.15	1.65186e+06	3.02459e+06	469994
42 	7394.15	1.64991e+06	3.2739e+06 	477147
43 	7394.15	1.646e+06  	3.17453e+06	475960
44 	7394.15	1.65277e+06	3.21767e+06	478633
45 	7394.15	1.64601e+06	3.14194e+06	484978
46 	6921.67	1.6399e+06 	3.08149e+06	482923
47 	6921.67	1.63729e+06	3.0755e+06 	472716
48 	6921.67	1.63064e+06	3.0357e+06 	474816
49 	6921.67	1.62867e+06	3.00079e+06	470082
50 	6921.67	1.62682e+06	3.05699e+06	468550
51 	6921.67	1.62292e+06	3.06475e+06	478454
52 	6921.67	1.62899e+06	2.96032e+06	472538
53 	6921.67	1.62209e+06	2.92517e+06	478661
54 	6921.67	1.61103e+06	2.98356e+06	475841
55 	6921.67	1.61045e+06	3.03983e+06	472303
56 	6921.67	1.61246e+06	3.03983e+06	469901
57 	6921.67	1.61167e+06	2.98016e+06	463868
58 	6921.67	1.6103e+06 	2.98016e+06	474790
59 	6921.67	1.60658e+06	2.94641e+06	479821
60 	6921.67	1.60388e+06	2.99996e+06	481062
61 	6921.67	1.59755e+06	3.16866e+06	476329
62 	6921.67	1.59294e+06	3.04759e+06	474086
63 	6921.67	1.59505e+06	3.0943e+06 	474590
64 	6921.67	1.58684e+06	3.03718e+06	481607
65 	6921.67	1.5907e+06 	3.01052e+06	472333
66 	6921.67	1.59207e+06	3.25911e+06	460682
67 	6921.67	1.58588e+06	3.22682e+06	448510
68 	6921.67	1.58628e+06	3.09671e+06	464830
69 	6921.67	1.58188e+06	2.99349e+06	461638
70 	3820.21	1.57744e+06	2.96345e+06	455304
71 	3820.21	1.56918e+06	3.00265e+06	455642
72 	3820.21	1.57717e+06	3.02763e+06	465599
73 	3820.21	1.57414e+06	3.04315e+06	469755
74 	3820.21	1.56857e+06	3.04315e+06	463834
75 	3820.21	1.56334e+06	3.08229e+06	470013
76 	3820.21	1.55927e+06	3.11522e+06	472824
77 	3820.21	1.56214e+06	3.14555e+06	468728
78 	3820.21	1.55731e+06	3.03272e+06	466933
79 	3820.21	1.55594e+06	3.04104e+06	471324
80 	3820.21	1.55641e+06	3.0207e+06 	469136
81 	3820.21	1.55006e+06	2.98572e+06	467498
82 	3820.21	1.54583e+06	3.08299e+06	472035
83 	3820.21	1.54557e+06	2.93369e+06	480596
84 	3820.21	1.54001e+06	2.93369e+06	475907
85 	3820.21	1.54549e+06	2.93201e+06	483805
86 	3820.21	1.54219e+06	2.9852e+06 	485161
87 	3820.21	1.53799e+06	3.0191e+06 	482398
88 	3820.21	1.53716e+06	3.14526e+06	480909
89 	3820.21	1.5385e+06 	2.79447e+06	476325
90 	3820.21	1.52909e+06	3.06818e+06	482080
91 	3820.21	1.53089e+06	2.91243e+06	482757
92 	3820.21	1.53378e+06	2.87061e+06	494578
93 	3820.21	1.5357e+06 	3.00973e+06	489188
94 	3820.21	1.53307e+06	3.00293e+06	483375
95 	3820.21	1.53209e+06	3.0751e+06 	482884
96 	3820.21	1.52681e+06	3.16148e+06	478761
97 	3820.21	1.51905e+06	2.98739e+06	478816
98 	3820.21	1.50592e+06	3.01807e+06	479058
99 	3820.21	1.50394e+06	2.92791e+06	477405
100	3820.21	1.51318e+06	2.8775e+06 	486221
101	3820.21	1.51282e+06	3.00351e+06	494622
102	3820.21	1.51217e+06	2.95828e+06	480209
103	3820.21	1.50537e+06	2.97121e+06	483468
104	3820.21	1.49414e+06	2.95719e+06	481294
105	3820.21	1.49421e+06	3.0613e+06 	479551
106	3820.21	1.49896e+06	3.09598e+06	477364
107	3820.21	1.50331e+06	2.9615e+06 	476963
108	3820.21	1.49625e+06	2.93985e+06	479846
109	3820.21	1.49288e+06	2.86086e+06	470703
110	3820.21	1.49036e+06	2.96031e+06	477131
111	3820.21	1.49572e+06	2.97046e+06	480469
112	3739.27	1.48589e+06	2.86016e+06	471799
113	3739.27	1.48609e+06	2.88266e+06	473055
114	3739.27	1.48123e+06	2.86854e+06	468462
115	3739.27	1.47692e+06	2.76426e+06	465521
