gen	min    	avg   	max        	std   
0  	24164.1	868966	1.66001e+06	259108
1  	24164.1	869595	1.62502e+06	266145
2  	24164.1	870355	1.68309e+06	268177
3  	21472.3	870773	1.75769e+06	265184
4  	21472.3	873311	1.67707e+06	267291
5  	21472.3	874231	1.64552e+06	273618
6  	21472.3	873479	1.61013e+06	270382
7  	21472.3	872041	1.89869e+06	267690
8  	21472.3	872761	1.67338e+06	266212
9  	21472.3	873941	1.69245e+06	265017
10 	21472.3	871960	1.77641e+06	265126
11 	21472.3	870018	1.74468e+06	262465
12 	21472.3	870896	1.76477e+06	260576
13 	21472.3	872147	1.62366e+06	259810
14 	21472.3	871886	1.66873e+06	261763
15 	21472.3	871801	1.7149e+06 	272172
16 	21472.3	870589	1.60696e+06	270414
17 	21472.3	871129	1.64586e+06	272749
18 	21471.8	872708	1.69336e+06	273720
19 	21471.8	870107	1.72325e+06	274004
20 	21471.8	871770	1.96238e+06	279608
21 	21471.8	872667	1.83284e+06	282263
22 	21471.8	873577	1.82494e+06	292106
23 	21471.8	874646	1.89711e+06	289501
24 	21471.8	873211	2.01616e+06	290751
25 	21471.8	874412	1.73811e+06	289078
26 	21471.8	873346	1.76699e+06	287241
27 	16259  	874942	1.7614e+06 	287604
28 	16259  	876451	1.68377e+06	286134
29 	16259  	876652	1.69134e+06	285340
30 	16259  	877928	1.79273e+06	293910
31 	16259  	876241	1.76599e+06	292117
32 	16259  	875431	1.93299e+06	289303
33 	16259  	875001	1.97166e+06	293447
34 	16259  	876080	1.85203e+06	291999
35 	16259  	876328	1.82101e+06	290100
36 	16259  	873340	1.83209e+06	299421
37 	16259  	874114	1.8098e+06 	298549
38 	16259  	874027	1.80927e+06	302953
39 	16259  	872695	1.78581e+06	300998
40 	16259  	871278	1.87319e+06	300435
41 	16259  	872570	1.88976e+06	298662
42 	16259  	871292	1.70111e+06	292761
43 	16259  	870892	1.84353e+06	293294
44 	16259  	871439	1.90192e+06	296937
45 	16259  	871437	1.89412e+06	298853
46 	16259  	870868	1.88224e+06	292966
47 	16259  	870477	1.79067e+06	292549
48 	16259  	870813	1.85143e+06	293605
49 	16259  	870240	1.79107e+06	292396
50 	16259  	869099	1.99058e+06	296585
51 	16259  	869124	1.95597e+06	298567
52 	16259  	869898	1.92485e+06	293525
53 	16259  	869126	1.85505e+06	296890
54 	16259  	869451	1.80392e+06	298758
55 	16259  	867886	1.9137e+06 	291108
56 	16228.5	867986	1.81296e+06	294528
57 	16228.5	867130	1.81897e+06	290887
58 	16228.5	866718	1.81897e+06	286603
59 	13759.3	868246	1.81897e+06	277912
60 	13759.3	868243	1.84413e+06	284867
61 	13759.3	868152	1.84673e+06	288042
62 	13759.3	868643	1.90211e+06	289230
63 	13759.3	869133	1.78694e+06	296365
64 	13759.3	868924	1.78694e+06	294052
