gen	min        	avg        	max        	std       
0  	8.55314e+06	5.52263e+07	1.49154e+08	2.6511e+07
1  	7.32138e+06	5.50888e+07	1.69408e+08	2.76858e+07
2  	7.32138e+06	5.52461e+07	1.61066e+08	2.6592e+07 
3  	7.32138e+06	5.45045e+07	1.44549e+08	2.54802e+07
4  	7.32138e+06	5.39163e+07	1.59465e+08	2.57071e+07
5  	7.32138e+06	5.38893e+07	1.55091e+08	2.6841e+07 
6  	7.32138e+06	5.42852e+07	1.96722e+08	2.7504e+07 
7  	7.32138e+06	5.25519e+07	1.41475e+08	2.65794e+07
8  	7.32138e+06	5.21443e+07	1.46393e+08	2.65462e+07
9  	5.68729e+06	5.1672e+07 	1.73443e+08	2.64609e+07
10 	5.68729e+06	5.14773e+07	1.51574e+08	2.5873e+07 
11 	5.68729e+06	5.07976e+07	1.51294e+08	2.43511e+07
12 	4.13162e+06	5.06257e+07	1.52237e+08	2.50404e+07
13 	4.13162e+06	5.02263e+07	1.44008e+08	2.45844e+07
14 	4.13162e+06	4.96218e+07	1.35658e+08	2.26505e+07
15 	4.13162e+06	4.95463e+07	1.44591e+08	2.35323e+07
16 	4.13162e+06	4.83103e+07	1.38099e+08	2.35666e+07
17 	4.13162e+06	4.7734e+07 	1.5162e+08 	2.31737e+07
18 	4.13162e+06	4.74841e+07	1.37001e+08	2.20936e+07
19 	4.13162e+06	4.73745e+07	1.44943e+08	2.3979e+07 
20 	4.13162e+06	4.6876e+07 	1.21182e+08	2.30215e+07
21 	4.13162e+06	4.59903e+07	1.33323e+08	2.23442e+07
22 	4.13162e+06	4.63387e+07	1.43787e+08	2.2972e+07 
23 	4.13162e+06	4.66943e+07	1.55539e+08	2.28771e+07
24 	4.13162e+06	4.61526e+07	1.18211e+08	2.16529e+07
25 	4.13162e+06	4.63091e+07	1.36784e+08	2.10023e+07
26 	4.13162e+06	4.54902e+07	1.2634e+08 	2.15028e+07
27 	4.13162e+06	4.47985e+07	1.23488e+08	2.14476e+07
28 	4.13162e+06	4.47711e+07	1.42221e+08	2.07159e+07
29 	4.13162e+06	4.41683e+07	1.21683e+08	2.06468e+07
30 	4.13162e+06	4.40614e+07	1.1432e+08 	2.0729e+07 
31 	4.13162e+06	4.37767e+07	1.2213e+08 	2.05813e+07
32 	4.13162e+06	4.28617e+07	1.12926e+08	2.00658e+07
33 	4.13162e+06	4.24218e+07	1.13526e+08	1.99374e+07
34 	4.13162e+06	4.23282e+07	1.13526e+08	1.91408e+07
35 	3.88027e+06	4.25827e+07	1.13364e+08	1.86192e+07
36 	3.88027e+06	4.24715e+07	1.10087e+08	1.91924e+07
37 	3.88027e+06	4.18459e+07	1.15873e+08	1.87387e+07
38 	3.88027e+06	4.11033e+07	1.0119e+08 	1.83403e+07
39 	3.88027e+06	4.06866e+07	1.14825e+08	1.89507e+07
40 	3.88027e+06	4.05596e+07	1.00675e+08	1.80796e+07
41 	3.88027e+06	4.00308e+07	1.00316e+08	1.8562e+07 
42 	3.88027e+06	4.03689e+07	9.63475e+07	1.7978e+07 
43 	3.88027e+06	4.01988e+07	9.18681e+07	1.80503e+07
44 	3.88027e+06	3.99729e+07	1.27804e+08	1.84509e+07
45 	3.34295e+06	3.91887e+07	8.9062e+07 	1.75602e+07
46 	3.34295e+06	3.88387e+07	1.01926e+08	1.81431e+07
47 	3.34295e+06	3.91995e+07	9.95295e+07	1.84739e+07
48 	3.34295e+06	3.89126e+07	1.02894e+08	1.88086e+07
49 	3.34295e+06	3.89172e+07	1.10352e+08	1.91082e+07
50 	3.34295e+06	3.85822e+07	1.06204e+08	1.8374e+07 
51 	3.34295e+06	3.79294e+07	1.16512e+08	1.84233e+07
52 	3.34295e+06	3.8e+07    	1.00735e+08	1.77711e+07
53 	3.34295e+06	3.75933e+07	1.17441e+08	1.82485e+07
54 	3.34295e+06	3.66074e+07	9.04494e+07	1.77271e+07
55 	3.34295e+06	3.65941e+07	8.83685e+07	1.71429e+07
56 	2.56978e+06	3.65918e+07	9.35434e+07	1.69298e+07
57 	2.56978e+06	3.61682e+07	9.58683e+07	1.66144e+07
58 	2.56978e+06	3.592e+07  	9.64405e+07	1.74321e+07
59 	2.56978e+06	3.53999e+07	9.40309e+07	1.69288e+07
60 	2.56978e+06	3.58967e+07	9.34776e+07	1.78202e+07
61 	2.56978e+06	3.5286e+07 	9.57916e+07	1.76787e+07
62 	2.56978e+06	3.52718e+07	9.1032e+07 	1.73513e+07
63 	2.56978e+06	3.51085e+07	9.53778e+07	1.71639e+07
64 	2.56978e+06	3.50118e+07	8.87379e+07	1.64138e+07
65 	2.56978e+06	3.48769e+07	8.96186e+07	1.67651e+07
66 	2.56978e+06	3.39759e+07	9.45684e+07	1.59285e+07
67 	2.56978e+06	3.4007e+07 	9.74362e+07	1.6029e+07 
68 	2.56978e+06	3.36857e+07	9.76631e+07	1.65233e+07
69 	2.56978e+06	3.36305e+07	9.82754e+07	1.65134e+07
70 	1.93295e+06	3.32165e+07	7.86495e+07	1.53771e+07
71 	1.93295e+06	3.3107e+07 	8.1943e+07 	1.47755e+07
72 	1.93295e+06	3.31869e+07	8.21664e+07	1.58862e+07
73 	1.92332e+06	3.27104e+07	8.6291e+07 	1.55755e+07
74 	1.92332e+06	3.20856e+07	8.6217e+07 	1.5015e+07 
75 	1.92332e+06	3.1549e+07 	8.25088e+07	1.42582e+07
76 	1.92332e+06	3.16824e+07	9.26411e+07	1.47881e+07
77 	1.92332e+06	3.17618e+07	9.55958e+07	1.49472e+07
78 	1.92332e+06	3.17287e+07	8.09883e+07	1.44493e+07
79 	1.92332e+06	3.15876e+07	8.17525e+07	1.43728e+07
80 	1.92332e+06	3.14894e+07	8.22066e+07	1.45025e+07
81 	1.92332e+06	3.1488e+07 	7.60724e+07	1.39962e+07
82 	1.92332e+06	3.11633e+07	7.58432e+07	1.38162e+07
83 	1.92332e+06	3.10485e+07	7.26923e+07	1.42533e+07
84 	1.92332e+06	3.07787e+07	7.94746e+07	1.4893e+07 
85 	1.92332e+06	3.03883e+07	7.36978e+07	1.40303e+07
86 	1.92332e+06	3.02475e+07	6.96512e+07	1.3103e+07 
87 	1.92332e+06	3.02776e+07	7.28195e+07	1.30726e+07
88 	1.92332e+06	3.00657e+07	7.73883e+07	1.38952e+07
89 	1.92332e+06	2.98865e+07	7.96922e+07	1.38199e+07
90 	1.92332e+06	2.99435e+07	7.55261e+07	1.38616e+07
91 	1.92332e+06	2.95058e+07	7.74729e+07	1.44667e+07
92 	1.92332e+06	2.92061e+07	7.55909e+07	1.42978e+07
93 	1.92332e+06	2.90911e+07	7.71009e+07	1.39869e+07
94 	1.92332e+06	2.86733e+07	7.5333e+07 	1.33305e+07
95 	1.92332e+06	2.83327e+07	7.03704e+07	1.26519e+07
96 	1.92332e+06	2.79891e+07	7.4481e+07 	1.26209e+07
97 	1.92332e+06	2.78532e+07	6.10029e+07	1.23884e+07
98 	1.92332e+06	2.78158e+07	6.19731e+07	1.25666e+07
99 	1.92332e+06	2.77009e+07	6.35219e+07	1.26909e+07
100	1.92332e+06	2.78382e+07	7.49438e+07	1.27131e+07
101	1.92332e+06	2.78518e+07	7.26573e+07	1.2985e+07 
102	1.92332e+06	2.77349e+07	7.02039e+07	1.29158e+07
103	1.92332e+06	2.76476e+07	6.92247e+07	1.21227e+07
104	1.92332e+06	2.71724e+07	7.31214e+07	1.19838e+07
105	1.92332e+06	2.70227e+07	7.10373e+07	1.22191e+07
106	1.92332e+06	2.69604e+07	6.81006e+07	1.18622e+07
107	1.92332e+06	2.70605e+07	6.42159e+07	1.20034e+07
108	1.92332e+06	2.72408e+07	7.90583e+07	1.25288e+07
109	1.92332e+06	2.69288e+07	7.02514e+07	1.23166e+07
110	1.92332e+06	2.69026e+07	7.35299e+07	1.24934e+07
111	1.59889e+06	2.66188e+07	6.74148e+07	1.19343e+07
112	1.59889e+06	2.61079e+07	6.7743e+07 	1.11532e+07
113	1.59889e+06	2.61844e+07	6.96895e+07	1.10513e+07
114	1.59889e+06	2.59254e+07	6.07001e+07	1.09353e+07
115	1.59889e+06	2.5865e+07 	6.38719e+07	1.1028e+07 
116	1.59889e+06	2.59745e+07	6.22934e+07	1.12662e+07
117	1.59889e+06	2.58016e+07	6.22934e+07	1.10899e+07
118	1.59889e+06	2.56858e+07	6.5939e+07 	1.14538e+07
119	1.59889e+06	2.55012e+07	6.39543e+07	1.12243e+07
120	1.59889e+06	2.53775e+07	6.62505e+07	1.08809e+07
121	1.59889e+06	2.53532e+07	5.92277e+07	1.05959e+07
122	1.59889e+06	2.49962e+07	6.78502e+07	1.05787e+07
123	1.59889e+06	2.54043e+07	6.38757e+07	1.11656e+07
124	1.59889e+06	2.52183e+07	5.9061e+07 	1.08989e+07
125	1.59889e+06	2.49845e+07	5.87124e+07	1.0419e+07 
126	1.59889e+06	2.52468e+07	5.93222e+07	1.05126e+07
127	1.32479e+06	2.51252e+07	5.94263e+07	1.04261e+07
128	1.32479e+06	2.50017e+07	6.12207e+07	1.02931e+07
129	1.32479e+06	2.5064e+07 	6.46275e+07	1.08485e+07
130	1.32479e+06	2.46749e+07	5.75504e+07	1.03384e+07
131	1.32479e+06	2.43878e+07	5.72023e+07	9.97799e+06
132	1.32479e+06	2.41673e+07	5.59408e+07	1.0093e+07 
133	1.32479e+06	2.43123e+07	5.92318e+07	1.06224e+07
134	1.32479e+06	2.37363e+07	5.92318e+07	9.82693e+06
135	1.32479e+06	2.37764e+07	5.64699e+07	9.80252e+06
136	1.32479e+06	2.36706e+07	5.96801e+07	9.858e+06  
137	1.32479e+06	2.39851e+07	5.34603e+07	1.00144e+07
