gen	min    	avg        	max      	std        
0  	688.553	9.61859e+06	6.855e+07	1.17049e+07
1  	422.107	9.54182e+06	6.09535e+07	1.09264e+07
2  	422.107	9.4898e+06 	7.70556e+07	1.10752e+07
3  	422.107	9.01031e+06	5.83307e+07	1.07486e+07
4  	422.107	8.48242e+06	5.39569e+07	1.0706e+07 
5  	422.107	8.76105e+06	6.56063e+07	1.09472e+07
6  	402.024	8.70475e+06	6.94765e+07	1.12879e+07
7  	402.024	8.83052e+06	5.84379e+07	1.08795e+07
8  	402.024	8.38905e+06	6.14223e+07	1.08548e+07
9  	402.024	8.31959e+06	7.30762e+07	1.12806e+07
10 	402.024	8.58988e+06	8.51353e+07	1.18388e+07
11 	402.024	8.88125e+06	6.77288e+07	1.1339e+07 
12 	402.024	8.41414e+06	6.09534e+07	1.05597e+07
13 	402.024	7.99844e+06	6.09534e+07	1.02386e+07
14 	402.024	8.09554e+06	7.76589e+07	1.03976e+07
15 	402.024	7.73408e+06	5.63665e+07	9.77299e+06
16 	402.024	8.02116e+06	6.93936e+07	1.06546e+07
17 	402.024	7.71941e+06	6.43978e+07	9.80381e+06
18 	402.024	7.72667e+06	6.73285e+07	1.04621e+07
19 	402.024	7.27366e+06	6.54723e+07	9.88689e+06
20 	402.024	7.03134e+06	7.09086e+07	1.01104e+07
21 	394.14 	6.79992e+06	5.64879e+07	9.00651e+06
22 	394.14 	6.91099e+06	4.47792e+07	8.4841e+06 
23 	394.14 	6.66267e+06	5.50175e+07	8.5205e+06 
24 	394.14 	6.61155e+06	9.00914e+07	9.48796e+06
25 	394.14 	6.75042e+06	4.87229e+07	8.6518e+06 
26 	394.14 	6.98205e+06	5.18383e+07	8.73729e+06
27 	394.14 	6.53685e+06	5.06509e+07	8.23271e+06
28 	394.14 	6.62108e+06	5.82542e+07	8.92892e+06
29 	394.14 	6.81332e+06	5.62201e+07	8.80037e+06
30 	394.14 	6.74772e+06	5.42974e+07	8.48826e+06
31 	394.14 	6.41623e+06	5.00105e+07	8.58867e+06
32 	394.14 	7.05254e+06	6.28934e+07	9.22251e+06
33 	394.14 	6.2014e+06 	6.11568e+07	8.32374e+06
34 	394.14 	6.48941e+06	7.26016e+07	8.88788e+06
35 	394.14 	6.15314e+06	4.8871e+07 	7.85829e+06
36 	394.14 	5.83597e+06	5.57533e+07	7.95612e+06
37 	394.14 	5.70929e+06	4.83694e+07	7.52967e+06
38 	372.578	5.82409e+06	4.21145e+07	7.47131e+06
39 	372.578	6.04518e+06	4.02696e+07	7.97657e+06
40 	372.578	6.0707e+06 	4.68553e+07	7.64138e+06
41 	372.578	5.93364e+06	4.93036e+07	7.68415e+06
42 	372.578	5.64146e+06	3.734e+07  	7.156e+06  
43 	372.578	5.8491e+06 	3.69705e+07	7.3109e+06 
44 	372.578	5.52194e+06	4.37054e+07	7.09363e+06
45 	372.578	5.16482e+06	3.97886e+07	6.65014e+06
46 	372.578	5.19313e+06	3.49467e+07	6.71268e+06
47 	372.578	5.55245e+06	3.88863e+07	6.96963e+06
48 	372.578	5.49777e+06	5.18322e+07	6.8486e+06 
49 	372.578	5.58412e+06	4.25975e+07	7.20883e+06
50 	372.578	5.2004e+06 	4.61818e+07	6.93883e+06
51 	372.578	5.01527e+06	4.1967e+07 	6.70654e+06
52 	372.578	4.81305e+06	3.83007e+07	6.31457e+06
53 	343.213	4.99307e+06	3.93569e+07	6.52912e+06
54 	343.213	5.45837e+06	3.84686e+07	6.9897e+06 
55 	343.213	5.19465e+06	3.82455e+07	6.6392e+06 
56 	343.213	5.00657e+06	4.22204e+07	6.54259e+06
57 	343.213	4.93157e+06	3.98412e+07	6.31214e+06
58 	343.213	4.84111e+06	3.05233e+07	6.05436e+06
59 	343.213	4.72061e+06	3.94795e+07	5.78499e+06
60 	343.213	4.43656e+06	4.17599e+07	5.93078e+06
61 	343.213	4.48362e+06	4.17599e+07	6.5742e+06 
62 	343.213	4.71659e+06	3.90494e+07	6.54897e+06
63 	343.213	4.71331e+06	3.61405e+07	6.38757e+06
64 	343.213	4.8171e+06 	3.63483e+07	6.39124e+06
65 	343.213	4.81294e+06	3.31727e+07	6.29016e+06
66 	343.213	4.61869e+06	3.3906e+07 	6.03404e+06
67 	343.213	4.20467e+06	3.13847e+07	5.6161e+06 
68 	343.213	4.17409e+06	3.24746e+07	5.34611e+06
69 	343.213	3.99886e+06	3.24399e+07	5.09081e+06
70 	343.213	3.71609e+06	3.1231e+07 	4.96386e+06
71 	343.213	3.73782e+06	2.69204e+07	4.76462e+06
72 	343.213	3.77169e+06	2.66775e+07	4.87026e+06
73 	303.582	4.11154e+06	3.37693e+07	5.79073e+06
74 	303.582	4.15458e+06	3.18121e+07	5.64692e+06
75 	303.582	3.95315e+06	3.25598e+07	5.2506e+06 
76 	303.582	4.05792e+06	2.51471e+07	4.98409e+06
77 	303.582	3.80372e+06	3.00667e+07	5.22964e+06
78 	303.582	3.81534e+06	3.2064e+07 	5.3326e+06 
79 	303.582	3.72769e+06	3.79614e+07	5.17249e+06
80 	303.582	3.54602e+06	3.17872e+07	4.73974e+06
81 	303.582	3.3177e+06 	2.60188e+07	4.49978e+06
82 	303.582	3.60338e+06	3.15368e+07	4.65098e+06
83 	303.582	3.3412e+06 	3.05191e+07	4.4678e+06 
84 	303.582	3.3757e+06 	2.94459e+07	4.7275e+06 
85 	303.582	3.28922e+06	2.54999e+07	4.40872e+06
86 	303.582	3.3118e+06 	2.54999e+07	4.35991e+06
87 	303.582	3.10853e+06	2.88054e+07	4.55681e+06
88 	303.582	3.30949e+06	2.3489e+07 	4.62102e+06
89 	303.582	3.16853e+06	2.81181e+07	4.31619e+06
90 	303.582	3.14358e+06	2.54647e+07	4.09533e+06
91 	275.788	2.96951e+06	2.09233e+07	3.8797e+06 
92 	275.788	3.2045e+06 	2.54193e+07	4.36124e+06
93 	275.788	3.16769e+06	2.97136e+07	4.28622e+06
94 	275.788	2.99911e+06	2.48994e+07	3.86353e+06
95 	275.788	3.04061e+06	2.98386e+07	4.15721e+06
96 	275.788	2.95329e+06	1.83474e+07	3.79546e+06
97 	275.788	3.04786e+06	2.39008e+07	3.90587e+06
98 	275.788	2.84461e+06	2.30426e+07	3.57931e+06
99 	275.788	2.77581e+06	2.09849e+07	3.47059e+06
100	275.788	2.8813e+06 	2.31368e+07	3.67621e+06
101	275.788	2.81107e+06	2.05095e+07	3.53358e+06
102	275.788	2.81877e+06	1.97432e+07	3.44129e+06
103	275.788	2.83804e+06	1.94242e+07	3.43276e+06
104	275.788	2.85741e+06	2.30336e+07	3.82503e+06
105	275.788	2.72143e+06	1.90245e+07	3.61573e+06
106	275.788	2.55493e+06	2.24667e+07	3.26186e+06
107	275.788	2.50834e+06	2.19637e+07	3.23611e+06
108	275.788	2.55602e+06	2.10155e+07	3.39349e+06
109	275.788	2.47292e+06	1.8047e+07 	3.02763e+06
110	275.788	2.57606e+06	1.78775e+07	3.2684e+06 
111	275.788	2.69441e+06	2.26772e+07	3.74403e+06
112	275.788	2.52977e+06	1.96689e+07	3.53926e+06
113	275.788	2.53864e+06	1.70299e+07	3.16604e+06
114	252.674	2.64226e+06	1.69774e+07	3.12118e+06
115	252.674	2.46939e+06	2.06997e+07	3.18735e+06
116	252.674	2.53101e+06	2.04772e+07	3.17457e+06
117	252.674	2.4491e+06 	1.82847e+07	3.17258e+06
118	252.674	2.40849e+06	2.63917e+07	3.38974e+06
119	252.674	2.38344e+06	2.48122e+07	3.27248e+06
120	252.674	2.43632e+06	2.37203e+07	3.25912e+06
121	252.674	2.43509e+06	2.32535e+07	3.62947e+06
122	252.674	2.5362e+06 	2.42269e+07	3.62987e+06
123	252.674	2.46421e+06	2.42269e+07	3.5537e+06 
124	252.674	2.24369e+06	1.70208e+07	3.0222e+06 
125	252.674	2.36676e+06	2.45258e+07	3.35488e+06
126	252.674	2.21065e+06	2.22001e+07	3.13632e+06
127	252.674	2.05614e+06	1.72369e+07	2.74976e+06
128	252.674	2.02484e+06	1.63406e+07	2.56677e+06
129	252.674	2.00089e+06	1.53612e+07	2.62883e+06
130	252.674	1.86349e+06	1.40093e+07	2.42552e+06
131	252.674	1.96069e+06	1.5801e+07 	2.52724e+06
132	252.674	1.87823e+06	1.61046e+07	2.46908e+06
133	252.674	1.97015e+06	1.75173e+07	2.54856e+06
134	252.674	2.04209e+06	1.61464e+07	2.64189e+06
135	252.674	1.80557e+06	1.66585e+07	2.332e+06  
136	252.674	1.84822e+06	2.04052e+07	2.46277e+06
137	252.674	1.95735e+06	1.41319e+07	2.42602e+06
138	252.674	2.09585e+06	1.57716e+07	2.64135e+06
139	252.674	2.2063e+06 	1.66736e+07	2.82996e+06
140	252.674	2.15835e+06	2.126e+07  	2.7354e+06 
141	252.674	1.96621e+06	1.65107e+07	2.46487e+06
142	252.674	1.98626e+06	1.63671e+07	2.53805e+06
143	252.674	1.99591e+06	1.57597e+07	2.58559e+06
144	252.674	1.95487e+06	1.5057e+07 	2.53427e+06
145	252.674	1.94406e+06	1.36166e+07	2.47218e+06
146	252.674	1.91303e+06	1.50881e+07	2.45045e+06
147	252.674	1.8922e+06 	1.51242e+07	2.58139e+06
148	252.674	1.76877e+06	1.46575e+07	2.34575e+06
149	252.674	1.70143e+06	1.43988e+07	2.30134e+06
150	252.674	1.80949e+06	1.29668e+07	2.47108e+06
151	252.674	1.84573e+06	1.31527e+07	2.46146e+06
152	252.674	1.85948e+06	1.55877e+07	2.55822e+06
153	252.674	1.92657e+06	1.80624e+07	2.4536e+06 
154	252.674	1.88601e+06	1.69067e+07	2.56582e+06
155	252.674	1.84131e+06	1.59625e+07	2.39516e+06
156	252.674	1.81377e+06	1.39158e+07	2.40498e+06
157	252.674	1.83506e+06	1.42767e+07	2.31205e+06
158	252.674	1.77357e+06	1.58562e+07	2.33132e+06
159	252.674	1.69298e+06	1.14651e+07	2.08459e+06
160	252.674	1.61589e+06	1.34614e+07	2.00843e+06
161	252.674	1.54778e+06	1.26351e+07	1.81056e+06
162	252.674	1.6551e+06 	1.2271e+07 	2.01242e+06
163	251.411	1.51108e+06	1.13104e+07	1.92097e+06
164	251.411	1.53324e+06	1.01384e+07	1.95442e+06
165	251.411	1.45752e+06	8.81089e+06	1.82283e+06
166	251.411	1.44572e+06	1.22242e+07	1.88512e+06
167	251.411	1.57214e+06	1.13462e+07	1.95914e+06
168	251.411	1.55578e+06	1.0586e+07 	1.93655e+06
169	251.411	1.51471e+06	1.04217e+07	1.88045e+06
170	251.411	1.43404e+06	1.04217e+07	1.86815e+06
171	251.411	1.42528e+06	1.04217e+07	1.91139e+06
172	251.411	1.34069e+06	1.05624e+07	1.88079e+06
173	251.411	1.44138e+06	1.79387e+07	2.02501e+06
174	251.411	1.52072e+06	1.08652e+07	1.95691e+06
175	251.411	1.46459e+06	1.18312e+07	1.98666e+06
176	251.411	1.4678e+06 	1.31837e+07	1.8614e+06 
177	251.411	1.40669e+06	1.37474e+07	1.91322e+06
178	251.411	1.36888e+06	1.16572e+07	1.82707e+06
179	251.411	1.46031e+06	1.195e+07  	1.90035e+06
180	251.411	1.34127e+06	1.59764e+07	1.92092e+06
181	251.411	1.44267e+06	1.62835e+07	1.96236e+06
182	246.304	1.50539e+06	1.4813e+07 	2.03435e+06
183	246.304	1.37198e+06	1.08163e+07	1.78354e+06
184	246.304	1.42986e+06	1.42177e+07	2.08089e+06
185	246.304	1.29655e+06	8.80155e+06	1.70558e+06
186	246.304	1.29441e+06	1.10061e+07	1.73027e+06
187	246.304	1.25005e+06	8.28826e+06	1.61427e+06
188	246.304	1.27102e+06	1.15187e+07	1.6751e+06 
189	246.304	1.24231e+06	1.10511e+07	1.58969e+06
190	246.304	1.16441e+06	7.06415e+06	1.53981e+06
191	246.304	1.22612e+06	8.81255e+06	1.50614e+06
192	246.304	1.21316e+06	8.26266e+06	1.52649e+06
193	246.304	1.20666e+06	7.92593e+06	1.55422e+06
194	246.304	1.10288e+06	7.74643e+06	1.44289e+06
195	246.304	1.18907e+06	8.14757e+06	1.5007e+06 
196	246.304	1.25798e+06	8.14757e+06	1.47563e+06
197	246.304	1.20322e+06	7.959e+06  	1.37239e+06
198	246.304	1.09005e+06	8.68153e+06	1.36061e+06
199	246.304	1.06511e+06	7.6168e+06 	1.39603e+06
Result of algorithm run: SUCCESS, 0, 0, 246.303659, 0
