gen	min   	avg        	max        	std        
0  	984.99	9.44093e+06	9.16586e+07	1.28236e+07
1  	484.966	8.78517e+06	9.16309e+07	1.12052e+07
2  	484.966	8.92e+06   	7.99575e+07	1.11564e+07
3  	484.966	8.32501e+06	8.19081e+07	1.12476e+07
4  	484.966	8.35577e+06	7.12476e+07	1.08945e+07
5  	484.966	8.44859e+06	7.22875e+07	1.05026e+07
6  	484.966	8.26902e+06	6.81438e+07	1.06181e+07
7  	484.966	8.56239e+06	6.17014e+07	1.06997e+07
8  	484.966	8.35556e+06	4.96097e+07	9.56912e+06
9  	484.966	7.91776e+06	4.74317e+07	9.45281e+06
10 	484.966	8.53399e+06	6.62913e+07	1.08143e+07
11 	437.482	8.2408e+06 	7.18155e+07	1.08776e+07
12 	437.482	7.7731e+06 	8.94856e+07	9.88148e+06
13 	437.482	7.67545e+06	5.43598e+07	9.34518e+06
14 	437.482	7.85181e+06	7.8231e+07 	1.05379e+07
15 	437.482	7.5984e+06 	6.35664e+07	9.94503e+06
16 	437.482	7.51285e+06	5.66423e+07	9.61334e+06
17 	413.978	7.65231e+06	5.52268e+07	9.1576e+06 
18 	413.978	7.44555e+06	5.10282e+07	9.01646e+06
19 	413.978	7.40182e+06	4.93993e+07	9.39072e+06
20 	413.978	6.75095e+06	4.73197e+07	8.61703e+06
21 	413.978	6.72449e+06	6.32374e+07	8.95774e+06
22 	413.978	6.62857e+06	5.21821e+07	8.73805e+06
23 	413.978	6.47403e+06	4.35979e+07	8.15934e+06
24 	413.978	6.65745e+06	4.42512e+07	8.47834e+06
25 	413.978	6.2548e+06 	3.93186e+07	7.99578e+06
26 	413.978	6.1294e+06 	3.44899e+07	7.4988e+06 
27 	413.978	5.75474e+06	5.23333e+07	7.69867e+06
28 	413.978	6.02331e+06	4.02167e+07	7.66266e+06
29 	413.978	5.93876e+06	7.23322e+07	8.29514e+06
30 	413.978	5.91043e+06	4.43718e+07	8.01139e+06
31 	413.978	6.0335e+06 	5.06374e+07	8.18728e+06
32 	413.978	6.17861e+06	4.77318e+07	8.1534e+06 
33 	413.978	6.29668e+06	4.74963e+07	8.37209e+06
34 	413.978	6.17417e+06	4.27797e+07	8.22989e+06
35 	413.978	6.26424e+06	4.07629e+07	8.0493e+06 
36 	413.978	6.15002e+06	5.36308e+07	8.04004e+06
37 	413.978	5.9741e+06 	3.94736e+07	7.45777e+06
38 	413.978	5.71079e+06	4.06374e+07	7.07846e+06
39 	413.978	5.53609e+06	3.38347e+07	6.72114e+06
40 	413.978	5.68583e+06	3.74979e+07	6.97428e+06
41 	413.978	5.73543e+06	4.32825e+07	7.4575e+06 
42 	390.903	6.01023e+06	3.93701e+07	7.45274e+06
43 	390.903	5.64618e+06	5.10912e+07	7.371e+06  
44 	390.903	5.35158e+06	4.04926e+07	6.73474e+06
45 	390.903	5.41775e+06	3.38056e+07	6.48379e+06
46 	390.903	4.97764e+06	4.38521e+07	6.50439e+06
47 	390.903	4.68686e+06	3.37605e+07	5.97412e+06
48 	390.903	4.79511e+06	3.6891e+07 	6.37131e+06
49 	390.903	4.96417e+06	5.50212e+07	7.17723e+06
50 	390.903	4.89354e+06	4.00765e+07	6.4385e+06 
51 	390.903	5.03962e+06	3.5445e+07 	6.36297e+06
52 	367.305	4.92673e+06	4.29894e+07	6.3888e+06 
53 	367.305	5.00252e+06	4.75724e+07	7.09031e+06
54 	367.305	4.72396e+06	3.82133e+07	6.48074e+06
55 	355.855	4.69054e+06	3.71286e+07	6.44351e+06
56 	355.855	4.34131e+06	3.12305e+07	5.58117e+06
57 	355.855	4.57565e+06	3.84974e+07	6.02541e+06
58 	355.855	4.63576e+06	3.60467e+07	6.06081e+06
59 	355.855	4.3443e+06 	3.03341e+07	5.69014e+06
60 	355.855	4.35454e+06	3.41443e+07	5.79671e+06
61 	355.855	4.32785e+06	4.10314e+07	5.59091e+06
62 	355.855	4.12321e+06	3.12093e+07	5.18629e+06
63 	355.855	3.80714e+06	2.94804e+07	4.83219e+06
64 	355.855	4.06275e+06	3.43413e+07	5.32978e+06
65 	355.855	3.81648e+06	2.78816e+07	4.85363e+06
66 	297.877	3.91341e+06	3.04971e+07	5.26578e+06
67 	297.877	3.88984e+06	2.72059e+07	4.97936e+06
68 	297.877	3.74668e+06	2.77837e+07	4.77116e+06
69 	297.877	3.62559e+06	2.92096e+07	4.65362e+06
70 	297.877	3.88145e+06	2.65159e+07	5.23075e+06
71 	297.877	3.91961e+06	3.03965e+07	5.25864e+06
72 	297.877	4.06652e+06	3.62433e+07	5.42119e+06
73 	297.877	4.0132e+06 	3.73532e+07	5.79976e+06
74 	297.877	3.90641e+06	3.43925e+07	5.68676e+06
75 	297.877	4.03965e+06	2.88401e+07	5.20631e+06
76 	297.877	3.82978e+06	2.63754e+07	4.79626e+06
77 	297.877	3.53906e+06	2.28004e+07	4.39694e+06
78 	297.877	3.35697e+06	2.57978e+07	4.35051e+06
79 	297.877	3.45208e+06	2.74484e+07	4.66683e+06
80 	297.877	3.47577e+06	2.64168e+07	4.53469e+06
81 	287.392	3.78506e+06	2.64168e+07	5.02306e+06
82 	287.392	3.83863e+06	3.21416e+07	5.06597e+06
83 	287.392	3.58009e+06	3.31458e+07	4.6831e+06 
84 	287.392	3.70928e+06	3.31458e+07	4.71199e+06
85 	287.392	3.85885e+06	3.32486e+07	5.0681e+06 
86 	287.392	3.55947e+06	2.71059e+07	4.71616e+06
87 	287.392	3.39958e+06	2.93219e+07	4.41923e+06
88 	287.392	3.0423e+06 	3.3929e+07 	4.11733e+06
89 	287.392	3.08114e+06	2.9542e+07 	4.01131e+06
90 	287.392	3.16797e+06	2.80582e+07	4.15973e+06
91 	287.392	3.17033e+06	2.70139e+07	4.26416e+06
92 	287.392	2.93462e+06	2.15194e+07	3.72507e+06
93 	287.392	2.98684e+06	1.96351e+07	3.6651e+06 
94 	287.392	3.21413e+06	2.53067e+07	4.25814e+06
95 	287.392	3.27336e+06	2.53067e+07	4.36002e+06
96 	287.392	2.97352e+06	2.70875e+07	3.99635e+06
97 	287.392	3.13338e+06	2.14945e+07	3.92942e+06
98 	287.392	3.26775e+06	2.09995e+07	4.22963e+06
99 	287.392	3.12527e+06	2.14312e+07	4.15157e+06
100	287.392	3.23591e+06	2.76832e+07	4.23013e+06
101	287.392	3.26389e+06	2.21175e+07	4.13177e+06
102	287.392	3.3658e+06 	2.40231e+07	4.2159e+06 
103	287.392	3.15067e+06	2.55786e+07	4.1192e+06 
104	287.392	2.93953e+06	2.62296e+07	3.94411e+06
105	287.392	2.82142e+06	2.37339e+07	3.84089e+06
106	287.392	2.89165e+06	2.72328e+07	3.96245e+06
107	287.392	2.80743e+06	2.88887e+07	3.97467e+06
108	287.392	3.07699e+06	2.67063e+07	4.30924e+06
109	287.392	3.15787e+06	2.97555e+07	4.35503e+06
110	287.392	3.18387e+06	2.88297e+07	4.5551e+06 
111	287.392	2.92298e+06	3.32895e+07	4.28379e+06
112	287.392	2.85183e+06	2.50308e+07	4.03324e+06
113	287.392	2.95556e+06	2.54254e+07	3.9697e+06 
114	287.392	2.68928e+06	2.3374e+07 	3.76207e+06
115	287.392	2.64768e+06	1.95019e+07	3.34233e+06
116	287.392	2.39062e+06	1.95019e+07	3.0123e+06 
117	287.392	2.39863e+06	1.96231e+07	3.05087e+06
118	287.392	2.42894e+06	1.91446e+07	3.14605e+06
119	287.392	2.40084e+06	1.92332e+07	3.1997e+06 
120	287.392	2.44963e+06	2.25058e+07	3.33682e+06
121	287.392	2.38638e+06	2.04317e+07	3.03178e+06
122	287.392	2.28785e+06	1.9672e+07 	3.07484e+06
123	285.958	2.1672e+06 	1.72979e+07	2.80065e+06
124	285.958	2.32718e+06	1.72979e+07	2.98674e+06
125	285.958	2.27436e+06	1.97904e+07	3.0904e+06 
126	285.958	2.13592e+06	1.7609e+07 	2.94114e+06
127	285.958	2.28499e+06	1.89411e+07	3.21461e+06
128	285.958	2.32604e+06	2.22987e+07	3.26928e+06
129	285.958	2.26502e+06	2.24652e+07	3.22739e+06
130	285.958	2.24945e+06	1.98601e+07	3.03736e+06
131	285.958	2.22699e+06	2.00485e+07	3.2109e+06 
132	285.958	2.25276e+06	1.89866e+07	3.12188e+06
133	285.958	2.08913e+06	1.89135e+07	2.93398e+06
134	285.958	1.98271e+06	1.86171e+07	2.71662e+06
135	285.958	2.01734e+06	1.73476e+07	2.60983e+06
136	285.958	2.04228e+06	2.05931e+07	2.82708e+06
137	285.958	1.99672e+06	2.05931e+07	2.48386e+06
138	285.958	1.92522e+06	1.42491e+07	2.51124e+06
139	285.958	1.98583e+06	1.38462e+07	2.43028e+06
140	285.958	2.05114e+06	2.04497e+07	2.64068e+06
141	285.958	2.02754e+06	2.3246e+07 	2.9709e+06 
142	285.958	1.87069e+06	1.6957e+07 	2.43882e+06
143	280.812	1.87803e+06	1.67685e+07	2.34858e+06
144	267.77 	1.89204e+06	1.63549e+07	2.40368e+06
145	267.77 	1.90443e+06	1.80058e+07	2.45848e+06
146	267.77 	1.83445e+06	1.43314e+07	2.41458e+06
147	267.77 	1.80183e+06	1.44178e+07	2.29325e+06
148	267.77 	1.90095e+06	1.55232e+07	2.37663e+06
149	267.77 	2.00969e+06	1.53782e+07	2.63897e+06
150	267.77 	1.89282e+06	1.65652e+07	2.48355e+06
151	267.77 	1.8693e+06 	1.55308e+07	2.34712e+06
152	267.77 	1.92723e+06	2.11541e+07	2.53682e+06
153	267.77 	1.91084e+06	1.55065e+07	2.32497e+06
154	267.77 	1.98543e+06	1.02994e+07	2.29356e+06
155	267.77 	1.91493e+06	1.35602e+07	2.23818e+06
156	226.835	1.84323e+06	1.36307e+07	2.31101e+06
157	226.835	1.76633e+06	1.81405e+07	2.43619e+06
158	226.835	1.79657e+06	1.33948e+07	2.29198e+06
159	226.835	1.80881e+06	1.42647e+07	2.37917e+06
160	226.835	1.66582e+06	1.18862e+07	2.11561e+06
161	226.835	1.67399e+06	1.45477e+07	2.2244e+06 
162	226.835	1.59378e+06	1.25848e+07	2.07687e+06
163	226.835	1.61994e+06	1.34962e+07	2.06375e+06
164	226.835	1.51239e+06	1.17186e+07	1.9189e+06 
165	226.835	1.60196e+06	1.30024e+07	2.10222e+06
166	226.835	1.50856e+06	1.16796e+07	1.8546e+06 
167	226.835	1.48457e+06	1.12528e+07	1.82868e+06
168	226.835	1.49803e+06	1.11974e+07	1.91154e+06
169	226.835	1.48848e+06	1.0382e+07 	1.81901e+06
170	226.835	1.47373e+06	1.04688e+07	1.76754e+06
171	226.835	1.48533e+06	9.55525e+06	1.7029e+06 
