gen	min    	avg        	max        	std        
0  	549.219	9.90048e+06	9.67395e+07	1.29781e+07
1  	549.219	9.19955e+06	8.4611e+07 	1.1515e+07 
2  	549.219	8.51138e+06	7.81618e+07	1.09203e+07
3  	476.926	8.6713e+06 	6.67076e+07	1.18069e+07
4  	476.926	8.82017e+06	8.30268e+07	1.15893e+07
5  	476.926	8.65071e+06	1.01977e+08	1.20748e+07
6  	476.926	8.19232e+06	6.70546e+07	1.07893e+07
7  	476.926	8.00742e+06	6.71191e+07	1.04214e+07
8  	476.926	7.92847e+06	9.64334e+07	1.1185e+07 
9  	476.926	7.476e+06  	6.47099e+07	9.84449e+06
10 	388.963	7.39002e+06	4.75222e+07	8.79029e+06
11 	388.963	7.14281e+06	4.53388e+07	8.40166e+06
12 	388.963	7.08776e+06	4.53388e+07	8.35408e+06
13 	388.963	7.49892e+06	5.12732e+07	9.05642e+06
14 	388.963	7.35969e+06	5.1381e+07 	8.93837e+06
15 	388.963	7.59351e+06	5.31248e+07	9.19308e+06
16 	388.963	7.52928e+06	4.92836e+07	9.10967e+06
17 	388.963	7.74774e+06	5.68558e+07	9.91644e+06
18 	388.963	7.47036e+06	6.65088e+07	9.93329e+06
19 	388.963	7.69467e+06	6.56789e+07	9.63386e+06
20 	388.963	7.53884e+06	5.48337e+07	9.54785e+06
21 	388.963	7.54064e+06	6.42156e+07	9.82147e+06
22 	388.963	7.02039e+06	4.81271e+07	8.76606e+06
23 	388.963	6.82694e+06	6.98061e+07	8.68492e+06
24 	388.963	6.73783e+06	5.17166e+07	8.49145e+06
25 	388.963	6.57922e+06	4.75425e+07	8.41652e+06
26 	388.963	6.86329e+06	4.69391e+07	8.42246e+06
27 	370.601	6.57279e+06	4.69391e+07	8.45993e+06
28 	354.148	6.19597e+06	5.05123e+07	8.00445e+06
29 	354.148	5.94623e+06	4.19643e+07	7.2303e+06 
30 	354.148	6.57347e+06	5.06555e+07	8.43501e+06
31 	351.743	6.22317e+06	4.69451e+07	8.21845e+06
32 	344.606	6.31918e+06	6.35688e+07	8.39899e+06
33 	344.606	5.70784e+06	5.27189e+07	7.80548e+06
34 	344.606	5.98032e+06	5.46851e+07	7.4952e+06 
35 	344.606	5.95536e+06	4.75386e+07	7.78002e+06
36 	344.606	5.85606e+06	3.79964e+07	7.41703e+06
37 	344.606	5.73677e+06	4.11039e+07	7.38507e+06
38 	310.371	5.71179e+06	5.11215e+07	7.68653e+06
39 	310.371	5.5535e+06 	4.64806e+07	7.5803e+06 
40 	310.371	5.55269e+06	4.7042e+07 	7.42419e+06
41 	310.371	5.76541e+06	5.03859e+07	7.73664e+06
42 	310.371	5.58286e+06	4.64047e+07	7.61167e+06
43 	310.371	5.67599e+06	4.78956e+07	7.61069e+06
44 	310.371	5.70498e+06	3.63984e+07	6.91546e+06
45 	310.371	5.51171e+06	3.76243e+07	7.18224e+06
46 	310.371	5.18216e+06	3.76243e+07	6.86004e+06
47 	299.936	5.34043e+06	4.59279e+07	7.03436e+06
