gen	min    	avg       	max       	std        
0  	625.896	9.7183e+06	7.6144e+07	1.25954e+07
1  	625.896	9.1616e+06	7.18398e+07	1.13842e+07
2  	471.818	8.67225e+06	8.14584e+07	1.20776e+07
3  	471.818	8.80081e+06	8.35883e+07	1.26324e+07
4  	471.818	8.8822e+06 	8.01306e+07	1.18459e+07
5  	471.818	9.2198e+06 	7.07127e+07	1.1858e+07 
6  	471.818	8.98402e+06	6.26994e+07	1.13746e+07
7  	471.818	8.53303e+06	5.93739e+07	1.10235e+07
8  	471.818	8.3989e+06 	6.94715e+07	1.10742e+07
9  	471.818	7.85342e+06	5.70807e+07	9.87356e+06
10 	442.701	7.67365e+06	6.57302e+07	9.91814e+06
11 	442.701	6.96908e+06	8.24055e+07	9.62436e+06
12 	442.701	7.62084e+06	8.47635e+07	1.0146e+07 
13 	368.452	7.26606e+06	5.71896e+07	9.31986e+06
14 	368.452	7.19934e+06	6.31603e+07	9.74212e+06
15 	368.452	7.64967e+06	6.3536e+07 	9.74122e+06
16 	368.452	7.25799e+06	5.97453e+07	9.88332e+06
17 	368.452	6.43701e+06	6.84751e+07	9.37757e+06
18 	368.452	6.46107e+06	5.2714e+07 	8.7994e+06 
19 	368.452	6.64125e+06	5.40072e+07	8.8349e+06 
20 	368.452	6.89843e+06	5.40072e+07	8.92993e+06
21 	368.452	6.93281e+06	6.11185e+07	9.35015e+06
22 	368.452	7.03905e+06	5.9627e+07 	9.04671e+06
23 	368.452	7.1746e+06 	5.69985e+07	8.71628e+06
24 	368.452	6.94621e+06	4.60019e+07	8.51069e+06
25 	368.452	6.62739e+06	4.69513e+07	8.20951e+06
26 	368.452	6.61706e+06	5.76853e+07	8.43816e+06
27 	368.452	6.8385e+06 	5.5603e+07 	8.96025e+06
28 	368.452	6.67879e+06	3.87058e+07	8.13344e+06
29 	368.452	6.60301e+06	5.24259e+07	8.03994e+06
30 	368.452	6.48533e+06	4.11039e+07	8.0486e+06 
31 	368.452	6.3875e+06 	4.90903e+07	7.91777e+06
32 	368.452	6.21955e+06	3.78482e+07	7.30172e+06
33 	368.452	6.21652e+06	4.54605e+07	7.62348e+06
34 	368.452	6.09914e+06	5.03336e+07	7.65653e+06
35 	368.452	5.80068e+06	5.4028e+07 	7.59917e+06
36 	368.452	5.7243e+06 	4.88282e+07	6.96209e+06
37 	368.452	5.25452e+06	4.65353e+07	6.65664e+06
38 	368.452	5.24278e+06	4.21752e+07	6.45842e+06
39 	368.452	5.16571e+06	5.47079e+07	6.94166e+06
40 	368.452	5.26718e+06	4.10492e+07	6.96215e+06
41 	368.452	5.49648e+06	4.2176e+07 	7.1937e+06 
42 	368.452	5.63636e+06	4.27284e+07	7.70322e+06
43 	368.452	6.08271e+06	4.33014e+07	7.96186e+06
44 	368.452	5.79948e+06	4.03195e+07	7.51221e+06
45 	368.452	5.46418e+06	4.03195e+07	7.22695e+06
46 	368.452	5.51042e+06	4.03195e+07	7.37582e+06
47 	368.452	5.27644e+06	4.26368e+07	7.09859e+06
48 	368.452	5.23969e+06	4.22137e+07	6.88166e+06
49 	363.799	4.86695e+06	5.05812e+07	6.79324e+06
