gen	min    	avg        	max       	std        
0  	517.509	1.01828e+07	1.4398e+08	1.42017e+07
1  	517.509	9.60334e+06	1.28932e+08	1.3191e+07 
2  	517.509	1.01112e+07	7.44297e+07	1.21528e+07
3  	517.509	1.01927e+07	1.06162e+08	1.29958e+07
4  	496.975	9.38141e+06	8.18928e+07	1.19171e+07
5  	496.975	9.31564e+06	5.82758e+07	1.08399e+07
6  	496.975	8.49073e+06	7.23024e+07	1.08133e+07
7  	496.975	8.54145e+06	5.90731e+07	1.04199e+07
8  	487.485	8.51522e+06	6.21095e+07	1.00951e+07
9  	487.485	8.24782e+06	7.83746e+07	1.04349e+07
10 	487.485	8.41249e+06	7.11015e+07	1.03976e+07
11 	388.835	8.19751e+06	5.75683e+07	1.0172e+07 
12 	388.835	8.08655e+06	9.48704e+07	1.07565e+07
13 	388.835	8.00957e+06	7.05804e+07	1.00347e+07
14 	388.835	7.77788e+06	6.57424e+07	1.00224e+07
15 	388.835	7.51392e+06	5.76831e+07	9.37136e+06
16 	388.835	7.74009e+06	5.99092e+07	1.03722e+07
17 	388.835	8.00005e+06	7.0854e+07 	1.05527e+07
18 	388.835	7.24111e+06	4.99566e+07	8.72633e+06
19 	388.835	7.90589e+06	5.66299e+07	9.76977e+06
20 	388.835	7.68816e+06	5.99822e+07	9.4608e+06 
21 	388.835	7.81357e+06	6.71432e+07	1.0342e+07 
22 	388.835	7.55432e+06	6.31709e+07	9.65339e+06
23 	382.67 	7.30661e+06	7.75622e+07	9.53536e+06
24 	382.67 	7.17431e+06	6.17147e+07	8.89425e+06
25 	382.67 	7.04765e+06	5.6588e+07 	8.996e+06  
26 	382.67 	6.98107e+06	5.6588e+07 	8.8406e+06 
27 	382.67 	7.08536e+06	4.68745e+07	9.01198e+06
28 	382.67 	7.22882e+06	4.98534e+07	9.36568e+06
29 	382.67 	6.91895e+06	4.65664e+07	8.87337e+06
30 	382.67 	6.63218e+06	5.25043e+07	8.65602e+06
31 	382.67 	6.24674e+06	5.14018e+07	8.60444e+06
32 	382.67 	6.01865e+06	5.30463e+07	7.81254e+06
33 	382.67 	6.33743e+06	5.48883e+07	8.44265e+06
34 	382.67 	6.28491e+06	5.91084e+07	8.64623e+06
