gen	min       	avg        	max        	std        
0  	3.4201e+08	5.95555e+09	1.35333e+11	1.09926e+10
1  	3.4201e+08	5.69634e+09	1.35333e+11	1.13334e+10
2  	3.4201e+08	5.93207e+09	1.68681e+11	1.36244e+10
3  	3.41567e+08	6.30289e+09	2.52733e+11	1.75974e+10
4  	3.41567e+08	5.17464e+09	1.29053e+11	1.12397e+10
5  	3.41567e+08	5.00263e+09	1.10807e+11	1.01929e+10
6  	3.07517e+08	5.36208e+09	1.28703e+11	1.20597e+10
7  	3.07517e+08	4.66133e+09	1.43923e+11	9.82195e+09
8  	3.07517e+08	4.71765e+09	8.62426e+10	8.11267e+09
9  	2.87664e+08	4.52288e+09	8.39094e+10	7.9088e+09 
10 	2.79659e+08	4.42461e+09	7.13527e+10	7.5475e+09 
11 	2.7771e+08 	4.35056e+09	8.06136e+10	8.01183e+09
12 	2.7771e+08 	4.10019e+09	8.82275e+10	7.00418e+09
13 	2.7771e+08 	4.02476e+09	1.29457e+11	8.09316e+09
14 	2.7771e+08 	3.96599e+09	1.10472e+11	8.27223e+09
15 	2.7771e+08 	3.64524e+09	5.73211e+10	5.74759e+09
16 	2.7771e+08 	4.13712e+09	1.74645e+11	1.1144e+10 
17 	2.7771e+08 	3.7121e+09 	9.50423e+10	7.20424e+09
18 	2.7771e+08 	3.16296e+09	8.84e+10   	5.60386e+09
19 	2.7771e+08 	3.11621e+09	2.79953e+10	3.86513e+09
20 	2.7771e+08 	3.00242e+09	2.69017e+10	3.74347e+09
21 	2.7771e+08 	2.78694e+09	2.86286e+10	3.36382e+09
22 	2.7771e+08 	2.85845e+09	4.06429e+10	3.5772e+09 
23 	2.76724e+08	2.63558e+09	3.22521e+10	3.1761e+09 
24 	2.76724e+08	2.85851e+09	4.01796e+10	4.15079e+09
25 	2.73532e+08	2.4761e+09 	2.55701e+10	2.94678e+09
26 	2.73532e+08	2.57216e+09	5.56957e+10	3.76805e+09
27 	2.36696e+08	2.55973e+09	3.64498e+10	3.61917e+09
28 	2.36696e+08	2.38577e+09	2.65526e+10	2.67424e+09
29 	2.36696e+08	2.48375e+09	2.95783e+10	3.22471e+09
30 	2.36696e+08	2.47833e+09	3.58951e+10	3.6002e+09 
31 	2.36696e+08	2.34187e+09	3.70064e+10	3.28149e+09
